model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,lebanon,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0041105573282044,-0.0046201644779201,-0.0051852231160902,-0.0058117374446936,-0.0062034145149187,-0.0065738142602978,-0.006922936680831,-0.0072507817765181,-0.0075573495473593,-0.0078426399933546,-0.0081066531145038,-0.0083493889108071,-0.0085708516792648,-0.0087737897840603,-0.0089585293353301,-0.0091254349824713,-0.009274914337192,-0.0094074229782886,-0.0095234700251256,-0.0096236243408281,-0.0097085214318252,-0.0097788711162728,-0.0098354660399967,-0.0098791911248297,-0.0099110340404424,-0.0099320967968328,-0.0099436085602977,-0.0099469398006776,-0.0099436178815623,-0.0099353442074798,-0.0099240130422576,-0.0099117321099957,-0.0099008450834902,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762,-0.0098939560533762
PD22,baseline,lebanon,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.074758582419984e-08,-2.0055999630059847e-08,-1.936441343591985e-08,-1.8672827241779863e-08,-1.798124104763986e-08,-1.7289654853499872e-08,-1.6598068659359873e-08,-1.5906482465219878e-08,-1.5214896271079882e-08,-1.4523310076939889e-08,-1.3831723882799892e-08,-1.31401376886599e-08,-1.2448551494519906e-08,-1.1756965300379912e-08,-1.1065379106239917e-08,-1.037379291209992e-08,-9.682206717959926e-09,-8.99062052381993e-09,-8.299034329679937e-09,-7.607448135539941e-09,-6.915861941399946e-09,-6.224275747259953e-09,-5.532689553119956e-09,-4.841103358979963e-09,-4.149517164839969e-09,-3.457930970699973e-09,-2.7663447765599804e-09,-2.0747585824199833e-09,-1.3831723882799902e-09,-6.915861941399934e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,lebanon,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.00102393,0.00133362,0.00151218,0.00136152,0.00118296,0.00127782,0.00128619,0.0013392,0.00127503,0.0013113,0.0013602518181818,0.0014092036363636,0.0014581554545454,0.0015071072727272,0.001556059090909,0.0016050109090909,0.0016539627272727,0.0017029145454545,0.0017518663636363,0.0018008181818181,0.00184977,0.0018547919999999,0.001859814,0.001864836,0.001869858,0.00187488,0.0018799019999999,0.0018849239999999,0.0018899459999999,0.001894968,0.00189999,0.001905012,0.001910034,0.001915056,0.001920078,0.0019251,0.0019301219999999,0.001935144,0.001940166,0.001945188,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021,0.00195021
PD22,baseline,lebanon,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0002729999999999,0.0003276,0.0003821999999999,0.0003549,0.0003003,0.0003276,0.0003276,0.0003276,0.0003276,0.0003276,0.000340009090909,0.0003524181818181,0.0003648272727272,0.0003772363636363,0.0003896454545454,0.0004020545454545,0.0004144636363636,0.0004268727272727,0.0004392818181818,0.0004516909090909,0.0004641,0.000465465,0.00046683,0.000468195,0.00046956,0.000470925,0.00047229,0.0004736549999999,0.00047502,0.000476385,0.00047775,0.0004791149999999,0.00048048,0.000481845,0.00048321,0.000484575,0.0004859399999999,0.0004873049999999,0.00048867,0.000490035,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914,0.0004914
PD22,baseline,lebanon,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0102648,0.0135953999999999,0.0156702,0.0160797,0.0162434999999999,0.0171443999999999,0.0180725999999999,0.0173082,0.0172536,0.0166803,0.0172014818181818,0.0177226636363636,0.0182438454545454,0.0187650272727272,0.019286209090909,0.0198073909090909,0.0203285727272727,0.0208497545454545,0.0213709363636363,0.0218921181818181,0.0224133,0.022638525,0.02286375,0.023088975,0.0233142,0.023539425,0.02376465,0.023989875,0.0242151,0.024440325,0.02466555,0.024890775,0.025116,0.025341225,0.02556645,0.025791675,0.0260169,0.0262421249999999,0.02646735,0.026692575,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178,0.0269178
PD22,baseline,lebanon,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0001518545747084,-0.0001910558808381,-0.0002340374202032,-0.0002571758535837,-0.0002475918535837,-0.0002380078535837,-0.0002284238535837,-0.0002188398535837,-0.0002092558535837,-0.0001996718535837,-0.0001900878535837,-0.0001805038535837,-0.0001709198535837,-0.0001613358535837,-0.0001517518535837,-0.0001421678535837,-0.0001325838535837,-0.0001229998535837,-0.0001134158535837,-0.0001038318535837,-9.424785358376344e-05,-8.466385358376342e-05,-7.507985358376342e-05,-6.549585358376343e-05,-5.591185358376344e-05,-4.632785358376344e-05,-3.6745179579449565e-05,-2.801193926386955e-05,-2.0228765776253037e-05,-1.3508184945879089e-05,-7.975980185123362e-06,-3.772736895451399e-06,-1.0555623671134063e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,lebanon,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.17763651,0.23043447,0.23786703,0.24517962,0.2520625499999999,0.2374094699999999,0.2337071399999999,0.2395354499999999,0.2382129899999999,0.23922855,0.2338172181818181,0.2284058863636363,0.2229945545454545,0.2175832227272727,0.2121718909090909,0.2067605590909091,0.2013492272727272,0.1959378954545454,0.1905265636363636,0.1851152318181818,0.1797038999999999,0.1812275189999999,0.1827511379999999,0.1842747569999999,0.185798376,0.187321995,0.188845614,0.190369233,0.191892852,0.193416471,0.1949400899999999,0.196463709,0.197987328,0.199510947,0.201034566,0.202558185,0.2040818039999999,0.2056054229999999,0.2071290419999999,0.208652661,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628,0.21017628
PD22,baseline,lebanon,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0239939999999999,0.03075417,0.03300849,0.0299925,0.03023523,0.03126195,0.03260673,0.03294432,0.03341583,0.03443139,0.0334711227272727,0.0325108554545454,0.0315505881818181,0.0305903209090909,0.0296300536363636,0.0286697863636363,0.027709519090909,0.0267492518181818,0.0257889845454545,0.0248287172727272,0.02386845,0.024037524,0.024206598,0.024375672,0.024544746,0.02471382,0.024882894,0.025051968,0.025221042,0.025390116,0.02555919,0.0257282639999999,0.025897338,0.0260664119999999,0.026235486,0.02640456,0.026573634,0.026742708,0.026911782,0.027080856,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993,0.02724993
PD22,baseline,lebanon,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0127491,0.015834,0.0171171,0.0150969,0.0154791,0.0163527,0.0171716999999999,0.0171171,0.0176358,0.0182364,0.0177673363636363,0.0172982727272727,0.016829209090909,0.0163601454545454,0.0158910818181818,0.0154220181818181,0.0149529545454545,0.0144838909090909,0.0140148272727272,0.0135457636363636,0.0130767,0.0131640599999999,0.01325142,0.01333878,0.01342614,0.0135135,0.01360086,0.01368822,0.01377558,0.0138629399999999,0.0139503,0.01403766,0.01412502,0.01421238,0.01429974,0.0143871,0.01447446,0.01456182,0.01464918,0.01473654,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239,0.0148239
PD22,baseline,lebanon,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0342069,0.0429975,0.0466284,0.0407589,0.0417417,0.0443625,0.0469833,0.0467922,0.0483209999999999,0.0500954999999999,0.0485840727272727,0.0470726454545454,0.0455612181818181,0.0440497909090909,0.0425383636363636,0.0410269363636363,0.039515509090909,0.0380040818181818,0.0364926545454545,0.0349812272727272,0.0334698,0.0336881999999999,0.0339066,0.034125,0.0343433999999999,0.0345618,0.0347802,0.0349986,0.035217,0.0354354,0.0356538,0.0358722,0.0360906,0.036309,0.0365274,0.0367458,0.0369642,0.0371826,0.037401,0.0376194,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378,0.0378378
