model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,malta,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,8.090999999999998e-05,7.811999999999999e-05,7.811999999999999e-05,7.533000000000001e-05,7.254e-05,6.138e-05,6.416999999999999e-05,7.533000000000001e-05,0.0,0.0,7.101818181818181e-06,1.4203636363636361e-05,2.1305454545454546e-05,2.8407272727272722e-05,3.5509090909090905e-05,4.261090909090909e-05,4.971272727272727e-05,5.6814545454545445e-05,6.391636363636363e-05,7.101818181818181e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05,7.811999999999999e-05
PD22,baseline,malta,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,0.0,0.0,2.481818181818182e-06,4.963636363636364e-06,7.4454545454545466e-06,9.927272727272728e-06,1.2409090909090911e-05,1.4890909090909093e-05,1.7372727272727276e-05,1.9854545454545456e-05,2.233636363636364e-05,2.4818181818181823e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05
PD22,baseline,malta,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0011739,0.0011465999999999998,0.0010919999999999999,0.0010647,0.0010647,0.0009282,0.0009555,0.0010919999999999999,0.00013649999999999998,0.00013649999999999998,0.00023080909090909092,0.0003251181818181818,0.0004194272727272727,0.0005137363636363636,0.0006080454545454545,0.0007023545454545454,0.0007966636363636365,0.0008909727272727274,0.0009852818181818183,0.0010795909090909094,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739,0.0011739
PD22,baseline,malta,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.04160727,0.0405666,0.04149567,0.04086234,0.04027923,0.0402876,0.03942549,0.03834855,0.03814209,0.03771243,0.038850749999999996,0.039989069999999995,0.04112738999999999,0.04226571,0.043404029999999996,0.04454235,0.04568067,0.04681899,0.047957309999999996,0.04909563,0.05023395,0.050063481,0.049893011999999994,0.049722543,0.049552074,0.049381604999999995,0.049211135999999996,0.049040667,0.048870198,0.048699729,0.04852926,0.048358791,0.048188322,0.04801785299999999,0.047847384,0.047676915,0.047506445999999994,0.047335976999999994,0.047165508,0.046995038999999995,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996,0.046824569999999996
PD22,baseline,malta,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.03630906,0.02833803,0.02834361,0.02950146,0.02885139,0.02757078,0.02648547,0.024233940000000002,0.02259063,0.02218608,0.023993746363636364,0.025801412727272727,0.02760907909090909,0.02941674545454545,0.031224411818181818,0.03303207818181818,0.03483974454545454,0.036647410909090905,0.038455077272727275,0.04026274363636363,0.042070409999999996,0.041998706999999996,0.041927004,0.041855301,0.04178359799999999,0.041711895,0.041640192,0.04156848899999999,0.041496785999999994,0.041425082999999994,0.041353379999999995,0.041281676999999996,0.041209973999999996,0.041138271,0.04106656799999999,0.040994865,0.040923162,0.04085145899999999,0.04077975599999999,0.040708052999999994,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995,0.040636349999999995
PD22,baseline,malta,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0055419,0.004886699999999999,0.0049686,0.0049959,0.0049686,0.004914,0.0047775000000000005,0.004504500000000001,0.0036036,0.0035489999999999996,0.003822,0.004095,0.0043679999999999995,0.004641,0.004914,0.005187000000000001,0.00546,0.005733,0.006006,0.006279000000000001,0.0065520000000000005,0.006534255,0.00651651,0.006498765,0.00648102,0.006463275,0.0064455300000000005,0.006427785000000001,0.0064100400000000005,0.006392295000000001,0.0063745500000000005,0.006356805,0.0063390600000000005,0.006321315,0.0063035700000000005,0.006285825000000001,0.006268080000000001,0.006250335000000001,0.0062325900000000005,0.006214845000000001,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005,0.0061971000000000005
PD22,baseline,malta,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0098553,0.0085176,0.0086814,0.0086814,0.008735999999999999,0.0086268,0.0083811,0.0078897,0.0052962,0.0052143,0.005795045454545455,0.006375790909090909,0.006956536363636364,0.007537281818181818,0.008118027272727273,0.008698772727272727,0.009279518181818183,0.009860263636363636,0.010441009090909092,0.011021754545454544,0.011602500000000002,0.011573835000000001,0.01154517,0.011516505000000002,0.011487840000000001,0.011459175,0.011430510000000001,0.011401845,0.011373180000000002,0.011344515000000001,0.01131585,0.011287185,0.01125852,0.011229855,0.01120119,0.011172524999999999,0.01114386,0.011115195,0.011086529999999999,0.011057865,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292,0.0110292
PD22,baseline,malta,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0047501999999999996,0.0046956,0.0047775000000000005,0.004613699999999999,0.0045318,0.004641000000000001,0.0045591,0.0045591,0.0043407,0.0043134,0.004427563636363637,0.004541727272727273,0.0046558909090909095,0.004770054545454546,0.004884218181818182,0.004998381818181819,0.0051125454545454556,0.005226709090909091,0.005340872727272728,0.005455036363636365,0.005569200000000001,0.005552820000000001,0.005536440000000001,0.00552006,0.00550368,0.0054873000000000005,0.005470920000000001,0.005454540000000001,0.00543816,0.00542178,0.0054054,0.0053890200000000004,0.005372640000000001,0.00535626,0.00533988,0.0053235,0.00530712,0.00529074,0.00527436,0.00525798,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416,0.0052416
PD22,baseline,malta,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,0.0023205000000000005,0.0026208,0.011165699999999999,0.019273799999999997,0.021976500000000003,0.023232299999999997,0.0120666,0.0035489999999999996,0.007371,0.007671300000000001,0.007323845454545456,0.006976390909090909,0.006628936363636364,0.0062814818181818185,0.005934027272727274,0.005586572727272727,0.005239118181818182,0.004891663636363637,0.0045442090909090915,0.004196754545454545,0.0038493,0.0038506650000000005,0.00385203,0.0038533950000000003,0.00385476,0.003856125,0.00385749,0.0038588550000000004,0.00386022,0.0038615850000000003,0.0038629500000000004,0.003864315,0.0038656800000000002,0.0038670450000000004,0.0038684100000000005,0.003869775,0.0038711400000000003,0.003872505,0.00387387,0.0038752350000000003,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004,0.0038766000000000004
PD22,baseline,malta,Electric Power,Biofuels and Waste,Biogases,BIOGASES,Electricity output,CO2,ELAUTOC,Mt,0.0011469599999999998,0.001140588,0.0020415888,0.0013534128,0.0015700608000000001,0.00156114,0.0018427059360000002,0.0021473894879999998,0.001964003328,0.0013947033600000003,0.00127605672,0.0012463385779784223,0.0012168832989866841,0.0011876908830247884,0.001158761330092734,0.0011300946401905207,0.0011329281092968728,0.0011356434987991788,0.001138240808697439,0.0011407200389916552,0.001143081189681824,0.0011488755411671904,0.0011545071428548115,0.0011599759947446841,0.0011652820968368095,0.0011704254491311896,0.0011753475901974434,0.0011801077407053058,0.0011847059006547763,0.001189142070045856,0.0011934162488785429,0.0011990838278758387,0.0012045685385869175,0.00120987038101178,0.001214989355150425,0.0012199254610028546,0.001225971454781311,0.00123181662532616,0.0012374609726373983,0.0012429044967150287,0.0012481471975590488,0.0012511471079705758,0.0012553834070738454,0.0012594278604172021,0.0012632804680006505,0.0012669412298241815,0.0012704101458877995,0.0012736872161915084,0.0012767724407353007,0.00127966581951918,0.0012823673525431463,0.0012848770398071968,0.0012871948813113474,0.001289320877055572,0.001291255027039884,0.0012929973312642954,0.0012945477897287816,0.0012959064024333545,0.0012970731693780148,0.001298048090562774,0.0012988311659876085
