model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,panama,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.1818968050530552,-0.20203085474317709,-0.2238443285277739,-0.24741456314236418,-0.24852789859861965,-0.24924685196601887,-0.24957142324456189,-0.24950161243424873,-0.24903741953507927,-0.24817884454705375,-0.24692588747017194,-0.2452785483044339,-0.24335401313962185,-0.2411658791348305,-0.23872927568201732,-0.23606102582948846,-0.2331798219231312,-0.23010641600651063,-0.22686382533583702,-0.22347755311068254,-0.2199758241810229,-0.21638983504871664,-0.21275401691845608,-0.20910630985012763,-0.20548844520203327,-0.20194623251466037,-0.19852984575332935,-0.19529410239717368,-0.19229872723373692,-0.18960859091002927,-0.18729391133949844,-0.18543040403396369,-0.18409936541715416,-0.1833876713181387,-0.18338767131813868,-0.1833876713181386,-0.18338767131813866,-0.1833876713181387,-0.18338767131813863,-0.18338767131813863,-0.18338767131813874,-0.18338767131813863,-0.18338767131813866,-0.18338767131813874,-0.18338767131813863,-0.18338767131813866,-0.18338767131813874,-0.18338767131813863,-0.18338767131813866,-0.18338767131813874,-0.18338767131813866,-0.18338767131813868,-0.18338767131813877,-0.18338767131813868,-0.18338767131813868,-0.18338767131813877,-0.18338767131813868,-0.18338767131813868,-0.1833876713181388,-0.1833876713181388,-0.18338767131813882
PD22,baseline,panama,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.191501081400536e-07,-3.0851177120205174e-07,-2.9787343426405e-07,-2.872350973260481e-07,-2.765967603880464e-07,-2.659584234500446e-07,-2.5532008651204283e-07,-2.4468174957404104e-07,-2.3404341263603925e-07,-2.2340507569803748e-07,-2.127667387600357e-07,-2.0212840182203393e-07,-1.9149006488403214e-07,-1.8085172794603032e-07,-1.7021339100802855e-07,-1.595750540700268e-07,-1.48936717132025e-07,-1.3829838019402323e-07,-1.2766004325602142e-07,-1.1702170631801965e-07,-1.0638336938001785e-07,-9.574503244201608e-08,-8.510669550401428e-08,-7.446835856601251e-08,-6.383002162801073e-08,-5.319168469000896e-08,-4.255334775200714e-08,-3.191501081400537e-08,-2.12766738760036e-08,-1.0638336938001824e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.00954459,0.00998541,0.009745470000000001,0.009929609999999998,0.009248850000000001,0.010663379999999998,0.01008306,0.009762209999999999,0.00993519,0.00937719,0.009488536363636365,0.009599882727272729,0.009711229090909091,0.009822575454545455,0.00993392181818182,0.010045268181818182,0.010156614545454546,0.01026796090909091,0.010379307272727272,0.010490653636363636,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602,0.010602
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0024297,0.0025388999999999998,0.0024843,0.0025116,0.0023478,0.0027027000000000006,0.0025662,0.0024843,0.0025116,0.0023750999999999998,0.002404881818181818,0.0024346636363636364,0.0024644454545454547,0.002494227272727273,0.0025240090909090913,0.002553790909090909,0.0025835727272727274,0.0026133545454545457,0.002643136363636364,0.0026729181818181823,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006,0.0027027000000000006
PD22,baseline,panama,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0263445,0.0281736,0.0256893,0.028391999999999997,0.025907700000000002,0.0273273,0.0295113,0.028883400000000004,0.0302211,0.0277641,0.02839696363636364,0.029029827272727272,0.02966269090909091,0.03029555454545455,0.030928418181818185,0.03156128181818182,0.03219414545454546,0.03282700909090909,0.03345987272727272,0.03409273636363637,0.0347256,0.035109165000000005,0.03549273,0.035876295,0.03625986,0.036643425,0.03702699,0.037410555,0.03779412,0.038177685,0.03856125,0.038944815,0.03932838,0.039711945,0.04009551,0.040479075,0.040862640000000006,0.04124620500000001,0.041629769999999996,0.042013335,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969,0.0423969
PD22,baseline,panama,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9062678801911558e-07,-1.8427256175181175e-07,-1.779183354845079e-07,-1.7156410921720404e-07,-1.6520988294990018e-07,-1.5885565668259632e-07,-1.525014304152925e-07,-1.461472041479886e-07,-1.3979297788068475e-07,-1.3343875161338093e-07,-1.2708452534607704e-07,-1.207302990787732e-07,-1.1437607281146936e-07,-1.0802184654416551e-07,-1.0166762027686167e-07,-9.531339400955779e-08,-8.895916774225395e-08,-8.26049414749501e-08,-7.625071520764625e-08,-6.989648894034238e-08,-6.354226267303852e-08,-5.718803640573468e-08,-5.0833810138430836e-08,-4.447958387112698e-08,-3.8125357603823137e-08,-3.177113133651926e-08,-2.5416905069215418e-08,-1.9062678801911568e-08,-1.2708452534607719e-08,-6.354226267303849e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,2.71734003,2.85140232,2.84459472,2.83937184,2.6908071299999996,2.54054052,2.55969387,2.50835229,2.5623555299999996,2.46269394,2.5037059254545455,2.5447179109090907,2.5857298963636364,2.6267418818181816,2.6677538672727272,2.7087658527272724,2.749777838181818,2.7907898236363637,2.831801809090909,2.872813794545454,2.91382578,2.9438327879999995,2.973839796,3.0038468039999997,3.033853812,3.0638608199999995,3.0938678279999996,3.1238748359999997,3.153881844,3.1838888519999995,3.21389586,3.2439028679999997,3.273909876,3.3039168839999995,3.3339238919999996,3.3639308999999997,3.393937908,3.4239449159999995,3.453951924,3.4839589319999997,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594,3.51396594
PD22,baseline,panama,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.058737989651242e-08,-3.923446723329533e-08,-3.788155457007825e-08,-3.6528641906861184e-08,-3.51757292436441e-08,-3.382281658042701e-08,-3.2469903917209936e-08,-3.1116991253992855e-08,-2.9764078590775774e-08,-2.8411165927558694e-08,-2.705825326434161e-08,-2.5705340601124532e-08,-2.435242793790745e-08,-2.299951527469037e-08,-2.164660261147329e-08,-2.029368994825621e-08,-1.8940777285039126e-08,-1.758786462182205e-08,-1.6234951958604968e-08,-1.4882039295387887e-08,-1.3529126632170805e-08,-1.2176213968953724e-08,-1.0823301305736645e-08,-9.470388642519563e-09,-8.117475979302484e-09,-6.7645633160854025e-09,-5.411650652868325e-09,-4.0587379896512444e-09,-2.7058253264341597e-09,-1.3529126632170798e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.9390861304371063e-08,-2.8411165927558694e-08,-2.743147055074632e-08,-2.645177517393396e-08,-2.5472079797121587e-08,-2.4492384420309215e-08,-2.3512689043496846e-08,-2.2532993666684477e-08,-2.1553298289872115e-08,-2.0573602913059746e-08,-1.9593907536247374e-08,-1.861421215943501e-08,-1.7634516782622633e-08,-1.665482140581027e-08,-1.5675126028997902e-08,-1.4695430652185531e-08,-1.371573527537316e-08,-1.2736039898560794e-08,-1.1756344521748425e-08,-1.0776649144936059e-08,-9.796953768123689e-09,-8.817258391311316e-09,-7.837563014498951e-09,-6.85786763768658e-09,-5.878172260874212e-09,-4.898476884061844e-09,-3.918781507249476e-09,-2.9390861304371082e-09,-1.9593907536247365e-09,-9.796953768123682e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.07131519,0.07577360999999999,0.07657992000000001,0.07693146,0.07613352,0.07454601,0.07536906,0.07554762,0.07582104,0.074493,0.07532163,0.07615026,0.07697889,0.07780752,0.07863615,0.07946478,0.08029341,0.08112204,0.08195067,0.0827793,0.08360793,0.0844902675,0.085372605,0.0862549425,0.08713728,0.0880196175,0.08890195499999999,0.08978429249999999,0.09066663,0.0915489675,0.092431305,0.09331364249999999,0.09419598,0.0950783175,0.095960655,0.0968429925,0.09772533,0.0986076675,0.09949000499999999,0.10037234249999999,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468,0.10125468
