model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,srilanka,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0713906708068675,-0.0799888569792776,-0.089487285328223,-0.099974177910838,-0.1029978983655064,-0.1057781287288543,-0.1083148690008819,-0.110608119181589,-0.1126578792709757,-0.114464149269042,-0.1160269291757879,-0.1173462189912133,-0.118465071628431,-0.1193885727570544,-0.1201224038417299,-0.1206729106982871,-0.121047179626773,-0.1212531218801296,-0.1212995672829812,-0.1211963678691682,-0.1209545124572765,-0.1205862531278382,-0.1201052446006832,-0.1195266975318064,-0.1188675467506206,-0.1181466354338611,-0.1173849161534059,-0.116605669631847,-0.1158347418797589,-0.1151008001580564,-0.1144356078910863,-0.1138743182322545,-0.113455785432921,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639975,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639975,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639976,-0.1132228924639975,-0.1132228924639974,-0.1132228924639974,-0.1132228924639974,-0.1132228924639974,-0.1132228924639973,-0.1132228924639973,-0.1132228924639972,-0.1132228924639972,-0.1132228924639971,-0.1132228924639971,-0.1132228924639971,-0.1132228924639971,-0.113222892463997
PD22,baseline,srilanka,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0688768840654052e-06,-1.0332476545965583e-06,-9.976184251277116e-07,-9.619891956588647e-07,-9.263599661900178e-07,-8.907307367211712e-07,-8.551015072523242e-07,-8.194722777834774e-07,-7.838430483146306e-07,-7.482138188457837e-07,-7.125845893769368e-07,-6.7695535990809e-07,-6.413261304392433e-07,-6.056969009703964e-07,-5.700676715015495e-07,-5.344384420327026e-07,-4.988092125638558e-07,-4.631799830950089e-07,-4.275507536261621e-07,-3.919215241573153e-07,-3.562922946884684e-07,-3.206630652196216e-07,-2.850338357507748e-07,-2.4940460628192785e-07,-2.1377537681308115e-07,-1.7814614734423429e-07,-1.425169178753874e-07,-1.0688768840654057e-07,-7.12584589376937e-08,-3.5629229468846856e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,srilanka,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0490007699999999,0.04960899,0.04926303,0.05533965,0.04258098,0.05715873,0.0535345199999999,0.03763431,0.04923792,0.04508919,0.0442443272727272,0.0433994645454545,0.0425546018181818,0.041709739090909,0.0408648763636363,0.0400200136363636,0.0391751509090909,0.0383302881818181,0.0374854254545454,0.0366405627272727,0.0357956999999999,0.0358018379999999,0.0358079759999999,0.0358141139999999,0.035820252,0.0358263899999999,0.035832528,0.035838666,0.035844804,0.035850942,0.03585708,0.0358632179999999,0.035869356,0.035875494,0.035881632,0.03588777,0.035893908,0.035900046,0.035906184,0.035912322,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846,0.03591846
PD22,baseline,srilanka,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0124215,0.0125853,0.0125034,0.0140322,0.0108108,0.0144963,0.0135681,0.009555,0.0125034,0.0114387,0.0112252636363636,0.0110118272727272,0.0107983909090909,0.0105849545454545,0.0103715181818181,0.0101580818181818,0.0099446454545454,0.009731209090909,0.0095177727272727,0.0093043363636363,0.0090909,0.009092265,0.00909363,0.009094995,0.00909636,0.009097725,0.00909909,0.009100455,0.00910182,0.009103185,0.00910455,0.009105915,0.00910728,0.009108645,0.00911001,0.009111375,0.00911274,0.0091141049999999,0.0091154699999999,0.009116835,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182,0.0091182
PD22,baseline,srilanka,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.2915913,0.2765217,0.2747471999999999,0.3199559999999999,0.2393391,0.3334422,0.3082989,0.1877421,0.2782416,0.2957409,0.2932342636363636,0.2907276272727272,0.2882209909090908,0.2857143545454545,0.2832077181818181,0.2807010818181817,0.2781944454545454,0.275687809090909,0.2731811727272727,0.2706745363636363,0.2681679,0.26801775,0.2678676,0.26771745,0.2675673,0.26741715,0.267267,0.26711685,0.2669667,0.26681655,0.2666663999999999,0.26651625,0.2663661,0.26621595,0.2660658,0.26591565,0.2657655,0.26561535,0.2654652,0.26531505,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649,0.2651649
PD22,baseline,srilanka,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.076713366900919e-07,-6.840822921337556e-07,-6.604932475774192e-07,-6.369042030210827e-07,-6.133151584647464e-07,-5.8972611390841e-07,-5.661370693520737e-07,-5.425480247957371e-07,-5.189589802394006e-07,-4.953699356830644e-07,-4.717808911267281e-07,-4.481918465703916e-07,-4.246028020140552e-07,-4.010137574577188e-07,-3.774247129013824e-07,-3.53835668345046e-07,-3.302466237887096e-07,-3.0665757923237325e-07,-2.830685346760369e-07,-2.594794901197003e-07,-2.358904455633641e-07,-2.123014010070276e-07,-1.887123564506912e-07,-1.651233118943548e-07,-1.4153426733801844e-07,-1.1794522278168205e-07,-9.43561782253456e-08,-7.076713366900927e-08,-4.717808911267285e-08,-2.3589044556336426e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,srilanka,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.8010956600000003,1.79350965,1.86733305,1.7799921,1.62583344,1.62272817,1.40862078,1.49015295,1.6443646200000002,1.60441461,1.650970579090909,1.697526548181818,1.7440825172727272,1.7906384863636362,1.8371944554545447,1.8837504245454544,1.930306393636364,1.9768623627272728,2.0234183318181818,2.069974300909091,2.11653027,2.1371526945,2.157775119,2.1783975435,2.199019968,2.2196423925,2.2402648170000004,2.2608872415,2.2815096660000003,2.3021320905,2.322754515,2.3433769395,2.363999364,2.3846217885,2.405244213,2.4258666375,2.446489062,2.4671114865,2.487733911,2.5083563355,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876,2.52897876
PD22,baseline,srilanka,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.012165222907493e-07,-4.845093048810577e-07,-4.67802087471366e-07,-4.5109487006167446e-07,-4.343876526519827e-07,-4.176804352422911e-07,-4.009732178325994e-07,-3.842660004229078e-07,-3.675587830132161e-07,-3.508515656035246e-07,-3.3414434819383285e-07,-3.174371307841412e-07,-3.007299133744496e-07,-2.84022695964758e-07,-2.673154785550663e-07,-2.5060826114537466e-07,-2.33901043735683e-07,-2.1719382632599139e-07,-2.004866089162997e-07,-1.8377939150660809e-07,-1.6707217409691645e-07,-1.503649566872248e-07,-1.336577392775332e-07,-1.1695052186784149e-07,-1.0024330445814985e-07,-8.353608704845822e-08,-6.68288696387666e-08,-5.012165222907498e-08,-3.341443481938334e-08,-1.670721740969163e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,srilanka,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.6294989545192193e-07,-3.5085156560352454e-07,-3.387532357551271e-07,-3.266549059067297e-07,-3.145565760583323e-07,-3.0245824620993485e-07,-2.903599163615375e-07,-2.782615865131401e-07,-2.661632566647427e-07,-2.540649268163454e-07,-2.41966596967948e-07,-2.2986826711955054e-07,-2.1776993727115317e-07,-2.0567160742275573e-07,-1.935732775743584e-07,-1.8147494772596096e-07,-1.6937661787756354e-07,-1.572782880291662e-07,-1.4517995818076878e-07,-1.3308162833237136e-07,-1.20983298483974e-07,-1.088849686355766e-07,-9.67866387871792e-08,-8.468830893878177e-08,-7.258997909038439e-08,-6.0491649241987e-08,-4.83933193935896e-08,-3.6294989545192215e-08,-2.419665969679483e-08,-1.2098329848397387e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,srilanka,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.17485488,0.17375283,0.18173502,0.17580069,0.16644024,0.16071795,0.14722272,0.15648552,0.1698831,0.16522659,0.1694605418181818,0.1736944936363636,0.1779284454545454,0.1821623972727273,0.186396349090909,0.1906303009090909,0.1948642527272727,0.1990982045454545,0.2033321563636363,0.2075661081818181,0.2118000599999999,0.2142569339999999,0.2167138079999999,0.219170682,0.221627556,0.2240844299999999,0.226541304,0.228998178,0.231455052,0.2339119259999999,0.2363688,0.238825674,0.241282548,0.2437394219999999,0.246196296,0.24865317,0.251110044,0.253566918,0.256023792,0.258480666,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754,0.26093754
PD22,baseline,srilanka,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0217854,0.0217581,0.0222222,0.0224679,0.0216489,0.0206115,0.0215397,0.0224679,0.0231231,0.0223587,0.0232670454545454,0.0241753909090909,0.0250837363636363,0.0259920818181818,0.0269004272727272,0.0278087727272727,0.0287171181818181,0.0296254636363636,0.030533809090909,0.0314421545454545,0.0323505,0.032922435,0.03349437,0.034066305,0.03463824,0.035210175,0.03578211,0.036354045,0.03692598,0.037497915,0.03806985,0.038641785,0.03921372,0.039785655,0.04035759,0.040929525,0.04150146,0.042073395,0.04264533,0.043217265,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892,0.0437892
PD22,baseline,srilanka,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0769314,0.0768768,0.07917,0.0801528,0.0756756,0.0740376,0.0744198,0.0774228,0.0809718,0.0785694,0.0814036363636363,0.0842378727272727,0.0870721090909091,0.0899063454545454,0.0927405818181818,0.0955748181818181,0.0984090545454545,0.1012432909090909,0.1040775272727272,0.1069117636363636,0.109746,0.11161605,0.1134861,0.11535615,0.1172262,0.11909625,0.1209663,0.12283635,0.1247064,0.12657645,0.1284465,0.13031655,0.1321866,0.13405665,0.1359267,0.13779675,0.1396668,0.14153685,0.1434069,0.14527695,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147,0.147147
PD22,baseline,srilanka,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.2609334,0.260715,0.2713893,0.2667755999999999,0.2472834,0.2472015,0.2303574,0.2415777,0.2605512,0.254436,0.2630553545454546,0.2716747090909091,0.2802940636363636,0.2889134181818182,0.2975327727272727,0.3061521272727273,0.3147714818181818,0.3233908363636364,0.3320101909090909,0.3406295454545455,0.3492489,0.354096015,0.35894313,0.363790245,0.36863736,0.373484475,0.37833159,0.383178705,0.38802582,0.392872935,0.39772005,0.402567165,0.40741428,0.412261395,0.41710851,0.421955625,0.42680274,0.431649855,0.43649697,0.441344085,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912,0.4461912
PD22,baseline,srilanka,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,Mt,-0.0075750450159832,-0.0079703997462968,-0.0083657544766105,-0.0087611092069241,-0.0091564639372378,-0.0095518186675514,-0.0099471733978651,-0.0103425281281787,-0.0107378828584924,-0.011133237588806,-0.0115285923191197,-0.0119239470494333,-0.012319301779747,-0.0127146565100606,-0.0131100112403743,-0.0135053659706879,-0.0139007207010016,-0.0142960754313152,-0.0146914301616289,-0.0150867848919425,-0.0154821396222562,-0.0158774943525699,-0.0162728490828835,-0.0166682038131972,-0.0170635585435108,-0.0174589132738245,-0.0178542680041381,-0.0182496227344518,-0.0186449774647654,-0.0190403321950791,-0.0194356869253927,-0.0198310416557064,-0.02022639638602,-0.0206217511163337,-0.0210171058466473,-0.021412460576961,-0.0218078153072746,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695,-0.0219920786036695
PD22,baseline,srilanka,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2,AFOLU,Mt,-0.0243598583281194,-0.0273148644986123,-0.030584841067618,-0.0342019827187867,-0.0382010839656525,-0.0426195761374207,-0.0474975139427221,-0.0528774966131339,-0.0588045061403307,-0.0653256426085038,-0.0636474812033665,-0.0619286379644155,-0.0601837203818849,-0.0584144565281681,-0.0566227775623207,-0.0548108412596168,-0.052981058182454,-0.051136120767725,-0.0492790356289517,-0.0474131593951102,-0.0455422384317135,-0.0436704528127023,-0.0418024649331673,-0.0399434731717765,-0.0380992710265478,-0.0362763121564696,-0.034481781762107,-0.0327236747278978,-0.0310108809238037,-0.0293532780201011,-0.0277618321012579,-0.02624870626702,-0.0248273772740178,-0.0235127600913699,-0.0223213400099541,-0.0212713116474618,-0.0203827238198143,-0.0196776287937513,-0.0191802338859565,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921,-0.0189170527233921
PD22,baseline,srilanka,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CH4,AFOLU,Mt,3.15602568,3.24737028,3.1746573,3.53592882,2.62218429,3.700655999999999,3.39700077,2.35633077,3.0982671,2.85016077,2.788380531818182,2.726600293636364,2.6648200554545456,2.603039817272727,2.541259579090909,2.479479340909091,2.4176991027272727,2.3559188645454547,2.2941386263636367,2.2323583881818183,2.17057815,2.1647139885,2.158849827,2.1529856655,2.147121504,2.1412573425000003,2.135393181,2.1295290195,2.123664858,2.1178006965,2.111936535,2.1060723735,2.100208212,2.0943440505,2.088479889,2.0826157275,2.076751566,2.0708874045,2.065023243,2.0591590815,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492,2.05329492
PD22,baseline,srilanka,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,0.9441432,1.1901708000000002,0.9337692,0.72618,1.2951393,1.2813800999999998,0.6694779000000001,0.6237231000000001,0.3912363,0.5614791000000001,0.6757395272727272,0.7899999545454546,0.904260381818182,1.018520809090909,1.1327812363636365,1.2470416636363637,1.361302090909091,1.475562518181818,1.5898229454545456,1.7040833727272726,1.8183438,1.820389935,1.82243607,1.824482205,1.82652834,1.828574475,1.83062061,1.832666745,1.83471288,1.836759015,1.83880515,1.840851285,1.84289742,1.844943555,1.84698969,1.849035825,1.85108196,1.853128095,1.85517423,1.8572203650000003,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665,1.8592665
