model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,thailand,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.9819234317163794,-1.1020173590054274,-1.2351725839996133,-1.3827867566197638,-1.3249866077779109,-1.2671435874874037,-1.2092576957482426,-1.1513289325604266,-1.0933572979239565,-1.0353427918388316,-0.9772854143050528,-0.9191851653226195,-0.8616270733396628,-0.8046804471792913,-0.7484227864887999,-0.6929407217792214,-0.6383310781003968,-0.5847020595834137,-0.5321745678173888,-0.48088366822270456,-0.43098021983590284,-0.3826326852197829,-0.33602913853670713,-0.2913794911473952,-0.24891795538529413,-0.20890576835988423,-0.1716341986982892,-0.13742785996211973,-0.10664835497284958,-0.07969827531488549,-0.05702557970054364,-0.039128373478518316,-0.02656010910859006,-0.019935223624288543,-0.019935223624288578,-0.01993522362428861,-0.019935223624288633,-0.019935223624288664,-0.01993522362428869,-0.01993522362428872,-0.01993522362428834,-0.01993522362428838,-0.019935223624288425,-0.019935223624288456,-0.01993522362428849,-0.019935223624288522,-0.019935223624288557,-0.01993522362428859,-0.019935223624288623,-0.01993522362428865,-0.019935223624288678,-0.019935223624288703,-0.019935223624288324,-0.01993522362428837,-0.01993522362428841,-0.019935223624288442,-0.019935223624288477,-0.01993522362428851,-0.019935223624288543,-0.019935223624288578,-0.019935223624288602
PD22,baseline,thailand,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0213540633216764e-05,-1.9539755945442877e-05,-1.8865971257668984e-05,-1.819218656989509e-05,-1.75184018821212e-05,-1.6844617194347306e-05,-1.617083250657341e-05,-1.549704781879952e-05,-1.4823263131025629e-05,-1.4149478443251735e-05,-1.3475693755477845e-05,-1.280190906770395e-05,-1.212812437993006e-05,-1.1454339692156166e-05,-1.0780555004382276e-05,-1.0106770316608382e-05,-9.432985628834492e-06,-8.7592009410606e-06,-8.085416253286706e-06,-7.411631565512815e-06,-6.737846877738923e-06,-6.06406218996503e-06,-5.390277502191138e-06,-4.716492814417246e-06,-4.042708126643353e-06,-3.3689234388694617e-06,-2.69513875109557e-06,-2.0213540633216757e-06,-1.347569375547784e-06,-6.73784687773892e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,thailand,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.63144675,0.6435972,0.64442304,0.6358019399999999,0.59340231,0.55651014,0.5835564,0.5918733899999999,0.6119530200000001,0.56459277,0.5628099599999999,0.5610271499999999,0.5592443399999999,0.55746153,0.55567872,0.5538959099999999,0.5521130999999999,0.5503302899999999,0.54854748,0.54676467,0.5449818599999999,0.5409776519999999,0.536973444,0.5329692359999999,0.5289650279999999,0.52496082,0.520956612,0.516952404,0.512948196,0.508943988,0.5049397800000001,0.5009355719999999,0.496931364,0.49292715600000003,0.48892294799999997,0.48491873999999996,0.480914532,0.476910324,0.472906116,0.46890190800000003,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997,0.46489769999999997
PD22,baseline,thailand,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.1601964,0.1632813,0.16347240000000002,0.16128840000000003,0.15053219999999998,0.14116830000000002,0.1480479,0.15015,0.1552551,0.14321579999999998,0.14276410909090906,0.1423124181818182,0.14186072727272728,0.14140903636363636,0.14095734545454544,0.14050565454545455,0.14005396363636363,0.1396022727272727,0.1391505818181818,0.1386988909090909,0.1382472,0.13723164,0.13621607999999996,0.13520052,0.13418496,0.1331694,0.13215384,0.13113828,0.13012272,0.12910715999999997,0.1280916,0.12707604,0.12606048,0.12504491999999998,0.12402935999999999,0.1230138,0.12199824,0.12098267999999998,0.11996712,0.11895156,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936,0.117936
PD22,baseline,thailand,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,2.8982772000000003,2.999997,2.9954106000000005,2.9089242,2.6359788,2.3372075999999997,2.581761,2.6498745,2.6301912,2.3416848000000003,2.362723172727273,2.3837615454545458,2.4047999181818187,2.425838290909091,2.4468766636363637,2.4679150363636366,2.4889534090909096,2.509991781818182,2.5310301545454545,2.5520685272727275,2.5731069000000004,2.5525404450000004,2.53197399,2.5114075350000005,2.49084108,2.4702746250000005,2.44970817,2.429141715,2.40857526,2.388008805,2.36744235,2.346875895,2.32630944,2.3057429849999997,2.28517653,2.264610075,2.2440436200000002,2.223477165,2.20291071,2.182344255,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778,2.1617778
PD22,baseline,thailand,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.0510542228702165e-06,-6.8160190821078764e-06,-6.5809839413455355e-06,-6.3459488005831946e-06,-6.1109136598208545e-06,-5.8758785190585135e-06,-5.640843378296173e-06,-5.4058082375338325e-06,-5.1707730967714915e-06,-4.935737956009152e-06,-4.700702815246811e-06,-4.46566767448447e-06,-4.23063253372213e-06,-3.995597392959789e-06,-3.7605622521974492e-06,-3.5255271114351083e-06,-3.2904919706727677e-06,-3.0554568299104272e-06,-2.8204216891480867e-06,-2.5853865483857458e-06,-2.3503514076234057e-06,-2.115316266861065e-06,-1.8802811260987246e-06,-1.6452459853363839e-06,-1.4102108445740434e-06,-1.1751757038117028e-06,-9.401405630493623e-07,-7.051054222870217e-07,-4.7007028152468115e-07,-2.3503514076234058e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,thailand,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,11.38376637,10.53979974,9.86605101,9.14625054,8.40721581,8.16127173,8.06040207,8.0391618,7.94295981,7.832952899999999,8.187967971818182,8.542983043636362,8.897998115454545,9.253013187272726,9.608028259090908,9.963043330909091,10.31805840272727,10.673073474545454,11.028088546363636,11.383103618181817,11.73811869,11.8205867655,11.903054841000001,11.985522916499999,12.067990992,12.1504590675,12.232927143,12.3153952185,12.397863293999999,12.4803313695,12.562799445,12.645267520500001,12.727735595999999,12.8102036715,12.892671747,12.975139822500001,13.057607898,13.140075973500002,13.222544049,13.305012124500001,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802,13.3874802
PD22,baseline,thailand,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-1.5460217247377848,-1.661746303281951,-1.7775405124361814,-1.892264981547868,-2.0046915683166366,-2.113527842313821,-2.2174457650592854,-2.315113298713049,-2.4052273885466087,-2.442500265810729,-2.4745302561311906,-2.5013173595079974,-2.5241919854107358,-2.5432943271683235,-2.5587771283384173,-2.57080629279141,-2.5795613998000335,-2.585236088506776,-2.5880382709946415,-2.588190128434163,-2.585927840879955,-2.5815009988165696,-2.5751716441823347,-2.5672128910816774,-2.5579070825017935,-2.547543449787087,-2.536415256930612,-2.5248164321452435,-2.5130377144563885,-2.4483913966127737,-2.2815696989881054,-2.1206196914609987,-1.9657737915567683,-1.8172377905498458,-1.6751863604020574,-1.5397590573972753,-1.4110570086812149,-1.2891404443551084,-1.1740272009288992,-1.0656922743052426,-0.9626002346252427,-0.8647510818888993,-0.7721448160962124,-0.6847814372471824,-0.6026609453418089,-0.525783340380092,-0.45414862236203174,-0.387756791287628,-0.326607847156881,-0.2707017899697906,-0.22003861972635674,-0.17461833642657956,-0.13444094007045898,-0.09950643065799497,-0.06981480818918759,-0.04536607266403684,-0.026160224082542708,-0.012197262444705195,-0.0034771877505242878,-0.0,-0.0
PD22,baseline,thailand,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-1.119532973085982,-1.2033335299627923,-1.287184509005511,-1.3702608487070769,-1.4516732046430818,-1.5304856789169048,-1.6057365884912065,-1.676461354240484,-1.7417163848096133,-1.7687070890353553,-1.7919012199570692,-1.8112987775747569,-1.8278631618491537,-1.8416958920874067,-1.8529075756933366,-1.8616183499524002,-1.8679582550276108,-1.8720675123669759,-1.8740966789961195,-1.8742066447281869,-1.8725684364992774,-1.8693627922464815,-1.8647794664768629,-1.8590162314729386,-1.852277542501299,-1.8447728429492698,-1.8367144963980298,-1.8283153474155212,-1.8197859311580746,-1.7729730803058015,-1.6521711613362144,-1.5356211558855508,-1.4234913662997286,-1.3159308138464403,-1.213065985118731,-1.1149979381152682,-1.021799902838121,-0.9335154941881821,-0.8501576282588581,-0.7717081986348309,-0.6970553423148309,-0.6261990592988581,-0.5591393495869125,-0.4958762131789942,-0.436409650075103,-0.3807396602752391,-0.3288662437794023,-0.2807894005875927,-0.2365091306998104,-0.19602543411605525,-0.15933831083632735,-0.1264477608606266,-0.09735378418895305,-0.0720563808213067,-0.05055555075768756,-0.032851293998095644,-0.01894361054253093,-0.008832500390993417,-0.002517963543483105,-0.0,-0.0
PD22,baseline,thailand,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,1.90115901,1.90704312,1.9578211199999997,1.9112504400000003,1.8853062299999999,1.8820419299999998,1.9228791600000001,1.91284911,1.9155051899999997,1.9180078200000001,1.9449369,1.9718659800000002,1.9987950600000002,2.02572414,2.0526532200000003,2.0795823,2.10651138,2.13344046,2.16036954,2.18729862,2.2142277,2.225735613,2.237243526,2.248751439,2.260259352,2.2717672650000003,2.2832751780000002,2.2947830909999998,2.3062910039999998,2.3177989169999997,2.3293068299999997,2.3408147429999997,2.3523226559999997,2.3638305689999997,2.3753384819999996,2.3868463949999996,2.398354308,2.409862221,2.421370134,2.4328780469999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995,2.4443859599999995
