model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,australi,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7893444728668442,-1.578688945734207,-2.368033418602117,-3.1573778914706168,-3.9467223643397276,-4.736066837209499,-5.525411310079946,-6.3147557829511385,-7.104100255823077,-7.893444728695776,-8.68278920156935,-9.472133674443768,-10.261478147319096,-11.050822620195376,-11.840167093072608,-12.62951156595085,-13.418856038830143,-14.208200511710515,-14.997544984591997,-15.78688945747463,-16.576233930358427,-17.365578403243475,-18.15492287612976,-18.944267349017338,-19.733611821906266,-20.522956294795165,-21.312300767684064,-22.101645240572992,-22.89098971346189,-23.680334186350777
PD22,baseline,australi,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,australi,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0108353,0.008619199999999999,0.009843,0.0099362,0.0094304,0.0109265,0.0128575,0.0124085,0.0135671,0.0144551,0.0142677,0.014283200000000001,0.0136369,0.013052300000000001,0.015186,0.0155044,0.014469300000000001,0.013619999999999998,0.014439500000000001,0.0154844,0.0158624,0.0154031,0.0159499,0.014976699999999999,0.014536,0.0142995,0.013153,0.0142673,0.0128034,0.0121651,0.012653390909090909,0.013141681818181818,0.013629972727272727,0.014118263636363636,0.014606554545454545,0.015094845454545456,0.015583136363636365,0.016071427272727274,0.016559718181818183,0.017048009090909092,0.0175363,0.017550675,0.017565050000000002,0.017579425,0.0175938,0.017608175,0.01762255,0.017636925,0.017651299999999998,0.017665675,0.01768005,0.017694425,0.0177088,0.017723174999999997,0.017737549999999998,0.017751924999999998,0.0177663,0.017780675,0.017795049999999996,0.017809424999999997,0.017823799999999997
PD22,baseline,australi,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0002809,0.0002235,0.00025519999999999997,0.0002576,0.0002445,0.0002833,0.00033329999999999997,0.00032169999999999996,0.00035170000000000004,0.0003748,0.0003699,0.0003703,0.0003535,0.0003384,0.0003937,0.000402,0.0003751,0.0003531,0.0003744,0.0004014,0.0004112,0.0003993,0.00041349999999999997,0.00038829999999999995,0.0003769,0.00037069999999999996,0.00034100000000000005,0.0003699,0.0003319,0.0003154,0.00032805454545454545,0.00034070909090909093,0.00035336363636363636,0.00036601818181818184,0.00037867272727272727,0.00039132727272727275,0.0004039818181818182,0.00041663636363636366,0.0004292909090909091,0.00044194545454545456,0.0004546,0.000454975,0.00045535,0.000455725,0.0004561,0.000456475,0.00045685,0.000457225,0.0004576,0.000457975,0.00045835,0.000458725,0.0004591,0.000459475,0.00045985,0.000460225,0.00046060000000000003,0.000460975,0.00046135,0.000461725,0.0004621
PD22,baseline,australi,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.006078999999999999,0.0049962999999999995,0.0064776,0.0069150999999999995,0.0043149,0.0070262,0.0089992,0.007925399999999999,0.008452,0.0088624,0.0086883,0.0087563,0.0095893,0.0051243999999999994,0.010613099999999999,0.00898,0.0101406,0.0053273,0.0072439,0.0089928,0.0088262,0.0101659,0.0109346,0.009133200000000001,0.0097911,0.0095339,0.009010500000000001,0.0123736,0.0087089,0.007742,0.008199327272727272,0.008656654545454546,0.009113981818181818,0.009571309090909091,0.010028636363636365,0.010485963636363636,0.01094329090909091,0.011400618181818182,0.011857945454545455,0.012315272727272727,0.0127726,0.01282881,0.01288502,0.01294123,0.01299744,0.01305365,0.013109860000000001,0.01316607,0.013222280000000001,0.01327849,0.013334700000000001,0.01339091,0.01344712,0.013503330000000001,0.01355954,0.013615750000000001,0.01367196,0.013728170000000001,0.01378438,0.01384059,0.0138968
PD22,baseline,australi,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,australi,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,2.8194132,2.792974,2.6881628,2.6179775,2.6777841,2.5820160999999997,2.6250958,2.6451015,2.629605,2.598772,2.6860975,2.6345419999999997,2.607358,2.4759754,2.5413301,2.5589849,2.513479,2.4429603,2.3257896000000002,2.3316977999999997,2.2208519,2.3684404,2.3796363,2.4382014,2.4026685000000003,2.2890499,2.1116794,2.2192035999999997,2.2168503999999998,2.0777231,2.1400564,2.2023897,2.264723,2.3270563,2.3893896,2.4517229,2.5140561999999997,2.5763895,2.6387228,2.7010560999999997,2.7633894,2.766019035,2.76864867,2.771278305,2.77390794,2.776537575,2.7791672099999998,2.781796845,2.78442648,2.787056115,2.7896857500000003,2.792315385,2.79494502,2.797574655,2.80020429,2.8028339250000003,2.80546356,2.808093195,2.8107228300000004,2.8133524650000004,2.8159821000000003
PD22,baseline,australi,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,australi,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.1784615,0.1753744,0.1757839,0.172544,0.1785718,0.1743033,0.1758347,0.1794257,0.1841712,0.1836328,0.1852473,0.18698769999999998,0.1872067,0.1768648,0.1772118,0.1750315,0.17500890000000002,0.1687177,0.1577166,0.1573614,0.1499677,0.15599100000000002,0.15744149999999998,0.1585011,0.15913390000000002,0.1557799,0.14678809999999998,0.1521341,0.1534673,0.1415624,0.14579257272727272,0.15002274545454547,0.1542529181818182,0.1584830909090909,0.16271326363636363,0.16694343636363637,0.1711736090909091,0.1754037818181818,0.17963395454545455,0.18386412727272727,0.1880943,0.18863397499999998,0.18917365,0.189713325,0.190253,0.190792675,0.19133234999999998,0.191872025,0.1924117,0.192951375,0.19349105,0.194030725,0.1945704,0.195110075,0.19564975,0.196189425,0.1967291,0.197268775,0.19780845,0.19834812500000001,0.1988878
PD22,baseline,australi,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0048721,0.0049467999999999995,0.005028800000000001,0.0050639000000000005,0.005402199999999999,0.0053696,0.0055076,0.0055961,0.0056498,0.0055757,0.0057383,0.0058038,0.0058395999999999995,0.0055784,0.0057225999999999996,0.0057728,0.0059832999999999996,0.0059269,0.0057512,0.0058626,0.005607300000000001,0.0059723,0.0059553,0.0061181000000000004,0.0061081,0.0057471,0.0052870999999999994,0.0055638,0.005622899999999999,0.0053213,0.005392190909090909,0.005463081818181818,0.005533972727272727,0.005604863636363636,0.005675754545454546,0.005746645454545455,0.005817536363636364,0.005888427272727273,0.005959318181818182,0.006030209090909091,0.0061011,0.00610281,0.0061045199999999996,0.00610623,0.00610794,0.0061096499999999995,0.00611136,0.00611307,0.00611478,0.00611649,0.0061182,0.00611991,0.0061216199999999995,0.00612333,0.00612504,0.00612675,0.00612846,0.00613017,0.00613188,0.0061335899999999995,0.0061353
PD22,baseline,australi,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0028196,0.002806,0.0028891,0.0029483,0.0031017,0.0030600000000000002,0.0031907999999999997,0.0032812,0.0033925,0.0033821,0.0033843000000000002,0.0034622999999999998,0.0034322,0.0032976999999999998,0.0033361999999999997,0.0032868,0.0035258,0.0035280999999999997,0.0033468,0.0034164,0.0032093,0.0034045,0.0034741,0.0035173,0.0035215,0.0033382,0.0031545,0.0033039999999999996,0.0033669,0.0032895,0.0033428545454545454,0.003396209090909091,0.0034495636363636364,0.003502918181818182,0.0035562727272727274,0.003609627272727273,0.003662981818181818,0.0037163363636363634,0.003769690909090909,0.0038230454545454544,0.0038764,0.003885865,0.00389533,0.003904795,0.00391426,0.0039237249999999994,0.00393319,0.003942655,0.00395212,0.003961584999999999,0.003971049999999999,0.003980515,0.00398998,0.003999445,0.004008909999999999,0.004018374999999999,0.0040278399999999995,0.004037305,0.004046769999999999,0.004056234999999999,0.004065699999999999
PD22,baseline,australi,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.1260945,0.124032,0.11790980000000001,0.1136643,0.11471469999999999,0.10930580000000001,0.1108468,0.11132550000000001,0.11021460000000001,0.10868729999999999,0.11233169999999999,0.1092898,0.1077372,0.1020061,0.10472530000000001,0.1055405,0.1022779,0.09878360000000001,0.09340269999999999,0.0930655,0.0885407,0.0945026,0.09510460000000001,0.0972949,0.0955892,0.09131879999999999,0.0846837,0.08921169999999999,0.0887679,0.0834152,0.0863837909090909,0.08935238181818181,0.09232097272727272,0.09528956363636364,0.09825815454545454,0.10122674545454545,0.10419533636363636,0.10716392727272728,0.11013251818181818,0.11310110909090909,0.1160697,0.11620174999999999,0.1163338,0.11646585,0.1165979,0.11672995,0.116862,0.11699405,0.1171261,0.11725815,0.1173902,0.11752225,0.1176543,0.11778635,0.1179184,0.11805045,0.1181825,0.11831455,0.1184466,0.11857865000000001,0.1187107
PD22,baseline,australi,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.9887099999999977e-05,-5.9774199999999954e-05,-8.966129999999993e-05,-0.00011954839999999991,-0.00014943549999999988,-0.00017932259999999987,-0.00020920969999999985,-0.00023909679999999981,-0.00026898390000000007,-0.0002988710000000001,-0.00032875810000000005,-0.0003586452,-0.0003885323,-0.0004184194,-0.00044830649999999994,-0.00047819359999999995,-0.0005080806999999999,-0.0005379678000000001,-0.0005678548999999999,-0.0005977420000000002,-0.0006276290999999998,-0.0006575161999999996,-0.0006874032999999997,-0.0007172903999999995,-0.0007471774999999998,-0.0007770645999999994,-0.0008069516999999997,-0.0008368388,-0.0008667258999999996,-0.0008966129999999999
