model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,austria,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03805496270275155,-0.07619621783793429,-0.11442376540554866,-0.15273760540559467,-0.19113773783806964,-0.22962416270297759,-0.26819688000031583,-0.3068558897300857,-0.34560119189228544,-0.3844327864869168,-0.4233506735139785,-0.46235485297347134,-0.5014453248653967,-0.5406220891897515,-0.579885145946538,-0.6192344951357538,-0.6586701367574004,-0.698192070811479,-0.737800297297988,-0.7774948162169273,-0.8172756275682977,-0.8571427313520985,-0.8970961275683305,-0.9371358162169932,-0.9772617972980862,-1.0173877783791787,-1.0575137594602708,-1.0976397405413638,-1.1377657216224568,-1.1778917027035498
PD22,baseline,austria,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,austria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0008353000000000001,0.0007931,0.0007312999999999999,0.0007191,0.0007448,0.0007444,0.0008110000000000001,0.0007891,0.0007479,0.0007595,0.0008244,0.000837,0.0008409,0.0008241,0.0008573,0.0008241,0.0007966,0.0008386,0.0009046999999999999,0.0008745000000000001,0.0008702,0.0009149000000000001,0.0009260000000000001,0.0008662,0.0009131,0.0008368,0.0008675,0.0008842,0.0008846,0.0008964999999999999,0.0008853727272727272,0.0008742454545454545,0.0008631181818181818,0.0008519909090909091,0.0008408636363636363,0.0008297363636363636,0.0008186090909090909,0.0008074818181818182,0.0007963545454545454,0.0007852272727272727,0.0007741,0.00077437,0.00077464,0.00077491,0.00077518,0.00077545,0.0007757199999999999,0.00077599,0.00077626,0.00077653,0.0007768,0.0007770699999999999,0.00077734,0.00077761,0.0007778799999999999,0.0007781499999999999,0.0007784199999999999,0.00077869,0.00077896,0.0007792299999999999,0.0007794999999999999
PD22,baseline,austria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.17e-05,2.06e-05,1.9e-05,1.8599999999999998e-05,1.93e-05,1.93e-05,2.1000000000000002e-05,2.05e-05,1.94e-05,1.9699999999999998e-05,2.14e-05,2.17e-05,2.18e-05,2.14e-05,2.22e-05,2.14e-05,2.07e-05,2.17e-05,2.35e-05,2.2700000000000003e-05,2.2599999999999997e-05,2.37e-05,2.4e-05,2.2499999999999998e-05,2.37e-05,2.17e-05,2.2499999999999998e-05,2.29e-05,2.29e-05,2.3199999999999998e-05,2.2918181818181817e-05,2.2636363636363633e-05,2.2354545454545453e-05,2.2072727272727272e-05,2.179090909090909e-05,2.1509090909090907e-05,2.1227272727272727e-05,2.0945454545454546e-05,2.0663636363636365e-05,2.038181818181818e-05,2.01e-05,2.0105e-05,2.0110000000000002e-05,2.0115e-05,2.012e-05,2.0125e-05,2.013e-05,2.0135e-05,2.014e-05,2.0145e-05,2.0150000000000002e-05,2.0155e-05,2.016e-05,2.0165e-05,2.017e-05,2.0175e-05,2.018e-05,2.0185e-05,2.019e-05,2.0195e-05,2.02e-05
PD22,baseline,austria,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0010879000000000002,0.0010471999999999999,0.0009435,0.0008927000000000001,0.0009382,0.0009079,0.0009088000000000001,0.001001,0.0009628999999999999,0.0009684,0.0008914,0.0009620999999999999,0.0009297,0.0008365,0.0010351,0.0009534,0.0008952,0.0009211,0.0010934999999999999,0.0009877,0.0009397,0.0011023,0.0009271,0.0009108,0.0010945,0.0009628,0.0011075,0.0009519999999999999,0.0009331000000000001,0.0010485,0.0010507727272727272,0.0010530454545454545,0.0010553181818181818,0.001057590909090909,0.0010598636363636363,0.0010621363636363634,0.0010644090909090907,0.001066681818181818,0.0010689545454545452,0.0010712272727272725,0.0010734999999999998,0.0010738949999999998,0.0010742899999999999,0.001074685,0.0010750799999999997,0.0010754749999999998,0.0010758699999999998,0.0010762649999999999,0.00107666,0.001077055,0.0010774499999999998,0.0010778449999999998,0.0010782399999999998,0.0010786349999999999,0.00107903,0.001079425,0.00107982,0.0010802149999999998,0.0010806099999999999,0.001081005,0.0010814
PD22,baseline,austria,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005081706666810737,-0.010174962666951448,-0.015279768000421745,-0.020396122667221683,-0.025524026667351152,-0.030663480000809984,-0.035814482667598346,-0.04097703466771596,-0.04615113600116305,-0.05133678666793906,-0.056533986668044156,-0.06174273600147856,-0.06696303466824172,-0.07219488266833374,-0.07743828000175473,-0.08269322666850443,-0.08795972266858271,-0.09323776800198968,-0.0985273626687253,-0.10382850666878918,-0.10914120000218169,-0.1144654426689023,-0.1198012346689512,-0.12514857600232826,-0.1305074666690335,-0.1358779066690668,-0.14124834666910008,-0.14661878666913325,-0.15198922666916653,-0.15735966666919993
PD22,baseline,austria,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.2080662,0.2082867,0.2042151,0.195295,0.1910928,0.18080670000000001,0.18061760000000002,0.17742670000000002,0.1725723,0.1711399,0.1696716,0.1687151,0.1658512,0.1613984,0.1585957,0.1583253,0.1557742,0.1547704,0.1552297,0.15488290000000002,0.15683840000000002,0.1560985,0.1535972,0.1523007,0.1527942,0.1530964,0.15285659999999998,0.1531071,0.1488756,0.1464205,0.14674098181818182,0.14706146363636363,0.14738194545454547,0.14770242727272728,0.1480229090909091,0.1483433909090909,0.14866387272727272,0.14898435454545453,0.14930483636363637,0.14962531818181818,0.1499458,0.14941300999999999,0.14888021999999998,0.14834743,0.14781464,0.14728185,0.14674906,0.14621626999999998,0.14568348,0.14515069,0.1446179,0.14408511,0.14355231999999998,0.14301953,0.14248674,0.14195395,0.14142116,0.14088836999999999,0.14035558,0.13982279,0.13929
PD22,baseline,austria,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,austria,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.053961300000000004,0.053208899999999996,0.0522639,0.051622,0.0517067,0.048579,0.048283700000000006,0.047642899999999995,0.0471554,0.0477446,0.0452416,0.0444934,0.0447006,0.0431464,0.042213099999999996,0.0414756,0.041499299999999996,0.0411559,0.042109499999999994,0.04072,0.0414331,0.041385899999999996,0.040313299999999996,0.0400455,0.0396477,0.0395662,0.039486400000000005,0.039238300000000004,0.038628,0.0382746,0.03852250909090909,0.03877041818181818,0.03901832727272728,0.03926623636363637,0.03951414545454546,0.03976205454545455,0.04000996363636364,0.04025787272727273,0.040505781818181825,0.040753690909090916,0.041001600000000006,0.040916430000000004,0.04083126000000001,0.040746090000000006,0.04066092,0.04057575000000001,0.040490580000000005,0.04040541,0.04032024,0.040235070000000005,0.0401499,0.04006473,0.039979560000000004,0.03989439,0.03980922,0.03972405,0.03963888,0.03955371,0.039468539999999996,0.03938337,0.0392982
PD22,baseline,austria,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0019967,0.0019837,0.0019485,0.0018845,0.0018626,0.001747,0.0017385,0.0017082,0.001678,0.0016766,0.0016365000000000002,0.0016145,0.0016023,0.0015528999999999999,0.001522,0.0015126999999999999,0.0015046,0.001488,0.0015027999999999999,0.0014854,0.0015094000000000002,0.0015042,0.0014740999999999999,0.0014650000000000002,0.0014631000000000002,0.0014647,0.0014627,0.0014605,0.0014361999999999999,0.0014169,0.0014209454545454545,0.0014249909090909092,0.0014290363636363637,0.0014330818181818182,0.0014371272727272727,0.0014411727272727274,0.0014452181818181819,0.0014492636363636364,0.0014533090909090909,0.0014573545454545456,0.0014614,0.00145692,0.0014524400000000002,0.00144796,0.00144348,0.001439,0.00143452,0.00143004,0.00142556,0.00142108,0.0014166,0.00141212,0.00140764,0.0014031599999999999,0.0013986799999999998,0.0013942,0.0013897199999999999,0.0013852399999999998,0.00138076,0.00137628,0.0013717999999999998
