model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,brunei,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001848295536806075,0.00036783618093490537,0.0005488077980629565,0.0007275082808410388,0.0009036748964946573,0.0010770155003773253,0.0012472054857242596,0.001413884477078376,0.0015766527611995036,0.0017350674536968176,0.0018886384055325028,0.0020368238612266366,0.0021790258903695444,0.002314585626255536,0.002442778360427471,0.002562808559975497,0.0026738048958148126,0.002774815395013714,0.0028648028585164993,0.0029426407170108897,0.0030071095315784774,0.0030568943810300505,0.0030905834127815035,0.003106667866408081,0.003106667866408081,0.003106667866408081,0.003106667866408081,0.003106667866408081,0.003106667866408081,0.003106667866408081
PD22,baseline,brunei,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,9e-07,8.000000000000001e-07,9e-07,5e-07,7e-07,5e-07,4.0000000000000003e-07,5e-07,6e-07,6e-07,7e-07,7e-07,8.000000000000001e-07,1e-06,1.1e-06,1.4e-06,1.6000000000000001e-06,2e-06,1.9e-06,2.6e-06,2.7000000000000004e-06,2.4e-06,2.7000000000000004e-06,1.9e-06,1.4e-06,1.4e-06,1.5e-06,1.4e-06,1.2e-06,1.1e-06,1.1272727272727273e-06,1.1545454545454545e-06,1.1818181818181818e-06,1.209090909090909e-06,1.2363636363636363e-06,1.2636363636363635e-06,1.290909090909091e-06,1.3181818181818182e-06,1.3454545454545455e-06,1.3727272727272727e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,brunei,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,4.0000000000000003e-07,3e-07,3e-07,2.0000000000000002e-07,3e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,3e-07,4.0000000000000003e-07,5e-07,5e-07,6e-07,6e-07,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,9e-07,7e-07,6e-07,6e-07,6e-07,6e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07
PD22,baseline,brunei,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0002854,0.0003287,0.0003165,0.00029370000000000004,0.0003227,0.0003192,0.0003379,0.00044340000000000004,0.0004487,0.0004379,0.0003946,0.0004263,0.00040899999999999997,0.0004315,0.0003484,0.0003502,0.00034060000000000004,0.0003388,0.0003547,0.0003211,0.0003238,0.0002364,0.0002298,0.0002249,0.0002309,0.0002589,0.0002589,0.000242,0.00021679999999999998,0.00021060000000000002,0.00022860000000000003,0.00024660000000000003,0.00026460000000000003,0.00028260000000000004,0.00030060000000000004,0.00031860000000000005,0.00033660000000000005,0.00035460000000000005,0.00037260000000000006,0.00039060000000000006,0.0004086,0.000411505,0.00041441000000000004,0.000417315,0.00042022,0.000423125,0.00042603,0.000428935,0.00043184,0.000434745,0.00043765000000000004,0.000440555,0.00044346,0.000446365,0.00044927,0.000452175,0.00045508,0.000457985,0.00046089000000000004,0.00046379500000000003,0.0004667
PD22,baseline,brunei,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0001381,0.0001348,0.00010870000000000001,0.00010570000000000001,9.99e-05,9.21e-05,9.32e-05,0.0001262,0.0001439,0.0001868,0.0002216,0.00025130000000000004,0.0002314,0.0002606,0.000283,0.0002564,0.0002883,0.00030869999999999997,0.00031390000000000004,0.0003095,0.0003261,0.0003127,0.00036480000000000003,0.0004039,0.0003651,0.0003671,0.0003765,0.00036659999999999997,0.0003923,0.00036070000000000004,0.00038001818181818185,0.00039933636363636367,0.0004186545454545455,0.0004379727272727273,0.0004572909090909091,0.00047660909090909093,0.0004959272727272728,0.0005152454545454546,0.0005345636363636364,0.0005538818181818182,0.0005732000000000001,0.000596915,0.00062063,0.000644345,0.00066806,0.000691775,0.00071549,0.000739205,0.00076292,0.000786635,0.00081035,0.000834065,0.00085778,0.000881495,0.00090521,0.000928925,0.00095264,0.000976355,0.00100007,0.0010237850000000001,0.0010475
PD22,baseline,brunei,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,8.9e-06,9.2e-06,9.299999999999999e-06,9.5e-06,9.900000000000002e-06,9.900000000000002e-06,1.02e-05,1.35e-05,1.49e-05,1.8200000000000002e-05,2.0700000000000002e-05,2.33e-05,2.1700000000000002e-05,2.42e-05,2.57e-05,2.3500000000000002e-05,2.61e-05,2.77e-05,2.8100000000000002e-05,2.7400000000000002e-05,2.87e-05,2.7e-05,3.1e-05,3.39e-05,3.09e-05,3.13e-05,3.2099999999999994e-05,3.05e-05,3.24e-05,3.0200000000000002e-05,3.2000000000000005e-05,3.38e-05,3.5600000000000005e-05,3.74e-05,3.9200000000000004e-05,4.1e-05,4.2800000000000004e-05,4.46e-05,4.64e-05,4.8200000000000006e-05,5e-05,5.195e-05,5.39e-05,5.585e-05,5.78e-05,5.975e-05,6.17e-05,6.365e-05,6.56e-05,6.755e-05,6.95e-05,7.145e-05,7.34e-05,7.534999999999999e-05,7.73e-05,7.925e-05,8.12e-05,8.314999999999999e-05,8.51e-05,8.705e-05,8.9e-05
