model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bosniaherz,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,2.86419447,2.4884289,1.6929441,1.6256213999999998,1.5152908500000002,1.2435309,1.0420370999999995,1.2773903399999995,1.31736267,1.37392434,1.4202048599999997,1.3675882499999998,1.2899286,1.3910661,1.45629072,1.48320864,1.61976519,1.53345933,1.49934879,1.4967513,1.476468,1.43529597,1.39126977,1.3991068799999995,1.38840165,1.40752989,1.3987386,1.36381059,1.3426651799999998,1.30449519,1.333132510909091,1.3617698318181817,1.3904071527272728,1.4190444736363637,1.4476817945454543,1.4763191154545454,1.504956436363636,1.5335937572727272,1.5622310781818178,1.590868399090909,1.6195057199999998,1.6186987125,1.617891705,1.6170846975,1.61627769,1.6154706825,1.614663675,1.6138566674999997,1.6130496599999995,1.6122426524999998,1.6114356449999998,1.6106286374999998,1.60982163,1.6090146225,1.608207615,1.6074006074999998,1.6065935999999998,1.6057865925,1.604979585,1.6041725775,1.60336557
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,2.86419447,2.4884289,0.34228557,0.32630166,0.3126362399999999,0.26310258,0.22069737,0.2554217099999999,0.27675963,0.2881093499999999,0.30640338,0.30349341,0.29431152,0.3152142,0.32853366,0.34447293,0.37139085,0.33307857,0.3219604199999999,0.32751531,0.33303393,0.3211708499999999,0.3103317,0.3104516699999999,0.3065540399999999,0.31218984,0.30576447,0.3007145699999999,0.29608596,0.29022696,0.2965739563636363,0.3029209527272727,0.3092679490909091,0.3156149454545454,0.3219619418181818,0.3283089381818181,0.3346559345454545,0.3410029309090909,0.3473499272727272,0.3536969236363636,0.3600439199999999,0.3602053214999999,0.360366723,0.3605281245,0.3606895259999999,0.3608509275,0.3610123289999999,0.3611737304999999,0.361335132,0.3614965335,0.361657935,0.3618193365,0.3619807379999999,0.3621421395,0.362303541,0.3624649425,0.362626344,0.3627877455,0.3629491469999999,0.3631105485,0.36327195
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.1438164,0.1371279,0.1289652,0.1061697,0.0877695,0.1069614,0.1140321,0.1197377999999999,0.125853,0.122304,0.1170897,0.1240785,0.1283919,0.1328964,0.1456455,0.1368549,0.1342068,0.1363635,0.1374828,0.1317225,0.1282554,0.1324596,0.1283919,0.1265628,0.1248975,0.1229319,0.1211301,0.1181817,0.1207354909090909,0.1232892818181818,0.1258430727272727,0.1283968636363636,0.1309506545454545,0.1335044454545454,0.1360582363636363,0.1386120272727272,0.1411658181818182,0.1437196090909091,0.1462734,0.146495895,0.14671839,0.146940885,0.14716338,0.147385875,0.14760837,0.147830865,0.14805336,0.148275855,0.14849835,0.148720845,0.14894334,0.149165835,0.14938833,0.149610825,0.14983332,0.150055815,0.15027831,0.150500805,0.1507233
PD22,baseline,bosniaherz,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.2008188,0.1902809999999999,0.1772589,0.0284192999999999,0.0170625,0.0170625,0.1307397,0.159159,0.1580124,0.1057328999999999,0.1057328999999999,0.0612066,0.1914003,0.1401036,0.0880971,0.1216215,0.0665028,0.3605511,0.3484572,0.4783506,0.5766852,0.4832919,0.5951673,0.6374277,0.4921098,0.5068245,0.3947852999999999,0.4645641,0.4367354727272727,0.4089068454545455,0.3810782181818182,0.3532495909090909,0.3254209636363636,0.2975923363636363,0.2697637090909091,0.2419350818181818,0.2141064545454545,0.1862778272727272,0.1584492,0.15898428,0.15951936,0.16005444,0.1605895199999999,0.1611246,0.16165968,0.16219476,0.16272984,0.16326492,0.1638,0.16433508,0.16487016,0.16540524,0.16594032,0.1664754,0.16701048,0.16754556,0.1680806399999999,0.16861572,0.1691508
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.2008188,0.1902809999999999,0.1772589,0.1478841,0.1227954,0.1486485,0.1623531,0.1717716,0.1812174,0.1781052,0.1734915,0.1815177,0.1884519,0.1966965,0.2183453999999999,0.2060058,0.2036852999999999,0.2103464999999999,0.2163252,0.2060058,0.2026205999999999,0.2139228,0.2043405,0.1966419,0.1937480999999999,0.1929563999999999,0.1906905,0.1881789,0.1915740272727272,0.1949691545454545,0.1983642818181818,0.2017594090909091,0.2051545363636363,0.2085496636363636,0.2119447909090908,0.2153399181818181,0.2187350454545454,0.2221301727272727,0.2255252999999999,0.226146375,0.2267674499999999,0.227388525,0.2280096,0.2286306749999999,0.22925175,0.229872825,0.2304939,0.231114975,0.23173605,0.232357125,0.2329782,0.233599275,0.23422035,0.234841425,0.2354625,0.236083575,0.23670465,0.237325725,0.2379468
PD22,baseline,bosniaherz,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.1890798,0.1796067,0.1647828,0.1424241,0.1269996,0.1517606999999999,0.1517606999999999,0.1584219,0.1592409,0.1567019999999999,0.1505595,0.1628991,0.1767402,0.1791153,0.1975701,0.1910454,0.1884246,0.1897896,0.1882062,0.1841384999999999,0.1803438,0.182637,0.1823913,0.1832922,0.1828553999999999,0.1803984,0.1784327999999999,0.1762487999999999,0.1794329727272727,0.1826171454545454,0.1858013181818182,0.1889854909090909,0.1921696636363636,0.1953538363636363,0.198538009090909,0.2017221818181818,0.2049063545454545,0.2080905272727272,0.2112747,0.21109452,0.21091434,0.21073416,0.21055398,0.2103738,0.21019362,0.21001344,0.20983326,0.20965308,0.2094729,0.20929272,0.2091125399999999,0.20893236,0.20875218,0.208572,0.20839182,0.2082116399999999,0.20803146,0.20785128,0.2076711
PD22,baseline,bosniaherz,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.066066,0.0601965,0.0533169,0.0457275,0.0508326,0.0721538999999999,0.0790881,0.0784602,0.0610701,0.0678951,0.0748566,0.0504504,0.0809991,0.0755391,0.0747473999999999,0.0613977,0.076167,0.0743651999999999,0.0600054,0.0623532,0.0539448,0.0672398999999999,0.0584766,0.06279,0.0861588,0.0657384,0.0892163999999999,0.0853670999999999,0.0852107454545454,0.0850543909090909,0.0848980363636363,0.0847416818181818,0.0845853272727272,0.0844289727272727,0.0842726181818181,0.0841162636363636,0.0839599090909091,0.0838035545454545,0.0836472,0.08375367,0.08386014,0.08396661,0.08407308,0.0841795499999999,0.08428602,0.08439249,0.08449896,0.08460543,0.0847119,0.08481837,0.08492484,0.08503131,0.08513778,0.08524425,0.0853507199999999,0.08545719,0.08556366,0.08567013,0.0857766
PD22,baseline,bosniaherz,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,2.86419447,2.4884289,0.01491534,0.01321902,0.0113748299999999,0.0091149299999999,0.0127307699999999,0.01845306,0.01970298,0.01894968,0.0187962299999999,0.0182382299999999,0.01770534,0.0168571799999999,0.01715571,0.01723941,0.0169938899999999,0.01709991,0.0173286899999999,0.01625733,0.0158639399999999,0.01652238,0.01663119,0.01631592,0.01459728,0.01633266,0.01659213,0.01674558,0.0166507199999999,0.01653075,0.0165700636363636,0.0166093772727272,0.0166486909090909,0.0166880045454545,0.0167273181818181,0.0167666318181818,0.0168059454545454,0.016845259090909,0.0168845727272727,0.0169238863636363,0.0169632,0.0169806375,0.0169980749999999,0.0170155125,0.01703295,0.0170503875,0.017067825,0.0170852625,0.0171027,0.0171201375,0.017137575,0.0171550125,0.01717245,0.0171898875,0.017207325,0.0172247625,0.0172422,0.0172596375,0.017277075,0.0172945125,0.01731195
PD22,baseline,bosniaherz,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.0037947,0.0033579,0.0028938,0.0023205,0.0032214,0.0046683,0.0049959,0.0048048,0.0047775,0.0046136999999999,0.0045045,0.0042860999999999,0.0043407,0.0043679999999999,0.0043134,0.0043407,0.0043952999999999,0.0041223,0.0040131,0.0042042,0.0042315,0.0041496,0.0037127999999999,0.0041496,0.0042042,0.0042588,0.0042315,0.0042042,0.0042141272727272,0.0042240545454545,0.0042339818181818,0.004243909090909,0.0042538363636363,0.0042637636363636,0.0042736909090909,0.0042836181818181,0.0042935454545454,0.0043034727272727,0.0043134,0.004317495,0.00432159,0.004325685,0.00432978,0.004333875,0.00433797,0.004342065,0.00434616,0.004350255,0.00435435,0.004358445,0.00436254,0.004366635,0.0043707299999999,0.004374825,0.00437892,0.004383015,0.00438711,0.004391205,0.0043952999999999
PD22,baseline,bosniaherz,Forests & Wetlands,Emissions,Drained organic soils (N2O),EM,Emissions,CO2e,AFOLU,Mt,28.0259889,24.349143,0.0159978,0.0159978,0.0159978,0.0159432,0.0158067,0.0158067,0.0159432,0.0159159,0.0159159,0.0159159,0.0159159,0.0160524,0.0160524,0.0160524,0.0160524,0.0160524,0.0160524,0.0159978,0.0159978,0.0159978,0.0159978,0.0158613,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288,0.015288
