model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,dominicanr,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008469863177589,0.008469863177589,0.0056467037850696,0.0028231593925194,0.0028231593925194,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.0056467037850696,0.008469863177589,0.0079559706364776,0.0084107565061938,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932,0.0085178323480932
PD22,baseline,dominicanr,Commercial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,dominicanr,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,dominicanr,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,dominicanr,Commercial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Commercial and public services,COMMPUB,Mt,0.141687398905384,0.12797576349164,0.178251777601308,0.155399044874692,0.196533972227052,0.210245607640796,0.25595152698328,0.301656992436512,0.073128757391848,0.073128757391848,0.091411384795716,0.091411384795716,0.095981933452152,0.082269844149156,0.100552482108588,0.118834666178768,0.12797576349164,0.118834666178768,0.105123030765024,0.100552482108588,0.100552482108588,0.08684083613928,0.091411384795716,0.095981933452152,0.077699306048284,0.109693568865896,0.118834666178768,0.11307574046052,0.122623416987544,0.140439361795844,0.1379208766371347,0.1380255416091353,0.138130206581136,0.1382348715531367,0.1383395365251373,0.138444201497138,0.1385488664691386,0.1386535314411393,0.1387581964131399,0.1388628613851406,0.1389675263571413,0.1390721913291419,0.1391768563011426,0.1392815212731432,0.1393861862451439,0.1394908512171445,0.1395955161891452,0.1397001811611459,0.1398048461331465,0.1399095111051471,0.1400141760771478,0.1401188410491485,0.1402235060211491,0.1403281709931498,0.1404328359651505,0.1405375009371511,0.1406421659091518,0.1407468308811524,0.1408514958531531,0.1409561608251537,0.1410608257971544
PD22,baseline,dominicanr,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204704115985384,0.204704115985384,0.244646243494616,0.209696718312796,0.199711080879848,0.174747193130976,0.194718478552436,0.214689763973896,0.244646243494616,0.25962449381054,0.269610131243488,0.25962449381054,0.244646243494616,0.224674958073156,0.224674958073156,0.229668003734256,0.244646243494616,0.264617528916076,0.274603176904588,0.270748569932016,0.270528929756304,0.27204654541484,0.2671679616734712,0.2673707092770961,0.267573456880721,0.2677762044843459,0.2679789520879709,0.2681816996915958,0.2683844472952207,0.2685871948988456,0.2687899425024704,0.2689926901060954,0.2691954377097203,0.2693981853133452,0.2696009329169701,0.269803680520595,0.2700064281242199,0.2702091757278448,0.2704119233314697,0.2706146709350946,0.2708174185387196,0.2710201661423444,0.2712229137459693,0.2714256613495943,0.2716284089532191,0.2718311565568441,0.272033904160469,0.2722366517640939,0.2724393993677187,0.2726421469713437,0.2728448945749686,0.2730476421785935,0.2732503897822184
PD22,baseline,dominicanr,Electric Power,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,dominicanr,Electric Power,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,dominicanr,Electric Power,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Transformation processes,Autoproducer electricity plants,AUTOELEC,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,dominicanr,Electric Power,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Transformation processes,Main activity producer electricity plants,MAINELEC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
