model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,haiti,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0289688716213851,-0.0579377432427739,-0.0869066148641657,-0.1158754864855606,-0.14484435810696,-0.173813229728363,-0.2027821013497708,-0.231750972971183,-0.2607198445925989,-0.2896887162140205,-0.3186575878354469,-0.3476264594568787,-0.3765953310783163,-0.4055642026997597,-0.4345330743212083,-0.4635019459426637,-0.4924708175641252,-0.5214396891855939,-0.5504085608070688,-0.5793774324285512,-0.6083463040500403,-0.6373151756715378,-0.666284047293042,-0.6952529189145542,-0.7242217905360757,-0.7531906621575954,-0.7821595337791161,-0.8111284054006371,-0.8400972770221582,-0.8690661486436779
PD22,baseline,haiti,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,haiti,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0007185,0.0007973,0.0009247999999999,0.0008451,0.0009098,0.0008694,0.0008181,0.0009297999999999,0.0008096,0.0009289,0.0008361,0.0008075,0.0007564,0.0007711,0.0008087,0.0008015,0.0008204,0.0010523,0.0008375,0.0011412,0.0012684999999999,0.0013277,0.0007982,0.0011917,0.0012307,0.0010804,0.001067,0.0009603,0.0012271,0.0009502,0.0009478727272727,0.0009455454545454,0.0009432181818181,0.0009408909090909,0.0009385636363636,0.0009362363636363,0.000933909090909,0.0009315818181818,0.0009292545454545,0.0009269272727272,0.0009246,0.000923805,0.00092301,0.000922215,0.00092142,0.000920625,0.00091983,0.000919035,0.00091824,0.000917445,0.00091665,0.0009158549999999,0.00091506,0.0009142649999999,0.00091347,0.0009126749999999,0.0009118799999999,0.000911085,0.0009102899999999,0.000909495,0.0009086999999999
PD22,baseline,haiti,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.86e-05,2.07e-05,2.4e-05,2.19e-05,2.36e-05,2.25e-05,2.12e-05,2.41e-05,2.1e-05,2.41e-05,2.17e-05,2.09e-05,1.96e-05,2e-05,2.1e-05,2.08e-05,2.13e-05,2.7300000000000003e-05,2.17e-05,2.96e-05,3.29e-05,3.44e-05,2.07e-05,3.09e-05,3.19e-05,2.8e-05,2.77e-05,2.49e-05,3.18e-05,2.46e-05,2.4545454545454545e-05,2.4490909090909093e-05,2.443636363636364e-05,2.4381818181818184e-05,2.4327272727272728e-05,2.4272727272727275e-05,2.421818181818182e-05,2.416363636363637e-05,2.410909090909091e-05,2.4054545454545457e-05,2.4e-05,2.398e-05,2.396e-05,2.394e-05,2.392e-05,2.39e-05,2.388e-05,2.386e-05,2.384e-05,2.382e-05,2.3800000000000003e-05,2.378e-05,2.376e-05,2.374e-05,2.372e-05,2.37e-05,2.368e-05,2.366e-05,2.364e-05,2.362e-05,2.36e-05
PD22,baseline,haiti,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0001267,0.0001404,0.0001538,0.0001429,0.0001411,0.0001330999999999,0.0001363,0.0001608999999999,0.0001342,0.0001515,0.0001414,0.0001282,0.0001265,0.0001288,0.000131,0.000134,0.0001363,0.000174,0.0001456,0.0001787999999999,0.000208,0.000202,0.0001602,0.0002048,0.0002029,0.000183,0.0001884,0.0001865,0.0001904,0.0001889,0.0001899818181818,0.0001910636363636,0.0001921454545454,0.0001932272727272,0.000194309090909,0.0001953909090909,0.0001964727272727,0.0001975545454545,0.0001986363636363,0.0001997181818181,0.0002008,0.000203975,0.00020715,0.000210325,0.0002134999999999,0.000216675,0.00021985,0.000223025,0.0002262,0.0002293749999999,0.00023255,0.000235725,0.0002388999999999,0.000242075,0.0002452499999999,0.000248425,0.0002516,0.0002547749999999,0.0002579499999999,0.0002611249999999,0.0002643
PD22,baseline,haiti,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,haiti,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.07582,0.081552,0.095439,0.090553,0.089609,0.090572,0.091281,0.0941429,0.0968314,0.0968361,0.1061582,0.1067775,0.1073800999999999,0.1078259999999999,0.1074514999999999,0.107881,0.1072129999999999,0.1073583,0.1077009999999999,0.1077017,0.1077024,0.1083640999999999,0.1088529999999999,0.1088555,0.1095145,0.1109074999999999,0.1138979,0.1133208999999999,0.1132611,0.1135806999999999,0.1149029363636363,0.1162251727272727,0.117547409090909,0.1188696454545454,0.1201918818181818,0.1215141181818181,0.1228363545454545,0.1241585909090909,0.1254808272727272,0.1268030636363636,0.1281253,0.12934292,0.13056054,0.13177816,0.13299578,0.1342133999999999,0.1354310199999999,0.13664864,0.13786626,0.13908388,0.1403015,0.14151912,0.14273674,0.14395436,0.14517198,0.1463896,0.1476072199999999,0.1488248399999999,0.15004246,0.15126008,0.1524777
PD22,baseline,haiti,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,haiti,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0025954999999999,0.0027256999999999,0.0030339,0.0029224,0.0029541,0.0029941,0.0031106,0.0032874,0.0035676,0.0035677,0.0039874,0.003999,0.0040119,0.004025,0.0039917,0.0040078,0.0039947,0.0039947,0.0040044,0.0040044,0.0040044,0.0040104,0.0040233,0.0040234,0.0040545,0.0040941,0.0041785,0.0041619,0.0041641,0.0041719999999999,0.0042413454545454,0.0043106909090909,0.0043800363636363,0.0044493818181818,0.0045187272727272,0.0045880727272727,0.0046574181818181,0.0047267636363636,0.004796109090909,0.0048654545454545,0.0049348,0.00499644,0.00505808,0.00511972,0.00518136,0.005243,0.00530464,0.00536628,0.00542792,0.00548956,0.0055512,0.00561284,0.00567448,0.00573612,0.00579776,0.0058594,0.00592104,0.00598268,0.00604432,0.00610596,0.0061676
PD22,baseline,haiti,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0001109,0.0001232,0.0001355,0.0001255,0.0001293999999999,0.0001355,0.0001608,0.0001943,0.0002525,0.0002525,0.0003095,0.00031,0.0003105,0.0003113,0.0003105,0.0003106999999999,0.0003105,0.0003110999999999,0.0003116,0.0003116,0.0003116,0.0003133,0.0003134,0.0003134,0.0003131999999999,0.0003145,0.0003184,0.0003174,0.0003174,0.0003178,0.0003300454545454,0.0003422909090909,0.0003545363636363,0.0003667818181818,0.0003790272727272,0.0003912727272727,0.0004035181818181,0.0004157636363636,0.000428009090909,0.0004402545454545,0.0004525,0.000462485,0.00047247,0.000482455,0.00049244,0.000502425,0.00051241,0.000522395,0.00053238,0.000542365,0.00055235,0.000562335,0.00057232,0.000582305,0.00059229,0.000602275,0.00061226,0.000622245,0.00063223,0.000642215,0.0006522
PD22,baseline,haiti,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.000265,0.0002877,0.0003081999999999,0.0002895,0.0002886,0.0002868,0.0003118,0.0003615999999999,0.0004326,0.0004326,0.0004949,0.0004976,0.0004999,0.0005053999999999,0.0005053999999999,0.000506,0.0005055,0.0005124,0.0005137,0.0005138,0.0005138,0.0005325999999999,0.0005333,0.0005333,0.0005179,0.0005207,0.0005285,0.0005264,0.0005264,0.0005273,0.0005436636363636,0.0005600272727272,0.0005763909090909,0.0005927545454545,0.0006091181818181,0.0006254818181818,0.0006418454545454,0.000658209090909,0.0006745727272727,0.0006909363636363,0.0007073,0.00072112,0.00073494,0.00074876,0.00076258,0.0007764,0.00079022,0.00080404,0.00081786,0.00083168,0.0008455,0.00085932,0.00087314,0.00088696,0.00090078,0.0009146,0.00092842,0.00094224,0.00095606,0.00096988,0.0009837
PD22,baseline,haiti,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0023927,0.0025328,0.0029061,0.0027845,0.0027812,0.0028117999999999,0.0028565,0.0029565999999999,0.003059,0.0030592,0.0033852,0.0033994,0.0034146,0.0034229,0.0033963,0.003411,0.0033919,0.0033869,0.0033982,0.0033982,0.0033981,0.0033929999999999,0.0034140999999999,0.0034142,0.0034824,0.0035461,0.00368,0.0036603,0.0036436,0.0036532,0.0036858727272727,0.0037185454545454,0.0037512181818181,0.0037838909090909,0.0038165636363636,0.0038492363636363,0.003881909090909,0.0039145818181818,0.0039472545454545,0.0039799272727272,0.0040126,0.00404852,0.00408444,0.00412036,0.00415628,0.0041922,0.00422812,0.00426404,0.00429996,0.00433588,0.0043718,0.00440772,0.00444364,0.00447956,0.00451548,0.0045514,0.00458732,0.00462324,0.00465916,0.00469508,0.004731
PD22,baseline,haiti,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
