model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,honduras,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.021477803183665267,0.04271278945983675,0.06367706792884215,0.08433967436932677,0.10466626457442671,0.12461878498071974,0.1441551209463643,0.16322872369488148,0.18178821778103538,0.1997769919841759,0.21713277782113297,0.23378722142198807,0.2496654563491857,0.2646856870753076,0.2787587952641355,0.2917879836980155,0.3036684756063447,0.31428729017989815,0.32352311805902095,0.3312463233574607,0.33731910106004925,0.34159582007731554,0.34392358245882837,0.3441430278217834,0.3441430278217834,0.3441430278217834,0.3441430278217834,0.3441430278217834,0.3441430278217834,0.3441430278217834
PD22,baseline,honduras,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,honduras,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0010909,0.0012651,0.0012675000000000002,0.0012536000000000001,0.0012342,0.0012021,0.0011966000000000001,0.0011585,0.0013027,0.0011438,0.0010925000000000002,0.0010204,0.001113,0.0010362,0.0010103,0.0009644,0.0010230999999999999,0.0011616,0.0010083,0.0010431,0.0010432999999999998,0.0010336000000000002,0.0010345,0.0011222,0.0009656,0.0010968,0.0010329,0.001165,0.0012038,0.0010172000000000002,0.001037109090909091,0.001057018181818182,0.001076927272727273,0.0010968363636363638,0.0011167454545454546,0.0011366545454545456,0.0011565636363636365,0.0011764727272727273,0.0011963818181818181,0.0012162909090909092,0.0012362,0.00124241,0.00124862,0.00125483,0.00126104,0.0012672500000000001,0.0012734600000000001,0.0012796700000000001,0.00128588,0.00129209,0.0012983,0.00130451,0.00131072,0.00131693,0.00132314,0.00132935,0.0013355600000000002,0.0013417700000000002,0.0013479800000000001,0.0013541900000000001,0.0013604
PD22,baseline,honduras,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.83e-05,3.2800000000000004e-05,3.29e-05,3.2500000000000004e-05,3.2e-05,3.12e-05,3.1e-05,3e-05,3.3799999999999995e-05,2.97e-05,2.83e-05,2.65e-05,2.8899999999999998e-05,2.69e-05,2.6200000000000003e-05,2.5e-05,2.65e-05,3.01e-05,2.61e-05,2.7e-05,2.7e-05,2.68e-05,2.68e-05,2.9100000000000003e-05,2.5e-05,2.8400000000000003e-05,2.68e-05,3.0200000000000002e-05,3.12e-05,2.64e-05,2.690909090909091e-05,2.741818181818182e-05,2.7927272727272727e-05,2.8436363636363635e-05,2.8945454545454547e-05,2.9454545454545456e-05,2.9963636363636364e-05,3.0472727272727273e-05,3.098181818181818e-05,3.149090909090909e-05,3.2e-05,3.2165e-05,3.233e-05,3.2495e-05,3.2659999999999996e-05,3.2825e-05,3.299e-05,3.3155e-05,3.332e-05,3.3484999999999995e-05,3.365e-05,3.3815e-05,3.3979999999999997e-05,3.4145e-05,3.4309999999999995e-05,3.4475e-05,3.464e-05,3.4804999999999996e-05,3.497e-05,3.5134999999999995e-05,3.53e-05
PD22,baseline,honduras,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0001712,0.0001809,0.0001676,0.0001724,0.000178,0.00018060000000000003,0.00018590000000000002,0.0001827,0.00016120000000000002,0.0001538,0.0001588,0.0001469,0.0001554,0.0001486,0.0001379,0.0001444,0.0001435,0.0001732,0.0001572,0.0001663,0.0001521,0.0001531,0.0001531,0.0001692,0.00016450000000000001,0.0001777,0.00017649999999999998,0.0001868,0.0001951,0.00017219999999999998,0.00017643636363636362,0.00018067272727272725,0.0001849090909090909,0.00018914545454545454,0.00019338181818181818,0.0001976181818181818,0.00020185454545454545,0.00020609090909090908,0.00021032727272727274,0.00021456363636363637,0.0002188,0.00022221,0.00022562,0.00022903,0.00023244,0.00023585000000000001,0.00023925999999999998,0.00024267,0.00024608,0.00024949,0.0002529,0.00025631,0.00025971999999999996,0.00026313,0.00026654,0.00026995,0.00027336,0.00027676999999999997,0.00028018,0.00028359,0.000287
PD22,baseline,honduras,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,honduras,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.1464496,0.1448387,0.1428439,0.126425,0.1380917,0.128139,0.1292098,0.1251335,0.11833700000000001,0.10536020000000001,0.10964149999999999,0.1143578,0.12750830000000002,0.1473857,0.1502409,0.1531378,0.15042429999999998,0.1529698,0.1555583,0.1631607,0.1647128,0.1635467,0.16719130000000001,0.16805910000000002,0.1682906,0.16908789999999999,0.1711621,0.1726524,0.1739504,0.1752486,0.1736217090909091,0.1719948181818182,0.1703679272727273,0.16874103636363638,0.16711414545454545,0.16548725454545454,0.16386036363636364,0.16223347272727273,0.16060658181818183,0.15897969090909092,0.15735280000000001,0.15756914500000002,0.15778549000000003,0.158001835,0.15821818,0.15843452500000002,0.15865087,0.158867215,0.15908356,0.15929990500000002,0.15951625000000003,0.159732595,0.15994894,0.16016528500000002,0.16038163,0.160597975,0.16081432,0.16103066500000002,0.16124701000000002,0.161463355,0.1616797
PD22,baseline,honduras,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,honduras,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0035821,0.0035640999999999997,0.0035148,0.0032784,0.0033049,0.0031602,0.0032208000000000002,0.0031766000000000003,0.0030653000000000004,0.0029062000000000003,0.0029802,0.0031078,0.0034933,0.0038475000000000002,0.0039624000000000005,0.0041725,0.0041436,0.0041574,0.0041657000000000005,0.004368400000000001,0.004417900000000001,0.004382100000000001,0.0045043,0.004539100000000001,0.004557,0.0045707000000000005,0.0046121999999999995,0.0046365,0.0046654999999999995,0.0046945,0.004718572727272727,0.004742645454545454,0.004766718181818182,0.004790790909090909,0.004814863636363636,0.0048389363636363635,0.004863009090909091,0.004887081818181818,0.004911154545454545,0.0049352272727272726,0.0049593,0.004995589999999999,0.00503188,0.00506817,0.00510446,0.0051407499999999995,0.00517704,0.00521333,0.00524962,0.00528591,0.0053222,0.0053584900000000005,0.00539478,0.00543107,0.00546736,0.0055036500000000006,0.00553994,0.00557623,0.00561252,0.005648810000000001,0.0056851
PD22,baseline,honduras,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.000215,0.0002173,0.00021740000000000003,0.0002158,0.0001638,0.0001681,0.0001783,0.0001795,0.0001782,0.000186,0.000189,0.00020710000000000002,0.0002344,0.0002243,0.0002316,0.0002472,0.0002388,0.0002367,0.0002342,0.0002453,0.0002501,0.0002424,0.00025590000000000004,0.000253,0.0002556,0.00025430000000000006,0.0002519,0.0002516,0.0002522,0.0002528,0.00026210000000000003,0.00027140000000000004,0.0002807,0.00029,0.0002993,0.0003086,0.00031790000000000003,0.00032720000000000004,0.0003365,0.0003458,0.0003551,0.00036055500000000003,0.00036601,0.000371465,0.00037692,0.000382375,0.00038783000000000003,0.000393285,0.00039874,0.000404195,0.00040965,0.00041510500000000003,0.00042056,0.000426015,0.00043147,0.000436925,0.00044238000000000003,0.000447835,0.00045329,0.000458745,0.0004642
