model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,kenya,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1613484614839238,0.32096021111152107,0.4786350130194328,0.6341503818170082,0.7872593162613597,0.9376878530034947,1.085132439199183,1.2292571268276618,1.369690596826409,1.506023027850921,1.6378028328355405,1.7645332967955927,1.8856691616852657,2.0006132187804995,2.1087129860859166,2.209257567643315,2.301474813144293,2.38452891947699,2.457518640006421,2.519476291345192,2.569367769497588,2.606093805419102,2.628492701559188,2.6353447926997657,2.6353447926997657,2.6353447926997657,2.6353447926997657,2.6353447926997657,2.6353447926997657,2.6353447926997657
PD22,baseline,kenya,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,kenya,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0039794999999999995,0.0037949000000000004,0.0040667,0.003902,0.004311499999999999,0.0041598,0.0043083,0.0043454,0.0042396000000000005,0.0044805,0.0043135000000000005,0.004671000000000001,0.0045697,0.0047793,0.0039284,0.0050772000000000005,0.005390799999999999,0.0046022,0.0048511,0.005377799999999999,0.005746,0.0060784,0.0061881,0.0061056,0.006041400000000001,0.0059754,0.006672900000000001,0.0059385,0.0064485,0.0062362,0.006210290909090909,0.006184381818181818,0.006158472727272727,0.006132563636363636,0.006106654545454546,0.0060807454545454545,0.006054836363636364,0.006028927272727273,0.006003018181818182,0.005977109090909091,0.0059512,0.006001275,0.0060513500000000005,0.006101425000000001,0.0061515,0.006201575,0.00625165,0.006301725,0.0063518,0.0064018750000000004,0.00645195,0.006502025,0.0065521,0.006602175,0.00665225,0.006702325,0.0067524,0.0068024750000000005,0.00685255,0.006902625,0.0069527
PD22,baseline,kenya,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001032,9.84e-05,0.0001054,0.00010120000000000001,0.0001118,0.0001078,0.00011169999999999999,0.0001127,0.0001099,0.0001162,0.0001118,0.0001211,0.0001185,0.0001239,0.00010180000000000001,0.0001316,0.0001398,0.0001193,0.0001258,0.0001394,0.000149,0.00015759999999999998,0.0001604,0.0001583,0.00015659999999999998,0.00015490000000000002,0.000173,0.000154,0.0001672,0.00016170000000000003,0.00016102727272727276,0.00016035454545454547,0.0001596818181818182,0.00015900909090909093,0.00015833636363636364,0.00015766363636363637,0.00015699090909090908,0.0001563181818181818,0.00015564545454545454,0.00015497272727272725,0.00015429999999999998,0.0001556,0.0001569,0.0001582,0.00015949999999999997,0.00016079999999999998,0.00016209999999999998,0.0001634,0.0001647,0.000166,0.0001673,0.00016859999999999998,0.00016989999999999998,0.0001712,0.0001725,0.0001738,0.0001751,0.0001764,0.00017769999999999998,0.000179,0.0001803
PD22,baseline,kenya,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0007485,0.0007777,0.0007874000000000001,0.0007072000000000001,0.0008862,0.000864,0.0007511,0.0007798000000000001,0.0007841,0.0008247,0.0007609,0.0009237,0.0008954,0.0009485,0.000865,0.0010317,0.001105,0.0009873,0.0008522,0.0009272000000000001,0.0011454,0.0011636,0.0013007,0.0012776,0.0011694000000000001,0.0012577,0.0011619999999999998,0.0011189,0.0013599,0.0013815,0.0013896454545454546,0.001397790909090909,0.0014059363636363636,0.0014140818181818183,0.0014222272727272727,0.0014303727272727274,0.0014385181818181818,0.0014466636363636364,0.001454809090909091,0.0014629545454545455,0.0014711000000000001,0.00150017,0.00152924,0.0015583100000000003,0.0015873800000000002,0.0016164500000000002,0.0016455200000000001,0.00167459,0.00170366,0.00173273,0.0017618,0.0017908700000000002,0.0018199400000000001,0.00184901,0.00187808,0.00190715,0.0019362200000000002,0.00196529,0.00199436,0.00202343,0.0020525
PD22,baseline,kenya,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006341960000000001,0.001268392000000001,0.0019025880000000002,0.002536784000000001,0.003170980000000001,0.0038051759999999995,0.0044393720000000005,0.0050735680000000005,0.005707764,0.006341960000000001,0.006976156,0.007297531195453792,0.007581755574944452,0.007824426808816414,0.008020623342376597,0.008164843771572014,0.00825093929477408,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726,0.0082720384888726
PD22,baseline,kenya,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.6333757000000001,0.604504,0.599496,0.595318,0.5961416,0.5919698,0.5514871000000001,0.550452,0.5493601,0.5997948000000001,0.5482098999999999,0.5458628999999999,0.5724897,0.6112382000000001,0.6599582,0.6357314000000001,0.6188551999999999,1.0228855,1.0413149000000002,0.9945959000000001,0.9972428999999999,1.0225386,1.0025344,0.9884201,1.0034157000000001,1.0182699,1.111334,1.0273956000000002,1.0678616,1.2480301,1.2251507727272728,1.2022714454545456,1.179392118181818,1.1565127909090909,1.1336334636363636,1.1107541363636364,1.0878748090909092,1.064995481818182,1.0421161545454545,1.0192368272727272,0.9963575,1.005900625,1.01544375,1.024986875,1.03453,1.044073125,1.05361625,1.063159375,1.0727025,1.0822456249999999,1.09178875,1.101331875,1.110875,1.120418125,1.12996125,1.139504375,1.1490475,1.158590625,1.16813375,1.177676875,1.18722
PD22,baseline,kenya,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,kenya,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0191501,0.0183197,0.0181917,0.018067,0.0181314,0.0180697,0.016799,0.0168187,0.016879500000000002,0.0183379,0.0165538,0.0169027,0.0177795,0.018488,0.0200362,0.0195324,0.0182867,0.0317268,0.0337055,0.0314319,0.032064,0.032654800000000005,0.031922,0.0316173,0.0321103,0.03268310000000001,0.0354946,0.0334497,0.034999499999999996,0.0417934,0.0409536,0.0401138,0.039274,0.0384342,0.0375944,0.0367546,0.0359148,0.035074999999999995,0.0342352,0.0333954,0.0325556,0.032965549999999996,0.033375499999999995,0.033785449999999995,0.0341954,0.03460535,0.0350153,0.03542525,0.0358352,0.03624515,0.036655099999999996,0.03706505,0.037475,0.03788495,0.0382949,0.03870485,0.0391148,0.03952475,0.039934700000000004,0.04034465,0.0407546
PD22,baseline,kenya,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0003882,0.0003821,0.00038590000000000006,0.0003952,0.00039850000000000004,0.0004132,0.0004268,0.0004312,0.0004506,0.0004551,0.0004317,0.0004312,0.00044590000000000005,0.0005082,0.0005103,0.0004699,0.0004756,0.000626,0.0006204,0.0006133,0.0006089,0.0006225000000000001,0.0006549,0.0006590000000000001,0.0006662,0.0006837,0.0007502,0.0007257,0.0007511,0.0008177,0.0008164272727272727,0.0008151545454545455,0.0008138818181818181,0.0008126090909090909,0.0008113363636363636,0.0008100636363636363,0.0008087909090909091,0.0008075181818181818,0.0008062454545454545,0.0008049727272727272,0.0008037,0.00081861,0.0008335199999999999,0.00084843,0.00086334,0.00087825,0.00089316,0.00090807,0.00092298,0.00093789,0.0009528,0.00096771,0.00098262,0.00099753,0.00101244,0.00102735,0.0010422600000000001,0.00105717,0.00107208,0.00108699,0.0011019
