model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,malta,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,1.4e-06,1.5e-06,1.6999999999999998e-06,2.2e-06,2.4e-06,2.6e-06,1.2e-06,2.4e-06,2.5e-06,2.4e-06,2.6e-06,2.6e-06,2.2e-06,2.6e-06,2.6e-06,2.7e-06,2.8e-06,3e-06,3.2000000000000003e-06,3e-06,2.9e-06,2.8e-06,2.8e-06,2.7e-06,2.6e-06,2.2e-06,2.3e-06,2.7e-06,0.0,0.0,2.5454545454545453e-07,5.090909090909091e-07,7.636363636363636e-07,1.018181818181818e-06,1.2727272727272726e-06,1.5272727272727273e-06,1.7818181818181818e-06,2.036363636363636e-06,2.290909090909091e-06,2.545454545454545e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2.8e-06
PD22,baseline,malta,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0,0.0,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.0,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.0,0.0,9.090909090909092e-09,1.8181818181818185e-08,2.727272727272728e-08,3.636363636363637e-08,4.545454545454546e-08,5.454545454545455e-08,6.363636363636366e-08,7.272727272727274e-08,8.181818181818183e-08,9.090909090909093e-08,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
PD22,baseline,malta,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,3.2000000000000003e-06,2.6e-06,2.9e-06,3e-06,3.1e-06,3.2000000000000003e-06,2.9e-06,4e-06,4.1000000000000006e-06,4.1000000000000006e-06,4.3e-06,4.1000000000000006e-06,3.9e-06,3.8e-06,3.9e-06,3.8e-06,3.8e-06,4e-06,4.7e-06,4.3e-06,4.3e-06,4.2e-06,4e-06,3.9e-06,3.9e-06,3.4e-06,3.5e-06,4e-06,5e-07,5e-07,8.454545454545455e-07,1.1909090909090909e-06,1.5363636363636364e-06,1.8818181818181816e-06,2.2272727272727278e-06,2.572727272727273e-06,2.9181818181818183e-06,3.263636363636364e-06,3.609090909090909e-06,3.954545454545455e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06,4.3e-06
PD22,baseline,malta,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0018916999999999,0.0019722999999999,0.0021315,0.0020983,0.0019741999999999,0.0017689,0.0020158,0.0020865,0.0018447,0.0020315,0.0018815,0.0018333,0.0018212,0.0018192,0.0017604,0.0018589,0.0018801,0.0018131,0.0018149,0.0016017,0.0014913,0.001454,0.0014873,0.0014646,0.0014437,0.001444,0.0014131,0.0013745,0.0013671,0.0013517,0.0013924999999999,0.0014333,0.0014740999999999,0.0015149,0.0015557,0.0015965,0.0016373,0.0016781,0.0017189,0.0017597,0.0018005,0.00179439,0.00178828,0.00178217,0.00177606,0.00176995,0.00176384,0.00175773,0.00175162,0.00174551,0.0017393999999999,0.00173329,0.00172718,0.00172107,0.00171496,0.00170885,0.00170274,0.00169663,0.00169052,0.00168441,0.0016783
PD22,baseline,malta,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0017790999999999,0.001759,0.0019003,0.0019116,0.0018935,0.001751,0.0014666999999999,0.0015168,0.0013955999999999,0.0015083,0.0015647999999999,0.0015502,0.0015517,0.0015347,0.0014476,0.0015309999999999,0.0014904999999999,0.0014841,0.0015158,0.0013009,0.0013013999999999,0.0010157,0.0010159,0.0010573999999999,0.0010341,0.0009882,0.0009493,0.0008686,0.0008097,0.0007952,0.0008599909090909,0.0009247818181818,0.0009895727272727,0.0010543636363636,0.0011191545454545,0.0011839454545454,0.0012487363636363,0.0013135272727272,0.0013783181818181,0.001443109090909,0.0015079,0.00150533,0.00150276,0.00150019,0.0014976199999999,0.00149505,0.00149248,0.0014899099999999,0.00148734,0.0014847699999999,0.0014822,0.00147963,0.0014770599999999,0.00147449,0.0014719199999999,0.00146935,0.00146678,0.0014642099999999,0.00146164,0.0014590699999999,0.0014565
PD22,baseline,malta,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,2.57e-05,2.59e-05,2.79e-05,2.78e-05,2.7e-05,2.4500000000000003e-05,2.4e-05,2.48e-05,2.24e-05,2.4500000000000003e-05,2.41e-05,2.57e-05,2.42e-05,2.5e-05,2.3e-05,2.43e-05,2.41e-05,2.4e-05,2.44e-05,2.13e-05,2.03e-05,1.7899999999999998e-05,1.82e-05,1.83e-05,1.82e-05,1.7999999999999997e-05,1.7500000000000002e-05,1.65e-05,1.32e-05,1.3e-05,1.4e-05,1.5e-05,1.6e-05,1.7e-05,1.8e-05,1.9e-05,2e-05,2.1e-05,2.2e-05,2.3000000000000003e-05,2.4e-05,2.3935e-05,2.387e-05,2.3805e-05,2.374e-05,2.3675e-05,2.3610000000000003e-05,2.3545e-05,2.348e-05,2.3415e-05,2.335e-05,2.3285e-05,2.322e-05,2.3155e-05,2.309e-05,2.3025000000000004e-05,2.2960000000000004e-05,2.2895000000000004e-05,2.2830000000000003e-05,2.2765000000000003e-05,2.2700000000000003e-05
PD22,baseline,malta,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,4.59e-05,4.57e-05,4.81e-05,4.81e-05,4.71e-05,4.39e-05,4.06e-05,4.16e-05,3.82e-05,4.11e-05,4.12e-05,4.62e-05,4.2e-05,4.47e-05,4.04e-05,4.28e-05,4.22e-05,4.25e-05,4.36e-05,3.77e-05,3.61e-05,3.12e-05,3.18e-05,3.18e-05,3.2e-05,3.16e-05,3.07e-05,2.89e-05,1.94e-05,1.91e-05,2.1227272727272727e-05,2.3354545454545457e-05,2.5481818181818183e-05,2.760909090909091e-05,2.973636363636364e-05,3.186363636363636e-05,3.3990909090909097e-05,3.6118181818181816e-05,3.824545454545455e-05,4.037272727272727e-05,4.25e-05,4.2395e-05,4.229e-05,4.2185e-05,4.208e-05,4.1975e-05,4.187e-05,4.1765e-05,4.166e-05,4.1555e-05,4.1450000000000005e-05,4.1345e-05,4.124e-05,4.1135e-05,4.103e-05,4.0925e-05,4.082e-05,4.0715e-05,4.061e-05,4.0505e-05,4.04e-05
PD22,baseline,malta,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,2.25e-05,2.34e-05,2.4e-05,2.3800000000000003e-05,2.31e-05,2.21e-05,2.4e-05,2.41e-05,2.2e-05,2.2700000000000003e-05,2.02e-05,1.95e-05,1.91e-05,2.01e-05,2.03e-05,2.11e-05,2.18e-05,2.05e-05,2.08e-05,1.88e-05,1.74e-05,1.72e-05,1.7500000000000002e-05,1.6899999999999997e-05,1.66e-05,1.7e-05,1.67e-05,1.67e-05,1.59e-05,1.58e-05,1.621818181818182e-05,1.6636363636363637e-05,1.7054545454545456e-05,1.7472727272727275e-05,1.789090909090909e-05,1.830909090909091e-05,1.872727272727273e-05,1.9145454545454543e-05,1.956363636363637e-05,1.9981818181818185e-05,2.04e-05,2.034e-05,2.028e-05,2.022e-05,2.016e-05,2.01e-05,2.004e-05,1.998e-05,1.992e-05,1.986e-05,1.98e-05,1.974e-05,1.968e-05,1.962e-05,1.956e-05,1.95e-05,1.944e-05,1.938e-05,1.932e-05,1.926e-05,1.92e-05
PD22,baseline,malta,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,1.46e-05,1.46e-05,2.5e-05,2.08e-05,2.08e-05,2.08e-05,2.08e-05,2.08e-05,2.41e-05,9.4e-06,9.4e-06,6.2e-06,1.25e-05,1.08e-05,1.34e-05,1.2e-05,1.93e-05,1.19e-05,7.100000000000001e-06,8.6e-06,8.5e-06,9.6e-06,4.09e-05,7.06e-05,8.05e-05,8.51e-05,4.42e-05,1.3e-05,2.7e-05,2.81e-05,2.6827272727272727e-05,2.5554545454545453e-05,2.428181818181818e-05,2.3009090909090907e-05,2.1736363636363635e-05,2.0463636363636364e-05,1.919090909090909e-05,1.7918181818181818e-05,1.6645454545454547e-05,1.5372727272727272e-05,1.41e-05,1.4105e-05,1.411e-05,1.4115e-05,1.412e-05,1.4125e-05,1.413e-05,1.4135e-05,1.414e-05,1.4145e-05,1.4150000000000002e-05,1.4155e-05,1.4160000000000002e-05,1.4165e-05,1.4170000000000002e-05,1.4175e-05,1.418e-05,1.4185e-05,1.419e-05,1.4195e-05,1.42e-05
PD22,baseline,malta,Commercial,Biofuels and Waste,Biodiesels,BIODIESEL,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
