model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,mexico,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11551456540701888,0.229938035236962,0.3431415225439618,0.4549810410124613,0.5652957675129711,0.6739061126314723,0.7806115799420061,0.885188393379976,0.987386870700507,1.0869285197230585,1.183502832937236,1.2767637551619473,1.3663257984201524,1.4517597781523537,1.5325881455145058,1.6082798920000119,1.678245005245217,1.7418284589281015,1.79830372551074,1.846865808626431,1.886623802651144,1.916593000961641,1.9356865921522821,1.942707005671474,1.942707005671474,1.942707005671474,1.942707005671474,1.942707005671474,1.942707005671474,1.942707005671474
PD22,baseline,mexico,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mexico,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0219816,0.0209049,0.0215953,0.0220773,0.024327,0.0237809,0.0238524,0.0220779,0.0233552,0.0212952,0.0212285,0.0230052,0.021093,0.0221795,0.0225521,0.0197813,0.0216919,0.021863900000000002,0.0220097,0.0190245,0.02133,0.0184051,0.020657000000000002,0.021266200000000002,0.021223299999999997,0.0214465,0.0227288,0.021915700000000003,0.0212619,0.0201518,0.02027379090909091,0.02039578181818182,0.020517772727272728,0.020639763636363637,0.020761754545454546,0.020883745454545456,0.021005736363636365,0.021127727272727274,0.021249718181818183,0.021371709090909092,0.0214937,0.021469945,0.02144619,0.021422435,0.02139868,0.021374925,0.02135117,0.021327415,0.02130366,0.021279905,0.02125615,0.021232395,0.02120864,0.021184885,0.02116113,0.021137375,0.02111362,0.021089865,0.02106611,0.021042355,0.0210186
PD22,baseline,mexico,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0005698999999999999,0.0005420000000000001,0.0005599,0.0005724,0.0006307000000000001,0.0006165000000000001,0.0006184,0.0005724,0.0006055,0.0005521,0.0005504,0.0005964000000000001,0.0005469,0.000575,0.0005847000000000001,0.0005128,0.0005624,0.0005668,0.0005706,0.0004932000000000001,0.0005530000000000001,0.0004772,0.0005356,0.0005513,0.0005502,0.0005560000000000001,0.0005893000000000001,0.0005682,0.0005512000000000001,0.0005225,0.0005256545454545454,0.0005288090909090909,0.0005319636363636364,0.0005351181818181818,0.0005382727272727273,0.0005414272727272727,0.0005445818181818181,0.0005477363636363636,0.0005508909090909091,0.0005540454545454545,0.0005572,0.000556585,0.00055597,0.000555355,0.00055474,0.000554125,0.00055351,0.000552895,0.00055228,0.000551665,0.00055105,0.000550435,0.00054982,0.0005492050000000001,0.0005485900000000001,0.000547975,0.0005473600000000001,0.0005467450000000001,0.00054613,0.0005455150000000001,0.0005449000000000001
PD22,baseline,mexico,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.005726,0.0053913,0.0056283,0.0054064,0.0058487,0.0057222,0.0061843,0.005858100000000001,0.0061101,0.0056925,0.0057708,0.0062998,0.0059534,0.0063583,0.0063768,0.0057613000000000004,0.0063959,0.0066714,0.0070225999999999995,0.006132500000000001,0.0067995,0.0055863,0.0065869,0.006548,0.0071448,0.0067961,0.0074212,0.0072139,0.0068817,0.0067765,0.006902663636363637,0.007028827272727274,0.007154990909090909,0.007281154545454546,0.0074073181818181824,0.007533481818181819,0.007659645454545456,0.007785809090909092,0.007911972727272728,0.008038136363636365,0.008164300000000001,0.008233635000000001,0.008302970000000002,0.008372305000000002,0.00844164,0.008510975,0.00858031,0.008649645000000001,0.008718980000000001,0.008788315000000001,0.008857650000000002,0.008926985,0.00899632,0.009065655,0.00913499,0.009204325000000001,0.009273660000000001,0.009342995,0.00941233,0.009481665,0.009551
PD22,baseline,mexico,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007963566666666661,0.001592713333333334,0.002389070000000002,0.003185426666666668,0.003981783333333334,0.004778140000000002,0.005574496666666668,0.006370853333333334,0.007167210000000002,0.007963566666666668,0.008759923333333336,0.00955628,0.010352636666666668,0.011148993333333336,0.011945350000000004,0.012741706666666667,0.013538063333333334,0.01433442,0.014687924666666668,0.014970728400000001,0.0151828312,0.015324233066666667,0.015394934,0.015394934,0.015394934,0.015394934,0.015394934,0.015394934,0.015394934,0.015394934
PD22,baseline,mexico,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,2.097167,2.0835963000000004,2.044704,2.0919247,2.0804651,2.0548015,1.9954681,2.0201538,2.0352425000000003,1.9879900000000001,2.0094631,2.0166068,2.0645623,2.0691671,2.0585546,2.0442706,2.0556284999999996,2.0718367,2.094566,2.1267339,2.1466727999999997,2.1640099,2.1078535,2.1351719,2.1659802,2.1992667000000004,2.2163209999999998,2.2454473,2.2759421000000004,2.3000969,2.3158018090909094,2.3315067181818185,2.3472116272727273,2.3629165363636364,2.3786214454545456,2.3943263545454547,2.410031263636364,2.425736172727273,2.4414410818181818,2.457145990909091,2.4728509,2.486086715,2.49932253,2.512558345,2.5257941600000002,2.539029975,2.55226579,2.565501605,2.57873742,2.591973235,2.60520905,2.618444865,2.63168068,2.644916495,2.65815231,2.671388125,2.68462394,2.697859755,2.71109557,2.724331385,2.7375672
PD22,baseline,mexico,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mexico,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.07071899999999999,0.07113630000000001,0.07106130000000001,0.073035,0.0729144,0.0726495,0.0711464,0.0722705,0.0716612,0.0716778,0.0720258,0.0725223,0.07349850000000001,0.07334220000000001,0.07404340000000001,0.0743516,0.0751262,0.0755967,0.0761604,0.0768675,0.07750220000000001,0.0780067,0.0774443,0.07841240000000001,0.0789165,0.07994570000000001,0.0808685,0.08203959999999999,0.0834371,0.0846369,0.0851124,0.0855879,0.0860634,0.0865389,0.0870144,0.0874899,0.0879654,0.0884409,0.0889164,0.0893919,0.0898674,0.090379355,0.09089131,0.091403265,0.09191522,0.092427175,0.09293913,0.093451085,0.09396304,0.094474995,0.09498695,0.095498905,0.09601086,0.096522815,0.09703477,0.097546725,0.09805868,0.098570635,0.09908259,0.099594545,0.1001065
PD22,baseline,mexico,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.005063799999999999,0.0052266000000000005,0.0053936,0.0054125,0.0054349,0.0053841,0.0052372,0.0053668,0.0051651,0.0053236,0.0053466,0.005367,0.005351600000000001,0.0052292,0.005420899999999999,0.0054691,0.0055396,0.0055567,0.0055658,0.005584100000000001,0.005643500000000001,0.0056827,0.0057782,0.0058904,0.0058717,0.0059647,0.0060857,0.0062442,0.006445800000000001,0.0066186,0.006617436363636363,0.006616272727272727,0.006615109090909091,0.006613945454545455,0.006612781818181818,0.006611618181818182,0.006610454545454545,0.006609290909090909,0.006608127272727273,0.006606963636363637,0.0066058,0.00664364,0.00668148,0.00671932,0.00675716,0.006795,0.00683284,0.00687068,0.00690852,0.0069463599999999995,0.0069841999999999994,0.00702204,0.00705988,0.00709772,0.00713556,0.0071734,0.00721124,0.00724908,0.00728692,0.00732476,0.0073625999999999995
