model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,nethland,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.025148549432696843,-0.05035412505457648,-0.07561672686563847,-0.10093635486588237,-0.12631300905530773,-0.15174668943391523,-0.17723739600170485,-0.2027851287586755,-0.22838988770482804,-0.2540516728401616,-0.27977048416467665,-0.30554632167837226,-0.33137918538124844,-0.3572690752733061,-0.3832159913545439,-0.40921993362496223,-0.4352809020845607,-0.4613988967333398,-0.487573917571299,-0.5138059645984379,-0.5400950378147564,-0.5664411372202551,-0.5928442628149322,-0.6193044145987898,-0.6458215925718267,-0.6723387705448627,-0.6988559485178991,-0.7253731264909355,-0.7518903044639724,-0.7784074824370084
PD22,baseline,nethland,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nethland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0001608,0.0001633,0.0001581,0.0001555,0.0001613,0.00017050000000000002,0.00018240000000000002,0.0001828,0.0001874,0.0001536,0.0002024,0.00020810000000000002,0.00020999999999999998,0.0002059,0.0002087,0.0002037,0.00020580000000000002,0.0002033,0.00022869999999999998,0.0002138,0.0002112,0.0002079,0.0002056,0.0002068,0.00018759999999999998,0.0001841,0.0001603,0.0001486,0.0001577,0.0001815,0.00018319999999999998,0.0001849,0.00018659999999999998,0.0001883,0.00018999999999999998,0.0001917,0.00019339999999999998,0.0001951,0.00019679999999999999,0.0001985,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002,0.0002002
PD22,baseline,nethland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,4.2e-06,4.2e-06,4.1000000000000006e-06,4e-06,4.2e-06,4.4e-06,4.7e-06,4.7e-06,4.9e-06,4e-06,5.199999999999999e-06,5.4e-06,5.4e-06,5.3e-06,5.4e-06,5.3e-06,5.3e-06,5.3e-06,5.9e-06,5.5e-06,5.5e-06,5.4e-06,5.3e-06,5.4e-06,4.9e-06,4.8e-06,4.2e-06,3.9e-06,4.1000000000000006e-06,4.7e-06,4.745454545454545e-06,4.790909090909091e-06,4.836363636363636e-06,4.8818181818181815e-06,4.927272727272727e-06,4.972727272727272e-06,5.018181818181818e-06,5.063636363636363e-06,5.1090909090909085e-06,5.154545454545454e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06,5.199999999999999e-06
PD22,baseline,nethland,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0005262999999999999,0.0005085,0.0005298000000000001,0.0005486,0.0005132,0.0005561,0.0006051,0.0005562000000000001,0.0004854,0.0005393,0.0006076,0.0005676,0.0005706999999999999,0.0005711000000000001,0.0005981999999999999,0.0005712,0.0005541000000000001,0.0005344,0.0006265,0.0006397000000000001,0.000597,0.0005635,0.0005761,0.0005817,0.0005795,0.000569,0.000497,0.000521,0.0004802,0.0005455999999999999,0.0005514818181818181,0.0005573636363636363,0.0005632454545454544,0.0005691272727272726,0.0005750090909090908,0.000580890909090909,0.0005867727272727272,0.0005926545454545454,0.0005985363636363635,0.0006044181818181817,0.0006102999999999999,0.0006097949999999999,0.00060929,0.0006087849999999999,0.0006082799999999999,0.000607775,0.0006072699999999999,0.0006067649999999999,0.00060626,0.0006057549999999999,0.0006052499999999999,0.000604745,0.0006042399999999999,0.000603735,0.00060323,0.0006027249999999999,0.00060222,0.000601715,0.0006012099999999999,0.000600705,0.0006002
PD22,baseline,nethland,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.003525866666824029,-0.007059746666977507,-0.010601640000460377,-0.014151546667272474,-0.017709466667413687,-0.02127540000088418,-0.02484934666768368,-0.028431306667811962,-0.0320212800012693,-0.03561926666805537,-0.03922526666817017,-0.04283928000161369,-0.04646130666838577,-0.05009134666848619,-0.053729400001915284,-0.05737546666867249,-0.061029546668757984,-0.06469164000217176,-0.06836174666891354,-0.07203986666898338,-0.07572600000238117,-0.0794201466691068,-0.08312230666916015,-0.0868324800025414,-0.09055066666925005,-0.09427686666928653,-0.09800306666932285,-0.10172926666935916,-0.10545546666939548,-0.10918166666943191
PD22,baseline,nethland,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.428082,0.43458300000000005,0.425505,0.416282,0.4077381,0.40445760000000003,0.3957796,0.381729,0.37384500000000004,0.369428,0.3569774,0.3564257,0.3427504,0.3370903,0.3351414,0.3373068,0.3319304,0.3363464,0.348682,0.35198250000000003,0.3516088,0.3457343,0.34471949999999996,0.3548913,0.36586900000000006,0.3809412,0.3844751,0.3598089,0.3298475,0.3341975,0.33342690909090905,0.3326563181818182,0.33188572727272725,0.3311151363636363,0.33034454545454545,0.3295739545454545,0.32880336363636364,0.3280327727272727,0.3272621818181818,0.3264915909090909,0.325721,0.32457589,0.32343078,0.32228566999999997,0.32114055999999996,0.31999544999999996,0.31885034,0.31770523,0.31656012,0.31541501,0.3142699,0.31312479,0.31197968,0.31083457,0.30968945999999997,0.30854435,0.30739924,0.30625413,0.30510902,0.30396391,0.3028188
PD22,baseline,nethland,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nethland,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.1514896,0.1499993,0.15118020000000001,0.1497125,0.14873509999999998,0.1502502,0.1471567,0.1439255,0.13762960000000002,0.1425353,0.1379029,0.13596789999999997,0.1260544,0.12179269999999999,0.12178950000000001,0.1230871,0.1221315,0.1256039,0.13079949999999999,0.1320574,0.1347863,0.1344792,0.1328636,0.1346625,0.13643719999999998,0.14147569999999998,0.1414637,0.1374846,0.1302703,0.131109,0.13044131818181817,0.12977363636363637,0.12910595454545454,0.12843827272727273,0.1277705909090909,0.1271029090909091,0.12643522727272727,0.12576754545454547,0.12509986363636363,0.12443218181818182,0.1237645,0.12354823,0.12333196,0.12311569,0.12289942,0.12268314999999999,0.12246688,0.12225061,0.12203433999999999,0.12181807,0.1216018,0.12138552999999999,0.12116926,0.12095299,0.12073671999999999,0.12052045,0.12030418,0.12008790999999999,0.11987163999999999,0.11965537,0.11943909999999999
PD22,baseline,nethland,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.004777999999999999,0.004791699999999999,0.0047681,0.0046833,0.0046102,0.0046079,0.0045203,0.0044007,0.004292799999999999,0.0043438999999999995,0.0042087,0.0041712,0.0039662000000000005,0.0038159,0.0038168000000000004,0.0038605,0.0038058000000000002,0.0038871,0.0040474,0.004082499999999999,0.004125200000000001,0.0040748,0.0040415,0.0041336,0.0042318,0.0044044999999999996,0.0044256,0.0042261,0.0039534,0.0039913,0.003974009090909091,0.003956718181818182,0.003939427272727273,0.003922136363636364,0.0039048454545454543,0.0038875545454545453,0.0038702636363636364,0.0038529727272727274,0.003835681818181818,0.003818390909090909,0.0038011,0.00379036,0.00377962,0.00376888,0.00375814,0.0037474,0.00373666,0.00372592,0.0037151800000000002,0.0037044400000000002,0.0036937000000000003,0.00368296,0.00367222,0.00366148,0.00365074,0.00364,0.00362926,0.00361852,0.00360778,0.00359704,0.0035863
