model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,panama,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0593100403380901,-0.1187545705635617,-0.1783335906764138,-0.2380471006766473,-0.2978951005642596,-0.3578775903392541,-0.4179945700016292,-0.478246039551383,-0.5386319989885155,-0.5991524483130313,-0.6598073875249231,-0.7205968166241963,-0.78152073561085,-0.8425791444848807,-0.903772043246292,-0.9650994318950818,-1.0265613104312514,-1.0881576788547995,-1.149888537165725,-1.211753885364029,-1.2737537234497145,-1.3358880514227751,-1.3981568692832145,-1.4605601770310326,-1.5230979746662283,-1.5856357723014236,-1.6481735699366205,-1.7107113675718164,-1.7732491652070124,-1.8357869628422063
PD22,baseline,panama,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0004022,0.0003965,0.0004171,0.0003982,0.0003957,0.0004018,0.000391,0.0002999,0.0003373,0.0003138,0.0003359,0.0003689,0.0003643,0.0004039,0.0003911,0.0003479,0.0003587,0.0003282999999999,0.0003277,0.000336,0.0003421,0.0003578999999999,0.0003493,0.0003559,0.0003315,0.0003821999999999,0.0003614,0.0003499,0.0003561,0.0003361,0.0003400909090909,0.0003440818181818,0.0003480727272727,0.0003520636363636,0.0003560545454545,0.0003600454545454,0.0003640363636363,0.0003680272727272,0.0003720181818181,0.000376009090909,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.04e-05,1.03e-05,1.08e-05,1.03e-05,1.03e-05,1.04e-05,1.01e-05,7.8e-06,8.7e-06,8.1e-06,8.7e-06,9.6e-06,9.4e-06,1.05e-05,1.01e-05,8.999999999999999e-06,9.3e-06,8.5e-06,8.5e-06,8.7e-06,8.9e-06,9.3e-06,9.1e-06,9.2e-06,8.6e-06,9.9e-06,9.4e-06,9.1e-06,9.2e-06,8.7e-06,8.809090909090909e-06,8.918181818181818e-06,9.027272727272728e-06,9.136363636363636e-06,9.245454545454546e-06,9.354545454545455e-06,9.463636363636364e-06,9.572727272727271e-06,9.681818181818182e-06,9.790909090909093e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06
PD22,baseline,panama,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,9.74e-05,9.28e-05,9.32e-05,9.28e-05,9.66e-05,9.89e-05,9.73e-05,6.87e-05,8.690000000000001e-05,8.05e-05,9.22e-05,0.0001086,0.0001145,0.0001277,0.0001067,9.93e-05,0.000104,9.97e-05,0.0001025,0.0001012,9.65e-05,0.0001032,9.41e-05,0.000104,9.49e-05,0.0001001,0.0001081,0.0001058,0.0001107,0.0001017,0.0001040181818181,0.0001063363636363,0.0001086545454545,0.0001109727272727,0.0001132909090909,0.000115609090909,0.0001179272727272,0.0001202454545454,0.0001225636363636,0.0001248818181818,0.0001272,0.000128605,0.00013001,0.000131415,0.00013282,0.000134225,0.00013563,0.000137035,0.0001384399999999,0.000139845,0.00014125,0.000142655,0.00014406,0.0001454649999999,0.0001468699999999,0.0001482749999999,0.00014968,0.0001510849999999,0.0001524899999999,0.0001538949999999,0.0001552999999999
PD22,baseline,panama,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0825108,0.0832735,0.0848606,0.0856032,0.0866846,0.0868195,0.0860536,0.0815591,0.082611,0.0817536,0.0806561,0.0908994,0.091288,0.0893364,0.0882307,0.0928942,0.0926329,0.0908572,0.095243,0.096241,0.0973957,0.1022008,0.1019568,0.1017696,0.0964447,0.0910588,0.0917453,0.0899051,0.0918407,0.0882686,0.0897385636363636,0.0912085272727272,0.0926784909090909,0.0941484545454545,0.0956184181818181,0.0970883818181818,0.0985583454545454,0.1000283090909091,0.1014982727272727,0.1029682363636363,0.1044382,0.1055137199999999,0.10658924,0.10766476,0.10874028,0.1098157999999999,0.1108913199999999,0.11196684,0.11304236,0.1141178799999999,0.1151934,0.11626892,0.11734444,0.1184199599999999,0.1194954799999999,0.120571,0.12164652,0.1227220399999999,0.12379756,0.12487308,0.1259486
PD22,baseline,panama,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0020797,0.0021838,0.0022294,0.0022402,0.0022808,0.0022854,0.0022335,0.0021444,0.0022435,0.0022425,0.0022684,0.0024462,0.002464,0.0024186,0.0023958,0.0024699,0.0024493,0.0024755,0.0025867,0.0025246,0.0025561,0.0027159,0.0027448,0.0027574,0.0027288,0.0026719,0.0027014,0.0027078,0.0027176,0.00267,0.0026997,0.0027294,0.0027591,0.0027888,0.0028185,0.0028482,0.0028779,0.0029076,0.0029373,0.002967,0.0029967,0.003028325,0.00305995,0.003091575,0.0031232,0.003154825,0.00318645,0.003218075,0.0032497,0.003281325,0.00331295,0.003344575,0.0033762,0.003407825,0.00343945,0.003471075,0.0035027,0.003534325,0.00356595,0.003597575,0.0036292
PD22,baseline,panama,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,8.85e-05,0.0001010999999999,0.0001094,0.0001055,0.0001048,0.0001056,9.91e-05,9.74e-05,0.0001059,0.0001132,0.0001171,0.0001272,0.0001249,0.0001254,0.0001218,0.0001214,0.0001189,0.0001341,0.000137,0.0001227,0.0001262,0.0001414,0.0001448,0.0001464,0.0001518,0.000158,0.0001652,0.0001708,0.000164,0.0001627,0.0001640363636363,0.0001653727272727,0.000166709090909,0.0001680454545454,0.0001693818181818,0.0001707181818181,0.0001720545454545,0.0001733909090909,0.0001747272727272,0.0001760636363636,0.0001774,0.000179865,0.00018233,0.000184795,0.00018726,0.000189725,0.00019219,0.000194655,0.00019712,0.000199585,0.00020205,0.000204515,0.00020698,0.000209445,0.00021191,0.000214375,0.00021684,0.000219305,0.00022177,0.000224235,0.0002267
