model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,romania,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0843620531723479,-0.168724106344734,-0.2530861595171689,-0.3374482126896518,-0.4218102658621872,-0.5061723190347776,-0.5905343722074266,-0.6748964253801368,-0.759258478552912,-0.8436205317257519,-0.9279825848986656,-1.0123446380716512,-1.096706691244716,-1.1810687444178596,-1.2654307975910832,-1.3497928507643977,-1.4341549039378003,-1.5185169571112933,-1.6028790102848856,-1.687241063458572,-1.771603116632364,-1.85596516980626,-1.9403272229802615,-2.024689276154376,-2.1090513293286035,-2.193413382502833,-2.2777754356770634,-2.362137488851292,-2.44649954202552,-2.5308615951997497
PD22,baseline,romania,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,romania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0091529,0.0093111999999999,0.010609,0.0107593,0.0106670999999999,0.0110833999999999,0.0107849,0.0106959999999999,0.0105057,0.009911,0.0098052,0.0106288,0.009776,0.0099456,0.0110577,0.0096936,0.008945,0.0081645,0.0088478999999999,0.0086321,0.0079976,0.0091054999999999,0.0095182,0.0090744,0.0090572999999999,0.0093034,0.0092821999999999,0.0087183,0.0088964,0.0095941,0.0094786454545454,0.0093631909090909,0.0092477363636363,0.0091322818181818,0.0090168272727272,0.0089013727272727,0.0087859181818181,0.0086704636363636,0.008555009090909,0.0084395545454545,0.0083241,0.00832806,0.0083320199999999,0.00833598,0.0083399399999999,0.0083439,0.0083478599999999,0.00835182,0.0083557799999999,0.00835974,0.0083636999999999,0.0083676599999999,0.00837162,0.0083755799999999,0.00837954,0.0083834999999999,0.00838746,0.0083914199999999,0.00839538,0.0083993399999999,0.0084032999999999
PD22,baseline,romania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0002373,0.0002414,0.000275,0.0002789,0.0002766,0.0002873,0.0002796,0.0002772999999999,0.0002723999999999,0.000257,0.0002542,0.0002756,0.0002535,0.0002578,0.0002867,0.0002513,0.0002319,0.0002117,0.0002294,0.0002238,0.0002073,0.0002361,0.0002468,0.0002353,0.0002348,0.0002412,0.0002406,0.000226,0.0002306,0.0002487,0.000245709090909,0.0002427181818181,0.0002397272727272,0.0002367363636363,0.0002337454545454,0.0002307545454545,0.0002277636363636,0.0002247727272727,0.0002217818181818,0.0002187909090909,0.0002158,0.000215905,0.00021601,0.000216115,0.0002162199999999,0.0002163249999999,0.0002164299999999,0.0002165349999999,0.0002166399999999,0.0002167449999999,0.0002168499999999,0.000216955,0.00021706,0.000217165,0.00021727,0.000217375,0.00021748,0.000217585,0.00021769,0.000217795,0.0002179
PD22,baseline,romania,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0039847,0.0041262,0.0028458,0.0035276,0.00401,0.0043415999999999,0.0030827,0.0046102,0.0034589,0.0035945,0.0025974,0.004179,0.003215,0.0027922,0.004997,0.0042007,0.0034813,0.0020293,0.003711,0.0032809,0.0035711,0.0043036,0.0029544,0.0043048999999999,0.0045181,0.0041553,0.0045461999999999,0.0054575,0.0061135,0.0059735,0.0057684909090909,0.0055634818181818,0.0053584727272727,0.0051534636363636,0.0049484545454545,0.0047434454545454,0.0045384363636363,0.0043334272727272,0.0041284181818181,0.003923409090909,0.0037183999999999,0.003720045,0.0037216899999999,0.003723335,0.0037249799999999,0.003726625,0.0037282699999999,0.003729915,0.0037315599999999,0.003733205,0.0037348499999999,0.003736495,0.00373814,0.003739785,0.00374143,0.003743075,0.00374472,0.0037463649999999,0.00374801,0.0037496549999999,0.0037513
PD22,baseline,romania,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0388487866662039,-0.0776975733324141,-0.1165463599986291,-0.1553951466648513,-0.1942439333310806,-0.2330927199973178,-0.2719415066635626,-0.3107902933298159,-0.3496390799960771,-0.3884878666623486,-0.4273366533286289,-0.4661854399949199,-0.5050342266612198,-0.5438830133275321,-0.5827317999938555,-0.62158058666019,-0.6604293733265365,-0.6992781599928954,-0.7381269466592677,-0.7769757333256537,-0.8158245199920517,-0.8546733066584644,-0.8935220933248926,-0.9323708799913346,-0.971219666657794,-1.010068453324268,-1.0489172399907414,-1.0877660266572151,-1.1266148133236884,-1.1654635999901624
PD22,baseline,romania,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.6033387,0.5378372,0.4717263,0.4040391,0.4162234,0.3838673999999999,0.3797771,0.3701333,0.3568305,0.346221,0.3386039999999999,0.3228535,0.3145178,0.3217515999999999,0.3216374999999999,0.3159935,0.323532,0.3286625,0.3266755999999999,0.317285,0.3052711,0.2581961,0.2568571999999999,0.2596943,0.2628118,0.2692516,0.2726123,0.2709195,0.2668523,0.2639622,0.2687111272727273,0.2734600545454545,0.2782089818181818,0.282957909090909,0.2877068363636363,0.2924557636363636,0.2972046909090909,0.3019536181818181,0.3067025454545454,0.3114514727272727,0.3162004,0.3151912699999999,0.31418214,0.31317301,0.31216388,0.31115475,0.31014562,0.30913649,0.30812736,0.30711823,0.3061091,0.30509997,0.30409084,0.30308171,0.30207258,0.30106345,0.30005432,0.29904519,0.29803606,0.29702693,0.2960178
PD22,baseline,romania,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,romania,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.1069496,0.1028502,0.0922151,0.0799587,0.0781583,0.0700708999999999,0.0715719,0.0719055,0.0663708,0.0666693,0.0602216,0.0562221,0.0549499,0.0579731999999999,0.0609541,0.0671996,0.0675369,0.0687503,0.0655157,0.0629446999999999,0.0601825,0.0547042,0.0542452,0.0537817,0.0537766,0.0520688,0.0515618,0.049688,0.0459258,0.0455436,0.047653809090909,0.0497640181818181,0.0518742272727272,0.0539844363636363,0.0560946454545454,0.0582048545454545,0.0603150636363636,0.0624252727272727,0.0645354818181818,0.0666456909090909,0.0687559,0.0686051999999999,0.0684545,0.0683038,0.0681531,0.0680023999999999,0.0678517,0.067701,0.0675503,0.0673996,0.0672489,0.0670982,0.0669475,0.0667968,0.0666461,0.0664954,0.0663447,0.066194,0.0660433,0.0658926,0.0657419
PD22,baseline,romania,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0058802,0.0054607,0.0047697,0.0041199,0.0041252,0.0036809,0.0037252,0.0036957,0.0034297,0.0033818,0.0031627,0.0029348,0.0028473,0.0029853,0.0030031,0.0031619,0.0032216999999999,0.0032807,0.0031923,0.0030768,0.0029378,0.0025615,0.0025412,0.0025426,0.0025518999999999,0.0025564,0.0025707,0.002515,0.0023385,0.0023063,0.0023869454545454,0.0024675909090909,0.0025482363636363,0.0026288818181818,0.0027095272727272,0.0027901727272727,0.0028708181818181,0.0029514636363636,0.003032109090909,0.0031127545454545,0.0031934,0.0031849,0.0031764,0.0031679,0.0031593999999999,0.0031509,0.0031424,0.0031339,0.0031254,0.0031168999999999,0.0031084,0.0030999,0.0030914,0.0030829,0.0030743999999999,0.0030659,0.0030574,0.0030489,0.0030404,0.0030318999999999,0.0030234
