model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,venezuela,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2495342481096756,-0.4996343335166173,-0.7503002562208074,-1.0015320162222636,-1.253329613520961,-1.505693048116921,-1.758622320010126,-2.012117429200586,-2.266178375688302,-2.520805159473266,-2.775997780555482,-3.031756238934932,-3.2880805346116446,-3.544970667585602,-3.802426637856808,-4.060448445425248,-4.319036090290943,-4.57818957245388,-4.837908891914061,-5.098194048671477,-5.359045042726141,-5.62046187407805,-5.882444542727185,-6.144993048673573,-6.408107391917188,-6.67122173516081,-6.934336078404428,-7.197450421648046,-7.460564764891668,-7.72367910813529
PD22,baseline,venezuela,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,venezuela,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0015984,0.0016369,0.0014594,0.0014573,0.0014724999999999,0.0015636,0.0014294,0.0015838,0.0014138999999999,0.0014355,0.0017343,0.0018811,0.0016323,0.0018968,0.0021793999999999,0.0023822,0.002446,0.0025344,0.0026712,0.002504,0.0021648,0.0020350999999999,0.0021185,0.0022475999999999,0.0021423,0.0016679,0.0015245,0.0014953,0.0015621,0.0017457,0.0019099909090909,0.0020742818181818,0.0022385727272727,0.0024028636363636,0.0025671545454545,0.0027314454545454,0.0028957363636363,0.0030600272727272,0.0032243181818181,0.003388609090909,0.0035529,0.003572475,0.00359205,0.003611625,0.0036312,0.003650775,0.00367035,0.003689925,0.0037095,0.003729075,0.00374865,0.003768225,0.0037878,0.003807375,0.00382695,0.003846525,0.0038661,0.003885675,0.00390525,0.003924825,0.0039444
PD22,baseline,venezuela,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,4.14e-05,4.24e-05,3.78e-05,3.78e-05,3.82e-05,4.05e-05,3.71e-05,4.11e-05,3.67e-05,3.72e-05,4.5e-05,4.88e-05,4.23e-05,4.92e-05,5.650000000000001e-05,6.18e-05,6.34e-05,6.57e-05,6.93e-05,6.49e-05,5.61e-05,5.28e-05,5.49e-05,5.83e-05,5.55e-05,4.32e-05,3.95e-05,3.88e-05,4.05e-05,4.53e-05,4.9554545454545457e-05,5.380909090909091e-05,5.806363636363636e-05,6.231818181818182e-05,6.657272727272727e-05,7.082727272727274e-05,7.508181818181818e-05,7.933636363636364e-05,8.359090909090908e-05,8.784545454545455e-05,9.21e-05,9.261e-05,9.312e-05,9.363e-05,9.414e-05,9.465e-05,9.516e-05,9.567e-05,9.618e-05,9.669e-05,9.72e-05,9.771e-05,9.822e-05,9.873e-05,9.924e-05,9.975e-05,0.00010026,0.00010077,0.00010128,0.00010179,0.0001023
PD22,baseline,venezuela,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0004124,0.0004992,0.0004411,0.000462,0.0004802,0.0005153,0.0004816,0.0005063,0.0004542,0.0004618,0.0005917,0.0006199,0.0005192,0.0006211999999999,0.0007286,0.0007177,0.0008037,0.0007952,0.0008197,0.0007751,0.0007379999999999,0.0007082,0.0006494,0.0007066,0.0006924,0.0004699,0.0004156,0.0004129999999999,0.0005013999999999,0.0005414,0.0006047181818181,0.0006680363636363,0.0007313545454545,0.0007946727272727,0.0008579909090909,0.000921309090909,0.0009846272727272,0.0010479454545454,0.0011112636363636,0.0011745818181818,0.0012379,0.0012485999999999,0.0012592999999999,0.0012699999999999,0.0012806999999999,0.0012913999999999,0.0013020999999999,0.0013127999999999,0.0013234999999999,0.0013341999999999,0.0013449,0.0013555999999999,0.0013663,0.001377,0.0013877,0.0013984,0.0014091,0.0014198,0.0014305,0.0014412,0.0014519
PD22,baseline,venezuela,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,venezuela,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.7888975,0.8066101999999999,0.8115317,0.7958726,0.8225889,0.8285279000000001,0.8325674000000001,0.8458116999999999,0.8624041,0.87814,0.8964695,0.9137318,0.9316217,0.9406394,0.9545309,0.9780984,0.9802737,0.9986081,1.0132935,1.013504,0.8503125,0.8636784,1.0154804,1.0105224,1.0036849,1.0060232,0.9873089,0.9637841,0.9540754,0.9533273,0.9757863363636364,0.9982453727272728,1.0207044090909092,1.0431634454545455,1.065622481818182,1.0880815181818182,1.1105405545454543,1.1329995909090909,1.1554586272727274,1.1779176636363635,1.2003767,1.210696215,1.22101573,1.231335245,1.24165476,1.251974275,1.2622937900000002,1.272613305,1.28293282,1.293252335,1.30357185,1.313891365,1.32421088,1.334530395,1.3448499100000002,1.355169425,1.36548894,1.375808455,1.38612797,1.3964474850000002,1.406767
PD22,baseline,venezuela,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,venezuela,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0232127,0.0239693,0.0244945,0.0248731,0.0259128,0.0247179,0.0248164,0.0248308,0.0255156,0.0258721,0.0263179,0.027064,0.027509,0.0270245,0.0275167,0.0284271,0.028537,0.0288708999999999,0.0298395,0.0299038,0.0271603999999999,0.0278834,0.0310432,0.0307942,0.0307567999999999,0.0309326,0.0300448,0.0290825,0.0284644,0.02786,0.0286117,0.0293633999999999,0.0301151,0.0308668,0.0316185,0.0323702,0.0331218999999999,0.0338736,0.0346253,0.035377,0.0361287,0.03641714,0.03670558,0.03699402,0.03728246,0.0375709,0.03785934,0.03814778,0.03843622,0.03872466,0.0390131,0.03930154,0.03958998,0.03987842,0.04016686,0.0404553,0.04074374,0.04103218,0.04132062,0.04160906,0.0418975
PD22,baseline,venezuela,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0010298,0.001077,0.0011357,0.001222,0.0013021,0.0011135,0.0011056999999999,0.0010709,0.0011154,0.0011156,0.0011291,0.0011634,0.0011801,0.0011355999999999,0.001171,0.0012404999999999,0.0012359,0.00124,0.0013151999999999,0.0013283,0.0013469,0.0014129,0.0014732,0.0014560999999999,0.0014629,0.001474,0.0013951,0.001313,0.0012499,0.0011819,0.0012256909090909,0.0012694818181818,0.0013132727272727,0.0013570636363636,0.0014008545454545,0.0014446454545454,0.0014884363636363,0.0015322272727272,0.0015760181818181,0.001619809090909,0.0016635999999999,0.001676045,0.00168849,0.001700935,0.00171338,0.0017258249999999,0.0017382699999999,0.001750715,0.00176316,0.001775605,0.00178805,0.001800495,0.00181294,0.001825385,0.00183783,0.001850275,0.00186272,0.001875165,0.00188761,0.001900055,0.0019125
PD22,baseline,venezuela,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0022177,0.0022762,0.002391,0.0025556,0.0026591999999999,0.0025402,0.0025821,0.0025629,0.0026496,0.0025996,0.0026654,0.0027695,0.0027891,0.0025291,0.0025687,0.0027247,0.0027924,0.0029924,0.0034134,0.0034121,0.0032886,0.0034495,0.0037067999999999,0.0034686,0.0035578,0.0037265,0.0035546,0.0035044,0.0034084,0.0029384,0.0030205545454545,0.003102709090909,0.0031848636363636,0.0032670181818181,0.0033491727272727,0.0034313272727272,0.0035134818181818,0.0035956363636363,0.0036777909090909,0.0037599454545454,0.0038420999999999,0.003874495,0.00390689,0.003939285,0.00397168,0.004004075,0.0040364699999999,0.004068865,0.00410126,0.004133655,0.00416605,0.004198445,0.00423084,0.004263235,0.00429563,0.004328025,0.00436042,0.004392815,0.00442521,0.004457605,0.00449
PD22,baseline,venezuela,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0211046,0.0217399,0.0218321,0.0213672,0.0220998,0.0220742,0.0222007,0.0225326,0.0230334,0.0236642,0.0241195,0.0247548,0.0252696,0.0254403,0.02582,0.0263541,0.0263740999999999,0.0264655,0.0265184,0.0265744,0.0223578,0.0226078,0.026465,0.0266571,0.0263665999999999,0.0262171,0.0258319,0.0251384,0.0249339,0.0254831,0.0261170636363636,0.0267510272727272,0.0273849909090909,0.0280189545454545,0.0286529181818181,0.0292868818181818,0.0299208454545454,0.030554809090909,0.0311887727272727,0.0318227363636363,0.0324567,0.03273467,0.0330126399999999,0.03329061,0.03356858,0.03384655,0.03412452,0.03440249,0.03468046,0.03495843,0.0352364,0.03551437,0.03579234,0.03607031,0.03634828,0.03662625,0.03690422,0.03718219,0.03746016,0.03773813,0.0380161
