model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,vietnam,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03332303892506072,0.0663427474432412,0.09902336040806042,0.1313249392751119,0.16320289602981103,0.19460746554350633,0.2254831214619361,0.2557679304446514,0.28539283932356735,0.31428088955247635,0.34234635320151463,0.36949378474188066,0.3956169830045444,0.42059785802893146,0.4443051981001695,0.46659333317421703,0.4873006921891345,0.5062482535510582,0.523237890471603,0.5380506159385632,0.5504447360535376,0.5601539254046622,0.5668852441959746,0.5703171241526792,0.5703171241526792,0.5703171241526792,0.5703171241526792,0.5703171241526792,0.5703171241526792,0.5703171241526792
PD22,baseline,vietnam,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,vietnam,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.010369,0.0108202,0.0111637,0.0113326,0.011535,0.0119448,0.0124776,0.012783899999999999,0.0131765,0.0138375,0.0138865,0.0136065,0.013909800000000002,0.014080500000000001,0.0142343,0.0141932,0.0141723,0.014177400000000001,0.015352900000000001,0.0144512,0.0146353,0.0148911,0.0151769,0.0154401,0.015325,0.0152692,0.0150458,0.014908600000000001,0.0145034,0.0141783,0.014283972727272727,0.014389645454545455,0.014495318181818182,0.01460099090909091,0.014706663636363637,0.014812336363636363,0.01491800909090909,0.015023681818181818,0.015129354545454545,0.015235027272727273,0.0153407,0.015416000000000001,0.0154913,0.0155666,0.0156419,0.0157172,0.0157925,0.0158678,0.0159431,0.0160184,0.0160937,0.016169,0.0162443,0.0163196,0.0163949,0.0164702,0.016545499999999998,0.016620799999999998,0.0166961,0.0167714,0.0168467
PD22,baseline,vietnam,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0002688,0.00028050000000000004,0.0002894,0.0002938,0.0002991,0.0003097,0.0003235,0.0003314,0.0003416,0.0003588,0.00035999999999999997,0.0003528,0.0003606,0.000365,0.000369,0.000368,0.0003674,0.0003676,0.000398,0.0003747,0.0003794,0.0003861,0.0003935,0.00040029999999999997,0.0003973,0.0003959,0.0003901,0.0003865,0.00037600000000000003,0.0003676,0.0003703363636363636,0.0003730727272727273,0.0003758090909090909,0.00037854545454545454,0.00038128181818181816,0.00038401818181818184,0.00038675454545454547,0.0003894909090909091,0.0003922272727272727,0.0003949636363636364,0.0003977,0.000399655,0.00040161,0.00040356500000000004,0.00040552000000000003,0.000407475,0.00040943,0.000411385,0.00041334000000000005,0.00041529500000000004,0.00041725000000000003,0.000419205,0.00042116,0.00042311500000000006,0.00042507000000000005,0.00042702500000000004,0.00042898000000000003,0.000430935,0.00043289000000000007,0.00043484500000000006,0.00043680000000000005
PD22,baseline,vietnam,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.005313900000000001,0.0054621,0.0058297,0.0060809,0.0062517,0.0065295,0.0068871,0.0071151999999999995,0.0074937,0.0079173,0.0081308,0.008036,0.0084557,0.008558099999999999,0.0088488,0.0088254,0.0088254,0.0088725,0.0094255,0.009393700000000001,0.0096299,0.010067399999999999,0.0102994,0.0104216,0.010526500000000001,0.010556300000000001,0.010217200000000001,0.0101168,0.0102151,0.0100632,0.010014536363636363,0.009965872727272727,0.00991720909090909,0.009868545454545454,0.009819881818181818,0.009771218181818182,0.009722554545454546,0.00967389090909091,0.009625227272727273,0.009576563636363637,0.0095279,0.009565,0.0096021,0.0096392,0.0096763,0.0097134,0.0097505,0.0097876,0.0098247,0.0098618,0.0098989,0.009936,0.0099731,0.0100102,0.0100473,0.0100844,0.0101215,0.0101586,0.0101957,0.0102328,0.0102699
PD22,baseline,vietnam,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.165666666666669e-05,8.331333333333338e-05,0.00012497000000000007,0.00016662666666666665,0.00020828333333333335,0.00024993999999999993,0.0002915966666666666,0.0003332533333333332,0.0003749099999999999,0.0004165666666666666,0.0004582233333333333,0.00049988,0.0005415366666666667,0.0005831933333333333,0.0006248499999999999,0.0006665066666666666,0.0007081633333333333,0.00074982,0.0007914766666666666,0.0008331333333333333,0.0008747899999999999,0.0009164466666666665,0.0009581033333333332,0.00099976,0.0010414166666666666,0.0010414166666666666,0.0010414166666666666,0.0010414166666666666,0.0010414166666666666,0.0010414166666666666
PD22,baseline,vietnam,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.3210802,0.3222166,0.3280571,0.3395341,0.3478071,0.3563946,0.36393200000000003,0.3686135,0.3733576,0.37853190000000003,0.3799767,0.3659966,0.37520240000000005,0.3949306,0.4237985,0.4593123,0.5050933,0.5212385,0.4958101,0.48438729999999997,0.46919439999999996,0.442181,0.4260429,0.4217356,0.4254366,0.4357576,0.443003,0.4509061,0.4548336,0.4564012,0.4858909,0.5153806000000001,0.5448703,0.57436,0.6038497,0.6333394000000001,0.6628291000000001,0.6923188,0.7218085000000001,0.7512982000000001,0.7807879000000001,0.7985151950000001,0.81624249,0.8339697850000001,0.8516970800000001,0.8694243750000001,0.8871516700000002,0.9048789650000001,0.9226062600000001,0.9403335550000002,0.9580608500000001,0.9757881450000001,0.9935154400000001,1.0112427350000002,1.0289700300000002,1.0466973250000002,1.06442462,1.0821519150000003,1.09987921,1.1176065050000001,1.1353338000000002
PD22,baseline,vietnam,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,vietnam,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.079219,0.079478,0.0886084,0.09447799999999999,0.0986599,0.1028708,0.1067297,0.11058140000000001,0.1135847,0.1180853,0.1262191,0.1349977,0.1423531,0.15310100000000001,0.1602612,0.1683211,0.1662366,0.16607329999999998,0.1657756,0.1711867,0.1697999,0.1681189,0.1645326,0.1644551,0.1683612,0.1753878,0.1832948,0.17532060000000002,0.179667,0.13525479999999998,0.14191046363636362,0.14856612727272725,0.15522179090909088,0.16187745454545452,0.16853311818181815,0.17518878181818182,0.18184444545454545,0.18850010909090908,0.19515577272727272,0.20181143636363635,0.2084671,0.2101196,0.2117721,0.2134246,0.2150771,0.2167296,0.2183821,0.2200346,0.2216871,0.2233396,0.2249921,0.2266446,0.2282971,0.2299496,0.2316021,0.2332546,0.2349071,0.2365596,0.2382121,0.2398646,0.2415171
PD22,baseline,vietnam,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0053202,0.0053257,0.0055894000000000004,0.0058362,0.0060126,0.006194,0.0063845,0.0065415000000000004,0.0066611000000000005,0.0067987,0.006978600000000001,0.0069577,0.0072285000000000005,0.0076644,0.0080596,0.0086366,0.009202199999999999,0.0093877,0.009141400000000001,0.009105499999999999,0.0088827,0.0086111,0.008296900000000001,0.008149900000000002,0.008228899999999999,0.0084271,0.008668200000000001,0.0086386,0.0088089,0.0082695,0.008752609090909092,0.009235718181818182,0.009718827272727274,0.010201936363636364,0.010685045454545456,0.011168154545454546,0.011651263636363637,0.012134372727272727,0.012617481818181819,0.013100590909090909,0.0135837,0.0138537,0.014123700000000001,0.0143937,0.0146637,0.014933700000000001,0.0152037,0.0154737,0.0157437,0.0160137,0.016283699999999998,0.0165537,0.0168237,0.0170937,0.0173637,0.0176337,0.0179037,0.0181737,0.0184437,0.0187137,0.0189837
