model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,zambia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1703981728423578,0.33572596944766264,0.4956280534976545,0.6497482766054212,0.7977343464070099,0.939243013243173,1.0739456676285277,1.20153420151434,1.3217269500267945,1.4342745007416333,1.538965138528019,1.6356296889709654,1.724145534724946,1.8044396076682383,1.8764902043414518,1.9403275298484823,1.9960329414813405,2.0437369319929446,2.0836159575258146,2.1158882710352684,2.1408089641746013,2.158664446329603,2.1697665980450234,2.1744468285669245,2.1744468285669245,2.1744468285669245,2.1744468285669245,2.1744468285669245,2.1744468285669245,2.1744468285669245
PD22,baseline,zambia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,zambia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0021095000000000003,0.0017835000000000001,0.0018449,0.0017654,0.0018784000000000001,0.0014483999999999999,0.0018727000000000001,0.001807,0.00143,0.0016759,0.0016423000000000002,0.0016315,0.0012282,0.0018893,0.0017764,0.0013354999999999999,0.0021069,0.0016607000000000002,0.0015300000000000001,0.0025908000000000003,0.0030506,0.0031142,0.0030492,0.0028651,0.0034118,0.002467,0.0032608000000000003,0.004023,0.0030792000000000003,0.0024184000000000002,0.002390227272727273,0.0023620545454545454,0.002333881818181818,0.002305709090909091,0.002277536363636364,0.002249363636363636,0.002221190909090909,0.0021930181818181817,0.0021648454545454545,0.002136672727272727,0.0021084999999999997,0.0021286699999999996,0.0021488399999999995,0.00216901,0.0021891799999999998,0.0022093499999999997,0.0022295199999999996,0.0022496899999999995,0.00226986,0.0022900299999999998,0.0023101999999999997,0.0023303699999999996,0.0023505399999999995,0.00237071,0.0023908799999999997,0.0024110499999999997,0.0024312199999999996,0.0024513899999999995,0.00247156,0.0024917299999999997,0.0025118999999999996
PD22,baseline,zambia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,5.47e-05,4.62e-05,4.78e-05,4.58e-05,4.87e-05,3.76e-05,4.8599999999999995e-05,4.68e-05,3.71e-05,4.3400000000000005e-05,4.26e-05,4.23e-05,3.18e-05,4.9000000000000005e-05,4.61e-05,3.46e-05,5.4600000000000006e-05,4.31e-05,3.97e-05,6.72e-05,7.910000000000001e-05,8.07e-05,7.910000000000001e-05,7.43e-05,8.85e-05,6.4e-05,8.450000000000001e-05,0.0001043,7.98e-05,6.27e-05,6.197272727272728e-05,6.124545454545455e-05,6.051818181818182e-05,5.9790909090909094e-05,5.906363636363637e-05,5.833636363636364e-05,5.7609090909090914e-05,5.688181818181818e-05,5.6154545454545454e-05,5.542727272727273e-05,5.47e-05,5.522e-05,5.5740000000000005e-05,5.626e-05,5.678e-05,5.7300000000000004e-05,5.7820000000000005e-05,5.834000000000001e-05,5.886e-05,5.9380000000000004e-05,5.9900000000000006e-05,6.042000000000001e-05,6.094000000000001e-05,6.146000000000001e-05,6.198000000000001e-05,6.25e-05,6.302e-05,6.354e-05,6.406e-05,6.458000000000001e-05,6.510000000000001e-05
PD22,baseline,zambia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0002694,0.0002596,0.0001716,0.0003377,0.0002616,0.0001967,0.00031769999999999997,0.00025130000000000004,0.0001838,0.0002267,0.0002542,0.0002047,0.00016680000000000002,0.0002834,0.0002833,0.0002433,0.0003371,0.0003079,0.000288,0.0004644,0.0006047,0.0006495,0.0006418000000000001,0.0006189,0.0007239,0.0005856,0.0006506999999999999,0.0008261,0.0005889,0.0005106,0.0005365727272727273,0.0005625454545454546,0.0005885181818181818,0.0006144909090909091,0.0006404636363636365,0.0006664363636363637,0.000692409090909091,0.0007183818181818182,0.0007443545454545455,0.0007703272727272727,0.0007963,0.00082379,0.00085128,0.0008787700000000001,0.00090626,0.00093375,0.00096124,0.00098873,0.00101622,0.00104371,0.0010712,0.00109869,0.00112618,0.00115367,0.0011811600000000001,0.00120865,0.0012361400000000002,0.00126363,0.0012911200000000002,0.00131861,0.0013461
PD22,baseline,zambia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005337239999999993,0.010674479999999986,0.016011719999999993,0.02134896,0.026686200000000007,0.032023439999999986,0.03718432177259645,0.04232425911964756,0.04744077015042475,0.05253108025195755,0.057592087911006035,0.06262032663256695,0.06761192253107437,0.07256254713004048,0.07746736486309157,0.08232097472448563,0.08711734547071073,0.09184974372733698,0.09651138372733697,0.10063254372733697,0.10421322372733698,0.10725342372733697,0.10975314372733697,0.11171238372733697,0.11269200372733697,0.11269200372733697,0.11269200372733697,0.11269200372733697,0.11269200372733697,0.11269200372733697
PD22,baseline,zambia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.096384,0.09994199999999999,0.100606,0.09477200000000001,0.0881867,0.082387,0.076053,0.090784,0.0933835,0.0994873,0.0922725,0.095693,0.0908638,0.08747629999999999,0.0871058,0.09478879999999999,0.1019906,0.0919408,0.087775,0.11080970000000001,0.11336,0.0966194,0.1404483,0.1440713,0.146456,0.14222700000000002,0.1383368,0.1372006,0.1365862,0.1360717,0.1353497,0.1346277,0.1339057,0.1331837,0.1324617,0.13173970000000002,0.13101770000000001,0.13029570000000001,0.1295737,0.1288517,0.1281297,0.129794455,0.13145921000000002,0.133123965,0.13478872,0.13645347500000002,0.13811823,0.139782985,0.14144774000000002,0.143112495,0.14477725000000002,0.14644200500000001,0.14810676,0.14977151500000002,0.15143627,0.153101025,0.15476578000000002,0.156430535,0.15809529,0.15976004500000002,0.1614248
PD22,baseline,zambia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,zambia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0035882,0.0037334,0.0037761,0.0036316000000000005,0.0034292,0.0032431,0.0031071000000000002,0.003649,0.0037748,0.0039901,0.0037448000000000004,0.0038871,0.0036957,0.0035902,0.0036018,0.0038698,0.004161,0.0039676,0.004022,0.0048,0.0049238,0.004502,0.006605400000000001,0.0063485,0.0064249,0.006220600000000001,0.0061755,0.006183500000000001,0.0061422000000000004,0.0062614,0.006235200000000001,0.006209,0.0061828000000000004,0.006156600000000001,0.0061304,0.006104200000000001,0.006078,0.0060518,0.006025600000000001,0.0059994,0.0059732000000000006,0.006088785,0.006204370000000001,0.006319955,0.006435540000000001,0.0065511250000000005,0.006666710000000001,0.006782295000000001,0.006897880000000001,0.007013465000000001,0.007129050000000001,0.007244635000000001,0.007360220000000001,0.007475805000000001,0.007591390000000001,0.007706975000000001,0.007822560000000001,0.007938145,0.008053730000000002,0.008169315000000002,0.008284900000000001
PD22,baseline,zambia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0001853,0.0001885,0.0001873,0.00019020000000000002,0.0001906,0.0001843,0.0001912,0.0001969,0.000201,0.00020610000000000002,0.0001969,0.00020610000000000002,0.0001834,0.0001783,0.0001858,0.0001961,0.0002409,0.00029749999999999997,0.00036940000000000003,0.0003839,0.00038790000000000005,0.00042490000000000003,0.0007531,0.0005719999999999999,0.0005729999999999999,0.0005316,0.0005511,0.0005693,0.0005627,0.0006173999999999999,0.0006005090909090908,0.0005836181818181818,0.0005667272727272727,0.0005498363636363636,0.0005329454545454545,0.0005160545454545454,0.0004991636363636363,0.00048227272727272724,0.00046538181818181815,0.00044849090909090906,0.0004316,0.000445745,0.00045988999999999996,0.000474035,0.00048818,0.000502325,0.00051647,0.000530615,0.00054476,0.000558905,0.0005730500000000001,0.000587195,0.00060134,0.000615485,0.0006296300000000001,0.0006437750000000001,0.00065792,0.000672065,0.00068621,0.000700355,0.0007145000000000001
