model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,pathway,algeria,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027540917717016167,0.057715220989867366,0.09081825422061028,0.12717610695662773,0.16714821897620982,0.21113005129191675,0.2595557775451874,0.31290093441456024,0.37168495036915783,0.43647344892851825,0.5078801951489935,0.5865685220637102,0.6732520371617237,0.7686943679065358,0.8737076604056544,0.9891494979100998,1.1159178579236109,1.2549436814788908,1.4071805900370788,1.5735912604592728,1.7551299642388472,1.9527208030253447,2.167231239241676,2.3994406400508534,2.6500037367232743,2.919751000623143,3.2092251708206314,3.518512912419566,3.8473962634299967,4.195301893043359,4.561252772494433,4.943825243759606,5.34111485308974,5.750714506802418,6.169708429649637,6.594684998551453,7.021770751686824,7.446686742073633,7.8648269750153705,8.271357053443106,8.661329513484148,9.029810850729072,9.37201410111894,9.683430202662173,9.959951318761677,10.197979865792645,10.394518089351063,10.547234537205606,10.65450549812426,10.715431215422116,10.729828260114363,10.698200720620358,10.621693750059952,10.502033483528932,10.34145742360581,10.142639158295653,9.908610809043358,9.642686000878287,9.348385489269637,9.02936694112408,8.689359803701313,8.332105738310137,7.961304760364708,7.58056701317011,7.193369997126397,6.80302105789732,6.412624980359133,6.025056611673879,5.642938519277877,5.268623754012024,4.904183816772294,4.551401907998239,4.211771470350885,3.8864999215119767,3.576517328553413,3.282489614989583,3.0048357356444875,2.7437481211157486,2.4992155976105668,2.271047938564421
PD22,pathway,algeria,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,algeria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006571282431223516,0.013824776768556668,0.021840305642837964,0.03070685114475421,0.040523560525972085,0.051400850834230155,0.06346161922174617,0.07684256527733528,0.09169563102525563,0.10818956311508254,0.1265116000823997,0.14686928524558215,0.16949240265484145,0.194635029321664,0.22257769149641687,0.2536296057548715,0.28813097679205824,0.3264553127581728,0.3690117053349732,0.41624700515580954,0.46864780323940386,0.5267421055008396,0.591100559880294,0.662337064108454,0.7411085467827948,0.8281136758125398,0.9247393275198171,1.0312801158586775,1.1485571951597924,1.2774136242300673,1.4187029245160954,1.5732743703943128,1.7419546124712755,1.9255252925491917,2.124696412025225,2.340075373973694,2.5721318415789503,2.8211588471834554,3.087230946493787,3.3701606325498075,3.6694546839550086,3.9842725885917614,4.313389610952978,4.655167399630182,5.0075351953168274,5.367984633351118,5.733580784239103,6.100991410779933,6.4665354475667325,6.82625047865642,7.175977599559665,7.511460637393361,7.828455428233054,8.122843872958814,8.390746944280963,8.628630778550862,8.833400469314892,9.002477127402173,9.133855065854602,9.226137448658104,9.278550238830851,9.29093563724764,9.263727297900962,9.197910365863358,9.094969789701674,8.956830433961764,8.785792315998107,8.584463890041814,8.355695780444606,8.102516800421018,7.8280735444898015,7.53557435791718,7.228238093394148,6.909247776745257,6.581709119186314,6.2486137227349365,5.912806809769978,5.576959344959029,5.243544483609342,4.914818351423661
PD22,pathway,algeria,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,algeria,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004903290370491836,0.04223981902150403,0.08215889696871967,0.12484871166604958,0.17049580745660103,0.2192808309764471,0.27137335682671027,0.326925738437702,0.3860659649776996,0.4488895556136898,0.5154505886040218,0.5857520444823253,0.6597357379588851,0.7372722175889518,0.818151118243189,0.9020725483683827,0.9886401686191004,1.0773566556637602,1.1676222299339405,1.2587368465144375,1.349906497465509,1.4402538530570843,1.5288331902657115,1.6146492416131657,1.6966792771709085,1.77389744374654,1.845300164200247,1.9099312765613472,1.9669055854326423,2.015429610051883,2.054818531184091,2.084672078779812,2.1056417829761394,2.117551756176193,2.120366141037784,2.11418347853558,2.0992276272234487,2.0758360180524273,2.0444460458850924,2.0055803530948264,1.959831669431062,1.907847753952618,1.8503168563041736,1.7879539900590646,1.7214882006661412,1.6516509212194757,1.5791654437273779,1.5047374916826362,1.429046859077092,1.3527400774571214,1.2764240810749272,1.2006608551507538,1.1259630683780075,1.0527907033994266,0.9815487044856589,0.9125856579215685,0.8461935071237859,0.7826082823414164,0.7220117963522488,0.6645342262237245,0.6102574707162873,0.5592191468390141,0.5114170702996446,0.4668140549412328,0.42534286633844,0.3869111739811642,0.35140636341161996,0.31870009219318446,0.28376931646401304,0.25202440761079736,0.22324335673897347,0.19720978589671126,0.17371468578239413,0.15255777405011747,0.13354850139874286,0.11650674008208534,0.10126319367739775,0.08765956845541345,0.0755485461024609,0.06479359542432517
