model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,belgium,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.002510396640487425,0.0020749326011746533,0.007601991702485711,0.01412845550114801,0.021712545018438695,0.03041197106837476,0.04028261754020715,0.05137694009804171,0.06374206327131894,0.07741757003218754,0.09243299357310039,0.10880504147858337,0.12653460779401288,0.14560365800559283,0.16597210425636139,0.1875748209130782,0.2103189805883704,0.23408191378721632,0.258709706841994,0.28401674812035904,0.30978640783756506,0.3357729900795281,0.36170502729139514,0.3872899010995667,0.4122196757787503,0.4361779315948348,0.4588472959223592,0.4799173016800661,0.49909216454293703,0.5160980682307643,0.530689581851813,0.5425712208329726,0.5518023891237102,0.5582849650817472,0.5619646115850813,0.5628303122229198,0.5609126266549748,0.5562808793864555,0.5490395246674433,0.5393239353768856,0.5272958495626566,0.5131386800670485,0.49705285602895244,0.47925132528566994,0.4599553081665095,0.43939035908987734,0.4177827647541681,0.39535628744881435,0.3723292490700043,0.34891194504597706,0.3253043762889536,0.3016942899141728,0.2782555240983199,0.25514665743640996,0.2325099670511352,0.21047070140737228
PD22,pathway,belgium,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014926074287775493,0.0003109689772489849,0.0004868630815056425,0.0006786109536829119,0.0008880739165462317,0.0011173284750249544,0.0013686903505011638,0.0016447409862847971,0.0019483567232367774,0.002282740845376708,0.0026514586909477346,0.0030584760131140924,0.0035082007539335215,0.004005528362777815,0.0045558907426444615,0.005165308840639216,0.005840448807519481,0.006588681529662657,0.007418145178377291,0.008337810218149454,0.00935754605826917,0.01048818821125781,0.011741604425856717,0.013130757780832076,0.014669764147510214,0.01637394074404425,0.018259841705897145,0.02034527568251651,0.02264929944479096,0.025192180367617476,0.027995319468223794,0.031086100843752004,0.03448833619448023,0.038226480007664584,0.04232528965599335,0.046809398566600956,0.05170278300658813,0.0570281125871366,0.06280597758149736,0.06905399075179258,0.07578576783423274,0.08300979929382324,0.09072823641323163,0.09893562696769459,0.1076176490793095,0.11674990538206143,0.12629685200953022,0.1362109464378434,0.14643210295960385,0.15688754262861468
PD22,pathway,belgium,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,7.16548433330863e-05,0.00047209611737239227,0.000906794329726435,0.0013797714403153258,0.0018955143762614559,0.0024590269653575244,0.0030758872092921095,0.003752310326550698,0.004495217996800459,0.005312314229137418,0.0062121682521638156,0.007204304779494935,0.008299301934135493,0.009508897012029794,0.010846100119963245,0.01232531552551668,0.013962470294181413,0.015775149446370745,0.017782736427716817,0.020006557130395182,0.02247002500954862,0.025198783983935293,0.028220844769486324,0.03156670904477468,0.03526947436743159,0.03936491103510797,0.043891500108498675,0.04889041959828723,0.054405463397201544,0.06048287498065475,0.06717107531677632,0.07452265048337035,0.08260005912597967,0.09145679715758,0.10114609266868266,0.11171975375356538,0.12322676507478658,0.13571161824621214,0.14921237105376353,0.1637584444803773,0.17936818478527777,0.19604624047587385,0.2137808303448003,0.232541007572959,0.25227405415244175,0.27290316663529074,0.2943256147862852,0.3164115649669983,0.3390037558952566,0.36191819241955125,0.3849459812453012,0.4078563715419337,0.4304009862417986,0.4523191427278315,0.473344073087426
PD22,pathway,belgium,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,belgium,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,0.0002655731790732873,0.000619511375873876,0.0009608233507511993,0.0012873791690683834,0.001597368240599929,0.001889318125643958,0.002162100056587358,0.002414922391942952,0.002647313796231881,0.0028590982889865092,0.0030503644372038875,0.003221430908068172,0.0033728103966485165,0.0035051736454556563,0.003619314925838602,0.0037161199947503658,0.0037965372043358894,0.0038615521459306624,0.003912165965072916,0.0039493772932569626,0.003974167603209599,0.0039874897018148114,0.003990259020988046,0.003983347343808388,0.003967578603370539,0.0039437264082823175,0.00391251297577332,0.00387460918642653,0.0038306355101281366,0.0037811635884559373,0.0037267182926969938,0.0036677801079516483,0.0036047877217729677,0.003538140720294741,0.0034682023158502835,0.0033953020478564803,0.00331973841352802,0.0032417813971082326,0.003161674876106333,0.003079638890843433,0.0029810644031145177,0.0028824899153856026,0.0027839154276566892,0.002685340939927774,0.0025867664521988624,0.0024881919644699473,0.0023896174767410357,0.002291042989012119,0.0021924685012832037,0.002093894013554292,0.001995319525825377,0.0018967450380964635,0.0017981705503675484,0.0016995960626386367,0.0016010215749097216,0.0015024470871808082,0.001403872599451893,0.001305298111722978,0.0012067236239940646,0.0011081491362651512,0.0010095746485362378
PD22,pathway,belgium,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005273056484589617,0.012037740826864214,0.019361700516490006,0.02728048204203961,0.03582850661320272,0.04503808385333965,0.05493823971843062,0.06555335500592446,0.0769016204363285,0.08899332690524944,0.10182902509238723,0.11539760679125621,0.1296743802248704,0.14461923180936861,0.16017498529935104,0.1762660834552038,0.19279772445303214,0.2096555823752335,0.22670622593515705,0.2437983208092267,0.26076465884935507,0.2774250042392492,0.29358968656918405,0.30906380977584286,0.3236518908705289,0.33716270027618517,0.34941405213547666,0.3602372916227668,0.36948124765275714,0.3770154609181832,0.3827325537628009,0.38672544168403333,0.38899188887611763,0.38952510987385114,0.38834392764158204,0.38549104202290413,0.3810307907311235,0.37504655554791283,0.3676379576581133,0.35891796865316117,0.349010041168694,0.3380453386269257,0.3261601198216665,0.3134933130923082,0.30018429781991895,0.28637089849718295,0.27218758865250486,0.2577638979791335,0.2432230153501054,0.2286805820156787
PD22,pathway,belgium,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
