model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,benin,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.023040054718837744,0.07763964699873482,0.13170482572761133,0.1846616309074237,0.23593437407171147,0.2849598928568756,0.33120165824052394,0.37416298947012927,0.41339869460930656,0.4485245769612719,0.4792244142364669,0.5052542079836629,0.5264436936502569,0.542695276655208,0.5539807015893026,0.5603358607923937,0.5618542022378722,0.5586792076844904,0.550996387387346,0.5390251865913601,0.5230111314993794,0.5032184676318406,0.4799234690922163,0.45340852881831645,0.4239570809783832,0.3918493589884766,0.35735895646808674,0.3207501330769119,0.2822757912234674,0.2421760414404604,0.20067727206263197,0.1587596429321112,0.11769850366488782,0.07772104492230841,0.03902282923865391,0.001767632181967127,-0.03391214714432961,-0.06791453355358462,-0.10016652606839727,-0.13062221305026606,-0.15926052878751906,-0.18608273868734376,-0.21110974562404766,-0.2343793099405734,-0.2559432703976797,-0.2758648438520851,-0.2942160688059971,-0.3138152056286086,-0.33162673135136045,-0.3477752288069261,-0.3623821187475702,-0.375564685077205,-0.38743531297919165,-0.39810092467288793,-0.40766259335370303,-0.41621531351795155
PD22,pathway,benin,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037333694372904765,0.000777808051349222,0.001217761424467036,0.0016973688763999228,0.0022212860221417813,0.002794706698926811,0.003423423081754592,0.004113891979945248,0.00487330781237568,0.005709682761236044,0.006631934593230386,0.0076499826088886,0.008774852129298088,0.010018787848350945,0.011395376259217558,0.012919677195766359,0.014608364301061294,0.01647987393110369,0.018554561605672523,0.020854864609552066,0.023405468704247392,0.026233476107330733,0.02936857090691938,0.03284317687442557,0.036692601192149454,0.04095515589915411,0.04567224686158136,0.050888417786158886,0.056651334230914424,0.0630116897650717,0.07002301346942211,0.0777537995436909,0.08626360676559441,0.09561360167736359,0.10586570841039429,0.11708154107850255,0.1293210700805276,0.14264099755522974,0.15709282471811856,0.17272060531470365,0.18955839556931728,0.20762743217283244,0.22693309599955466,0.24746174972669965,0.2691775709000739,0.292019535851381,0.3158987408394109,0.3406962706007294,0.3662618363592727,0.39241340050208856
PD22,pathway,benin,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,benin,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,benin,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003834715039041841,0.0007989223360014936,0.001250818630946387,0.001743445449603359,0.0022815847877360146,0.00287057147386504,0.003516354916682166,0.004225567201283709,0.005005598045383877,0.005864677128915557,0.006811964299214806,0.007857648124961383,0.009013053219294784,0.010290756669108015,0.01170471378489564,0.01327039321298125,0.01500492121715602,0.016927234624543774,0.019058241523437203,0.02142098827847892,0.024040830767913444,0.026945606922880824,0.03016580663221623,0.03373473383916592,0.03768865417059243,0.042066919679604686,0.04691206023105145,0.052269828709813955,0.058189184597476726,0.06472219758485127,0.07192384984677586,0.07986449491835738,0.08860530835279308,0.09820911711197867,0.10873952631239985,0.12025982263726236,0.13283160443470424,0.14651311307298603,0.1613572478134749,0.17740925827940526,0.19470412518131572,0.21326366169875835,0.2330933947746114,0.2541793168889516,0.2764846331555139,0.29994666336477566,0.3244740904051649,0.3499447709536801,0.3762043365130559,0.4030658078989965
PD22,pathway,benin,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,benin,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2588552696932269e-05,2.6226918623981993e-05,4.1061711469198584e-05,5.723360065378559e-05,7.489956891323639e-05,9.42347473049517e-05,0.00011543444224432064,0.00013871637095902648,0.0001643231221418759,0.00019252485865623502,0.0002236222787801031,0.00025794985152206536,0.0002958793398105987,0.0003378236226197978,0.00038424082306904526,0.0004356387438696564,0.0004925796037837602,0.0005556850585112819,0.0006256414760576273,0.0007032054194863423,0.0007892092682733677,0.0008845668824045496,0.0009902791799883191,0.0011074394585456205,0.0012372382413622738,0.0013809673725238246,0.0015400230169066492,0.0017159071442699103,0.001910226990112635,0.002124691891478178,0.002361106796057037,0.0026217812605570543,0.0029087235480886485,0.0032239961339923856,0.0035696870387665913,0.003947873829423253,0.004360578648530163,0.004809713436155945,0.005297014762378344,0.005823968075948583,0.006391721719086376,0.007000991772015377,0.007651959672498146,0.008344165583490964,0.009076401607249117,0.00984661008599988,0.010651793273471485,0.011487941464529321,0.012349987070205789,0.013231791962137326,0.014126174551552496
PD22,pathway,benin,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,benin,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,benin,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
