model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,brazil,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,1.6066664568053175,3.5374488226406022,5.626063858566209,7.884343431160653,10.32423145536601,12.957567178222964,15.795815057159496,18.84973625672699,22.12899827088169,25.6417214596264,29.393964492680187,33.38915489439917,37.62747607623327,42.1052282971942,46.814187621266,51.74099366749159,56.86660310075324,62.165850542938486,67.60716094238776,73.1524564794345,78.75729602841352,84.37127561091518,89.93870425289637,95.39955193619352,100.69064632150636,105.7470745937154,110.50372845412888,114.89691626131692,118.86595850911948,122.35468238763347,125.3127382872035,127.7502304893453,129.64398443701288,130.97387069029526,131.72874210767608,131.90633869662028,131.51292970435605,130.56273690122424,129.07718884775088,127.08405699342514,124.61652154437093,121.71220924329326,118.41223768885884,114.76029266328264,110.80175703238775,106.58290279087949,102.15015215909791,97.54940948041602,92.82546301345376,88.02145440451844,83.17841340251388,78.33485591674288,73.52644446824131,68.78571110830181,64.14184367688942,59.6205366221314
PD22,pathway,brazil,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696504138509473,0.1451092734942135,0.2271877686109876,0.3166642002211627,0.4144071282583387,0.521385524368405,0.6386799871703688,0.7674951106613073,0.9091730986081128,1.0652087181769267,1.237265684014788,1.4271945587263994,1.637052246107316,1.8691231383437064,2.125941956116168,2.410318289204336,2.725362802543238,3.0745150159740344,3.4615724919950868,3.8907211709403633,4.366566473017892,4.894164636839717,5.4790535794453525,6.12728233813315,6.84543788453939,7.640667781799829,8.520696783012383,9.493835042476409,10.568975132702692,11.755574537434327,13.063619738568724,14.505889137593828,16.093494127545014,17.837846048906457,19.750497579363916,21.842943559164045,24.126372174121634,26.61136187755404,29.307520829152725,32.22306777516816,35.36435630626094,38.73534837779866,42.33704785540073,46.16691053552207,50.21825331647226,54.47969151258611,58.93463908149042,63.5609109770747,68.33046905410355,73.2093520470459
PD22,pathway,brazil,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,brazil,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,brazil,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,1.4734440979841956,3.11198612653045,4.6439857683918895,6.062636252610989,7.362685446032161,8.54046835776131,9.593884237845682,10.522324880901971,11.326562879326667,12.008609726212828,12.571553905518307,13.019388576038088,13.35683735647087,13.5891852652421,13.722120259189596,13.761589213679024,13.713670713652586,13.58446575682128,13.380006443833151,13.106181951905665,12.768680542228084,12.372946008063032,11.924146794060311,11.427155970819106,10.886540297496376,10.306556718961122,9.691154797631476,9.043983754101014,8.368402970348496,7.667494984454175,6.944080169556203,6.249847241575719,5.594280279709125,4.977832729140851,4.400477351636323,3.861764207129805,3.360880493949195,2.896710368642479,2.46789307114129,2.072877953054192,1.6510011919206775,1.2676032468595535,0.9200024384470606,0.6055851519019011,0.3218268192309539,0.0663083187358808,-0.1632718794927024,-0.3690894035297969,-0.5531890357958378,-0.7174826481036749,-0.8637495354193653,-0.9936386938348224,-1.1086726262029725,-1.2102523039834756,-1.2996629619980449
PD22,pathway,brazil,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,brazil,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010062837137478,0.0020964857286202,0.0032823258165441,0.0045750485860925,0.0059872026736235,0.0075327874272015,0.0092274149405858,0.0110884887474227,0.013135400517,0.0153897460988176,0.0178755622338089,0.0206195851738844,0.0236515323130374,0.0270044077143546,0.0307148320954854,0.0348233973823241,0.0393750453245314,0.0444194688472158,0.0500115337448895,0.056211716953035,0.0630865558989852,0.0707091012695457,0.0791593628653315,0.0885247349655812,0.0989003837281686,0.1103895745319883,0.1231039117854765,0.1371634575595932,0.1526966884906737,0.1698402428459948,0.1887384016647547,0.2095757826196146,0.2325129190546044,0.2577146778448272,0.2853479678535991,0.3155788623300629,0.3485690040922479,0.3844712267659914,0.4234243455295821,0.4655471018239105,0.5109312900038425,0.5596341509519596,0.6116701881516979,0.667002643880449,0.7255349631284649,0.7871026641197204,0.8514661177781939,0.918304802668972,0.9872136339209968,1.0577019515867847,1.1291956852395366
PD22,pathway,brazil,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,brazil,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,brazil,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
