model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,canada,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.0747018660789378,-0.0091591172124287,0.0745387247709394,0.1777807900874641,0.302053566319729,0.4489379719398083,0.6201033530583131,0.8172976612315768,1.0423329821481924,1.297065510881107,1.5833690207627091,1.9031008647202357,2.258059598311311,2.649933443803055,3.0802390473248216,3.5502503390826083,4.060917809246887,4.612779171269715,5.205863198922957,5.839589473136797,6.512667814596616,7.223002233363651,7.967605191961598,8.742528720680752,9.542819293809046,10.362503224879962,11.19460854561203,12.031227829416215,12.863624220536046,13.682380149629871,14.477585076870572,15.236565352639587,15.953698540287238,16.619667859659753,17.225697889350695,17.763794573901894,18.226957384328028,18.609353601014405,18.906447616037983,19.115081502715267,19.23350648632648,19.2613680169804,19.199649620457915,19.0505824223266,18.81752815661248,18.50484363611164,18.117734204775317,17.662102783664743,17.144399942818907,16.571479151482674,15.950460119076215,15.288602042448744,14.593187685997473,13.87141856906262,13.13032111849105,12.37666343894179
PD22,pathway,canada,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074083001360594,0.0154344100936888,0.0241646112931018,0.033681686983281,0.0440780207168646,0.0554566762429271,0.067932590407549,0.081633888707465,0.0967033333719158,0.1132999138912437,0.1316005896941811,0.1518021941150644,0.1741235077730739,0.1988075078740568,0.2261237975764829,0.2563712162295526,0.2898806267554976,0.3270178704163928,0.3681868713415837,0.413832863100135,0.4644456968396183,0.5205631745790958,0.5827743316062133,0.6517225680296375,0.7281085008331195,0.8126923737829703,0.9062958229077818,1.0098027498790982,1.1241590047285162,1.2503705237344709,1.3894995095617968,1.5429051247516437,1.7117692220739311,1.8973055579241715,2.1007429218951184,2.323303951755238,2.5661786682655148,2.830492238568791,3.117266625447682,3.427376008043403,3.761496179993826,4.120048550919737,4.503139896034578,4.910499603543998,5.341416831682311,5.794680659168525,6.268526927354087,6.760595944874201,7.267905461033174,7.786843218069074
PD22,pathway,canada,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,-0.2827937145182133,-0.1033261301725048,0.0580516931579087,0.1973819729407289,0.3112491779158155,0.39684207330634,0.4519914985115552,0.4751837916317694,0.4655513310940797,0.4228429246465897,0.3473776573043281,0.239986287053993,0.1019443751806683,-0.0650988812229282,-0.2591926010060899,-0.4781540417662153,-0.719634045264943,-0.9811765184523296,-1.2602709714808285,-1.5543976579030518,-1.861065286146979,-1.7084925228230698,-1.4451606429942103,-1.2074569253549514,-0.993246773129175,-0.8005175806887834,-0.6273832507580712,-0.4720856411087171,-0.3329935601974494,-0.2085998593475917,-0.0975170948643109,-0.0078986182940541,0.0765148950920933,0.1563724282823377,0.2320821384467439,0.3038313010026385,0.3716086664056193,0.4352284068720944,0.4943548307295597,0.548527088342033,0.5971831781303838,0.6396826735675563,0.6509710740011785,0.6580343573868107,0.6597649750051771,0.6550834892180506,0.6429472392126825,0.6223571140905111,0.5923625690246876,0.55206505735572,0.5006200724170462,0.4372380003722858,0.3768289513701634,0.3231839967289324,0.2756743341876356
PD22,pathway,canada,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,canada,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,0.0051444058612274,0.0107510891692966,0.0158565768397625,0.020481802839589,0.0246501123477457,0.0283865003140028,0.0317169431713306,0.0346678273022287,0.0372654728285768,0.0395357476325098,0.0415037640737487,0.0431936494502252,0.0446283806428256,0.0458296733891334,0.0468179170649704,0.047612146565205,0.048230043746269,0.0486879618306677,0.0490009671127094,0.0491828932000115,0.0492464038493998,0.0492030611935821,0.0490633968008125,0.0488369835645309,0.0485325068883783,0.0481578340218016,0.0477200807209436,0.04722567466789,0.0466804152872565,0.0456992639854377,0.0447181126836189,0.0437369613818002,0.0427558100799815,0.0417746587781627,0.040793507476344,0.0398123561745253,0.0388312048727065,0.0378500535708878,0.036868902269069,0.0358877509672503,0.0349065996654315,0.0339254483636128,0.0329442970617941,0.0319631457599753,0.0309819944581566,0.0300008431563378,0.0290196918545191,0.0280385405527003,0.0270573892508816,0.0260762379490629,0.0250950866472441,0.0241139353454253,0.0231327840436066,0.0221516327417879,0.0211704814399691,0.0201893301381504,0.0192081788363317,0.0182270275345129,0.0172458762326941,0.0162647249308754,0.0152835736290567
