model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,elsalvador,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0027809235743843,0.0162342018441617,0.0311502073310875,0.0475460153835159,0.0654225397263615,0.0847613488739125,0.1055214725637513,0.127636351630928,0.1510111153911891,0.1755203941744495,0.2010068863978837,0.2272808947850266,0.2541210211419797,0.2812761613479964,0.3084688723616365,0.3354000947553507,0.3617551145875806,0.3872105471597347,0.4114420339070298,0.4341322738122676,0.4549789718082254,0.4737022844284605,0.4900513784081918,0.5038097868622485,0.514799341538234,0.522882567061774,0.5279635317456222,0.5299872481441698,0.5289377963901372,0.5248353992055701,0.5177327077243657,0.5078032609305834,0.4955104154271714,0.4810416213012384,0.4646017194956264,0.4464083452105394,0.4266875882305357,0.4056699678303286,0.3835867516834115,0.3606666274875589,0.3371327227945117,0.3131999620111404,0.2890727484275819,0.2649429618089943,0.2409882668213606,0.2173707326582966,0.1942357682165252,0.1717113789037267,0.1499077499791876,0.1289171570594817,0.108814197406264,0.0896563266176804,0.0714846754330754,0.0543251117202953,0.0381895044751633,0.0230771407327985
PD22,pathway,elsalvador,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004779436074186,0.0009957449756456,0.0015589705170121,0.0021729609606903,0.0028436763957158,0.0035777659398514,0.0043826446991043,0.0052665786401586,0.0062387780128144,0.0073094999623223,0.0084901609575323,0.0097934596245996,0.0112335105102412,0.01282598919457,0.0145882890206964,0.0165396894932262,0.0187015361051482,0.0210974309634677,0.0237534330765883,0.0266982665153813,0.0299635338364747,0.0335839311283568,0.03759745977395,0.0420456284815006,0.0469736372837399,0.0524305330121293,0.0584693231960989,0.065147032408863,0.0725246817980365,0.080667168952124,0.0896430214637063,0.0995399251765068,0.1104341268631883,0.122403931546434,0.1355286141098116,0.1498870525543327,0.165556020607433,0.1826081079905497,0.201109246235883,0.2211158326713773,0.2426714658612405,0.2658033328835691,0.2905183222998087,0.3167989756950964,0.3445994333888642,0.3738415732647411,0.404411581312352,0.4361572229593155,0.4688860994596918,0.502365167406227
PD22,pathway,elsalvador,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,elsalvador,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,elsalvador,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9858131756683e-05,0.0001038741462825,0.0001626287207015,0.0002266789893171,0.0002966466968283,0.0003732254660484,0.0004571888261689,0.0005493990664843,0.000650816982036,0.0007625125779279,0.0008856767976087,0.0010216343366412,0.0011718575966204,0.0013379818230575,0.0015218214551019,0.0017253876925392,0.0019509072549769,0.002200842267533,0.0024779111544195,0.0027851103538937,0.0031257365821535,0.0035034092665213,0.003922092636097,0.004386116797221,0.0049001969279025,0.0054694494965852,0.0060994041438907,0.0067960095605026,0.0075656313518405,0.0084150395059703,0.009351382685803,0.0103838081051136,0.0115202696764109,0.0127689360247743,0.0141380769492524,0.0156359208468906,0.0172704766010771,0.0190493166279702,0.0209793187745969,0.0230663662986549,0.0253150073161246,0.0277280779292172,0.0303062967390373,0.0330478425182788,0.0359479312757752,0.0389984134668715,0.0421874162391289,0.0454990587830755,0.0489132704420981,0.0524057405889104
PD22,pathway,elsalvador,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,elsalvador,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.019046252913447e-06,1.0456652231137015e-05,1.6371272699038463e-05,2.281899244637787e-05,2.986240036874307e-05,3.757132108367169e-05,4.602362310837365e-05,5.5306110133638925e-05,6.551550208422332e-05,7.675951268542133e-05,8.915803010879527e-05,0.0001028444068901,0.0001179668646223,0.0001346900178341,0.0001531965198597,0.0001736888312487,0.0001963911081879,0.0002215512043255,0.0002494427740561,0.0002803674584896,0.0003146571266812,0.0003526761339026,0.0003948235454318,0.0004415352581473,0.0004932859327652,0.0005505906265261,0.0006140059892897,0.0006841308552407,0.0007616060279332,0.0008471130187283,0.0009413714588783,0.0010453021668618,0.0011597058356321,0.0012854047725172,0.0014232314696796,0.001574014251485,0.0017385593446157,0.0019176290381029,0.0021119157010973,0.0023220115808706,0.0025483745205804,0.0027912900208595,0.0030508304208041,0.0033268123837393,0.0036187543217658,0.0039258358483164,0.0042468617642641,0.0045802334032637,0.0049239303215016,0.0052755052519325,0.0056320949006511
PD22,pathway,elsalvador,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,elsalvador,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,elsalvador,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
