model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,eqguinea,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,9.444655565545344e-06,2.5244163600976168e-05,4.042300871533945e-05,5.484297024352212e-05,6.837609323602926e-05,8.090768729778053e-05,9.233877563395764e-05,0.00010258789302392527,0.00011159218056013584,0.00011930777467002613,0.00012570953302701204,0.00013079017646949823,0.00013455895158598198,0.00013703993245353392,0.00013827008285845143,0.00013829719397283316,0.00013717779930454686,0.00013497515134067864,0.00013175732504094761,0.00012759549416994448,0.00012256240882702656,0.0001167310873534483,0.00011017372351233932,0.00010296080052171443,9.516039698385125e-05,8.68376656447429e-05,7.805446380594428e-05,6.88691136548783e-05,5.933627136326415e-05,4.950688516414067e-05,3.942822445672892e-05,2.945878592268315e-05,1.9861098004289422e-05,1.0669269372973948e-05,1.9095708874149355e-06,-6.399190932648656e-06,-1.4245188325911503e-05,-2.162299434144156e-05,-2.853293497357586e-05,-3.498039522306731e-05,-4.0975102913572554e-05,-4.653041275227714e-05,-5.1662610672685645e-05,-5.6390255241573456e-05,-6.143938700182434e-05,-6.602799419607174e-05,-7.018817186722092e-05,-7.395120044267886e-05,-7.73472946145294e-05,-8.040540706593566e-05,-8.315308311067943e-05,-8.561636123635696e-05,-8.781971393544236e-05,-8.978602299138807e-05,-9.153658347316093e-05,-9.309113099861759e-05
PD22,pathway,eqguinea,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.641453963517478e-06,5.503190066245655e-06,8.615972234485476e-06,1.2009317109993102e-05,1.5716164354607005e-05,1.97732616895977e-05,2.422159022831875e-05,2.9106833541219817e-05,3.447989397422945e-05,4.039745975699675e-05,4.692262636025346e-05,5.4125575361633684e-05,6.208431371591262e-05,7.088547575102539e-05,8.062518936654921e-05,9.141000672275062e-05,0.00010335789809098199,0.00011659930538557963,0.0001312782490934062,0.0001475534787189495,0.0001655996523121702,0.0001856085249651609,0.00020779011916170694,0.00023237384134268586,0.00025960949881539475,0.00028976815901404654,0.0003231427789874153,0.00036004851680560885,0.0004008226184317995,0.0004458237537795866,0.0004954306547290987,0.0005501279351884452,0.0006103369886792256,0.0006764905840664675,0.000749026850351494,0.0008283817230822912,0.0009149795081047401,0.0010092213874922577,0.0011114717454616182,0.001222042273482522,0.0013411739280160316,0.001469016964058928,0.001605609452667399,0.0017508549063094032,0.001904499871997762,0.0020661125917369235,0.002235064048914586,0.0024105128877549655,0.002591395776889778,0.00277642475384352
PD22,pathway,eqguinea,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2753370243541884e-05,4.740424131076878e-05,7.421761233281768e-05,0.00010344773838568071,0.00013537836029235136,0.0001703260213351366,0.00020864373105272403,0.0002507250057459257,0.0002970083160219046,0.0003479819718400513,0.0004041894748574371,0.00046623536614963655,0.0005347915942526014,0.0006106044235216968,0.0006945018955279748,0.0007874018459733932,0.0008903204656751625,0.0010043813756439696,0.0011308251621272004,0.0012710192864932822,0.0014264682456335697,0.0015988238096211848,0.0017898951030515364,0.002001658223088395,0.002236264999076877,0.002496050394176213,0.0027835379277391047,0.0031014423577562095,0.003452668706374107,0.0038403065407221397,0.004267618240841984,0.0047387782499867465,0.005257416433733338,0.005827260644375181,0.006452084906188,0.007135644349135309,0.007881593925429482,0.008693389400106596,0.009574169563056482,0.010526619311123768,0.011552814232846742,0.012654048618271702,0.013830650409830718,0.015081788468094232,0.01640527955998825,0.0177974045408053,0.019252745088641367,0.020764053801218228,0.022322171188100596,0.023916002796207075
PD22,pathway,eqguinea,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,eqguinea,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,eqguinea,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,eqguinea,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,eqguinea,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.298875234466834e-08,1.7289829155497894e-07,2.7069515344650934e-07,3.773066868606855e-07,4.937677845029591e-07,6.212329800437517e-07,7.609898111475007e-07,9.144735564776364e-07,1.0832834572999046e-06,1.2692005347928625e-06,1.474207111748028e-06,1.7005081410609943e-06,1.9505544319983283e-06,2.227067847172388e-06,2.5330685166182215e-06,2.87190407802412e-06,3.2472809013546975e-06,3.6632971885372765e-06,4.124477750786392e-06,4.6358101530926676e-06,5.202781772428549e-06,5.831417137734646e-06,6.528314699763619e-06,7.300681911142385e-06,8.156367175456817e-06,9.10388684335216e-06,1.015244498966906e-05,1.1311943197168701e-05,1.2592977002288005e-05,1.4006815035502584e-05,1.5565356230747728e-05,1.72838261055446e-05,1.917546393004011e-05,2.125386636299052e-05,2.3532798467004508e-05,2.6025956391146097e-05,2.8746670904472235e-05,3.170754627728092e-05,3.492003067105514e-05,3.8393916755492764e-05,4.2136774859794754e-05,4.615332566995021e-05,5.0444765295941385e-05,5.500806230886149e-05,5.983525376577286e-05,6.491277476724488e-05,7.022086297610272e-05,7.57330848193692e-05,8.141603273257356e-05,8.722924172924055e-05
PD22,pathway,eqguinea,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.274545849327585e-07,1.3357200537350886e-06,2.1325819621177098e-06,3.0262448020286183e-06,4.028437692309232e-06,5.146454478500997e-06,6.389491054273601e-06,7.766765572789076e-06,9.287334923882134e-06,1.0957483871392332e-05,1.2786923484148672e-05,1.4782688368517835e-05,1.6950566011763438e-05,1.929476060722531e-05,2.186364016921224e-05,2.4621144583112362e-05,2.7565413318685007e-05,3.069168773907868e-05,3.3992104434540886e-05,3.745083310493007e-05,4.1057563251654366e-05,4.479489949837377e-05,4.864263613071234e-05,5.257815174358312e-05,5.658327817255637e-05,6.062655527713239e-05,6.468149501068686e-05,6.872165397664518e-05,7.272131156905082e-05,7.664290392950545e-05,8.048568133408048e-05,8.422073789308003e-05,8.783063732174142e-05,9.130080414139088e-05,9.461959866045817e-05,9.777828186183259e-05,0.00010077088670337701,0.00010359401547773319,0.00010624658393672281,0.00010872953219615591,0.00011104552044640688,0.00011319862467919782,0.00011519404444034551,0.00011703783139090662,0.00011873664446645272,0.00012029753483043537,0.00012172776170253025,0.00012303463852068218,0.00012422540773506877
PD22,pathway,eqguinea,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021661545041605848,0.00022235112489556869,0.0002280038421796811,0.00023357360226839048,0.0002390604051616986,0.0002444642508596089,0.00024845686271872565,0.00025238271587809703,0.00025624181033771787,0.0002600341460975864,0.0002637597231577044,0.0002687594459325048,0.0002736755432853604,0.0002785080152162712,0.0002832568617252406,0.00028792208281226694,0.00029247751196757356,0.00029694965552573387,0.0003013385134867548,0.0003056440858506364,0.0004200666344580384,0.0007058972143206815,0.0011579778704614418,0.0017770951448008894,0.0025617032605365093,0.0035125249802987115,0.004734211147349395,0.006102059268964455,0.007621662807187492,0.009299768079921146,0.01114224663110042,0.013151944132816677,0.015384196293092432,0.017468514916093348,0.01767610512273009,0.0178787674232673,0.01807650181770464,0.018269308306042224,0.01845718688828005,0.01864013756441823,0.01881816033445654,0.018991255198394986,0.019159422156233893,0.01932266120797293,0.01948097235361221,0.01963435559315173,0.019782810926591593,0.019926338353931497,0.020064937875171843,0.02019860949031234,0.02032735319935317
