model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,ghana,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.07448253174575514,-0.014956990453922181,0.04548649875741906,0.10561376759396413,0.16418693108964177,0.21999503876695004,0.2718844089918544,0.31878704462300544,0.3597456633155698,0.39393413888729834,0.42067250840513815,0.4394361096044803,0.44985882792476106,0.45173080878024674,0.4449912954451851,0.42971746609925043,0.40611025900699005,0.37447819852213193,0.335220181564134,0.2888080744033661,0.23576982438111527,0.17667363040383455,0.11211355606516538,0.042696822097508136,-0.030967111841391892,-0.10827566857144189,-0.18864054826016274,-0.27149352159789175,-0.35629078041819007,-0.44251602252647326,-0.5296824521427355,-0.5489855016058787,-0.5120044643943631,-0.47694770814612575,-0.4433947208390967,-0.4109933409739557,-0.37945887488530017,-0.3485720485076894,-0.31817589011475,-0.2881716773412102,-0.25851411324385265,-0.22920591878830787,-0.20029204077368978,-0.17185367408849417,-0.14400228600423937,-0.11687380975755352,-0.09062314749439865,-0.07131031664562687,-0.052408126784725007,-0.03418446449372625,-0.016900417031719767,-0.0008081763217213933,0.013850599279367437,0.026845998255870446,0.03796068606600152,0.04699039900517368
PD22,pathway,ghana,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009359123085288255,0.0019498743458372567,0.0030527862970814216,0.004255106413174478,0.005568505779578905,0.007006004742332326,0.008582123610679025,0.01031304885482515,0.012216816046370855,0.014313510794457952,0.016625488903308595,0.019177616905993948,0.02199753400052135,0.025115936210738085,0.02856688329526569,0.03238812850654436,0.03662147072902335,0.04131312776352814,0.046514128531325825,0.05228072069649652,0.05867478859281986,0.06576427432846471,0.07362359246085194,0.08233402561486859,0.091984084791232,0.10266981381717716,0.11449501238469367,0.12757134638727058,0.14201830783661576,0.1579629796164262,0.17553955290820275,0.19491973470655832,0.21625283194208736,0.23969218202408085,0.2653930215497785,0.2935098099383943,0.3241928860068171,0.3575843954239309,0.39381344574876337,0.43299047459899964,0.4752008569691854,0.520497830774063,0.5688948852398603,0.6203578331840239,0.6747968718791127,0.7320590220841772,0.7919214124572015,0.8540859362595161,0.9181758370042148,0.9837347675618769
PD22,pathway,ghana,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ghana,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ghana,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0015473846654151177,0.00939750668625064,0.017905743876526575,0.02714638362236372,0.03720156686270834,0.04816198513699849,0.06012760503513162,0.07320841096121052,0.08752515354506415,0.10321008662630969,0.12040767036984026,0.13927521162661283,0.15998340502095348,0.18271672934696523,0.20767364366534874,0.23506651606508633,0.2651212055702868,0.29807620448153405,0.3341812351214375,0.3736951823803035,0.4168832328665094,0.46401308451877177,0.5153500893631316,0.5711511992982639,0.6316576033800652,0.6970859783194124,0.7676183250468985,0.8433904360060421,0.9244791320055552,1.0108885238304954,1.1025356895041778,1.1992878861445797,1.3010574792434457,1.4074483690086952,1.5179307429658446,1.6318350077756185,1.7483501170224245,1.8665271492295008,1.9852887752827149,2.1034449398076966,2.2197146833232018,2.3327535827184978,2.4411858310796135,2.543639565904566,2.6387837388752224,2.7253646432698186,2.802240202759728,2.868410281871301,2.923041585034055,2.9654861294472767,2.9952927557048756,3.0122116238824193,3.0161920809615252,3.007374639041318,2.9860780494377317
PD22,pathway,ghana,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ghana,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.461643311281231e-05,5.128573582726116e-05,8.029460560032824e-05,0.00011191811610262863,0.0001464632410666613,0.00018427244257399118,0.00022572763484674348,0.0002712545555929612,0.0003213275777190592,0.0003764749943668885,0.0004372848095132135,0.0005044110645062627,0.0005785807275276052,0.0006606011676127591,0.0007513682269921387,0.0008518748944372526,0.0009632205672248108,0.0010866208692890988,0.0012234179670016288,0.0013750912904841777,0.0015432685259519345,0.0017297366916394503,0.0019364530446088213,0.002165555486328519,0.002419372039530003,0.002700428855891677,0.0030114560824067013,0.003355390763468024,0.003735375786595039,0.004154753694970266,0.004617053994738293,0.0051267929356688564,0.005687897599430575,0.006304401077633752,0.006980386414467233,0.007719916212727327,0.008526944694830459,0.009405210586422703,0.010358109683843309,0.011388546725286337,0.012498767250022504,0.013690171525529194,0.014963114346408592,0.01631669651891683,0.017748556045232892,0.019254669254316046,0.020829174168037062,0.02246422996143181,0.024149927158179457,0.025874262883133214,0.027623193814245547
PD22,pathway,ghana,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ghana,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,ghana,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
