model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,guyana,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010218515335089499,0.021114272047171402,0.0327123230767607,0.0450313655998821,0.0580819850387855,0.0718647648110578,0.0863683155731966,0.10156729815479759,0.11742053512543729,0.1338693249141563,0.1508360870023957,0.1682234739973209,0.1859140834495521,0.203770886703817,0.2216384625322836,0.2393450800780725,0.2567056209989898,0.2735252689893733,0.28960383217043,0.3047405073073833,0.3187388515392913,0.33141170317664,0.3425857917159273,0.35210579912044715,0.3598376770501063,0.3656812899288044,0.36978595565106887,0.372117245510461,0.3726681406953657,0.37145792987848786,0.3685304317290888,0.36395169587979076,0.35780733916537116,0.35019966499530786,0.3412446958686446,0.33106922586793586,0.31980797481080175,0.30760090135750545,0.29459071080497656,0.28092057581417657,0.2667320754882687,0.25216335002241747,0.2373474641022476,0.2224109715337605,0.2074726752431853,0.1926425797135784,0.1780210360797481,0.1636980825686912,0.14975298404993578,0.1362539737308426
PD22,pathway,guyana,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,guyana,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,guyana,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,guyana,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,guyana,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009281273662035002,0.0083120426456654,0.0162066042584807,0.024649022426914496,0.0336761824816575,0.0433238036023895,0.053625415700203,0.0646111435516806,0.0763062943986186,0.0887297552037784,0.1018922188373332,0.115794274638883,0.130424417656754,0.1457570515138681,0.1617505808059792,0.1783457081085317,0.1954640654175514,0.21300731721001992,0.2308568693363946,0.2488743022243339,0.2669026170340951,0.284768339745081,0.30228447296095806,0.3192542228822008,0.3354753655710956,0.35074505952834234,0.3648648678886945,0.3776457291673866,0.38891261406892974,0.3985086279921537,0.4062983619317533,0.4122012907315066,0.41634762109395046,0.4187025748421262,0.4192590619195768,0.4180365667897638,0.41507935290581427,0.41045414034086,0.4042474149881729,0.3965625186937404,0.38751665164950566,0.37723789496848625,0.3658623359493858,0.3535313539107158,0.3403891026875466,0.32658020822298267,0.3122476867268345,0.29753108059408356,0.28256480519092697,0.267476698914889
PD22,pathway,guyana,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,guyana,Commercial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1672463568838243e-06,2.5258820111131737e-06,4.098237483866814e-06,5.906202898380776e-06,7.908210225038433e-06,1.0148006081536518e-05,1.263176071256577e-05,1.535860096777645e-05,1.8318980517675987e-05,2.1849937875323885e-05,2.5676216757304518e-05,2.9764388194463914e-05,3.406851933543687e-05,3.853187612795051e-05,4.278472377276545e-05,4.700854714488443e-05,5.113805944769477e-05,5.511382721167023e-05,5.8885419336891006e-05,6.243314690870584e-05,6.571170031638959e-05,6.8705147982223e-05,7.140822677799916e-05,7.38246874311912e-05,7.598929194908044e-05,7.789486257815014e-05,7.956041622090544e-05,8.100677558912473e-05,8.225533910290051e-05,8.3285878264183e-05,8.418822439436241e-05,8.495256691193997e-05,8.559596812136213e-05,8.613375574185284e-05,8.657953229136066e-05,8.69452499571449e-05,8.724132565255927e-05,8.747677750057617e-05,8.765936942234831e-05,8.779575480641584e-05,8.789161349410872e-05,8.795177870208491e-05,8.798035218867865e-05,8.798080711849001e-05,8.795607882706377e-05,8.790864414556378e-05,8.784059020007738e-05,8.775367371627388e-05,8.76493718849426e-05
PD22,pathway,guyana,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035934394178130475,0.003752750961939458,0.00393777605722958,0.004151289451184499,0.004395258669562745,0.004672631558117192,0.00498197207064522,0.005322257892004824,0.005622044714811622,0.005671852677074959,0.005709467324941785,0.005746016266235983,0.005781499500957654,0.005815917029106698,0.005849268850683215,0.005898890753218585,0.0059352453816982394,0.005970458087113297,0.006004528869463855,0.006037457728749916,0.006069244664971379,0.006099889678128342,0.006129392768220809,0.006157753935248777,0.006184973179212147,0.0062110505001110195,0.006235985897945293,0.006259779372715169,0.006282430924420446,0.006303940553061126,0.006324308258637407,0.00634353404114909,0.0063616179005962755,0.006378559836978862,0.0063943598502969505
PD22,pathway,guyana,Commercial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024330884217639917,0.0005122576545027006,0.0008083075337317006,0.0011324125109803008,0.001514650937292401,0.0019412999001195003,0.0024131822306654,0.0029297309131396006,0.0034886990304989988,0.004143243605694699,0.004847602840995899,0.005594783944258098,0.006375645156364001,0.007179288037899502,0.0079190624774727,0.0086439971852466,0.0093428149621874,0.0100056549840274,0.010624553900504501,0.0111824630639683,0.011686101609576598,0.0121341491103407,0.0125270956255594,0.0128668861107644,0.0131702882682605,0.0134277308434857,0.0136432175291324,0.013820915628019499,0.0139649600367143,0.0140556894281412,0.0141367468230618,0.0141952150949697,0.014234160735048402,0.014256303501035199,0.0142640300791138,0.0142594166820016,0.0142442565069327,0.0142200891410051,0.014188229931967899,0.014149798053762699,0.014105742518858601,0.014056865759623999,0.01400384465310822,0.013947249027586822,0.013887557789413101,0.0138251728641416,0.013760431170859223,0.013693614853682342,0.01362495998694355
