model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,pathway,hongkong,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,hongkong,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.433905584430626e-05,0.00015652219510020257,0.0002472253145817307,0.00034714869483785417,0.0004572439915054242,0.0005781209868226597,0.0007105130466358491,0.0008551334024419713,0.0010126567358971356,0.0011831992376170556,0.001367640572887359,0.0015663852046345836,0.0017796986800469768,0.0020076790693969015,0.002253048952571307,0.002513282450246495,0.0027878600899199687,0.003075998736263033,0.003376641916058522,0.003687627133730837,0.004008059529175161,0.004336102195270526,0.004669712518425664,0.005006686274947503,0.005344117166188546,0.005680167669499296,0.006012488848119108,0.006338805855377343,0.006656975328790061,0.006966266946499298,0.007262915793682821,0.0075462557049858475,0.007815070725897445,0.008068423800057189,0.008305653316068617,0.008526360505665399,0.008730389521743325,0.008917802185327454,0.00908884936918067,0.009243940822088932,0.009383614978000589,0.00950850998322112,0.009619336851491163,0.009716855350532187,0.009801852954167188,0.009875126971968717,0.009937469796741729,0.009989657086863718,0.010032438620056674,0.010066531510321912,0.010092615462829772,0.010111329745213522,0.010123271571549347,0.010128995621997117,0.01012901445247313,0.010123799581726278,0.010113783075624222,0.01009935947890216,0.010080887972246393,0.010058694656978054,0.010033074890670355,0.010004295614884381,0.009972597631081376,0.00993819779296243,0.009901291093335506,0.009862052631439916,0.009820639452788339,0.009777192258298295,0.009731836983033338,0.009684686247480962,0.009635840686145192,0.009585390159485821,0.00953341485602502,0.009479986291872192,0.00942516821507751,0.009369017422182439,0.00931158449414924,0.009252914458563433,0.009193047384647686
PD22,pathway,hongkong,Commercial,Emissions,Addtl Emissions,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.073126507978466e-05,9.384415001314345e-05,9.691358546645192e-05,9.99395714397066e-05,0.00010292210793290922,0.00010557243711246944,0.00010818283824897378,0.00011075331134242049,0.00012789156532669668,0.00020747044616832577,0.00043079084114944384,0.000775289266103641,0.0012794264932563214,0.001983020039944248,0.0029216582900459323,0.004068954028708747,0.0054954241003091,0.007179992467777927,0.009076663609462035,0.0111190738456128,0.013214257823306663,0.015319100927757486,0.016169798551596726,0.016358857538898555,0.016543819846516705,0.016703453347239324,0.01685928505893404,0.017011314981600918,0.017159543115239827,0.017303969459850837,0.01747813112546195,0.017624886345466613,0.017767692331115623,0.017906549082408817,0.018041456599346306,0.01817241488192797,0.018299423930153925,0.018422483744024064,0.018541594323538448,0.01865675566869706,0.01876796777949992,0.01887523065594706,0.018978544298038393,0.019077908705774013,0.019173323879153818,0.019264789818177912,0.019352306522846193,0.019435873993158652,0.01951549222911545,0.019591161230716442,0.019662880997961714,0.019730651530851184,0.019794472829384936,0.019854344893562876,0.019910267723385004,0.019962241318851468,0.020010265679962117,0.020054340806717055,0.02009446669911618,0.020130643357159597,0.020162870780847195,0.020191148970179082,0.020215477925155104,0.020235857645775467,0.020252288132040015,0.020264769383948847,0.02027330140150187,0.020277884184699134,0.020278517733540686,0.02027520204802642,0.020267937128156402,0.02025672297393061,0.020241559585349105,0.020222446962411787,0.020199385105118754,0.020172374013469913,0.020141413687465318,0.020106504127104994,0.020067645332388834,0.02002483730331698
PD22,pathway,hongkong,Commercial,Natural gas,Natural gas,NATGAS,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025991595568266024,0.005412419365753873,0.008454840020401255,0.011741456703218467,0.015651801244560726,0.02002282512111858,0.02489165736946125,0.03029561571560707,0.036271482636269725,0.042985923391156644,0.05037998885262873,0.0584871630061749,0.06733610788779326,0.07694921647935477,0.08737812635933728,0.09859925327495811,0.11060791136337539,0.12338753892726467,0.13690877498524212,0.15098702141960124,0.1656851736676906,0.18093366243795006,0.19665126653629833,0.21274668020303666,0.22797938521402838,0.24325545273241306,0.25847154282159757,0.2735260426185364,0.2883216512846002,0.30513593700673913,0.3199882675776655,0.33438186818165183,0.34825045174987046,0.36153928106016914,0.374205380085732,0.3862173143155083,0.39755460855036284,0.40820688211803413,0.41817278466819513,0.4274588121064545,0.43607807363149387,0.4440490691645178,0.4513945234421353,0.45814031008513,0.4643144870626037,0.4699464547597805,0.4750662396120427,0.47970390001449303,0.48388904680869343,0.4876504678359431,0.49101584453615515,0.49401154806585673,0.49666250263506384,0.49899210448636494,0.5010221859691787,0.5027730153499851,0.5042633242366998,0.5055103557060684,0.5065299273577064,0.5073365045486615,0.5079432799741601,0.5083622565505088,0.5086043312293688,0.508679377936666,0.5085963282956772,0.5083632491736236,0.5079874163965872,0.5074753842195568,0.5068330503276699,0.5060657162897882,0.5051781434950064,0.5041746046829181,0.5030589312356306,0.5018345564380872,0.5005045549377489,0.4990716786477714,0.49753838934273553,0.4959068881945302,0.49417914248990163
PD22,pathway,hongkong,Commercial,Oil products,Fuel oil,RESFUEL,Final consumption,CO2e,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.082810011693264e-07,1.925524512567859e-06,3.06005733072599e-06,4.318655905987809e-06,5.851165353693434e-06,7.595167950423213e-06,9.560500964496933e-06,1.1751589266322217e-05,1.4165924487420907e-05,1.677958925156939e-05,1.9581933020771945e-05,2.2543778919570144e-05,2.5627639637651897e-05,2.8789371733434343e-05,3.192506941212175e-05,3.50308909571499e-05,3.805963154794054e-05,4.096896119760428e-05,4.3723568171261546e-05,4.620274122812397e-05,4.8474092429752115e-05,5.052935062226546e-05,5.236775621399914e-05,5.399471498909058e-05,5.5569648963652696e-05,5.696132001758598e-05,5.81835637632349e-05,5.9251322224664844e-05,6.017981020712009e-05,6.0727266447720295e-05,6.13417190609253e-05,6.185917501112157e-05,6.229178940909791e-05,6.26504338527306e-05,6.294472151393155e-05,6.318307393286842e-05,6.33728124686579e-05,6.352026194400708e-05,6.36308577666858e-05,6.370925072804717e-05,6.37594058643488e-05,6.378469334705685e-05,6.378797047157522e-05,6.377165455446659e-05,6.37377870227759e-05,6.368808926141482e-05,6.362401093393881e-05,6.354677155176598e-05,6.34573960684238e-05,6.335674524111626e-05,6.324554144724939e-05,6.312439057900425e-05,6.299380057146563e-05,6.285419705351176e-05,6.270593654819597e-05,6.254931759208416e-05,6.238459009152637e-05,6.221196318821341e-05,6.203161186638634e-05,6.184368249932035e-05,6.16482975027077e-05,6.144555923682047e-05,6.12355532773222e-05,6.101835115584644e-05,6.07940126555397e-05,6.056258773327343e-05,6.032411812881743e-05,6.007863871163478e-05,5.9826178607838974e-05,5.9566762143008967e-05,5.930040963080819e-05,5.902713803251395e-05,5.874696150849832e-05,5.8459891879293974e-05,5.8165939011010925e-05,5.786511113747226e-05,5.755741512942365e-05,5.7242856719481454e-05,5.69214406900732e-05
