model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,lithuania,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172909884624037,0.0361329226299656,0.0566777978614952,0.0790882635575261,0.103537303383322,0.1302075789223817,0.159290355562158,0.19098391978151488,0.22549138889407,0.2630178089751009,0.3037664357923252,0.3479340990650952,0.3957055645984869,0.4472468342820588,0.502697363090561,0.5621612271985595,0.6256973494215878,0.6933089773019776,0.7649327130677361,0.8404275084707825,0.9195641529912372,1.002015889532823,1.087350873009324,1.1750272277793727,1.2643914435053738,1.35490964443013,1.4458770926221742,1.5363823905809917,1.6254444810344761,1.7120336579770306,1.7950961326549506,1.873581089620813,1.9464689258983265,2.0127992304690876,2.0716970516165305,2.122396119336085,2.164257924694972,2.1967858782881184,2.2196341365319032,2.2326110550808553,2.2356775643416924,2.228941033002864,2.212645373806342,2.1871582461829213,2.1529562286613735,2.1106087841108145,2.060761741497502,2.0041208888534014,1.9414361321128355,1.8734865387637598
PD22,pathway,lithuania,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,lithuania,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796652516920073,0.1666207585326841,0.2616362775054888,0.3655500234562662,0.4792715536511557,0.6037838816617287,0.7401445243181216,0.8894851245851187,1.0530092266945168,1.2319877095750065,1.427751313637601,1.6416796289581432,1.8751858564351678,2.1296966164422084,2.4066260731805116,2.7073436812341938,3.0331349597798445,3.38515487692582,3.764373699027615,4.171515542315374,4.606990365814118,5.070820764494505,5.562565644553402,6.081243654340505,6.625260047908852,7.192341393152455,7.781097053299679,8.38809534586588,9.009015294060656,9.638801108979811,10.271712588720392,10.901408630479722,11.521063469414008,12.123512864196789,12.701425016336442,13.247488814298231,13.754610309188367,14.216107383712162,14.625892508795895,14.978634314898978,15.26989033780479,15.496205526927262,15.655173654779322,15.745461344326811,15.766796766529898,15.719926945481657,15.606548918721517,15.429220698802428,15.19125810943775,14.896623222712742
PD22,pathway,lithuania,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,lithuania,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008954997518206,0.0071789785827594006,0.0138972439531133,0.0210819782675385,0.0287645873038481,0.0369754839280694,0.0457432169675583,0.0550934359697716,0.0650476886231272,0.0756220561107113,0.0868256428081269,0.0986589505047895,0.11111218338352061,0.1241635475735249,0.1377776269351247,0.1519039330571934,0.1664757400062948,0.1814093206332018,0.1966036987113042,0.21194101778513608,0.227287602201382,0.2424957486198489,0.2574062393089655,0.27185151545260944,0.2856593947783885,0.29865716919506596,0.31067588090876846,0.3215545547330929,0.3311441630990314,0.33931111910653255,0.34594012962808907,0.3509661404258265,0.3544965067710045,0.3565016170083153,0.356975434354746,0.35593454873151475,0.35341664797137506,0.3494785404518904,0.3441938640311786,0.33765060845999095,0.32994856308869625,0.3211967817579985,0.3115111351239601,0.30101199969890613,0.2898221143394573,0.2780646198755879,0.2658612865402008,0.2533309268088847,0.2405879877815123,0.2277413166402395
