model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,morocco,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0112220929145395,0.0773435637681164,0.1540084940692043,0.2422199640171181,0.3430815741058014,0.4578049548005977,0.5877171615501257,0.7342677299556553,0.8990351012501345,1.0837320516517637,1.290209669866757,1.520459324755127,1.7766119505144171,2.060933851468425,2.37581809618786,2.723770437018513,3.1073885649252757,3.529333403285245,3.992291074551927,4.498924161928792,5.051810960444223,5.653371598328159,6.305780243155544,7.010863120367519,7.769982792310657,8.583910090841815,9.452686264213028,10.375479260505893,11.350439560589065,12.374562486394224,13.443565293921836,14.552162494279557,15.695095475841804,16.864226073637273,18.05003266304095,19.241705157366503,20.427302357225777,21.593970917385352,22.728220688753844,23.81624661231201,24.844283207879624,25.798974531099468,26.667740695134988,27.439121929751664,28.103082721171564,28.651261652967623,29.077156765659605,29.37624105610125,29.54600759191194,29.585948112883667,29.49747253911612,29.2837792705332,28.949687475544398,28.5014428042905,27.94650730728957,27.293343037304226
PD22,pathway,morocco,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005597362594599,0.0011661513186759,0.0018257641953069,0.0025448296016731,0.0033303276038139,0.0041900452130993,0.0051326665161778,0.0061678720720126,0.0073064483221246,0.0085604077634407,0.0099431206167801,0.0114694586816482,0.0131559519910045,0.0150209587579121,0.0170848489269859,0.019370201391687,0.0219020145957992,0.0247079297816896,0.0278184655537767,0.0312672616631447,0.0350913289549266,0.0393313012162193,0.044031683178546,0.0492410871232055,0.0550124483690424,0.0614032073537035,0.0684754430249681,0.076295938829278,0.0849361587393358,0.0944721065616025,0.1049840373256375,0.1165746429503436,0.1293332186635757,0.1433514701808479,0.1587222390552398,0.1755379020369674,0.1938883714888133,0.2138586597396833,0.2355259814831973,0.2589563855772059,0.284200931805476,0.3112914598937897,0.3402360372742802,0.3710142177945574,0.4035722935994205,0.4378187731812527,0.4736203650231208,0.5107987819614707,0.5491286991824427,0.5883371915060713
PD22,pathway,morocco,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,morocco,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,morocco,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006386698083431,-0.0006595219961334,-0.0005898128166502,-0.0004220693008042,-0.0001479647864292,0.000241773849913,0.0007574678352588,0.0014105975498656,0.0022139234578571,0.003181617298621,0.0043294037805167,0.0056747128240212,0.0072368421368786,0.0090371295520156,0.0110991341003032,0.0134488242016407,0.0161147706134288,0.01912834084617,0.0225238906105474,0.02633894646643,0.0306143721700277,0.0353945092326755,0.0407272798931207,0.0466642380577874,0.053260550795129,0.0605748897271558,0.0686692082345995,0.0776083769321165,0.0874596466036335,0.0982919050366116,0.1101746923892768,0.1231556504261886,0.1373214120836912,0.1527376031700174,0.1694638300592246,0.1875510795874001,0.2070387676795164,0.2279514732144872,0.2502954238978809,0.274054836192261,0.299188249977062,0.3256250378008179,0.3532623044288973,0.3819624199509523,0.411551443443181,0.4418186885762843,0.4725176530799996,0.5033684781051418,0.5340620217904469,0.5642655280249252,0.5936297546878068,0.6217973070567231,0.648411815053108,0.6731275109392892,0.6956187180805541
PD22,pathway,morocco,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,morocco,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.099704429795445e-06,1.0624695015114749e-05,1.6634365912888792e-05,2.318570321895553e-05,3.0342301658687333e-05,3.8175107960490767e-05,4.67632420212838e-05,5.619490250354883e-05,6.656836366176999e-05,7.79930702259526e-05,9.059083702082388e-05,0.0001044971596133,0.0001198626415795,0.0001368545428723,0.000155658452142,0.0001764800835638,0.0001995471956085,0.0002251116250362,0.0002534514239823,0.0002848730810559,0.000319713798587,0.0003583437871891,0.0004011685252865,0.0004486309148033,0.0005012132444522,0.0005594388486596,0.0006238733228816,0.0006951251248194,0.0007738453560087,0.0008607264799838,0.0009564996927729,0.0010621006107934,0.0011783427944701,0.0013060617659543,0.0014461033959064,0.0015993093202119,0.0017664987219539,0.0019484461404676,0.0021458550715663,0.0023593272801836,0.0025893279672084,0.0028361472213885,0.0030998585443396,0.0033802756530896,0.0036769092204198,0.0039889256758069,0.0043151106127732,0.0046538396737353,0.0050030599455005,0.0053602848324166,0.0057226050262451
PD22,pathway,morocco,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,morocco,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,morocco,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
