model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,myanmar,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769106105664811,0.3691548350853534,0.5781066055438869,0.8052045694608722,1.0519401851426258,1.3198412471532899,1.6104500576906875,1.9252954527339843,2.265857933230796,2.633527258565035,3.02955205092448,3.454981253644247,3.91059770010731,4.396844592105141,4.913746356789882,5.460826132934371,6.037022993024049,6.640612876317466,7.269138002595915,7.919350147650814,8.587173466619033,9.267692428059112,9.955169769529496,10.643098148669656,11.32428735410904,11.99418877827957,12.64548960286404,13.27026350833316,13.860606539578919,14.408849513423286,14.907768472897128,15.350782263235011,15.732127204685556,16.04700060239583,16.291667242561687,16.463525781468554,16.56113472117595,16.584200190564843,16.533529788434468,16.41095816174164,16.219250747217572,15.961992242161967,15.643465995248665,15.268529760681078,14.84249228885311,14.37099417331966,13.859895353108067,13.315170766370214,12.742814919355595,12.14875559752977
PD22,pathway,myanmar,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,myanmar,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,myanmar,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10963213771759209,0.2131414582808478,0.3100317626466981,0.399894601595922,0.48241476868097366,0.5573722562311385,0.6246408875504046,0.6841840215174223,0.7360478538934067,0.7803529090583139,0.8172843302346582,0.8470815444893374,0.8700278129268978,0.8864400893317814,0.8966595139870218,0.9010427733302657,0.8999544677348527,0.8937605536053823,0.8828228643857703,0.8674946683636124,0.8481171883680741,0.8250169878400504,0.798504117153495,0.7688709112651084,0.7363913326843761,0.7013207605692543,0.6638961359641624,0.6243363836301694,0.5828430416948434,0.5396010408546504,0.49569468305174713,0.4540481961555346,0.4147209214994392,0.37774011521610795,0.3431041946342691,0.3107862158035355,0.2807374627185564,0.25289103551960457,0.22716533721971754,0.2034673748201794,0.178157604584128,0.15515621590989048,0.1343023479521388,0.11543921987418515,0.09841538993760057,0.08308573968877542,0.06931220294023532,0.05696426464403448,0.04591925779744921,0.036062487612462
PD22,pathway,myanmar,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015671413045646104,0.1349649004101561,0.2625098709447607,0.39890760091979144,0.5447541167150312,0.7006266009923864,0.8670668602410103,1.0445616777211362,1.233519990628871,1.4342469915117373,1.6469154653923839,1.8715349353506285,2.10791949401985,2.355655532095758,2.61407091358976,2.8822074573326377,3.1587988225643953,3.442256015376309,3.730662684734203,4.021782122574221,4.313077400303623,4.601745368525436,4.884764354962948,5.1589543882373405,5.421047751908392,5.667766750419807,5.895904862257655,6.10240706174612,6.284445067956369,6.439483636676361,6.565334707294717,6.660719545026891,6.727719683809233,6.7657731465489315,6.774765365730854,6.755011188856749,6.707225864650967,6.63248751612075,6.532193660189611,6.408014187439794,6.261842924083671,6.095749520052009,5.911932996431553,5.712677887529328,5.500313560788692,5.277177012399657,5.045579227032467,4.8077750563300405,4.565936504788503,4.322129300323168
PD22,pathway,myanmar,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,myanmar,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
