model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,northmaced,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.0035573897399548,-0.0021258257781604506,-0.00010615973990116961,0.0025470723139639495,0.005883005689839377,0.00995449929112216,0.01481811664411585,0.020534014540324753,0.02716571460195643,0.03477972952981823,0.04344501244380966,0.05323219490524579,0.0642125773598318,0.07645683542732112,0.09003340738179297,0.10500653311716318,0.1214339237466871,0.13936405460615642,0.15883309355623035,0.17986150156095984,0.20245037351412054,0.22657762342608992,0.2521941576532659,0.27922022000836344,0.3075421293166426,0.3370096582293273,0.3674343161830296,0.3985887936626637,0.4302077947344478,0.46199042759336223,0.4936042391626491,0.5245722943312188,0.554679825033745,0.5835603897255497,0.6108485974428226,0.6361899279423631,0.659250460655063,0.679726007391611,0.6973501854320702,0.7119010493036281,0.7232060109664888,0.731144905630096,0.7356511892707929,0.7367113706274797,0.7343628746252139,0.7286905996050294,0.7198224655934601,0.707924257154116,0.6931940469873384,0.6758564518572543,0.6561569275566661,0.6343562609178645,0.6107253696907053,0.5855404793726197,0.5590787122486309,0.5316140990832059
PD22,pathway,northmaced,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.270735736710898e-05,0.00010981020660851452,0.0001719224086053657,0.0002396329360245368,0.0003135990641969824,0.0003945540541615785,0.0004833156397182174,0.0005807953871128959,0.0006880089976126945,0.0008060876235374687,0.0009362902667740715,0.0010800173248096587,0.0012388253420698543,0.0014144430128820273,0.0016087884655292897,0.001823987833143991,0.0020623950849176223,0.0023266130481905544,0.002619515496034019,0.0029442701031379614,0.0033043619820136974,0.0037036173981595017,0.004146227123120475,0.0046367687143436314,0.005180226806503845,0.005782010257117835,0.006447964707289404,0.007184378795494841,0.00799798190023062,0.008895930891756082,0.009885782955177596,0.0109772080369688,0.01217861458915721,0.013498638046447126,0.01494602079926616,0.016529461470052582,0.01825742662311557,0.020137921412890843,0.02217821673237815,0.02438453204779143,0.026761675384740256,0.02931264491919928,0.032038200317924606,0.034936416276556186,0.038002235414819556,0.04122704246881764,0.044598286092272135,0.04809917794052145,0.05170850038600068,0.05540055353031699
PD22,pathway,northmaced,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397933959323591e-05,9.162630434309995e-05,0.00014345310350279028,0.00019995117944812527,0.00026166896671330056,0.0003292183027694039,0.00040328150967314263,0.0004846192038450135,0.0005740788926005341,0.0006726044163159181,0.0007812462938237597,0.0009011730253056214,0.001033683400898328,0.0011802198536638654,0.0013423828815091736,0.0015219465428526393,0.0017208750039062674,0.0019413400796352346,0.0021857396637706425,0.002456716883341983,0.0027571797374277944,0.0030903208852340854,0.0034596371320295386,0.003868948019592121,0.004322412757414871,0.004824544529110515,0.005380220973173692,0.005994689367801281,0.0066735647473439245,0.007422818847879532,0.008248757430629384,0.009159449157751038,0.010161910092762827,0.011263345694909294,0.012471050667941075,0.013792283195332294,0.015234107829842577,0.016803204121026524,0.0185056389462302,0.020346601865894036,0.022330104725832706,0.024458649222316654,0.026732869225908035,0.029151158250937653,0.03170929638854169,0.034400095010119855,0.037213081195990726,0.0401342466492492,0.043145887252393454,0.04622655885387821
PD22,pathway,northmaced,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,northmaced,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,-2.444506648230862e-06,-2.1002694208933475e-06,-1.8454679321789735e-06,-1.6951892190989024e-06,-1.6622582957504417e-06,-1.7571049433552248e-06,-1.987724599172784e-06,-2.3597247237373435e-06,-2.8764439433573945e-06,-3.539128786345474e-06,-4.3471519031390246e-06,-5.29825606785033e-06,-6.3888096904062285e-06,-7.614061678022307e-06,-8.968385941976443e-06,-1.0445508370518112e-05,-1.098139723859729e-05,-9.82263878088782e-06,-8.765888273883717e-06,-7.804072077833592e-06,-6.930238094255957e-06,-6.137637274389237e-06,-5.419785308832364e-06,-4.770507067441797e-06,-4.1839663574634345e-06,-3.6546834512584807e-06,-3.1775426434507633e-06,-2.7477918632440632e-06,-2.3610361156111798e-06,-2.013226272709468e-06,-1.7006444962555184e-06,-1.4198873501218963e-06,-1.1678474641410694e-06,-9.416944365320311e-07,-7.388555132671268e-07,-5.569964568101309e-07,-3.940029118902215e-07,-2.479624901172286e-07,-1.1714772580085644e-07,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20,4.0657581468206416e-20
