model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,nz,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.0373048266188846,-0.0305669982105949,-0.0193150064289675,-0.003270700475865,0.0178542760844211,0.0443552987954339,0.0765305404217694,0.1146755607558382,0.1590765631892816,0.2100021938234921,0.2676937959210126,0.3323540894612875,0.4041343255465451,0.4831200702929159,0.5693159024586502,0.6626294602005725,0.7628554378253986,0.8696603013331491,0.982568645138074,1.100952230475893,1.224022804877356,1.350829778120176,1.480263703815493,1.611066276486257,1.741847203939832,1.871107872316241,1.9972712215688848,2.1187167417028605,2.233819042591632,2.340988100118404,2.438709086339932,2.5243361860959967,2.598039089886857,2.65888963948624,2.706166085507408,2.7393659084015245,2.7582108263808,2.7626444200697304,2.752823197513372,2.729102196787652,2.692016369218349,2.6422590125986285,2.5806584511285355,2.508154014161094,2.4257721782014867,2.33460353293658,2.235781034740675,2.1304598365641687,2.019798841651484,1.9049440247551963,1.78701349823284,1.6670842677405289,1.5461806166661285,1.425264071880307,1.3052249271051215,1.186875325739027
PD22,pathway,nz,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.985450500972208e-05,0.0001038665903386,0.0001626168908716,0.0002266625003852,0.0002966251183522,0.0003731983171305,0.0004571555696443,0.0005493591024639,0.0006507696407412,0.0007624571117466,0.0008856123722979,0.0010215600215978,0.0011717723541369,0.0013378844964763,0.0015217107557808,0.0017252621855387,0.0019507653433828,0.0022006821753329,0.0024777309078593,0.0027849077612543,0.0031255092119082,0.0035031544238614,0.0039218073378508,0.0043857977452388,0.0048998404810464,0.0054690516415385,0.0060989604651033,0.0067955152097086,0.0075650810177316,0.0084144273847801,0.0093507024537618,0.0103830527730713,0.011519431676639,0.0127680071953479,0.0141370485266902,0.0156347834691668,0.017269220323589,0.0190479309552875,0.0209777927109855,0.0230646884204247,0.0253131658687495,0.0277260609518693,0.0303040922186166,0.0330454385741639,0.0359453163753384,0.0389955766702942,0.0421843474702392,0.0454957491208929,0.0489097124256086,0.0524019285254873
PD22,pathway,nz,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,nz,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,0.0001091857577859,0.0002999107620892,0.0005184580464296,0.0007677568781343,0.0010509958235965,0.001371633691345,0.0017334077046532,0.0021403378787523,0.002596726388854,0.0031071505185136,0.0036764475833923,0.0043096900477633,0.0050121489102102,0.0057892433570728,0.0066464746999314,0.0075893427652837,0.0086232432333681,0.0097533449727452,0.0109844472276035,0.0123208176143821,0.0137660132809292,0.0153226892512187,0.0169923998550482,0.0187754011069479,0.0206704637778111,0.0226747084712719,0.0247834750137839,0.0269902386252895,0.0292865844235765,0.0316622496809236,0.0341052398798322,0.0366020201579164,0.0391377785244375,0.041696751767596,0.0442625998518963,0.0468188104455837,0.049349112552466,0.051837877405195,0.0542704859189694,0.05663364495124,0.0589156389740313,0.0611065089866904,0.0631981559573405,0.0651843711937896,0.0670608003380076,0.0688248508484709,0.0704755547592825,0.072013399225829,0.0734401370504012,0.0747585882695025,0.0759724422464179,0.0770860678045134,0.0781043369760959,0.0790324660931095,0.0798758763185622,0.0806400743700584,0.0813305531369132,0.081952711128071,0.0825117891783965,0.0830128225448547,0.0834606063976236
