model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,philippine,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.07519361816287329,0.18156894155092462,0.29660065901714994,0.420653330203137,0.5540331725780205,0.6969686576020647,0.8495890366672499,1.0119012261898404,1.183765709532456,1.3648723633911741,1.554717369949791,1.7525826081050981,1.9575190954975947,2.1683361420096383,2.3835978391883383,2.601628319335458,2.8205268565351904,3.0381933531170717,3.2523640867550103,3.460656838698446,3.6606237571337243,3.8498096185931323,4.025812621526356,4.186344551519467,4.329287140949244,4.452741714136854,4.55506973079338,4.634922551104808,4.691259558907279,4.723354601863857,4.730791453977925,4.71595606417931,4.680124446459636,4.624104668388464,4.548943986857598,4.455893622101263,4.3463724725327,4.221931076181796,4.084216816866811,3.934941075155823,3.775848760523978,3.608690447430942,3.43519718127929,3.257057920095125,3.075899528419189,2.8932692314809416,2.710619458022961,2.5292950359754025,2.350522743758085,2.175403250119756,2.004905488565047,1.8398635034626505,1.6809757726204875,1.5288069580124632,1.3837919682497046,1.246242141361934
PD22,pathway,philippine,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006564675299426606,0.013676806938488094,0.021412850986413958,0.029846163697651508,0.039058608389687666,0.04914151236236056,0.060196723956126144,0.07233777829620813,0.08569118047321768,0.10039781494930536,0.11661448978697732,0.13451562380084575,0.15429508382950366,0.1761681778966885,0.20037380793166187,0.2271767827648118,0.25687028809504087,0.28977850478064926,0.32625935983674953,0.36670738557974797,0.4115566510497486,0.46128371572270105,0.5164105381224612,0.5775072507657254,0.6451946874366438,0.7201465186645666,0.8030908161586513,0.8948108267317627,0.9961446911483601,1.1079837940605985,1.2312693791368985,1.3672058334293404,1.5168404254804713,1.6812486944130052,1.8615195006321095,2.0587362532615217,2.2739534586997356,2.5081681549736516,2.7622859282113637,3.0370814098546624,3.333153437115939,3.6508754313304164,3.9903420086169556,4.351313373269463,4.733159631075326,5.134807755175902,5.5546944815981165,5.990728830315205,6.440268156304811,6.900111549929175
PD22,pathway,philippine,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,philippine,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,philippine,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006461240927860938,0.0013461312360891688,0.002107546571080063,0.0029375901415831978,0.003844319293823804,0.004836722860617369,0.005924825201673598,0.0071198009412409965,0.008434101264363109,0.009881592636804458,0.011477708794813532,0.013239616801986914,0.015186397881613448,0.017339243592325013,0.019721667708264008,0.022359733874240274,0.025282298710738595,0.028521269517574107,0.03211187503910578,0.03609294687375786,0.04050720799745089,0.04540156348088709,0.050827386767887485,0.056840792797625134,0.06350288675006072,0.07087997422901465,0.07904371524067237,0.0880712003665641,0.09804492309134255,0.10905261739626763,0.12118692460533631,0.1345663857667945,0.1492940776370838,0.16547585948695595,0.183218901726122,0.20262983822530095,0.22381245812241468,0.24686489426657132,0.2718762784104878,0.29892285317314243,0.32806355873557,0.35933514886097173,0.39274693608213457,0.4282753186554861,0.46585829963401654,0.5053902670150061,0.5467173575119532,0.5896337677132333,0.6338793969223545,0.6791391975944723
PD22,pathway,philippine,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,philippine,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001589076263374761,0.003310672390241294,0.005183295697300264,0.007224703145466783,0.00945471095545643,0.011895426244186868,0.014571502901287156,0.01751042377462457,0.020742811283057185,0.024302768583934063,0.028228253376405384,0.03256148630133216,0.03734939567998117,0.04264409998801646,0.048503428953147,0.05499148344975091,0.0621792333908303,0.07014515152385072,0.07897587935014969,0.08876691922293428,0.09962334394121343,0.11166051173929056,0.12500477035911697,0.1397941287665495,0.15617886891536287,0.1743220626710642,0.19439995050531206,0.2166021288355859,0.24113148196817968,0.2682037826759524,0.298046872840386,0.3309522920714507,0.3671735471316951,0.4069709880936333,0.4506081896422355,0.4983474068995802,0.5504438986577617,0.6071390126438132,0.668651959306837,0.7351702495869583,0.8068388408440512,0.8837481252076536,0.9659210059017271,1.053299436846727,1.1457309428788345,1.2429557820560246,1.3445955433282926,1.4501440742088554,1.5589616835803306,1.6702735441596341,1.783173110728685
PD22,pathway,philippine,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,philippine,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,philippine,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
