model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,syria,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.006571363554433517,0.01603218650424216,0.02652959535635914,0.03817563898581864,0.05109475859164543,0.06542503190085837,0.08131951000646262,0.09894764493014793,0.11849680291125567,0.14017385439590654,0.16420682653169733,0.19084659743674162,0.2203686033514745,0.2530745197240389,0.28929386504031857,0.32938546150839315,0.37373866929684635,0.4227742907282801,0.4769450175827458,0.5367352686007542,0.6026602357987516,0.6752639281209447,0.7551159705687893,0.8428068882682609,0.9389415807758142,1.0441306760767162,1.1589794510506648,1.2840740216048308,1.419964548072823,1.5671452773063415,1.7260313595381351,1.897151587342458,2.08078480839122,2.2769857077958906,2.485615691254828,2.7063106999200857,2.938450558349254,3.1811317496188836,3.43314575368801,3.6929652056704105,3.958740081463975,4.228305859323369,4.499205115371569,4.768723293347546,5.033938481670685,5.291784006090939,5.539121604849464,5.772822013523585,5.989849066214185,6.187343015799947,6.362698747833914,6.513634919724517,6.638250756300404,6.735068187039309,6.803058102189782,6.841650608496662
PD22,pathway,syria,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002558790647326185,0.0005330969786509614,0.0008346338598256493,0.0011633490012032664,0.0015224332855250035,0.0019154464842953513,0.00234635845998454,0.0028195946046083924,0.0033400858557674803,0.003913323632727216,0.00454542002763938,0.005243173567638838,0.006014140828348787,0.006866714123666031,0.007810205414873342,0.008854936466987578,0.010012335123581557,0.01129503736298513,0.012716994527144717,0.014293584765858174,0.01604172729827117,0.017979997543187156,0.020128740491458158,0.022510178868274982,0.025148511641720113,0.02806999725979373,0.031303014629220104,0.03487809328158902,0.038827902414559495,0.04318718657537979,0.047992633724775406,0.05329118867241408,0.05912367203515322,0.06553200636548027,0.07255863345516565,0.0802457826149765,0.0886345565801882,0.09776381807381278,0.10766886519071753,0.11837989165104806,0.12992023903665645,0.14230446262981478,0.15553625039419205,0.16960625553071546,0.18448992591233337,0.20014543691002779,0.21651185534658648,0.2335076786359379,0.2510299012970952,0.2689537577130177
PD22,pathway,syria,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0010313415974931416,0.0022166503481203274,0.0035035441037763815,0.004903489678847416,0.006429166142413444,0.008094572412775832,0.00991513908173523,0.011907843065738308,0.01409132312880088,0.016485993641517083,0.019114153112200633,0.022000083031368033,0.025170131392616382,0.02865277387937751,0.03247864413393085,0.036680522761235825,0.04129327279312229,0.04635370730225468,0.05190037279929868,0.05797323010586249,0.06461321276093218,0.07186164194613903,0.07975947673392426,0.08834637957416161,0.09765957980389402,0.10773252309613765,0.1185933026575348,0.13026287906869247,0.14275311019674652,0.15606463057215625,0.17018464056681745,0.18511906669564576,0.20082796554312946,0.2172501961399688,0.23430397796296065,0.2518859542656022,0.2698709339597185,0.2881124439088966,0.30644419029625053,0.3246824791624195,0.34262958481836503,0.3600779854885586,0.3768153150724083,0.3926298163188521,0.4073160319517628,0.42068044294962437,0.43254676127810104,0.442760608536819,0.45119335931392196,0.45774499261137563,0.4623458685961158,0.4649574226047552,0.4655718359645659,0.46421079777034263,0.4609235096748296
PD22,pathway,syria,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,syria,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,9.599931081130924e-05,0.00018960878860666995,0.00027716498613882716,0.00035869391996316835,0.00043428919856503944,0.0005041014261210012,0.000568327633243586,0.0006272011371415611,0.0006809821289198779,0.000729949187021111,0.0007743918289000629,0.0008146041410585858,0.0008508794714981354,0.0008835061278322075,0.0009127639970829748,0.0009389219873755985,0.0009622361849895593,0.000982948620271427,0.001001286540749749,0.001017462097735716,0.0010316723624005835,0.0010440995977734173,0.0010549117235676944,0.00106426292072399,0.001072294331740531,0.0010791348210860302,0.0010849017671872873,0.0010897018636672152,0.0010936319127295199,0.0010967795979310215,0.001099224227143195,0.001101037439384374,0.0011022838714988825,0.001098672118514,0.0010950603655291175,0.0010914486125442359,0.0010878368595593534,0.001084225106574471,0.0010806133535895884,0.001077001600604706,0.0010733898476198243,0.0010697780946349422,0.0010661663416500593,0.0010625545886651768,0.0010589428356802943,0.0010553310826954126,0.0010517193297105301,0.0010481075767256477,0.0010444958237407652,0.0010408840707558827,0.001037272317771001,0.0010336605647861185,0.001030048811801236,0.0010264370588163535,0.001022825305831471,0.0010192135528465894,0.001015601799861707,0.0010119900468768244,0.001008378293891942,0.0010047665409070594,0.0010011547879221778
