model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,pathway,zambia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,-0.40626009843371413,-0.376070361609532,-0.34255729009418534,-0.3085799127483311,-0.2769350503258474,-0.25028725500896876,-0.23110318140124964,-0.22159377634080357,-0.2236670673603376,-0.23889350220182326,-0.2684848449610566,-0.3132866767086906,-0.3737836792476408,-0.4501161767899058,-0.5421059180042658,-0.6492888142933859,-0.770952295381603,-0.9061750658041374,-1.053867299509026,-1.2128096451615056,-1.3677665832217114,-1.1292803892533643,-0.9118373675982347,-0.7140299054339279,-0.5344662857625879,-0.37178776666080093,-0.2246819612425952,-0.09189288588661793,0.02777191501940557,0.13543674884039847,0.2321552512357492,0.3053675747069997,0.370081883962357,0.4272693968777128,0.477743468423655,0.5221616293305402,0.5610303167057429,0.594712073683983,0.6234349102170977,0.6473034444816674,0.6663113921140487,0.680354943633249,0.689246570685741,0.6927288275838961,0.6904877618545093,0.6821656102820759,0.6537661089117188,0.6203645081260762,0.5813420949668274,0.5360958602454408,0.4840433395115919,0.42509050348460803,0.3721221127223361,0.3246362096564928,0.28216102522726505,0.2442554553061076
PD22,pathway,zambia,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063580679006326,0.001054943499951581,0.0016516536400013224,0.0023021467315388552,0.0030127371997846065,0.0037904694624718723,0.004643199464722063,0.005579684597270428,0.006609682673007889,0.007744060639772375,0.008994913692518735,0.010375695409671516,0.011901359468806902,0.013588513386661139,0.015455584566540696,0.017522998708362533,0.019813370326517837,0.022351704708484226,0.025165610109591185,0.02828551828957515,0.03174491062420222,0.0355805459361826,0.0398326848473458,0.04454530382056838,0.049766290097959166,0.05554760641828048,0.06194541168766657,0.06902012067528138,0.07683638232699999,0.08546295248978134,0.09497243282381812,0.10545772222705725,0.11699960045654532,0.12968102788538355,0.14358599240723402,0.15879806143794278,0.1753985730175766,0.19346443243480513,0.21306549094977814,0.23426149879572272,0.25709864653653136,0.28160573756265267,0.3077900699707868,0.335633147417262,0.3650863837950845,0.3960670125115185,0.4284544531434786,0.46208742054614366,0.4967620775810975,0.5322315260628588
PD22,pathway,zambia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,-0.012603815735799051,-0.02134704219153935,-0.0277178298512665,-0.031614696884550514,-0.03293705077491571,-0.03158748341703668,-0.027474562254542645,-0.02051614713597477,-0.010643243179770168,0.002195627282494339,0.01802958631399393,0.03686019227559717,0.05865601020737354,0.08334716519106794,0.11082014035040094,0.14091313341914702,0.17341232600972628,0.20804943975161538,0.2445009453114867,0.28238924733633103,0.3212860869165064,0.3607182840258899,0.40017579182024954,0.4391218646298609,0.47700496878016174,0.5132719096645713,0.5473815293472932,0.5788182625899161,0.6071048354335242,0.6318134509142215,0.652574924042367,0.6686652610821775,0.6799646793969372,0.6863784669654527,0.6878874216935742,0.6845448104278284,0.6764714688651499,0.6638494654107621,0.6469147610156207,0.6259492722931482,0.6012726959877833,0.5732343890060168,0.542205528902648,0.5085717125540965,0.47272609134691307,0.4350630930642467,0.3959727453321111,0.35583559292904376,0.3150181901428364,0.2738691474618427,0.2327157164610843,0.19186090481685691,0.15158112207567875,0.1121243635925337,0.07370894301420122
PD22,pathway,zambia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248725087652128e-06,6.768375249865275e-06,1.0596787049588844e-05,1.477026301410548e-05,1.932931564420886e-05,2.4319140974224934e-05,2.9790141688777557e-05,3.579850402600043e-05,4.240683279768372e-05,4.9684848875884726e-05,5.7710153400549257e-05,6.656906271680392e-05,7.635751760366268e-05,8.718206964919115e-05,9.916094658830075e-05,0.00011242519695751067,0.00012711991243187284,0.00014340552356419594,0.00016145916119804902,0.00018147607140056213,0.00020367106616410932,0.0002282799851387357,0.00025556113504546257,0.0002857966629404343,0.00031929380691203096,0.00035638595288563137,0.00039743340883067275,0.00044282378775994165,0.000492971868593078,0.0005483187795733109,0.0006093303231630191,0.000676602526165185,0.0007506536606088888,0.0008320159890617877,0.0009212283665249097,0.001018826950270311,0.0011253335941956517,0.0012412417122633274,0.0013669994607398983,0.0015029901890651837,0.0016495102496689041,0.0018067444412204028,0.0019747395873240506,0.0021533770179328502,0.002342345011135553,0.0025411125476331965,0.0027489059996900133,0.0029646905835640997,0.0031871585076602427,0.0034147257065115025,0.0036455388290478523
PD22,pathway,zambia,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,CO2e,AFOLU,Mt,-5.146294360308407e-05,2.127070497241583e-05,8.838267854874814e-05,0.0001489246490852087,0.00020209047283853854,0.0002472245635605219,0.0002838243509091327,0.0003115373659365048,0.000330153752131814,0.0003395951562868496,0.0003399010118026822,0.0003312132014494009,0.00031375999660302866,0.0002878400373814462,0.000253806963647186,0.00021205514813885107,0.00016300683335907298,0.00010710084211674586,4.478292254436744e-05,-2.350229657368825e-05,-9.731782619001438e-05,-0.00017623944038245524,-0.0002598595539886608,-0.0002998604442391974,-0.0002629921710405568,-0.0002297229597933905,-0.00019973125187404666,-0.0001727183456896259,-0.00014840798440984414,-0.00012654565142745152,-0.00010689765405034763,-8.925006200766195e-05,-7.340755488886765e-05,-5.919222172487155e-05,-4.6442346548219646e-05,-3.501120585663615e-05,-2.476589731881338e-05,-1.5586213664512023e-05,-7.3635713360546695e-06,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18
PD22,pathway,zambia,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041539134312221615,0.09342201181481591,0.1494991243277507,0.21003887523558212,0.27530117120004344,0.34552997477867226,0.4209444543095494,0.5017287036037994,0.5880200766209209,0.679896277553982,0.7773614644591286,0.8803317618162511,0.9886207276790453,1.1019254735736461,1.219814274781304,1.341716615910642,1.466916670127076,1.5945511886412265,1.723612662402809,1.8529584006348003,1.9813258529510964,2.1073541000301583,2.229610984098755,2.3466248896716015,2.4569197695244465,2.5590516929690486,2.651645016371093,2.7334262658140194,2.8032539830956114,2.860143099900468,2.9032828321675184,2.9334322133088873,2.9505456363698195,2.954571865858447,2.9456530296625383,2.9241115445101813,2.8904332097221936,2.8452476220129044,2.789306998106345,2.723464360585555,2.64865187199508,2.565859917260854,2.476117355291389,2.380473202121769,2.2799798794993498,2.1756780685658352,2.068583148100013,1.9596731671150065,1.8498782965444422,1.740071716952984
PD22,pathway,zambia,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,zambia,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
