model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,curacao,Electric Power,Emissions,"Fossil Fuels, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763228124385032e-05,3.729495995495342e-05,5.97182635800669e-05,8.573094698510666e-05,0.00011627248598190983,0.00015240215732039222,0.0001953021853910294,0.0002462714159834241,0.00030670603029078845,0.00037806549667769845,0.00046182585076825957,0.0005594276863206699,0.0006722297966950111,0.0008014768396530699,0.0009482791465045609,0.0011135900856955854,0.001298161024919588,0.0015024616475685414,0.0017265699636323812,0.0019700517785383124,0.002231856507469229,0.0025102544567276175,0.0028028332355923297,0.0031065610068893223,0.003417913753135696,0.0037330539107633285,0.004048039967637766,0.004359042335244518,0.004662540899812029
PD22,pathway,curacao,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output,CO2e,ELAUTOE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8621960635192428e-05,6.053980542614773e-05,9.693889098932179e-05,0.00013916451058658755,0.0001887416875165169,0.00024738991439715585,0.0003170282611150328,0.00039976510562460786,0.0004978668275621347,0.0006137025387572964,0.0007496682441821695,0.0009081024170761575,0.001091210746511818,0.0013010136486207389,0.0015393134913778642,0.001807657849584067,0.002107266396193002,0.002438901554363085,0.0028026899554036942,0.0031979267841069255,0.003622906657212205,0.004074821814099296,0.004549756292261571,0.005042788600086711,0.005548198304224173,0.006059756001237,0.006571063551054985,0.007075904495909858,0.0075685647392302454
PD22,pathway,curacao,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011129242512181864,0.0002354004272507662,0.0003769330970833651,0.0005411214162257122,0.0007338952209818075,0.0009619405139592238,0.0012327193256028088,0.001554429783868036,0.0019358843837890896,0.002386295079930184,0.002914978397016675,0.003531027155809982,0.004243017864714871,0.005058806624643079,0.005985401687246122,0.007028820577138842,0.00819380581921663,0.009483321987547352,0.010897861469975956,0.012434683692760864,0.014087157515525243,0.015844365360239778,0.017691080563378373,0.0196081666044303,0.021573380391510893,0.023562499774907954,0.025550646496498006,0.02751364874396127,0.029429288065078003
PD22,pathway,curacao,Electric Power,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Electricity output,CO2e,ELAUTOE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.789380365305407e-05,0.00010130268821308477,0.00016221013894062233,0.0002328672668675362,0.0003158259295468237,0.0004139633946430195,0.0005304908871841367,0.0006689364058654265,0.0008330923373331516,0.001026922972442463,0.0012544376029797223,0.0015195492515223744,0.0018259487497610527,0.002177016907792508,0.00257576967057601,0.003024796631626688,0.003526138698543721,0.004081071652029741,0.0046898073872495855,0.005351166520246701,0.0060622953928780796,0.006818495712893103,0.007613214807615136,0.008438217428733819,0.009283931439832872,0.010139933032813067,0.010995516048576036,0.011840278341316126,0.012664658378099514
PD22,pathway,curacao,Electric Power,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005915310425736453,0.0012511782360884183,0.0020034393864108158,0.0028761177155458284,0.0039007309323342843,0.005112815849715624,0.0065520339508851055,0.008261959155373894,0.010289430808892275,0.012683411426917507,0.01549341932642323,0.018767783814090028,0.022552089941665632,0.026888093718670014,0.03181304474588689,0.03735892680482916,0.04355094691828143,0.05040486211182038,0.05792328947906192,0.06609166257991966,0.0748747362000291,0.08421448225430736,0.09402996941125841,0.10421948503485576,0.11466480473275456,0.12523718521036914,0.1358043958873243,0.14623796101761352,0.15641978717132432
PD22,pathway,curacao,Electric Power,Oil products,Other oil products,ONONSPEC,Electricity output,CO2e,ELAUTOE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008299144181705964,0.0017553953775836795,0.0028108131493475574,0.0040351754831027264,0.005472701530698232,0.007173249222337863,0.00919246337525198,0.011591477930809835,0.014436008203247197,0.017794748300936525,0.021737172118335257,0.026331085375765284,0.031640443620739145,0.03772383027805065,0.04463350630872587,0.0524143447617082,0.06110171093508465,0.07071771183892273,0.08126601923948551,0.09272619651083253,0.10504879483376861,0.11815240116146605,0.13192346933310445,0.14621929714529444,0.1608740165019853,0.1757070013519144,0.19053273300328333,0.20517096077384192,0.21945600030702772
PD22,pathway,curacao,Electric Power,Oil products,Other oil products,ONONSPEC,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006475197023097512,0.0013696027776387287,0.0021930657593897396,0.003148343456118946,0.0042699367409462785,0.005596746000967684,0.0071721866952944024,0.009043957033103234,0.01126332972369909,0.01388390160505723,0.016959877923492545,0.020544162374707298,0.024686654654597406,0.029433062996388037,0.034824162691103416,0.040894964798507766,0.04767306219659867,0.0551757033199915,0.06340575297130366,0.07234726599082303,0.08196166118995521,0.09218541810117722,0.10292994520873408,0.11408390273320437,0.12551787629423053,0.13709093699073285,0.14865833856278865,0.16007944498148163,0.1712249852245355
PD22,pathway,curacao,Industrial,Emissions,"Other Industrial, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001270221953445453,0.0002774512571014562,0.0004541603996930576,0.0006600970642169288,0.0008981769283309812,0.0011711454427304124,0.0014814088113055558,0.001830841476137309,0.002220583401009525,0.002650846816980851,0.003120757091061528,0.0036282541740950405,0.0041700780461510125,0.00474185297788847,0.005338272049748846,0.005953367686896469,0.006580839611560495,0.007214402253630427,0.007848111689803707,0.008476637852214053,0.009095459151557695,0.009700970548620087,0.010290509104272007,0.010862310674520153,0.011415416628977795,0.011949550497134077,0.012464982360251085,0.012962394963282942,0.013442761136092888,0.013907238044992401
PD22,pathway,curacao,Industrial,Oil products,Bitumen,BITUMEN,Energy industry own use and Losses,CO2e,EREFINER,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7072980373142694e-06,5.997175363088949e-06,9.948587075488206e-06,1.4642869668493158e-05,2.016079127563754e-05,2.6578678222810055e-05,3.396366799392775e-05,4.2368283913778214e-05,5.182470343631482e-05,6.2339273204902e-05,7.388796742114839e-05,8.641353964945268e-05,9.982503550252212e-05,0.00011400009344264206,0.00012879008464610945,0.0001440276996900637,0.00015953618221244332,0.0001751391415776294,0.00019066981636106244,0.000205978816233257,0.00022093968861796527,0.0002354520471437284,0.00024944236611589953,0.00026286281901292784,0.00027568868869727906,0.0002879149087489765,0.0002995522388763206,0.0003106234707096372,0.00032115993765230715,0.0003311984881440482
PD22,pathway,curacao,Industrial,Oil products,Fuel oil,RESFUEL,Energy industry own use and Losses,CO2e,EREFINER,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016725002568600267,0.003704903264049625,0.006145985484352093,0.009045994546657984,0.01245482696114808,0.016419635201578534,0.020981895107531068,0.026174054260685975,0.032015991078291964,0.038511626356105805,0.045646117563520605,0.053384099300448185,0.06166938224675719,0.07042637453910754,0.07956325704920457,0.0889766702470472,0.09855741852251984,0.10819653220205339,0.11779099029513773,0.12724850323446513,0.1364909518165567,0.14545631988000873,0.15409918511021525,0.16239000149174837,0.17031349940216356,0.17786654893533446,0.18505579716692414,0.1918953241897222,0.19840448698788035,0.20460604959551806
