model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,luxembou,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008853981645094017,0.002894295788352902,0.005000427593847501,0.007198287540609194,0.009482369588254089,0.012358780763742902,0.015804961257779804,0.0190357584052762,0.022054031997519208,0.02486264200249072,0.027464448390049787,0.029862311132347205,0.03205909020433001,0.0340576455843571,0.0358608372549518,0.037471525203719006,0.0388925694244647,0.0401268299185623,0.04117716669662019,0.0420464397805156,0.04273750920587879,0.043253235025122294,0.043596477311137916,0.043770096161810684,0.04377695170552359,0.04361990410787858,0.04330181357989571
PD22,pathway,luxembou,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,2.8313227535829477e-05,8.399590835629411e-05,0.0001377910406743,0.00018969862449,0.0002397186598033,0.0002878511466142,0.0003340960849227,0.0003930456766127,0.0004642135149547,0.0005471131932192,0.0006412583046768,0.000746162442598,0.0008686135217895,0.0010078826581372,0.0011632409675272,0.0013339595658454,0.001519309568978,0.0018028048344328,0.0021809083867086,0.0026500832503039,0.0032067924497172,0.0038474990094472,0.004567860115978,0.0053643656550753,0.0062887889042191,0.0073357769694514,0.008499976956814,0.0097247817707073,0.0111227038214773,0.0126862267941902,0.0144078343739121,0.0160914005915088,0.017736671353913,0.0197257663358291,0.0220447104185377,0.0243452146043383,0.0266244475704774,0.0288795779942013,0.0312814072355705,0.0338218188360247,0.036234610448317,0.0385202684222619,0.0406792791674732,0.0427123715715844,0.0446202745230047,0.0464037169110896,0.0480634276263493,0.0496001355607033,0.0510173776991784,0.0523186910288998,0.053507612539554,0.0545876792239529,0.0555624280787221,0.0564353692438745,0.0572100128651025,0.0578917118747535,0.058485819213633,0.0589976878328684,0.0594309622227948,0.0597931587834824
PD22,pathway,luxembou,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,luxembou,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,luxembou,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,7.103990901129883e-05,0.0002107517300668,0.0003457275571883,0.0004759673903757,0.0006014712296289,0.0007222390749482,0.0008382709263333,0.0009861796599671,0.0011647448466434,0.0013727460571561,0.0016089628622993,0.0018721748328667,0.0021794133316599,0.0025288495364058,0.0029186546248314,0.0033469997746636,0.0038120561636295,0.0045233660218067,0.005472054825177,0.0066492480497224,0.008046071171425,0.0096536496662669,0.0114610871051272,0.0134595763608246,0.0157790202823628,0.0184059880766877,0.0213270489507453,0.0244001716608095,0.0279076578760746,0.0318306486258237,0.0361502849393396,0.0403744727597223,0.0445025745493269,0.0494933558493867,0.055311752089428,0.0610838813118056,0.0668026395256184,0.0724609227399652,0.0784872837597969,0.0848613578111969,0.0909152242022171,0.0966501032192602,0.1020672152987691,0.1071683892718478,0.1119554539715459,0.1164302382332877,0.1205945708953947,0.1244502807997248,0.1280062424941957,0.1312713305319905,0.1342544194727188,0.1369643838838316,0.139410098342349,0.1416003700401329,0.1435440061832953,0.145254437661212,0.1467450953844807,0.1480294102895975,0.1491165266629728,0.1500253036889367
PD22,pathway,luxembou,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,luxembou,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.826290216445987e-05,0.00018401167397302798,0.0002879922239147903,0.0004010125380686791,0.0005239392078543736,0.0006576911473425984,0.0008032305144424212,0.000961551361022106,0.0011336672463727049,0.0013205999218297015,0.0015233721446046844,0.0017430085724072786,0.0019805493808596197,0.0022370816374651104,0.00251379360013132,0.0028120572516934783,0.0031335451016815674,0.0034803895209951086,0.003855398069601279,0.004262348762356705,0.004706409211497564,0.00519476170629718,0.0057375919368531925,0.006349759648318021,0.007053841932323668,0.007886205229540533,0.008910653875310759,0.010254795278540119,0.012237170573184297,0.016128858190048223
PD22,pathway,luxembou,Agriculture,Emissions,Fertilized Soils,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6109054386797004e-05,5.4432504322202147e-05,8.51909970413095e-05,0.00011862354295449906,0.00015498648852169117,0.00019455165776940953,0.00023760366668630628,0.00028443656581539356,0.0003353501761911015,0.0003906467421374987,0.00045062880552690365,0.0005155994704175021,0.0005858664312228951,0.0006617512534461967,0.0007436054357304045,0.0008318348244005097,0.0009269341646009066,0.0010295342330952917,0.0011404655343662112,0.0012608456432150056,0.0013922031913274069,0.0015366627721246084,0.0016972374152054992,0.0018783227826756899,0.002086597405365792,0.002332818842273196,0.002635861057665001,0.003033471606828403,0.0036198781617174935,0.004771078509237595
PD22,pathway,luxembou,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,luxembou,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
