model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,mauritius,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,mauritius,Agriculture,Emissions,Biochar,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0003947615853962,0.0011711260366755,0.0019211730489283,0.0026449026221548,0.0033423147563548,0.0040134094515284,0.0046581867076756,0.0054801005726541,0.0064723692448689,0.0076282109227247,0.0089408438046263,0.0104034860889785,0.0121107793353576,0.0140525609634618,0.0162186683929902,0.0185989390436417,0.0211832103351163,0.0251358872350449,0.0304076549115297,0.036949198532671,0.0447112032665702,0.0536443542813293,0.0636881012230025,0.0747935037770934,0.0876824189298204,0.1022802131233302,0.1185122527997672,0.1355892847107913,0.1550800306642149,0.1768796932682225,0.2008834751309989,0.2243568593764737,0.2472963032724703,0.2750295699080479,0.3073618090134915,0.339436946983831,0.3712155076605266,0.4026580148850388,0.4361458932265001,0.4715659776970972,0.5052067006028106,0.5370748429516913,0.567177186585548,0.5955238941337555,0.6221251282364993,0.6469910515471612,0.6701318267352222,0.6915576164898132,0.711317735775641,0.7294614995866727,0.7460382229525849,0.7610972209466291,0.7746878086952327,0.7868589268723148,0.7976595162309835,0.8071642108643425,0.8154476449834255,0.8225844529431767,0.8286254486178133,0.8336754305861755
PD22,pathway,mauritius,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,mauritius,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,mauritius,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2e,AFOLU,Mt,0.0,6.968726371772143e-05,0.0002067388823625,0.0003391446834262,0.0004669046669087,0.00059001883281,0.0007084871811301,0.0008223097118691,0.0009674021686351,0.0011425673599748,0.0013466080944345,0.0015783271805603,0.0018365274268989,0.0021379159082134,0.0024806986241763,0.00286308157446,0.003283270758737,0.0037394721766798,0.0044372382403148,0.0053678634022362,0.0065226421150378,0.0078928688313139,0.0094698380036583,0.0112428606779287,0.0132032974202769,0.0154785776463958,0.0180555262941195,0.0209209683012818,0.0239355767898584,0.0273762782247458,0.0312245727220891,0.0354619603980326,0.0396057169811862,0.0436552170730293,0.0485509707058136,0.0542585809609095,0.0599208051519431,0.0655306745525426,0.0710812204363362,0.0769928356888334,0.0832455432944352,0.0891841401982654,0.0948098234516934,0.1001237902532718,0.1051278346119909,0.1098237505387498,0.1142133320467767,0.1182983731521423,0.1220806678743857,0.1255689217843575,0.1287718404580737,0.131698129477854,0.1343564944337102,0.1367556409250416,0.1389042084491448,0.1408108365172961,0.142488700286149,0.1439509749331755,0.145210835661252,0.1462772526437288,0.1471687259740066
PD22,pathway,mauritius,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,mauritius,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.414713412600758e-06,5.167201047300701e-06,8.303487365600437e-06,1.187375257269939e-05,1.593200651569919e-05,2.053552426529992e-05,2.574402356609988e-05,3.1618589787198864e-05,3.8220390710400065e-05,4.5609270003500735e-05,5.384236029760091e-05,6.297290748890141e-05,7.304953897569952e-05,8.411623308799895e-05,9.62132531042003e-05,0.00010937930396420076,0.00012365517198770042,0.00013908915088169972,0.00015574469271249954,0.00017371103188629916,0.00019311815696959958,0.0002141587363783011,0.000237122079072399,0.00026245048850359956,0.000290840616041399,0.0003234441601538008,0.00036231730786419857,0.0004116164374318009,0.00048177649736889927,0.0006145422685338003
PD22,pathway,mauritius,Agriculture,Emissions,Fertilized Soils,EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1615099026501818e-05,2.4854937873797223e-05,3.994090044499854e-05,5.7114360332899405e-05,7.66351122272052e-05,9.877865698580679e-05,0.00012383224506039292,0.00015208970536190192,0.00018384526321600647,0.0002193867747826983,0.0002589890557659069,0.00030290822614829904,0.0003513781903115021,0.00040461048998689797,0.00046279879700500404,0.0005261292873762896,0.0005947981488302057,0.0006690376806485071,0.0007491530958749076,0.0008355736241071887,0.0009289245279808928,0.0010301325687074037,0.001140589361624797,0.0012624224463261002,0.0013989828103862095,0.001555810279642994,0.0017427953925639034,0.001979930892312201,0.002317410296542602,0.0029560316631018005
PD22,pathway,mauritius,Agriculture,Emissions,Improved Rice,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,mauritius,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
