model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,canada,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986083500794951,0.9972167001589886,0.9958250502384836,0.994433400317977,0.993041750397472,1.0032437360385222,1.0134457216795723,1.0236477073206225,1.0338496929616727,1.044051678602723,1.0562542573905014,1.0684568361782782,1.080659414966055,1.092861993753832,1.1050645725416086,1.11612861648508,1.1271926604285496,1.138256704372021,1.149320748315491,1.1603847922589625,1.1733451408799016,1.1863054895008425,1.1992658381217816,1.2122261867427206,1.2251865353636595,1.2352779312187985,1.2453693270739374,1.2554607229290762,1.2655521187842151,1.2756435146393539,1.2904295604748983,1.3019554327129346,1.3134813049509761,1.3250071771890124,1.336533049427054,1.3480589216650904,1.359584793903132,1.3711106661411685,1.38263653837921,1.3941624106172463,1.405688282855288,1.4172141550933244,1.428740027331366,1.4402658995694024,1.451791771807444,1.4633176440454858,1.474843516283522,1.4863693885215636,1.4978952607595997,1.5094211329976412
PD22,baseline,canada,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,93247.1996,95929.2009,93639.5991,93707.9988,105462.0002,119746.8008,117133.1993,127465.2001,121726.79920000001,121221.00025,118407.5984,118242.81647509946,118078.03455019873,117913.25262529819,117748.47070039746,117583.6887754969,118791.68139416495,119999.67401283295,121207.666631501,122415.65925016903,123623.65186883707,125068.5299173847,126513.40796593214,127958.28601447957,129403.16406302701,130848.04211157444,132158.10898351297,133468.17585545126,134778.2427273898,136088.30959932812,137398.37647126665,138932.9802258988,140467.58398053117,142002.18773516332,143536.79148979546,145071.39524442758,146266.29319213828,147461.191139849,148656.08908755967,149850.98703527037,151045.88498298105,152796.66516020018,154161.4160113713,155526.16686254303,156890.91771371415,158255.66856488588,159620.419416057,160985.17026722874,162349.92111839986,163714.6719695716,165079.4228207427,166444.17367191447,167808.9245230856,169173.67537425732,170538.42622542847,171903.1770766002,173267.92792777196,174632.67877894305,175997.4296301148,177362.1804812859,178726.93133245767
PD22,baseline,canada,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,66495.5991,68443.198,66837.6021,68878.8011,69890.3989,70020.0013,69573.6005,67035.6001,67215.599,67150.7999,64987.1998,64896.76036856449,64806.320937128876,64715.88150569337,64625.44207425775,64535.00264282223,65198.00112203389,65860.99960124554,66523.9980804572,67186.99655966886,67849.99503888052,68643.00646463712,69436.01789039362,70229.0293161501,71022.0407419066,71815.05216766309,72534.07340201346,73253.09463636369,73972.11587071406,74691.1371050643,75410.15833941466,76252.41510472128,77094.67187002802,77936.92863533464,78779.18540064126,79621.44216594787,80277.25372464668,80933.06528334548,81588.87684204426,82244.68840074306,82900.49995944185,83861.40367440833,84610.43783641087,85359.47199841375,86108.50616041629,86857.54032241917,87606.57448442171,88355.60864642459,89104.64280842713,89853.67697043002,90602.71113243255,91351.74529443544,92100.77945643799,92849.81361844086,93598.84778044342,94347.8819424463,95096.91610444919,95845.95026645172,96594.98442845461,97344.01859045713,98093.05275246002
PD22,baseline,canada,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,356.4014,355.9054140200222,355.40942804004374,354.91344206006585,354.4174560800874,353.9214701001095,357.5574720653597,361.1934740306098,364.82947599586004,368.4654779611102,372.1014799263604,376.450496089935,380.79951225350896,385.1485284170829,389.4975445806569,393.8465607442308,397.7898014953456,401.7330422464597,405.6762829975745,409.61952374868866,413.5627644998034,418.18185089279416,422.80093728578555,427.42002367877626,432.039110071767,436.6581964647577,440.2547840754834,443.8513716862091,447.44795929693476,451.04454690766045,454.6411345183861,459.9109019546383,464.01873895649555,468.1265759583547,472.23441296021196,476.3422499620711,480.4500869639284,484.55792396578755,488.66576096764487,492.77359796950407,496.88143497136133,500.9892719732205,505.09710897507784,509.204945976937,513.3127829787943,517.4206199806534,521.5284569825126,525.6362939843698,529.7441309862289,533.8519679880861,537.9598049899453
PD22,baseline,canada,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,canada,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,canada,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,97945.2,109854.0,115322.40000000001,112485.6,111765.6,121215.6,101790.0,108500.40000000001,106390.8,103953.6,100000.8,99861.63389462957,99722.46778925898,99583.30168388855,99444.13557851796,99304.96947314752,100325.17619884106,101345.38292453457,102365.58965022811,103385.79637592164,104406.00310161518,105626.27074245605,106846.53838329676,108066.80602413746,109287.07366497818,110507.34130581887,111613.75455140119,112720.1677969833,113826.58104256561,114932.99428814775,116039.40753373005,117335.45276410285,118631.49799447584,119927.54322484863,121223.58845522144,122519.63368559422,123528.7813442248,124537.92900285537,125547.07666148592,126556.22432011648,127565.37197874703,129043.98839113815,130196.58483563957,131349.18128014152,132501.77772464295,133654.3741691449,134806.97061364632,135959.56705814827,137112.1635026497,138264.75994715164,139417.35639165307,140569.95283615502,141722.54928065644,142875.1457251584,144027.74216965985,145180.3386141618,146332.93505866374,147485.53150316514,148638.1279476671,149790.7243921685,150943.32083667043
PD22,baseline,canada,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1166914.8,1242615.6,1253502.0,1297814.4000000001,1265101.2,1254542.4000000001,1285628.4000000001,1311872.4000000001,1282662.0,1266499.8,1291420.8,1289623.5943463417,1287826.3886926812,1286029.1830390226,1284231.9773853621,1282434.7717317035,1295609.828189857,1308784.8846480104,1321959.941106164,1335134.9975643174,1348310.054022471,1364068.7180826468,1379827.3821428206,1395586.0462029944,1411344.7102631682,1427103.3743233418,1441391.710804055,1455680.0472847656,1469968.3837654789,1484256.72024619,1498545.056726903,1515282.320511235,1532019.5842955692,1548756.8480799012,1565494.1118642332,1582231.375648565,1595263.6141569251,1608295.852665285,1621328.091173645,1634360.3296820053,1647392.568190365,1666487.5753321406,1681372.3264784832,1696257.0776248325,1711141.8287711751,1726026.5799175245,1740911.3310638673,1755796.0822102167,1770680.8333565595,1785565.584502909,1800450.3356492517,1815335.0867956013,1830219.8379419441,1845104.5890882935,1859989.3402346366,1874874.091380986,1889758.8425273355,1904643.5936736779,1919528.3448200275,1934413.0959663698,1949297.8471127194
PD22,baseline,canada,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,97945.1995,109853.9995,115322.3999,112485.6,111765.6002,121215.6014,101790.0008,108500.3987,106390.7999,103953.6008,100000.8011,99861.63499309876,99722.46888619736,99583.30277929611,99444.1366723947,99304.97056549345,100325.17730240917,101345.38403932485,102365.59077624057,103385.79751315629,104406.004250072,105626.2719043357,106846.53955859925,108066.8072128628,109287.07486712634,110507.34252138989,111613.75577914265,112720.16903689521,113826.58229464797,114932.99555240056,116039.40881015331,117335.4540547825,118631.49929941187,119927.54454404104,121223.58978867023,122519.63503329939,123528.7827030305,124537.9303727616,125547.07804249269,126556.2257122238,127565.37338195488,129043.98981061064,130196.58626779052,131349.18272497092,132501.77918215079,133654.3756393312,134806.9720965111,135959.5685536915,137112.1650108714,138264.76146805182,139417.35792523168,140569.9543824121,141722.550839592,142875.1472967724,144027.7437539523,145180.3402111327,146332.9366683131,147485.53312549298,148638.1295826734,149790.72603985324,150943.32249703366
PD22,baseline,canada,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,1166914.8013,1242615.5994,1253501.9995,1297814.3999,1265101.1982,1254542.3984,1285628.4003,1311872.4015,1282662.0002000001,1266499.8007999999,1291420.8004,1289623.594745785,1287826.3890915678,1286029.1834373528,1284231.9777831356,1282434.7721289205,1295609.828591155,1308784.885053389,1321959.9415156234,1335134.9979778577,1348310.054440092,1364068.718505149,1379827.3825702039,1395586.0466352585,1411344.7107003133,1427103.374765368,1441391.7112505068,1455680.047735643,1469968.384220782,1484256.7207059185,1498545.0571910571,1515282.3209805733,1532019.5847700918,1548756.8485596078,1565494.112349124,1582231.3761386399,1595263.6146510367,1608295.8531634333,1621328.0916758298,1634360.3301882264,1647392.5687006228,1666487.5758483126,1681372.3269992657,1696257.0781502253,1711141.8293011785,1726026.5804521383,1740911.3316030914,1755796.082754051,1770680.8339050042,1785565.585055964,1800450.336206917,1815335.0873578768,1830219.83850883,1845104.5896597896,1859989.340810743,1874874.0919617026,1889758.8431126624,1904643.594263615,1919528.345414575,1934413.0965655276,1949297.8477164875
