model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0146351409627983,1.0219527114441989,1.0292702819255994,1.0365878524069971,1.0455196246939296,1.0544513969808622,1.0633831692677944,1.0723149415547302,1.0812467138416628,1.098028928944887,1.1148111440481148,1.1315933591513425,1.148375574254567,1.1651577893577947,1.1778691760401505,1.1905805627225063,1.203291949404862,1.2160033360872147,1.2287147227695705,1.2414329346381636,1.2541511465067539,1.2668693583753439,1.2795875702439372,1.2923057821125272,1.3066168015367323,1.3209278209609403,1.3352388403851485,1.3495498598093536,1.3638608792335585,1.3755654862940314,1.3890801019404324,1.40259471758683,1.4161093332332275,1.4296239488796283,1.443138564526026,1.4566531801724267,1.4701677958188244,1.4836824114652252,1.4971970271116228,1.5107116427580205,1.5242262584044213,1.5377408740508187,1.5512554896972195,1.564770105343617,1.5782847209900144,1.5917993366364152,1.6053139522828126,1.6188285679292134,1.632343183575611
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,480.95935,596.51925,555.1197,551.1593499999999,550.4393,567.3607999999999,568.0809,561.2402500000001,559.0801,561.2402500000001,525.96,529.8087493703975,533.6574987407934,537.5062481111909,541.3549974815884,545.2037468519843,549.9015018040193,554.5992567560544,559.2970117080893,563.9947666601261,568.6925216121612,577.519295467853,586.3460693235467,595.1728431792403,603.9996170349322,612.8263908906258,619.5120718300777,626.1977527695296,632.8834337089813,639.5691146484315,646.2547955878835,652.9440663022887,659.6333370166924,666.322607731096,673.0118784455013,679.701149159905,687.2281729362599,694.7551967126162,702.2822204889728,709.8092442653277,717.3362680416825,723.4924231712089,730.6005704165899,737.7087176619692,744.8168649073484,751.9250121527293,759.0331593981086,766.1413066434895,773.2494538888689,780.3576011342498,787.4657483796291,794.5738956250084,801.6820428703894,808.7901901157686,815.8983373611496,823.0064846065288,830.114631851908,837.2227790972889,844.3309263426681,851.4390735880492,858.5472208334285
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,109.53,80.37,108.32,103.53,97.8,101.84,107.6,109.18,106.26,111.76,87.19,87.82801897027333,88.46603794054639,89.10405691081971,89.74207588109303,90.38009485136608,91.15885607706372,91.93761730276137,92.71637852845899,93.49513975415692,94.27390097985457,95.73714231470468,97.2003836495551,98.66362498440553,100.12686631925565,101.59010765410608,102.69841345894069,103.8067192637753,104.91502506860988,106.02333087344421,107.13163667827882,108.24053757110146,109.34943846392383,110.4583393567462,111.56724024956885,112.67614114239123,113.92391892598768,115.17169670958437,116.41947449318108,117.66725227677753,118.91503006037395,119.93555474997659,121.11389408818629,122.2922334263957,123.47057276460508,124.64891210281476,125.82725144102417,127.00559077923386,128.18393011744325,129.36226945565292,130.54060879386233,131.71894813207174,132.89728747028144,134.07562680849082,135.25396614670052,136.4323054849099,137.6106448231193,138.78898416132895,139.96732349953834,141.14566283774803,142.32400217595745
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,1935.31,1620.38,1663.51,1543.31,1568.72,1869.82,1907.19,1790.5,1704.65,1299.43,1468.87,1479.618559753015,1490.3671195060253,1501.1156792590402,1511.8642390120554,1522.612798765066,1535.7324111241724,1548.852023483279,1561.9716358423852,1575.0912482014967,1588.2108605606034,1612.8617528592763,1637.5126451579542,1662.1635374566324,1686.8144297553056,1711.4653220539838,1730.136696610096,1748.808071166208,1767.4794457223195,1786.1508202784269,1804.822194834539,1823.5035947019594,1842.1849945693755,1860.8663944367913,1879.5477943042122,1898.229194171628,1919.2502212732602,1940.2712483748965,1961.2922754765332,1982.3133025781653,2003.334329679797,2020.5268758527138,2040.3780893372427,2060.229302821767,2080.0805163062905,2099.931729790819,2119.7829432753433,2139.634156759872,2159.485370244396,2179.336583728925,2199.187797213449,2219.039010697973,2238.8902241825017,2258.7414376670254,2278.592651151554,2298.4438646360777,2318.2950781206014,2338.14629160513,2357.9975050896537,2377.8487185741824,2397.6999320587065
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,27.5454,14.5152,17.1756,21.2328,19.9818,23.3334,28.1088,15.557400000000001,15.694200000000002,17.3106,16.452,16.57238866956001,16.69277733911996,16.813166008679964,16.933554678239968,17.053943347799922,17.200888865464535,17.34783438312915,17.49477990079376,17.641725418458428,17.788670936123044,18.06477193900129,18.340872941879592,18.616973944757895,18.89307494763614,19.169175950514443,19.378303684212565,19.587431417910683,19.796559151608797,20.00568688530686,20.21481461900498,20.424054640667073,20.63329466232912,20.842534683991165,21.051774705653262,21.261014727315306,21.49645961888233,21.7319045104494,21.967349402016474,22.202794293583498,22.438239185150515,22.630803380509416,22.853145837124003,23.075488293738537,23.297830750353068,23.52017320696765,23.742515663582186,23.96485812019677,24.187200576811303,24.409543033425887,24.63188549004042,24.854227946654955,25.076570403269542,25.298912859884073,25.52125531649866,25.74359777311319,25.96594022972772,26.188282686342305,26.410625142956835,26.632967599571423,26.855310056185957
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,360.0324,212.28480000000002,336.708,407.8782,368.05859999999996,333.972,387.387,292.7826,318.3102,367.59240000000005,313.308,315.6006533723867,317.8933067447724,320.1859601171591,322.47861348954575,324.77126686193145,327.5696625736057,330.36805828528,333.16645399695415,335.96484970862946,338.76324542030375,344.0212476698647,349.2792499194268,354.53725216898886,359.79525441854986,365.05325666811194,369.03583580678753,373.0184149454631,377.00099408413854,380.98357322281305,384.96615236148864,388.9508698856138,392.9355874097381,396.9203049338623,400.90502245798757,404.8897399821118,409.37349685587066,413.8572537296304,418.3410106033902,422.82476747714907,427.3085243509078,430.9756713798105,435.2099085787531,439.44414577769464,443.6783829766361,447.91262017557864,452.1468573745202,456.38109457346275,460.6153317724043,464.84956897134686,469.08380617028837,473.31804336922994,477.55228056817253,481.78651776711405,486.0207549660566,490.25499216499804,494.4892293639395,498.72346656288204,502.95770376182355,507.1919409607661,511.42617815970766
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,27.54955,14.521999999999998,17.1792,21.22855,19.9818,23.3386,28.100900000000003,15.561150000000001,15.69105,17.302,16.46,16.580447210123857,16.70089442024766,16.821341630371514,16.94178884049537,17.062236050619173,17.209253022462082,17.356269994304995,17.5032869661479,17.650303937990863,17.797320909833775,18.073556170432845,18.34979143103197,18.6260266916311,18.902261952230173,19.178497212829303,19.387726637620883,19.59695606241246,19.806185487204033,20.015414911995556,20.224644336787133,20.433986104144175,20.64332787150117,20.852669638858163,21.06201140621521,21.2713531735722,21.50691255329462,21.742471933017082,21.97803131273955,22.213590692461967,22.449150072184377,22.641807904399762,22.864258477939522,23.086709051479225,23.30915962501893,23.531610198558685,23.75406077209839,23.976511345638148,24.198961919177854,24.42141249271761,24.643863066257314,24.86631363979702,25.08876421333678,25.311214786876484,25.53366536041624,25.75611593395594,25.97856650749564,26.201017081035396,26.4234676545751,26.645918228114855,26.868368801654558
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,360.02855,212.27955,336.7083,407.87905,368.0516,333.97135000000003,387.37975,292.77935,318.30989999999997,367.58925,313.31,315.6026680075277,317.89533601505434,320.188004022582,322.48067203010964,324.77334003763633,327.5717536128551,330.37016718807394,333.1685807632927,335.96699433851256,338.76540791373145,344.0234437277226,349.2814795417149,354.5395153557072,359.7975511696984,365.0555869836907,369.0381915451397,373.0207961065886,377.0034006680374,380.9860052294853,384.9686097909342,388.9533527514831,392.93809571203116,396.9228386725791,400.9075816331281,404.89232459367605,409.37611008947374,413.85989558527234,418.34368108107105,422.82746657686874,427.3112520726664,430.97842251078316,435.212686738957,439.44695096712985,443.6812151953026,447.9154794234764,452.14974365164926,456.38400787982306,460.6182721079959,464.8525363361697,469.0868005643425,473.3210647925154,477.55532902068927,481.78959324886205,486.0238574770359,490.2581217052087,494.49238593338146,498.72665016155526,502.96091438972803,507.1951786179019,511.4294428460747
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,198.288,230.57999999999998,278.892,298.908,287.568,366.65999999999997,365.364,845.352,916.488,1012.608,1264.104,1273.3541701158208,1282.6043402316373,1291.8545103474578,1301.1046804632783,1310.354850579095,1321.6455396540955,1332.9362287290962,1344.2269178040965,1355.5176068791013,1366.808295954102,1388.022761194948,1409.2372264357987,1430.4516916766493,1451.6661569174955,1472.8806221583461,1488.949136909059,1505.017651659772,1521.086166410484,1537.1546811611927,1553.2231959119056,1569.3003384078415,1585.3774809037739,1601.454623399706,1617.5317658956424,1633.6089083915745,1651.6995252897898,1669.7901421880088,1687.8807590862282,1705.9713759844435,1724.0619928826586,1738.8578334862307,1755.9417131833086,1773.0255928803824,1790.109472577456,1807.1933522745337,1824.2772319716075,1841.3611116686852,1858.444991365759,1875.5288710628367,1892.6127507599106,1909.6966304569846,1926.7805101540625,1943.8643898511361,1960.948269548214,1978.0321492452877,1995.1160289423613,2012.199908639439,2029.2837883365125,2046.3676680335905,2063.451547730664
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0146351409627983,1.0219527114441989,1.0292702819255994,1.0365878524069971,1.0455196246939296,1.0544513969808622,1.0633831692677944,1.0723149415547302,1.0812467138416628,1.098028928944887,1.1148111440481148,1.1315933591513425,1.148375574254567,1.1651577893577947,1.1778691760401505,1.1905805627225063,1.203291949404862,1.2160033360872147,1.2287147227695705,1.2414329346381636,1.2541511465067539,1.2668693583753439,1.2795875702439372,1.2923057821125272,1.3066168015367323,1.3209278209609403,1.3352388403851485,1.3495498598093536,1.3638608792335585,1.3755654862940314,1.3890801019404324,1.40259471758683,1.4161093332332275,1.4296239488796283,1.443138564526026,1.4566531801724267,1.4701677958188244,1.4836824114652252,1.4971970271116228,1.5107116427580205,1.5242262584044213,1.5377408740508187,1.5512554896972195,1.564770105343617,1.5782847209900144,1.5917993366364152,1.6053139522828126,1.6188285679292134,1.632343183575611
PD22,baseline,luxembou,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073175704814008,1.0146351409627983,1.0219527114441989,1.0292702819255994,1.0365878524069971,1.0455196246939296,1.0544513969808622,1.0633831692677944,1.0723149415547302,1.0812467138416628,1.098028928944887,1.1148111440481148,1.1315933591513425,1.148375574254567,1.1651577893577947,1.1778691760401505,1.1905805627225063,1.203291949404862,1.2160033360872147,1.2287147227695705,1.2414329346381636,1.2541511465067539,1.2668693583753439,1.2795875702439372,1.2923057821125272,1.3066168015367323,1.3209278209609403,1.3352388403851485,1.3495498598093536,1.3638608792335585,1.3755654862940314,1.3890801019404324,1.40259471758683,1.4161093332332275,1.4296239488796283,1.443138564526026,1.4566531801724267,1.4701677958188244,1.4836824114652252,1.4971970271116228,1.5107116427580205,1.5242262584044213,1.5377408740508187,1.5512554896972195,1.564770105343617,1.5782847209900144,1.5917993366364152,1.6053139522828126,1.6188285679292134,1.632343183575611
