model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,8845.2006,7405.20075,7268.401,7531.199549999999,8748.0002,9172.800749999999,8971.19935,9372.18765,9588.04,9965.48,9965.48,10289.880696963195,10614.281393926392,10938.682090889588,11263.082787852782,11587.483484815979,11848.540631487032,12109.5977781581,12370.654924829154,12631.71207150022,12892.769218171275,13219.782987517541,13546.796756863809,13873.810526210034,14200.824295556356,14527.838064902679,14853.522963351441,15179.207861800205,15504.892760248966,15830.577658697732,16156.262557146494,16476.190890373764,16796.119223600897,17116.04755682803,17435.9758900553,17755.904223282432,18259.116363237958,18762.32850319348,19265.540643149005,19768.75278310453,20271.964923060055,20475.25810655104,20886.82834314237,21298.398579733836,21709.968816325025,22121.539052916494,22533.109289507818,22944.67952609915,23356.24976269048,23767.819999281946,24179.390235873278,24590.96047246447,25002.530709055936,25414.100945647268,25825.671182238595,26237.241418829923,26648.81165542139,27060.381892012578,27471.952128604044,27883.522365195375,28295.09260178684
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,518.4,522.0,615.6,730.8,853.2,828.0,738.0,887.03,843.51,889.75,949.78,980.6976571486475,1011.6153142972952,1042.5329714459426,1073.45062859459,1104.3682857432375,1129.2488591591928,1154.1294325751492,1179.0100059911042,1203.8905794070606,1228.771152823016,1259.937854060658,1291.1045552983,1322.2712565359382,1353.4379577735856,1384.604659011233,1415.6447095505614,1446.6847600898898,1477.724810629218,1508.7648611685465,1539.8049117078747,1570.2963212870013,1600.787730866115,1631.2791404452287,1661.7705500243553,1692.261959603469,1740.2215989070407,1788.1812382106123,1836.1408775141842,1884.1005168177558,1932.0601561213275,1951.4354195121591,1990.660943953502,2029.886468394858,2069.1119928361873,2108.337517277543,2147.5630417188854,2186.7885661602286,2226.0140906015713,2265.2396150429267,2304.46513948427,2343.6906639256,2382.916188366956,2422.141712808299,2461.3672372496417,2500.5927616909844,2539.8182861323403,2579.04381057367,2618.2693350150257,2657.4948594563684,2696.7203838977243
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1285.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.065104881443382,1.0976573221650727,1.1302097628867636,1.1627622036084546,1.1889583473638035,1.2151544911191536,1.2413506348745025,1.2675467786298527,1.2937429223852017,1.3265575755023888,1.359372228619576,1.392186881736759,1.425001534853952,1.4578161879711449,1.4904974936833397,1.5231787993955346,1.5558601051077292,1.5885414108199243,1.621222716532119,1.65332637167239,1.6854300268126476,1.717533681952905,1.7496373370931761,1.7817409922334335,1.8322365167797199,1.882732041326006,1.9332275658722924,1.9837230904185785,2.034218614964865,2.0546183532103868,2.0959179430536587,2.1372175328969445,2.1785171227402023,2.219816712583488,2.261116302426759,2.302415892270031,2.343715482113303,2.3850150719565884,2.4263146617998603,2.4676142516431185,2.508913841486404,2.550213431329676,2.5915130211729474,2.632812611016219,2.6741122008595046,2.715411790702763,2.7567113805460486,2.7980109703893206,2.8393105602326063
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,58644.0,59331.6,53496.0,52768.8,58262.4,61534.8,56178.0,50609.4084,50037.9498,53746.63020000001,56532.024000000005,58372.27936013721,60212.53472027442,62052.79008041162,63893.04544054882,65733.30080068603,67214.22182817086,68695.14285565577,70176.0638831406,71656.9849106255,73137.90593811034,74992.98469568284,76848.06345325534,78703.1422108276,80558.22096840042,82413.29972597324,84260.84008484636,86108.3804437195,87955.92080259263,89803.46116146578,91651.0015203389,93465.88612321643,95280.7707260932,97095.65532896995,98910.53993184748,100725.42453472424,103580.03874026748,106434.65294581071,109289.26715135397,112143.88135689721,114998.49556244047,116151.73405453002,118486.48345874004,120821.23286295083,123155.98226716004,125490.73167137084,127825.48107558081,130160.23047979083,132494.97988400084,134829.72928821162,137164.47869242163,139499.22809663086,141833.97750084163,144168.72690505165,146503.47630926163,148838.22571347162,151172.9751176824,153507.72452189162,155842.4739261024,158177.2233303124,160511.97273452318
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1285.20055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.065104881443382,1.0976573221650727,1.1302097628867636,1.1627622036084546,1.1889583473638035,1.2151544911191536,1.2413506348745025,1.2675467786298527,1.2937429223852017,1.3265575755023888,1.359372228619576,1.392186881736759,1.425001534853952,1.4578161879711449,1.4904974936833397,1.5231787993955346,1.5558601051077292,1.5885414108199243,1.621222716532119,1.65332637167239,1.6854300268126476,1.717533681952905,1.7496373370931761,1.7817409922334335,1.8322365167797199,1.882732041326006,1.9332275658722924,1.9837230904185785,2.034218614964865,2.0546183532103868,2.0959179430536587,2.1372175328969445,2.1785171227402023,2.219816712583488,2.261116302426759,2.302415892270031,2.343715482113303,2.3850150719565884,2.4263146617998603,2.4676142516431185,2.508913841486404,2.550213431329676,2.5915130211729474,2.632812611016219,2.6741122008595046,2.715411790702763,2.7567113805460486,2.7980109703893206,2.8393105602326063
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,58644.000499999995,59331.5996,53495.999800000005,52768.79925,58262.39965,61534.799,56178.00045,50609.4081,50037.949949999995,53746.62995,56532.02,58372.275229927436,60212.53045985488,62052.78568978232,63893.040919709754,65733.2961496372,67214.21707233746,68695.13799503779,70176.05891773805,71656.97984043838,73137.90076313865,74992.97938945254,76848.05801576642,78703.13664208008,80558.21526839428,82413.29389470849,84260.8341228564,86108.37435100431,87955.91457915222,89803.45480730014,91650.99503544804,93465.87950991096,95280.7639843731,97095.64845883523,98910.53293329815,100725.41740776028,103580.03141132143,106434.64541488256,109289.25941844372,112143.87342200486,114998.48742556601,116151.7258360566,118486.47507506826,120821.22431408068,123155.97355309153,125490.72279210397,127825.47203111558,130160.22127012724,132494.9705091389,134829.7197481513,137164.46898716298,139499.21822617386,141833.9674651863,144168.71670419796,146503.4659432096,148838.21518222123,151172.96442123366,153507.7136602445,155842.46289925693,158177.21213826857,160511.961377281
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.864,0.864,0.864,0.864,0.864,0.864,1.728,1.33056,1.00224,26.429759999999998,60.60096,62.57366915807756,64.54637831615513,66.51908747423268,68.49179663231023,70.46450579038779,72.05201725025994,73.63952871013217,75.22704017000432,76.81455162987655,78.40206308974871,80.39066257071724,82.37926205168577,84.36786153265406,86.35646101362293,88.3450604945918,90.32557899480429,92.30609749501679,94.28661599522927,96.26713449544177,98.24765299565425,100.19316531666362,102.13867763767216,104.0841899586807,106.02970227969006,107.97521460069859,111.0352918639071,114.0953691271156,117.15544639032413,120.21552365353264,123.27560091674115,124.51184463816848,127.01463943027701,129.51743422238638,132.02022901449405,134.52302380660342,137.0258185987119,139.52861339082045,142.031408182929,144.53420297503834,147.0369977671469,149.53979255925458,152.04258735136392,154.54538214347247,157.04817693558098,159.5509717276895,162.05376651979887,164.55656131190656,167.0593561040159,169.56215089612445,172.06494568823382
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,1.7280000000000002,1.3296000000000001,0.9984000000000001,26.423999999999996,60.6024,62.5751560335922,64.54791206718441,66.5206681007766,68.4934241343688,70.466180167961,72.05372935028015,73.64127853259939,75.22882771491854,76.81637689723777,78.40392607955694,80.39257281362596,82.38121954769498,84.36986628176376,86.35851301583313,88.34715974990249,90.32772531119521,92.30829087248793,94.28885643378064,96.26942199507336,98.24998755636607,100.19554610663883,102.14110465691077,104.08666320718271,106.03222175745547,107.97778030772741,111.03793028449128,114.09808026125512,117.15823023801899,120.21838021478284,123.27853019154671,124.51480328859711,127.01765755211501,129.52051181563374,132.02336607915078,134.52622034266952,137.02907460618738,139.5319288697053,142.03478313322321,144.53763739674193,147.04049166025985,149.5433459237769,152.04620018729563,154.54905445081354,157.05190871433143,159.55476297784932,162.05761724136806,164.56047150488513,167.06332576840387,169.5661800319218,172.06903429544053
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2.16,2.16,2.16,2.16,2.16,2.16,4.32,3.3264,2.5056,66.0744,151.5024,156.43417289519388,161.3659457903878,166.29771868558169,171.22949158077557,176.1612644759695,180.13004312564985,184.0988217753304,188.06760042501077,192.03637907469133,196.0051577243717,200.97665642679303,205.94815512921437,210.9196538316351,215.89115253405728,220.86265123647948,225.8139474870107,230.7652437375419,235.7165399880731,240.66783623860434,245.61913248913552,250.48291329165895,255.3466940941803,260.2104748967016,265.07425569922503,269.93803650174635,277.58822965976765,285.2384228177889,292.8886159758102,300.5388091338314,308.1890022918527,311.27961159542104,317.5365985756924,323.79358555596576,330.05057253623494,336.3075595165084,342.5645464967796,348.82153347705093,355.07852045732227,361.33550743759565,367.592494417867,373.8494813981362,380.1064683784096,386.36345535868094,392.6204423389522,398.8774293192235,405.1344162994969,411.3914032797661,417.6483902600395,423.9053772403108,430.1623642205842
PD22,baseline,mozambique,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,2.16,2.16,2.16,2.16,2.16,2.16,4.32,3.324,2.496,66.05999999999999,151.506,156.4378900839805,161.369780167961,166.3016702519415,171.23356033592196,176.16545041990247,180.13432337570035,184.10319633149842,188.0720692872963,192.04094224309438,196.00981519889228,200.98143203406482,205.9530488692374,210.92466570440934,215.89628253958276,220.86789937475618,225.81931327798796,230.77072718121974,235.7221410844515,240.6735549876833,245.62496889091506,250.48886526659697,255.35276164227682,260.21665801795666,265.0805543936386,269.9444507693184,277.59482571122805,285.24520065313766,292.8955755950473,300.5459505369569,308.1963254788666,311.2870082214926,317.5441438802874,323.8012795390842,330.0584151978768,336.31555085667367,342.5726865154683,348.8298221742631,355.08695783305785,361.34409349185466,367.60122915064943,373.8583648094421,380.1155004682389,386.3726361270337,392.6297717858284,398.8869074446231,405.1440431034199,411.40117876221257,417.6583144210094,423.91545007980415,430.17258573860096
PD22,baseline,mozambique,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Oil and gas extraction,EOILGASEX,TJ,302.4,302.4,302.4,320.4,288.0,320.4,378.0,371.49,335.29,416.6,337.15,346.64925743486884,356.1485148697395,365.6477723046056,375.14702973947516,384.64628717434476,392.66259645046574,400.67890572658325,408.6952150027043,416.7115242788218,424.7278335549428,434.56155465528815,444.3952757556371,454.22899685598605,464.062717956335,473.89643905668396,485.798104758416,497.6997704601481,509.60143616188026,521.5031018636123,533.4047675653445,546.207136956577,559.0095063478129,571.8118757390454,584.6142451302777,597.4166145215136,611.1655681585504,624.9145217955837,638.6634754326204,652.4124290696574,666.1613827066942,678.3613803051472,691.6370418192782,704.9127033334165,718.188364847551,731.4640263616857,744.739687875824,758.0153493899585,771.2910109040895,784.566672418224,797.8423339323587,811.1179954464968,824.3936569606315,837.6693184747661,850.9449799888971,864.2206415030353,877.4963030171699,890.7719645313044,904.0476260454426,917.3232875595772,930.5989490737119
PD22,baseline,mozambique,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Agriculture/forestry,AGRICULT,TJ,3.6003,3.6003,89.99975,89.99975,93.60005,107.99925,79.20085,6.1502,67.4998,78.06145000000001,1.1,1.1309926833111548,1.1619853666223152,1.1929780499334608,1.2239707332446175,1.2549634165557744,1.2811177698220746,1.3072721230883635,1.3334264763546637,1.3595808296209526,1.3857351828872528,1.4178191016485755,1.4499030204099097,1.4819869391712441,1.5140708579325783,1.5461547766939128,1.5849856598969536,1.6238165430999947,1.662647426303036,1.7014783095060768,1.740309192709118,1.782078750266157,1.8238483078232075,1.8656178653802464,1.9073874229372851,1.9491569804943354,1.9940149042693331,2.0388728280443194,2.083730751819317,2.1285886755943153,2.173446599369313,2.213250832969486,2.256564573635493,2.299878314301523,2.343192054967541,2.386505795633559,2.4298195362995894,2.4731332769656076,2.5164470176316143,2.5597607582976325,2.6030744989636507,2.6463882396296805,2.6897019802956987,2.7330157209617174,2.776329461627724,2.8196432022937543,2.8629569429597725,2.9062706836257908,2.949584424291821,2.9928981649578397,3.036211905623858
PD22,baseline,mozambique,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Final consumption not elsewhere specified,ONONSPEC,TJ,345.5997,881.9998499999999,928.79985,1159.19965,1335.6009,1519.20065,1461.59965,1385.3292000000001,1384.7616,1580.318,1496.5,1534.2306565458246,1571.9613130916493,1609.6919696374662,1647.422626183305,1685.153282729128,1724.9154234075968,1764.6775640860817,1804.4397047645502,1844.2018454430347,1883.9639861215035,1930.3948078988637,1976.82562967624,2023.2564514536002,2069.6872732309603,2116.118095008321,2170.3254685321267,2224.5328420559167,2278.7402155797067,2332.9475891034967,2387.154962627302,2442.62484064931,2498.0947186713174,2553.5645966933253,2609.0344747153326,2664.5043527373564,2722.346710414982,2780.189068092608,2838.0314257702344,2895.87378344786,2953.716141125486,3007.6762593666426,3064.3323772164754,3120.988495066292,3177.6446129161095,3234.3007307659263,3290.9568486157427,3347.61296646556,3404.2690843153923,3460.925202165209,3517.581320015026,3574.237437864827,3630.8935557146447,3687.5496735644615,3744.2057914142947,3800.8619092641115,3857.5180271139284,3914.174144963745,3970.8302628135616,4027.486380663379,4084.1424985132116
PD22,baseline,mozambique,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Food and tobacco,FOODPRO,TJ,244.799,244.799,216.00060000000002,190.80040000000002,226.79950000000002,421.20025,424.80055000000004,448.43780000000004,425.6576,380.9493,387.56,398.4795675855192,409.39913517104037,420.3187027565564,431.2382703420763,442.1578379275963,451.37272988385746,460.58762184011465,469.8025137963758,479.017405752633,488.2322977088942,499.53633730447433,510.84037690005863,522.1444164956429,533.4484560912272,544.7524956868115,558.4336748633301,572.1148540398489,585.7960332163676,599.4772123928863,613.1583915694051,627.8749458665015,642.591500163602,657.3080544606983,672.0246087577946,686.7411630548949,702.5458329987476,718.3505029425964,734.1551728864492,749.9598428303021,765.7645127741549,779.7886298415032,795.0492419619736,810.3098540824524,825.5704662029268,840.8310783234015,856.0916904438802,871.3523025643548,886.6129146848252,901.8735268052998,917.1341389257744,932.3947510462531,947.6553631667276,962.9159752872023,978.1765874076727,993.4371995281515,1008.697811648626,1023.9584237691005,1039.2190358895791,1054.4796480100538,1069.7402601305284
PD22,baseline,mozambique,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Industry not elsewhere specified,INONSPEC,TJ,3358.80085,4183.1997,5144.40035,5616.00095,6127.2009,6307.20035,6760.799300000001,7116.13825,7408.14245,7998.9604500000005,7998.96,8224.332030998721,8449.704061997483,8675.076092996138,8900.448123994875,9125.820154993613,9316.0089055418,9506.197656089902,9696.386406638088,9886.575157186191,10076.763907734377,10310.071164838986,10543.37842194368,10776.685679048374,11009.992936153067,11243.30019325776,11525.669903717575,11808.03961417739,12090.409324637209,12372.779035097023,12655.14874555684,12958.887854753615,13262.626963950474,13566.366073147248,13870.105182344021,14173.844291540878,14500.041326049291,14826.238360557623,15152.435395066037,15478.632429574454,15804.829464082868,16094.277166263268,16409.24523811578,16724.213309968458,17039.18138182105,17354.149453673646,17669.117525526326,17984.08559737892,18299.053669231427,18614.02174108402,18928.989812936616,19243.95788478929,19558.925956641888,19873.894028494484,20188.862100346993,20503.830172199672,20818.798244052265,21133.766315904857,21448.734387757537,21763.702459610133,22078.670531462725
