model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,4604.3999,4996.79965,4665.59915,4147.2006,3848.40095,3729.6007,3625.1404,3614.96845,3581.32795,3524.55145,3696.29,3631.5691081037653,3566.848216207526,3502.1273243112914,3437.4064324150568,3372.6855405188217,3401.758542124301,3430.8315437297806,3459.9045453352596,3488.9775469407437,3518.0505485462227,3558.1220339600354,3598.1935193738523,3638.265004787665,3678.3364902014773,3718.4079756152946,3758.2925247060934,3798.1770737968923,3838.0616228876906,3877.94617197849,3917.8307210692838,3962.8556855560737,4007.8806500428636,4052.905614529654,4097.9305790164435,4142.955543503237,4192.401290212164,4241.847036921096,4291.292783630023,4340.738530338955,4390.1842770478825,4432.396016484231,4479.631372082087,4526.866727679943,4574.102083277814,4621.33743887567,4668.572794473525,4715.808150071396,4763.043505669252,4810.278861267108,4857.5142168649645,4904.749572462811,4951.984928060706,4999.220283658552,5046.455639256398,5093.690994854293,5140.926350452139,5188.161706049985,5235.397061647832,5282.632417245726,5329.867772843573
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1558.8,1710.0,1674.0,1519.2,1432.8,1324.8,1242.9,1343.97,1167.9,1328.24,1129.37,1109.5950814517123,1089.8201629034231,1070.0452443551353,1050.2703258068475,1030.4954072585597,1039.3784158491142,1048.2614244396684,1057.1444330302227,1066.0274416207785,1074.9104502113328,1087.153952069087,1099.3974539268422,1111.6409557845964,1123.8844576423503,1136.1279595001056,1148.314344552868,1160.5007296056306,1172.6871146583928,1184.8734997111553,1197.0598847639162,1210.8168800598605,1224.5738753558048,1238.3308706517491,1252.0878659476932,1265.8448612436387,1280.9525889816302,1296.0603167196234,1311.168044457615,1326.275772195608,1341.3834999335998,1354.2809382209714,1368.7132997379385,1383.1456612549057,1397.5780227718774,1412.0103842888445,1426.4427458058117,1440.8751073227834,1455.3074688397505,1469.739830356718,1484.1721918736853,1498.6045533906492,1513.0369149076284,1527.4692764245926,1541.9016379415568,1556.333999458536,1570.7663609755,1585.1987224924642,1599.6310840094286,1614.0634455264076,1628.495807043372
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,8751.6,5158.8,3747.6,5702.400000000001,4345.2,6714.0,6829.812000000001,3997.0044000000003,6448.9248,4189.2173999999995,4597.704000000001,4517.199628439629,4436.695256879252,4356.190885318881,4275.686513758509,4195.182142198137,4231.345174799345,4267.508207400553,4303.67124000176,4339.834272602974,4375.997305204181,4425.8410211390865,4475.684737073996,4525.528453008901,4575.372168943805,4625.215884878715,4674.827076341767,4724.438267804819,4774.04945926787,4823.660650730922,4873.271842193967,4929.277041818665,4985.282241443362,5041.28744106806,5097.292640692756,5153.297840317458,5214.801918035014,5276.305995752575,5337.810073470129,5399.31415118769,5460.818228905246,5513.324142470864,5572.078781141987,5630.83341981311,5689.588058484252,5748.3426971553745,5807.097335826497,5865.851974497638,5924.606613168761,5983.361251839885,6042.115890511009,6100.870529182119,6159.62516785329,6218.379806524401,6277.134445195512,6335.889083866684,6394.643722537794,6453.398361208905,6512.152999880017,6570.907638551188,6629.6622772223
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,8751.60055,5158.79955,3747.60025,5702.40035,4345.1996,6713.99925,6829.819149999999,3996.9999,6448.91985,4189.2221,4597.72,4517.21534828459,4436.710696569173,4356.206044853762,4275.701393138352,4195.19674142294,4231.359899871424,4267.523058319907,4303.68621676839,4339.84937521688,4376.012533665363,4425.8564230562915,4475.700312447225,4525.544201838154,4575.3880912290815,4625.231980620016,4674.843344729907,4724.454708839798,4774.066072949688,4823.677437059579,4873.288801169463,4929.294195692134,4985.299590214805,5041.304984737477,5097.310379260148,5153.315773782823,5214.820065534436,5276.324357286056,5337.828649037669,5399.332940789287,5460.8372325409,5513.343328826984,5572.098171964123,5630.853015101262,5689.60785823842,5748.362701375559,5807.117544512697,5865.872387649854,5924.627230786993,5983.382073924132,6042.136917061272,6100.891760198398,6159.646603335585,6218.4014464727115,6277.1562896098385,6335.911132747026,6394.665975884152,6453.420819021279,6512.175662158407,6570.930505295594,6629.685348432721
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,254.268,434.772,394.12800000000004,397.728,350.42400000000004,366.516,420.768,413.40048277559526,406.03296555119005,398.66544832678534,391.29793110238063,383.93041387797587,387.2399455271523,390.54947717632876,393.85900882550516,397.1685404746821,400.4780721238585,405.039618640663,409.6011651574679,414.1627116742724,418.7242581910768,423.28580470788177,427.82607128648823,432.3663378650947,436.9066044437011,441.44687102230756,445.98713760091346,451.1125645174102,456.2379914339069,461.36341835040366,466.48884526690034,471.6142721833975,477.2429398342641,482.87160748513134,488.500275135998,494.12894278686514,499.75761043773184,504.5627932505397,509.9398405342211,515.3168878179025,520.6939351015856,526.070982385267,531.4480296689484,536.8250769526314,542.2021242363129,547.5791715199944,552.9562188036758,558.333266087356,563.7103133710418,569.0873606547221,574.4644079384025,579.8414552220884,585.2185025057686,590.5955497894489,595.9725970731294,601.3496443568151,606.7266916404955
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9649806200832527,0.9474709301248797,0.9299612401665067,0.9124515502081336,0.9203170049223145,0.9281824596364953,0.9360479143506759,0.943913369064858,0.9517788237790388,0.9626198252734597,0.9734608267678816,0.9843018282623024,0.9951428297567231,1.005983831251145,1.0167742587042938,1.0275646861574426,1.038355113610591,1.0491455410637398,1.0599359685168872,1.0721170918829623,1.0842982152490375,1.0964793386151128,1.108660461981188,1.1208415853472642,1.1342187139570128,1.1475958425667627,1.160972971176511,1.1743500997862608,1.1877272283960094,1.1991472575161133,1.2119263835040244,1.2247055094919355,1.2374846354798505,1.2502637614677616,1.2630428874556727,1.2758220134435878,1.288601139431499,1.3013802654194102,1.3141593914073215,1.32693851739523,1.3397176433831517,1.3524967693710601,1.3652758953589688,1.3780550213468905,1.3908341473347987,1.4036132733227074,1.416392399310616,1.4291715252985375,1.4419506512864462
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.864,0.864,2.592,7.775999999999999,12.096000000000002,19.872,20.4768,20.52,19.69056,20.07072,20.338559999999998,19.982438120200232,19.62631624040044,19.27019436060067,18.914072480800904,18.557950601001135,18.717922623632784,18.877894646264433,19.03786666889608,19.197838691527753,19.357810714159402,19.57830107351377,19.79879143286816,20.01928179222253,20.239772151576894,20.460262510931287,20.6797242671128,20.899186023294313,21.118647779475822,21.338109535657335,21.55757129183882,21.805317800287142,22.053064308735465,22.300810817183788,22.548557325632107,22.79630383408045,23.068375366937538,23.340446899794653,23.61251843265174,23.88458996550885,24.15666149836594,24.38892844582692,24.64883746647961,24.908746487132298,25.16865550778507,25.42856452843776,25.68847354909045,25.94838256974322,26.208291590395913,26.468200611048605,26.728109631701297,26.98801865235393,27.247927673006835,27.50783669365947,27.76774571431211,28.027654734965015,28.287563755617647,28.547472776270286,28.80738179692293,29.06729081757583,29.32719983822847
PD22,baseline,northmaced,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.8640000000000001,0.8640000000000001,2.5920000000000005,7.776,12.096,19.872,20.474400000000003,20.522400000000005,19.689600000000002,20.0664,20.332800000000002,19.976778976014398,19.620757952028764,19.264736928043156,18.908715904057548,18.55269488007194,18.712621597684436,18.87254831529693,19.032475032909424,19.192401750521945,19.352328468134438,19.572756383320197,19.793184298505977,20.013612213691736,20.234040128877492,20.454468044063276,20.673867647382657,20.89326725070204,21.112666854021416,21.332066457340797,21.55146606066015,21.799142405837884,22.046818751015618,22.29449509619335,22.54217144137108,22.789847786548837,23.06184226714513,23.333836747741454,23.60583122833775,23.87782570893407,24.149820189530363,24.38202135762361,24.64185677051061,24.90169218339761,25.161527596284692,25.421363009171692,25.68119842205869,25.94103383494577,26.20086924783277,26.46070466071977,26.720540073606774,26.980375486493717,27.24021089938093,27.500046312267877,27.759881725154823,28.01971713804204,28.279552550928983,28.53938796381593,28.79922337670288,29.059058789590093,29.318894202477043
