model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,oman,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,10897.20105,10231.199700000001,12275.9995,10335.600750000001,11411.9992,11411.9992,11696.3997,11941.618050000001,13210.2387,13101.98105,13471.78,14219.11068061646,14966.441361232919,15713.77204184938,16461.10272246584,17208.433403082294,17006.775160984424,16805.11691888641,16603.458676788538,16401.800434690667,16200.142192592795,16177.200402641378,16154.25861268996,16131.31682273854,16108.37503278698,16085.433242835561,16414.399969455008,16743.366696074307,17072.333422693748,17401.300149313047,17730.266875932488,17943.216418386586,18156.165960840543,18369.11550329464,18582.06504574874,18795.014588202837,18950.070278987245,19105.125969771794,19260.1816605562,19415.23735134061,19570.29304212516,19820.0841265508,20004.086743169984,20188.089359789312,20372.091976408494,20556.094593027818,20740.097209647145,20924.09982626647,21108.10244288565,21292.105059504833,21476.107676124157,21660.11029274334,21844.112909362662,22028.11552598199,22212.118142601314,22396.120759220496,22580.12337583982,22764.125992459005,22948.12860907833,23132.13122569751,23316.133842316834
PD22,baseline,oman,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,2372.4,1872.0,2347.2,2084.4,2826.0,2433.6,2232.0,1653.48,1789.2,5457.6,4726.8,4989.01350564943,5251.22701129886,5513.44051694829,5775.6540225977205,6037.8675282471495,5967.112351221678,5896.357174196156,5825.601997170683,5754.846820145211,5684.091643119738,5676.042131270349,5667.99261942096,5659.94310757157,5651.893595722132,5643.844083872743,5759.267578272503,5874.691072672212,5990.11456707197,6105.538061471678,6220.961555871437,6295.678475036687,6370.395394201887,6445.112313367136,6519.829232532386,6594.546151697637,6648.950041844279,6703.353931990972,6757.757822137615,6812.161712284257,6866.56560243095,6954.208994608013,7018.769399263936,7083.329803919908,7147.890208575829,7212.450613231801,7277.011017887773,7341.571422543744,7406.131827199665,7470.692231855586,7535.252636511558,7599.81304116748,7664.373445823452,7728.933850479425,7793.494255135397,7858.054659791319,7922.61506444729,7987.175469103212,8051.735873759184,8116.296278415106,8180.856683071077
PD22,baseline,oman,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,oman,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,oman,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,oman,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.864,0.864,0.864,0.864,0.864,3.456,3.456,13.443840000000002,13.573440000000002,14.307839999999997,110.20320000000001,116.31658905936052,122.42997811872104,128.54336717808155,134.6567562374421,140.77014529680258,139.12052040791932,137.47089551903485,135.82127063015156,134.17164574126826,132.52202085238497,132.3343501313389,132.14667941029285,131.95900868924676,131.77133796819953,131.58366724715344,134.27471371369225,136.96576018022986,139.65680664676864,142.34785311330626,145.03889957984504,146.7808906914114,148.5228818029766,150.26487291454296,152.00686402610933,153.7488551376757,155.01725718273968,156.28565922780484,157.55406127286886,158.82246331793286,160.09086536299802,162.13423133506524,163.63942791337985,165.14462449169562,166.6498210700102,168.15501764832598,169.66021422664176,171.16541080495753,172.6706073832721,174.1758039615867,175.68100053990247,177.18619711821708,178.69139369653286,180.19659027484866,181.70178685316444,183.20698343147905,184.71218000979482,186.21737658810943,187.7225731664252,189.22776974473982,190.73296632305556
PD22,baseline,oman,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,3.4560000000000004,3.4560000000000004,13.4448,13.5744,14.304,110.20080000000002,116.31405592226703,122.42731184453405,128.54056776680108,134.6538236890681,140.7670796113351,139.11749064790348,137.4679016844707,135.81831272103904,134.1687237576074,132.51913479417576,132.33146816021363,132.1438015262515,131.95613489228936,131.7684682583261,131.58080162436397,134.27178948542198,136.96277734647882,139.6537652075368,142.3447530685936,145.0357409296516,146.77769410421917,148.51964727878556,150.26160045335308,152.0035536279206,153.74550680248817,155.0138812243533,156.28225564621962,157.55063006808479,158.81900448994992,160.08737891181622,162.13070038355735,163.63586418177314,165.14102797999007,166.64619177820583,168.15135557642276,169.65651937463971,171.16168317285664,172.6668469710724,174.17201076928816,175.6771745675051,177.18233836572085,178.68750216393778,180.19266596215473,181.69782976037166,183.20299355858742,184.70815735680435,186.21332115502014,187.71848495323707,189.22364875145283,190.72881254966975
PD22,baseline,oman,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2.16,2.16,2.16,2.16,2.16,8.64,8.64,33.6096,33.9336,35.7696,275.50800000000004,290.79147264840134,306.07494529680264,321.35841794520394,336.6418905936053,351.92536324200654,347.80130101979836,343.6772387975872,339.553176575379,335.4291143531708,331.30505213096257,330.8358753283474,330.36669852573226,329.89752172311705,329.428344920499,328.9591681178838,335.6867842842308,342.4144004505748,349.14201661692175,355.8696327832658,362.5972489496127,366.9522267285287,371.30720450744167,375.66218228635756,380.01716006527346,384.37213784418935,387.54314295684935,390.71414806951225,393.88515318217225,397.0561582948322,400.2271634074951,405.3355783376631,409.09856978344965,412.8615612292391,416.6245526750256,420.38754412081505,424.1505355666045,427.9135270123939,431.6765184581804,435.4395099039669,439.2025013497563,442.9654927955428,446.72848424133224,450.49147568712175,454.25446713291115,458.01745857869764,461.78045002448704,465.5434414702736,469.30643291606305,473.06942436184954,476.83241580763894
PD22,baseline,oman,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,2.16,2.16,2.16,2.16,2.16,8.64,8.64,33.612,33.936,35.76,275.502,290.78513980566754,306.0682796113351,321.3514194170026,336.6345592226702,351.91769902833767,347.7937266197586,343.6697542111766,339.5457818025975,335.4218093940184,331.2978369854393,330.828670400534,330.3595038156287,329.8903372307234,329.4211706458152,328.95200406090987,335.6794737135549,342.40694336619697,349.13441301884194,355.861882671484,362.589352324129,366.9442352605479,371.2991181969639,375.65400113338274,380.0088840698016,384.3637670062204,387.53470306088326,390.70563911554905,393.87657517021194,397.04751122487477,400.21844727954056,405.3267509588934,409.0896604544329,412.85256994997525,416.6154794455146,420.3783889410569,424.1412984365993,427.9042079321416,431.66711742768103,435.4300269232204,439.1929364187627,442.95584591430213,446.71875540984445,450.4816649053869,454.2445744009292,458.0074838964686,461.77039339201093,465.5333028875504,469.2962123830927,473.05912187863214,476.8220313741744
PD22,baseline,oman,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Agriculture/forestry,AGRICULT,TJ,755.9989499999999,831.5995,957.6003499999999,1076.4006,1223.9992,1367.9996,1414.79965,1529.7193,1873.57105,1998.6984,2116.51,2142.454824822449,2168.399649644902,2194.344474467355,2220.2892992898082,2246.2341241122613,2250.690302107747,2255.1464801032325,2259.6026580987223,2264.058836094208,2268.515014089698,2274.9935920044236,2281.472169919149,2287.95074783387,2294.429325748595,2300.9079036633207,2309.081296779119,2317.2546898949167,2325.4280830107186,2333.601476126517,2341.7748692423147,2349.708501119273,2357.642132996232,2365.5757648731906,2373.50939675015,2381.443028627108,2388.930058746587,2396.417088866065,2403.9041189855384,2411.3911491050167,2418.878179224495,2427.096012219853,2434.806343218067,2442.516674216285,2450.2270052145036,2457.937336212722,2465.647667210941,2473.357998209159,2481.0683292073777,2488.7786602055917,2496.4889912038147,2504.1993222020287,2511.909653200247,2519.619984198465,2527.3303151966834,2535.040646194902,2542.7509771931204,2550.461308191339,2558.1716391895575,2565.8819701877715,2573.5923011859945
PD22,baseline,oman,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Final consumption not elsewhere specified,ONONSPEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350942090640067,1.0701884181280072,1.1052826271920142,1.140376836256021,1.1754710453200279,1.1957183681845895,1.2159656910491516,1.2362130139137133,1.2564603367782752,1.276707659642837,1.2916749863551262,1.3066423130674218,1.321609639779711,1.3365769664920064,1.3515442932042956,1.3640594532668897,1.3765746133294836,1.3890897733920775,1.4016049334546716,1.4141200935172658,1.4172802451003286,1.4204403966833912,1.4236005482664535,1.4267606998495161,1.4299208514325785,1.4264169405596319,1.422913029686679,1.4194091188137261,1.4159052079407732,1.4124012970678204,1.4198022156683479,1.4196303360234026,1.4194584563784576,1.4192865767335185,1.4191146970885733,1.4189428174436283,1.418770937798683,1.4185990581537378,1.4184271785087927,1.4182552988638477,1.418083419218909,1.4179115395739637,1.4177396599290186,1.4175677802840736,1.4173959006391286,1.4172240209941833,1.4170521413492383,1.4168802617042933,1.4167083820593545,1.4165365024144092
PD22,baseline,oman,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Industry not elsewhere specified,INONSPEC,TJ,5547.59895,9302.39985,12369.599600000001,13269.601050000001,15080.4007,17002.8,18550.79905,18074.1785,18607.05805,18307.8833,17724.52,17941.792569684054,18159.065139368144,18376.33770905223,18593.610278736316,18810.882848420402,18848.20070470483,18885.51856098925,18922.83641727371,18960.15427355813,18997.472129842594,19051.726389837164,19105.980649831738,19160.23490982627,19214.489169820838,19268.743429815408,19337.19076516881,19405.638100522207,19474.085435875637,19542.53277122904,19610.980106582436,19677.41958330392,19743.859060025407,19810.298536746894,19876.738013468384,19943.177490189864,20005.87694121693,20068.576392244,20131.27584327102,20193.97529429809,20256.674745325156,20325.49423839766,20390.0637022719,20454.633166146174,20519.20263002045,20583.772093894724,20648.341557769003,20712.911021643275,20777.48048551755,20842.049949391785,20906.619413266097,20971.188877140336,21035.758341014607,21100.32780488888,21164.897268763154,21229.46673263743,21294.036196511704,21358.60566038598,21423.175124260255,21487.74458813449,21552.314052008805
