model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,55134.0007,57794.3994,58939.19985,60955.19915,63457.20035,61952.401,84895.19965,75996.0005,60368.3995,72937.1727,82750.64,86240.39604823875,89730.15209647747,93219.9081447156,96709.66419295435,100199.4202411931,103406.34307630676,106613.2659114198,109820.18874653344,113027.11158164708,116234.0344167601,119456.64042696508,122679.24643717006,125901.85244737504,129124.45845758004,132347.06446778498,135598.67300152048,138850.28153525596,142101.89006899204,145353.49860272754,148605.10713646366,151536.09587549564,154467.08461452823,157398.0733535602,160329.06209259277,163260.05083162474,165980.05866467592,168700.0664977271,171420.07433077888,174140.08216383003,176860.0899968812,179925.33931244753,182750.8375984885,185576.33588453065,188401.83417057223,191227.33245661444,194052.830742656,196878.3290286982,199703.82731473976,202529.32560078136,205354.8238868229,208180.32217286451,211005.8204589067,213831.3187449483,216656.8170309905,219482.3153170321,222307.8136030743,225133.3118891159,227958.8101751569,230784.30846119905,233609.8067472406
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,7812.0,8575.2,12024.0,13525.2,14342.4,14842.8,16207.2,13654.8,10051.2,9669.6,9608.46,10013.66751741932,10418.87503483864,10824.08255225789,11229.290069677212,11634.497587096535,12006.864372226852,12379.231157357097,12751.59794248741,13123.964727617726,13496.331512747967,13870.519325009163,14244.707137270369,14618.894949531568,14993.082761792768,15367.270574053966,15744.825968574856,16122.381363095745,16499.936757616702,16877.492152137595,17255.047546658556,17595.374679589964,17935.70181252144,18276.028945452854,18616.35607838433,18956.68321131574,19272.512629233945,19588.34204715215,19904.171465070427,20220.00088298863,20535.83030090683,20891.74688884677,21219.825164271504,21547.90343969638,21875.98171512119,22204.059990546062,22532.138265970872,22860.21654139575,23188.294816820555,23516.373092245365,23844.45136767017,24172.529643094986,24500.60791851985,24828.686193944664,25156.76446936954,25484.84274479435,25812.921020219223,26140.99929564404,26469.07757106877,26797.15584649364,27125.23412191845
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,114519.6,102661.2,107485.2,114742.8,116906.4,124678.8,115858.8,100530.0,98420.4,109663.2,122369.07600000002,127529.6188439996,132690.16168799918,137850.70453199788,143011.24737599748,148171.79021999708,152914.08809390065,157656.38596780327,162398.6838417068,167140.98171561037,171883.279589513,176648.7692555848,181414.25892165664,186179.74858772848,190945.23825380031,195710.7279198721,200519.1056168534,205327.48331383464,210135.8610108168,214944.2387077981,219752.6164047803,224086.8715085686,228421.1266123578,232755.3817161461,237089.6368199353,241423.8919237236,245446.155017317,249468.4181109104,253490.68120450477,257512.9442980981,261535.20739169148,266068.00286560546,270246.2619642954,274424.5210629872,278602.78016167803,282781.0392603698,286959.29835906066,291137.5574577524,295315.8165564432,299494.0756551341,303672.3347538249,307850.5938525158,312028.8529512075,316207.1120498984,320385.3711485901,324563.63024728105,328741.8893459728,332920.1484446637,337098.4075433536,341276.6666420453,345454.9257407362
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,114519.60095,102661.19925,107485.20005,114742.8001,116906.40015,124678.80045,115858.80005,100530.00005,98420.40065,109663.20065,122369.07,127529.61259096788,132690.15518193573,137850.6977729027,143011.24036387057,148171.78295483845,152914.08059621765,157656.37823759596,162398.67587897516,167140.9735203544,171883.27116173267,176648.760594143,181414.25002655337,186179.7394589637,190945.2288913741,195710.71832378444,200519.09578500135,205327.4732462183,210135.8507074361,214944.22816865303,219752.60562987087,224086.860521142,228421.115412414,232755.3703036852,237089.6251949572,241423.88008622828,245446.1429826021,249468.40587897596,253490.66877535067,257512.93167172445,261535.19456809823,266067.9898197602,270246.24871358176,274424.50760740513,278602.7665012276,282781.025395051,286959.2842888735,291137.54318269686,295315.8020765193,299494.0609703418,303672.3198641642,307850.5787579867,312028.83765181,316207.0965456325,320385.3554394559,324563.61433327844,328741.8732271018,332920.1321209243,337098.39101474587,341276.6499085692,345454.90880239167
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,12312.0,18954.0,16390.8,18324.0,20894.4,16578.0,25196.4,35568.0,35672.4,37479.573,41380.776,43125.88411429147,44870.99222858293,46616.100342874095,48361.20845716557,50106.31657145705,51709.98943113672,53313.66229081607,54917.33515049574,56521.00801017541,58124.68086985477,59736.19635111927,61347.711832383786,62959.2273136483,64570.7427949128,66182.25827617731,67808.27693143117,69434.29558668504,71060.31424193921,72686.33289719308,74312.35155244725,75778.03917091648,77243.72678938601,78709.41440785525,80175.10202632478,81640.78964479401,83000.97289966354,84361.15615453306,85721.33940940289,87081.5226642724,88441.70591914191,89974.53267808424,91387.46811475333,92800.403551423,94213.33898809238,95626.27442476206,97039.20986143145,98452.14529810112,99865.08073477048,101278.01617143989,102690.95160810924,104103.88704477865,105516.8224814483,106929.75791811768,108342.69335478736,109755.62879145677,111168.56422812644,112581.49966479585,113994.4351014649,115407.37053813456,116820.30597480394
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,37309.0899,57436.3623,49669.0914,55527.27085,63316.36755,50236.36115,76352.72945,107781.8191,108098.18055,113574.46445,125396.33,130684.53805548382,135972.74611096762,141260.9541664505,146549.16222193433,151837.37027741814,156696.98651865142,161556.60275988374,166416.219001117,171275.83524235027,176135.45148358258,181018.83325217853,185902.2150207745,190785.59678937047,195668.9785579664,200552.36032656237,205479.6911209479,210407.0219153334,215334.35270971985,220261.6835041054,225189.01429849188,229630.49331479843,234071.9723311059,238513.45134741248,242954.93036371996,247396.40938002648,251518.1781039405,255639.94682785452,259761.71555176956,263883.4842756835,268005.2529995975,272650.1840201555,276931.8078902649,281213.4317603761,285495.0556304864,289776.6795005976,294058.3033707079,298339.9272408191,302621.55111092934,306903.17498103966,311184.7988511499,315466.4227212602,319748.0465913714,324029.6704614818,328311.294331593,332592.91820170335,336874.54207181453,341156.16594192485,345437.78981203417,349719.41368214536,354001.0375522557
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,pakistan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,21.6,21.6,22.572,485.172,1307.772,2238.372,3816.972,6223.572,9512.172,10124.172,8846.172,9219.232344195045,9592.292688390087,9965.353032585066,10338.41337678011,10711.473720975157,11054.298755200183,11397.123789425144,11739.948823650171,12082.7738578752,12425.598892100164,12770.10048211212,13114.602072124077,13459.103662136034,13803.60525214799,14148.106842159945,14495.708847003556,14843.310851847164,15190.91285669084,15538.514861534451,15886.11686637813,16199.444116965436,16512.771367552807,16826.098618140113,17139.42586872748,17452.753119314788,17743.526183215174,18034.299247115563,18325.072311016014,18615.845374916404,18906.61843881679,19234.298353659527,19536.34851090331,19838.39866814722,20140.448825391068,20442.49898263498,20744.54913987883,21046.59929712274,21348.649454366583,21650.69961161043,21952.74976885428,22254.79992609813,22556.85008334204,22858.90024058589,23160.950397829805,23463.000555073657,23765.050712317567,24067.10086956142,24369.1510268052,24671.201184049107,24973.251341292955
