model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,russia,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,russia,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,russia,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,russia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,377758.7994,378007.2008,384001.20015000005,385178.39935,383641.19915,383590.80090000003,386089.1997,378939.24095,371228.7599,356677.92079999996,344057.76,339211.14879679854,334364.53759359714,329517.92639039573,324671.31518719427,319824.7039839928,321709.32705776056,323593.95013153116,325478.57320529886,327363.1962790666,329247.8193528372,331828.65275964525,334409.48616645334,336990.31957326137,339571.15298006946,342151.9863868775,343695.21807914216,345238.449771404,346781.6814636686,348324.9131559304,349868.1448481951,350396.55380910524,350924.96277001547,351453.37173092854,351981.78069183877,352510.1896527489,352562.74973875534,352615.3098247589,352667.8699107653,352720.4299967689,352772.9900827754,353604.21196407976,353894.69648753805,354185.18101099634,354475.66553445463,354766.1500579129,355056.6345813712,355347.11910482956,355637.60362828785,355928.0881517462,356218.57267520163,356509.05719866,356799.5417221183,357090.0262455766,357380.5107690349,357670.99529249326,357961.47981595155,358251.9643394099,358542.4488628682,358832.93338632653,359123.4179097819,359413.90243324026,359704.38695669855,359994.87148015684,360285.35600361513,360575.8405270735,360866.32505053177,361156.8095739902,361447.29409744847,361737.7786209068,362028.26314436225,362318.7476678206,362609.2321912789,362899.71671473724,363190.2012381956,363480.68576165393,363771.1702851122,364061.6548085705,364352.13933202886,364642.62385548715,364933.1083789426,365223.5929024009,365514.07742585917,365804.5619493175,366095.04647277575,366385.5309962341,366676.0155196924,366966.5000431508,367256.98456660914,367547.46909006743,367837.95361352287
PD22,baseline,russia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,246679.2,245732.4,249235.2,231631.2,250369.3,250467.85,243855.54,254119.04,254002.45,252865.44,245689.85,242228.91024522486,238767.97049044972,235307.03073567463,231846.0909808995,228385.15122612435,229730.95072298945,231076.7502198566,232422.54971672167,233768.34921358677,235114.1487104539,236957.10837104594,238800.06803163802,240643.02769223007,242485.98735282212,244328.94701341414,245430.96070724208,246532.97440106794,247634.98809489582,248737.00178872168,249839.01548254958,250216.34956257345,250593.68364259737,250971.0177226233,251348.35180264723,251725.68588267107,251763.21876565824,251800.75164864335,251838.2845316305,251875.8174146156,251913.35029760282,252506.9215030143,252714.35498451983,252921.78846602535,253129.22194753087,253336.6554290364,253544.0889105419,253751.52239204748,253958.95587355297,254166.38935505852,254373.822836562,254581.25631806758,254788.6897995731,254996.12328107865,255203.55676258416,255410.9902440897,255618.42372559523,255825.8572071008,256033.29068860633,256240.72417011188,256448.15765161533,256655.59113312088,256863.02461462637,257070.4580961319,257277.8915776374,257485.32505914295,257692.75854064847,257900.19202215405,258107.62550365957,258315.05898516512,258522.4924666686,258729.92594817415,258937.35942967967,259144.7929111852,259352.22639269076,259559.6598741963,259767.09335570183,259974.52683720735,260181.9603187129,260389.39380021841,260596.82728172187,260804.2607632274,261011.69424473288,261219.12772623842,261426.56120774391,261633.99468924946,261841.428170755,262048.8616522606,262256.29513376614,262463.7286152717,262671.16209677514
PD22,baseline,russia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,2858.4,3412.8,2804.4,3013.2,3758.4,3675.6,3502.8,3050.05,2713.11,2580.33,2305.28,2272.8063947701216,2240.3327895402435,2207.8591843103654,2175.3855790804873,2142.911973850609,2155.539457908795,2168.1669419670006,2180.7944260251866,2193.421910083373,2206.0493941415784,2223.3416756353786,2240.6339571291796,2257.9262386229802,2275.218520116781,2292.510801610581,2302.8508711254904,2313.19094064038,2323.531010155289,2333.871079670179,2344.211149185088,2347.7516320662385,2351.2921149473896,2354.8325978285593,2358.3730807097104,2361.9135635908606,2362.2657303754986,2362.617897160117,2362.9700639447547,2363.322230729373,2363.6743975140116,2369.2438088202216,2371.190133653116,2373.1364584860103,2375.0827833189046,2377.029108151799,2378.975432984693,2380.9217578175876,2382.8680826504815,2384.814407483376,2386.7607323162506,2388.7070571491454,2390.6533819820397,2392.599706814934,2394.5460316478284,2396.4923564807227,2398.4386813136166,2400.3850061465114,2402.3313309794053,2404.2776558122996,2406.2239806451744,2408.1703054780687,2410.1166303109626,2412.062955143857,2414.0092799767513,2415.9556048096456,2417.9019296425395,2419.8482544754343,2421.7945793083286,2423.740904141223,2425.687228974098,2427.633553806993,2429.5798786398873,2431.5262034727816,2433.472528305676,2435.4188531385703,2437.3651779714646,2439.311502804359,2441.2578276372533,2443.2041524701476,2445.1504773030224,2447.0968021359167,2449.0431269688106,2450.989451801705,2452.935776634599,2454.882101467493,2456.8284263003875,2458.7747511332823,2460.721075966177,2462.6674007990714,2464.613725631946
PD22,baseline,russia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,russia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,russia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1818.0,1879.2,1717.2,1598.4,1638.0,1645.2,1605.6000000000001,1565.8236000000002,1534.8294,1557.6408000000001,1517.04,1495.6700327604738,1474.3000655209478,1452.930098281422,1431.560131041896,1410.1901638023699,1418.4999562855523,1426.8097487687473,1435.1195412519298,1443.4293337351123,1451.7391262183073,1463.1186908340394,1474.498255449772,1485.8778200655042,1497.2573846812365,1508.6369492969686,1515.4414585352815,1522.2459677735817,1529.0504770118944,1535.8549862501945,1542.6594954885072,1544.9893878009466,1547.3192801133864,1549.6491724258387,1551.9790647382786,1554.308957050718,1554.5407081173853,1554.77245918404,1555.0042102507073,1555.235961317362,1555.4677123840297,1559.1327854892372,1560.4136071787907,1561.6944288683442,1562.9752505578977,1564.2560722474511,1565.5368939370046,1566.8177156265583,1568.0985373161116,1569.3793590056653,1570.660180695206,1571.9410023847597,1573.2218240743132,1574.5026457638667,1575.7834674534201,1577.0642891429736,1578.345110832527,1579.6259325220808,1580.9067542116343,1582.187575901188,1583.4683975907287,1584.7492192802822,1586.0300409698355,1587.310862659389,1588.5916843489424,1589.872506038496,1591.1533277280496,1592.4341494176035,1593.714971107157,1594.9957927967107,1596.2766144862517,1597.5574361758054,1598.8382578653589,1600.1190795549126,1601.3999012444663,1602.68072293402,1603.9615446235734,1605.242366313127,1606.5231880026804,1607.8040096922339,1609.0848313817746,1610.365653071328,1611.6464747608813,1612.927296450435,1614.2081181399883,1615.4889398295418,1616.7697615190953,1618.0505832086492,1619.331404898203,1620.6122265877564,1621.893048277297
PD22,baseline,russia,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,17991.001,18789.00095,17179.0007,4485.0003,4589.0004,4387.0001,4294.99975,4391.48005,4304.558950000001,4368.49935,4254.66,4194.726217887912,4134.792435775824,4074.8586536637367,4014.9248715516487,3954.9910894395603,3978.2965670054105,4001.6020445712957,4024.9075221371454,4048.2129997029956,4071.518477268881,4103.43337627482,4135.34827528076,4167.263174286701,4199.178073292641,4231.09297229858,4250.176762624399,4269.2605529501825,4288.3443432760005,4307.428133601784,4326.511923927602,4333.046293242876,4339.580662558152,4346.115031873462,4352.649401188737,4359.183770504011,4359.833734903966,4360.483699303884,4361.1336637038385,4361.783628103757,4362.433592503713,4372.712583128747,4376.3047499863615,4379.896916843976,4383.489083701591,4387.081250559206,4390.6734174168205,4394.265584274436,4397.85775113205,4401.449917989665,4405.042084847244,4408.63425170486,4412.2264185624745,4415.818585420089,4419.410752277704,4423.002919135319,4426.595085992933,4430.187252850548,4433.779419708163,4437.371586565778,4440.963753423356,4444.555920280971,4448.148087138585,4451.7402539961995,4455.332420853814,4458.924587711429,4462.516754569044,4466.108921426659,4469.701088284274,4473.293255141889,4476.885421999468,4480.477588857083,4484.069755714698,4487.6619225723125,4491.254089429927,4494.846256287542,4498.438423145157,4502.0305900027715,4505.622756860386,4509.214923718001,4512.80709057558,4516.399257433195,4519.991424290809,4523.583591148424,4527.1757580060375,4530.767924863652,4534.360091721267,4537.952258578883,4541.544425436498,4545.136592294113,4548.728759151692
PD22,baseline,russia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,3268.8,3981.6,3682.8,5212.8,5565.6,5382.0,4788.0,4418.9604,4154.2596,4236.1956,4624.956,4559.805998547006,4494.6559970940125,4429.50599564102,4364.355994188026,4299.205992735032,4324.53981689514,4349.873641055286,4375.207465215393,4400.541289375501,4425.875113535647,4460.567663268625,4495.260213001605,4529.952762734583,4564.645312467563,4599.337862200541,4620.0825728402015,4640.827283479824,4661.571994119483,4682.316704759105,4703.061415398765,4710.164490749297,4717.26756609983,4724.370641450401,4731.473716800934,4738.576792151465,4739.283324929962,4739.98985770842,4740.696390486915,4741.402923265373,4742.1094560438705,4753.283058485709,4757.187862550223,4761.092666614737,4764.997470679251,4768.902274743765,4772.807078808279,4776.7118828727935,4780.616686937307,4784.521491001822,4788.426295066298,4792.331099130813,4796.2359031953265,4800.140707259841,4804.045511324355,4807.95031538887,4811.855119453384,4815.759923517899,4819.6647275824125,4823.569531646927,4827.474335711402,4831.379139775917,4835.283943840431,4839.188747904945,4843.0935519694585,4846.998356033973,4850.903160098487,4854.807964163002,4858.712768227516,4862.617572292031,4866.522376356506,4870.427180421021,4874.331984485535,4878.23678855005,4882.141592614565,4886.046396679079,4889.951200743593,4893.856004808107,4897.760808872622,4901.665612937136,4905.5704170016115,4909.475221066125,4913.380025130639,4917.284829195154,4921.189633259668,4925.094437324183,4928.999241388697,4932.904045453211,4936.808849517726,4940.71365358224,4944.618457646716
