model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,serbia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,21686.40075,21038.400999999998,20192.40025,19803.60085,18586.800199999998,18608.40005,17308.8003,17302.0691,16316.4702,15596.789400000001,15785.22,15508.82569187529,15232.431383750562,14956.037075625853,14679.642767501144,14403.248459376433,14527.406392439816,14651.564325503197,14775.722258566577,14899.880191629978,15024.038124693358,15195.16571830312,15366.2933119129,15537.420905522662,15708.548499132421,15879.676092742202,16050.005363984194,16220.334635226185,16390.663906468173,16560.993177710166,16731.322448952138,16923.604161132775,17115.88587331341,17308.16758549405,17500.449297674688,17692.731009855343,17903.89192792852,18115.052846001712,18326.213764074884,18537.374682148078,18748.535600221254,18928.8032722885,19130.524587415395,19332.24590254229,19533.967217669247,19735.688532796143,19937.409847923034,20139.13116304999,20340.852478176887,20542.57379330378,20744.295108430677,20946.01642355753,21147.73773868459,21349.459053811443,21551.180368938298,21752.90168406536,21954.62299919221,22156.344314319063,22358.06562944592,22559.786944572978,22761.508259699833
PD22,baseline,serbia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,8647.2,10105.2,9349.2,9745.2,7779.6,9572.4,9770.4,9888.51,9512.42,10926.26,9657.36,9488.262620583608,9319.165241167202,9150.06786175081,8980.970482334416,8811.873102918022,8887.832630656563,8963.792158395105,9039.751686133644,9115.711213872197,9191.670741610737,9296.366195802897,9401.061649995068,9505.757104187229,9610.452558379387,9715.148012571559,9819.3550550405,9923.56209750944,10027.76913997838,10131.97618244732,10236.183224916247,10353.820718466848,10471.45821201745,10589.09570556805,10706.73319911865,10824.37069266926,10953.5584394199,11082.746186170552,11211.933932921193,11341.121679671845,11470.309426422487,11580.596758845813,11704.009378996427,11827.42199914704,11950.834619297693,12074.247239448307,12197.65985959892,12321.072479749571,12444.485099900185,12567.897720050798,12691.310340201413,12814.722960351999,12938.135580502714,13061.548200653302,13184.96082080389,13308.373440954607,13431.786061105193,13555.19868125578,13678.61130140637,13802.023921557085,13925.436541707675
PD22,baseline,serbia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,1328.4,1022.4,885.6,1285.2,1022.4,1393.2,1083.6,1221.54,1121.12,1280.32,1305.4,1282.54285072834,1259.6857014566783,1236.8285521850182,1213.9714029133581,1191.1142536416978,1201.3818182255895,1211.649382809481,1221.9169473933725,1232.1845119772659,1242.4520765611574,1256.6039199119743,1270.7557632627927,1284.9076066136097,1299.0594499644264,1313.211293315245,1327.2971173125854,1341.3829413099259,1355.468765307266,1369.5545893046065,1383.640413301945,1399.5416517440196,1415.4428901860942,1431.3441286281688,1447.2453670702432,1463.1466055123192,1480.609109199485,1498.0716128866525,1515.5341165738182,1532.9966202609855,1550.4591239481513,1565.366829961535,1582.048701026154,1598.7305720907732,1615.4124431553978,1632.0943142200172,1648.7761852846363,1665.4580563492607,1682.13992741388,1698.8217984784994,1715.5036695431188,1732.1855406077343,1748.8674116723673,1765.549282736983,1782.231153801599,1798.9130248662323,1815.5948959308478,1832.2767669954635,1848.9586380600797,1865.6405091247125,1882.3223801893284
PD22,baseline,serbia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,42807.6,31201.2,33429.6,36730.8,39610.8,36288.0,38851.200000000004,32951.6604,38302.732800000005,34045.839,32524.2,31954.711341855887,31385.22268371173,30815.734025567614,30246.245367423497,29676.756709279376,29932.57433149434,30188.3919537093,30444.209575924255,30700.027198139254,30955.84482035421,31308.43972115905,31661.03462196393,32013.62952276877,32366.224423573607,32718.819324378488,33069.76934495019,33420.71936552189,33771.66938609358,34122.619406665275,34473.56942723693,34869.75071981983,35265.93201240273,35662.113304985636,36058.294597568536,36454.47589015147,36889.55629648065,37324.636702809876,37759.717109139056,38194.79751546828,38629.877921797466,39001.30523290555,39416.93608236157,39832.566931817586,40248.19778127374,40663.82863072976,41079.459480185775,41495.09032964192,41910.72117909794,42326.35202855396,42741.982878009985,43157.61372746591,43573.244576922276,43988.87542637821,44404.506275834145,44820.13712529051,45235.767974746435,45651.39882420237,46067.02967365831,46482.66052311467,46898.29137257061
PD22,baseline,serbia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,42807.60085,31201.20085,33429.60045,36730.8003,39610.7999,36288.000199999995,38851.20065,32951.65835,38302.72815,34045.83045,32524.18,31954.691692049684,31385.203384099328,30815.715076149012,30246.226768198696,29676.738460248376,29932.555925154244,30188.373390060107,30444.190854965967,30700.00831987187,30955.825784777735,31308.420468762546,31661.015152747394,32013.609836732205,32366.204520717012,32718.799204701863,33069.74900946501,33420.69881422816,33771.648618991305,34122.598423754454,34473.54822851756,34869.729277478,35265.91032643844,35662.09137539888,36058.27242435931,36454.45347331978,36889.53361210639,37324.61375089304,37759.69388967965,38194.7740284663,38629.85416725291,39001.28124996041,39416.911843833914,39832.54243770741,40248.17303158104,40663.803625454544,41079.43421932804,41495.064813201665,41910.69540707517,42326.32600094867,42741.95659482217,43157.58718869558,43573.21778256942,43988.84837644284,44404.47897031625,44820.1095641901,45235.740158063505,45651.37075193692,46067.00134581034,46482.63193968418,46898.2625335576
PD22,baseline,serbia,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,serbia,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.756,1.9800000000000002,1.332,4.32,93.60000000000001,174.45600000000002,541.512,3233.556,3512.268,3450.7692762692855,3389.2705525385663,3327.7718288078513,3266.2731050771363,3204.774381346421,3232.3999662444876,3260.025551142554,3287.65113604062,3315.2767209386907,3342.902305836757,3380.9788084735637,3419.055311110374,3457.131813747181,3495.2083163839866,3533.2848190207974,3571.183692070813,3609.082565120829,3646.981438170844,3684.8803112208598,3722.7791842708707,3765.562554073589,3808.3459238763076,3851.129293679026,3893.9126634817435,3936.696033284465,3983.680094032369,4030.664154780278,4077.648215528182,4124.63227627609,4171.616337023995,4211.726539861604,4256.610255136912,4301.493970412221,4346.377685687544,4391.261400962852,4436.145116238161,4481.028831513484,4525.9125467887925,4570.796262064101,4615.6799773394105,4660.563692614709,4705.447407890055,4750.331123165354,4795.214838440654,4840.0985537159995,4884.982268991298,4929.8659842665975,4974.749699541898,5019.633414817244,5064.517130092544
PD22,baseline,serbia,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490310041627,0.9649806200832527,0.9474709301248797,0.9299612401665067,0.9124515502081336,0.9203170049223145,0.9281824596364953,0.9360479143506759,0.943913369064858,0.9517788237790388,0.9626198252734597,0.9734608267678816,0.9843018282623024,0.9951428297567231,1.005983831251145,1.0167742587042938,1.0275646861574426,1.038355113610591,1.0491455410637398,1.0599359685168872,1.0721170918829623,1.0842982152490375,1.0964793386151128,1.108660461981188,1.1208415853472642,1.1342187139570128,1.1475958425667627,1.160972971176511,1.1743500997862608,1.1877272283960094,1.1991472575161133,1.2119263835040244,1.2247055094919355,1.2374846354798505,1.2502637614677616,1.2630428874556727,1.2758220134435878,1.288601139431499,1.3013802654194102,1.3141593914073215,1.32693851739523,1.3397176433831517,1.3524967693710601,1.3652758953589688,1.3780550213468905,1.3908341473347987,1.4036132733227074,1.416392399310616,1.4291715252985375,1.4419506512864462
