model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,3081.6009999999997,1853.9994000000002,4586.4004,2735.9992,2401.2005,4906.7999,4795.20035,4546.8009999999995,4446.0003,6116.3999,5720.4,5762.259430181804,5804.118860363591,5845.978290545395,5887.8377207272,5929.697150908986,5980.7904610991545,6031.883771289324,6082.977081479491,6134.070391669678,6185.163701859848,6281.164685136331,6377.165668412835,6473.166651689338,6569.167634965823,6665.168618242326,6737.882834620075,6810.597050997824,6883.31126737557,6956.0254837533,7028.739700131049,7101.49295930415,7174.246218477233,7246.999477650315,7319.752736823417,7392.505995996499,7474.370751510723,7556.235507024961,7638.100262539202,7719.9650180534245,7801.829773567646,7868.784807796375,7946.093815140047,8023.4028224837,8100.711829827352,8178.020837171022,8255.329844514676,8332.638851858346,8409.947859201999,8487.25686654567,8564.565873889322,8641.874881232976,8719.183888576648,8796.4928959203,8873.801903263971,8951.110910607624,9028.419917951276,9105.728925294947,9183.0379326386,9260.34693998227,9337.655947325922
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,8737.2,9237.6,9097.2,5976.0,8618.4,7722.0,7441.2,7365.6,7588.8,7444.8,8874.0,8938.93612045195,9003.872240903871,9068.80836135582,9133.74448180777,9198.680602259692,9277.94114953393,9357.20169680817,9436.462244082406,9515.722791356675,9594.983338630915,9743.908715456926,9892.834092282968,10041.75946910901,10190.684845935024,10339.610222761066,10452.411068180292,10565.211913599518,10678.01275901874,10790.813604437937,10903.614449857163,11016.47586197906,11129.337274100928,11242.198686222795,11355.060098344693,11467.921510466562,11594.917496836959,11721.91348320738,11848.909469577804,11975.9054559482,12102.901442318593,12206.76812537323,12326.696824619392,12446.625523865525,12566.554223111656,12686.482922357816,12806.41162160395,12926.34032085011,13046.269020096242,13166.197719342403,13286.126418588536,13406.055117834669,13525.98381708083,13645.912516326962,13765.841215573122,13885.769914819253,14005.698614065384,14125.627313311545,14245.556012557676,14365.484711803836,14485.413411049969
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,511.2,496.8,75.6,482.4,324.0,496.8,313.2,428.4,414.0,363.6,378.0,380.7660416419695,383.5320832839377,386.29812492590713,389.0641665678766,391.8302082098449,395.20641813430535,398.58262805876586,401.95883798322626,405.335047907688,408.71125783214853,415.0549351411673,421.39861245018733,427.7422897592074,434.0859670682262,440.42964437724623,445.2345485431768,450.0394527091073,454.8443568750377,459.64926104096696,464.45416520689747,469.2616492932257,474.0691333795528,478.8766174658798,483.6841015522081,488.4915856385352,493.9011509808847,499.31071632323534,504.72028166558607,510.1298470079356,515.539412350285,519.9637538191438,525.0722785334833,530.1808032478216,535.2893279621599,540.3978526764994,545.5063773908377,550.6149021051772,555.7234268195155,560.831951533855,565.9404762481932,571.0490009625316,576.1575256768712,581.2660503912094,586.374575105549,591.4830998198871,596.5916245342253,601.7001492485648,606.8086739629031,611.9171986772426,617.0257233915809
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,396.0,363.6,316.8,381.6,417.6,306.0,352.8,360.0,399.6,432.0,460.8,464.1719364778295,467.54387295565743,470.91580943348686,474.2877459113163,477.6596823891443,481.77544305896276,485.8912037287813,490.0069643985997,494.1227250684197,498.23848573823824,505.9717304578039,513.7049751773712,521.4382198969386,529.1714646165043,536.9047093360716,542.7621163193012,548.6195233025308,554.4769302857602,560.3343372689883,566.1917442522179,572.0522962812656,577.912848310312,583.7734003393583,589.6339523684061,595.4945043974524,602.0890221481261,608.6835398988011,615.2780576494763,621.87257540015,628.4670931508236,633.8605760842895,640.088110974151,646.3156458640111,652.5431807538711,658.7707156437325,664.9982505335926,671.225785423454,677.4533203133141,683.6808552031755,689.9083900930355,696.1359249828955,702.3634598727571,708.590994762617,714.8185296524786,721.0460645423385,727.2735994321985,733.5011343220599,739.7286692119199,745.9562041017814,752.1837389916415
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,18522.0,13237.2,14454.0,17071.2,14734.800000000001,13611.6,15339.6,15206.4,12524.4,15249.6,15800.4,15916.020540634325,16031.641081268597,16147.261621902919,16262.882162537242,16378.502703171516,16519.628278013963,16660.753852856415,16801.87942769886,16943.00500254136,17084.13057738381,17349.296288900794,17614.462000417832,17879.62771193487,18144.793423451858,18409.959134968896,18610.804129104792,18811.649123240688,19012.494117376576,19213.33911151242,19414.184105648317,19615.136940456836,19816.089775265307,20017.04261007378,20217.9954448823,20418.948279690772,20645.068111000983,20871.187942311237,21097.3077736215,21323.42760493171,21549.547436241915,21734.48490964021,21948.021242699604,22161.557575758943,22375.093908818282,22588.630241877672,22802.166574937015,23015.702907996405,23229.239241055748,23442.775574115138,23656.311907174477,23869.84824023382,24083.384573293213,24296.920906352552,24510.457239411942,24723.99357247128,24937.529905530617,25151.066238590007,25364.602571649346,25578.13890470874,25791.67523776808
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,396.00005,363.59925,316.79920000000004,381.60085000000004,417.59990000000005,306.00035,352.80035,360.001,399.60040000000004,431.9991,460.8,464.1719364778295,467.54387295565743,470.91580943348686,474.2877459113163,477.6596823891443,481.77544305896276,485.8912037287813,490.0069643985997,494.1227250684197,498.23848573823824,505.9717304578039,513.7049751773712,521.4382198969386,529.1714646165043,536.9047093360716,542.7621163193012,548.6195233025308,554.4769302857602,560.3343372689883,566.1917442522179,572.0522962812656,577.912848310312,583.7734003393583,589.6339523684061,595.4945043974524,602.0890221481261,608.6835398988011,615.2780576494763,621.87257540015,628.4670931508236,633.8605760842895,640.088110974151,646.3156458640111,652.5431807538711,658.7707156437325,664.9982505335926,671.225785423454,677.4533203133141,683.6808552031755,689.9083900930355,696.1359249828955,702.3634598727571,708.590994762617,714.8185296524786,721.0460645423385,727.2735994321985,733.5011343220599,739.7286692119199,745.9562041017814,752.1837389916415
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,18522.00065,13237.2002,14454.00085,17071.19985,14734.801,13611.6004,15339.601,15206.3995,12524.40095,15249.5992,15800.4,15916.020540634325,16031.641081268597,16147.261621902919,16262.882162537242,16378.502703171516,16519.628278013963,16660.753852856415,16801.87942769886,16943.00500254136,17084.13057738381,17349.296288900794,17614.462000417832,17879.62771193487,18144.793423451858,18409.959134968896,18610.804129104792,18811.649123240688,19012.494117376576,19213.33911151242,19414.184105648317,19615.136940456836,19816.089775265307,20017.04261007378,20217.9954448823,20418.948279690772,20645.068111000983,20871.187942311237,21097.3077736215,21323.42760493171,21549.547436241915,21734.48490964021,21948.021242699604,22161.557575758943,22375.093908818282,22588.630241877672,22802.166574937015,23015.702907996405,23229.239241055748,23442.775574115138,23656.311907174477,23869.84824023382,24083.384573293213,24296.920906352552,24510.457239411942,24723.99357247128,24937.529905530617,25151.066238590007,25364.602571649346,25578.13890470874,25791.67523776808
PD22,baseline,slovakia,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer CHP plants,ELMAINC,TJ,36363.6,40132.8,40352.4,40932.0,40172.4,39258.0,38293.200000000004,39088.8,38473.200000000004,39524.4,55598.4,56005.24521065311,56412.09042130604,56818.935631959146,57225.78084261226,57632.626053265194,58129.21830158298,58625.81054990077,59122.40279821854,59618.99504653652,60115.58729485431,61048.65160304941,61981.715911244704,62914.78021944,63847.844527635105,64780.9088358304,65487.6415971507,66194.374358471,66901.10711979128,67607.8398811114,68314.5726424317,69021.68487318649,69728.79710394112,70435.90933469574,71143.02156545054,71850.13379620516,72645.80357855989,73441.47336091478,74237.14314326968,75032.81292562441,75828.48270797913,76479.24013317013,77230.63113972498,77982.02214627966,78733.41315283433,79484.80415938917,80236.19516594385,80987.5861724987,81738.97717905339,82490.36818560823,83241.75919216289,83993.15019871757,84744.54120527243,85495.9322118271,86247.32321838195,86998.71422493662,87750.10523149128,88501.49623804612,89252.88724460079,90004.27825115564,90755.66925771032
