model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,82368.00039999999,86878.80025,90406.79955,92257.2007,153716.39919999999,145371.59970000002,120754.799,116054.45175000001,111538.15825000001,95228.9021,95167.63238955871,96323.96451628969,97480.29664302067,98636.62876975167,99792.96089648265,100949.29302321363,102105.62514994461,103261.95727667559,104418.28940340658,105574.62153013756,106730.95365686854,107887.28578359952,109043.6179103305,110199.9500370615,111356.28216379248,112512.61429052346,113668.94641725444,114825.27854398542,115981.61067071641,117137.9427974474,118294.27492417837,119450.60705090936,120606.93917764034,121763.27130437133,122919.60343110231,124075.93555783329,125232.26768456427,126388.59981129525,127544.93193802625,128701.26406475723,129857.5961914882
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,3999.6,4147.2,4280.4,4334.4,3632.4,4316.4,3794.4,3646.72,3504.8,2992.21,2990.284829844336,3026.618216837419,3062.951603830502,3099.284990823585,3135.618377816668,3171.951764809751,3208.285151802834,3244.618538795917,3280.951925789,3317.285312782083,3353.618699775166,3389.952086768249,3426.285473761332,3462.618860754415,3498.952247747498,3535.2856347405814,3571.6190217336643,3607.9524087267473,3644.2857957198303,3680.6191827129132,3716.952569705996,3753.285956699079,3789.619343692162,3825.952730685245,3862.286117678328,3898.619504671411,3934.952891664494,3971.286278657577,4007.61966565066,4043.953052643743,4080.2864396368263
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,276408.0,301212.0,295228.8,300762.0,231436.80000000002,269636.4,226652.4,217824.651,209341.719,178692.336,178577.36641153094,180747.166591527,182916.96677152306,185086.76695151912,187256.56713151518,189426.36731151125,191596.1674915073,193765.96767150337,195935.76785149943,198105.5680314955,200275.36821149156,202445.16839148762,204614.96857148368,206784.76875147974,208954.5689314758,211124.36911147187,213294.16929146793,215463.969471464,217633.76965146005,219803.56983145612,221973.37001145218,224143.17019144827,226312.97037144433,228482.7705514404,230652.57073143646,232822.37091143252,234992.17109142858,237161.97127142464,239331.7714514207,241501.57163141677,243671.37181141283
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,276408.00085,301211.99955,295228.79905000003,300762.0009,231436.8,269636.40060000005,226652.40065,217824.64115,209341.70909999998,178692.33755,178577.36796053365,180747.16815935084,182916.96835816803,185086.76855698522,187256.5687558024,189426.3689546196,191596.1691534368,193765.96935225397,195935.76955107116,198105.56974988832,200275.3699487055,202445.1701475227,204614.9703463399,206784.77054515708,208954.57074397427,211124.37094279146,213294.17114160865,215463.97134042584,217633.77153924303,219803.57173806021,221973.3719368774,224143.1721356946,226312.97233451175,228482.77253332897,230652.57273214613,232822.37293096335,234992.1731297805,237161.9733285977,239331.7735274149,241501.57372623208,243671.37392504927
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,4.32,4.32,8.64,8.64,10.8,10.8,10.8,10.8,9.5256,9.5256,9.519471285493067,9.63513740222328,9.750803518953493,9.866469635683707,9.982135752413921,10.097801869144133,10.213467985874347,10.329134102604561,10.444800219334773,10.560466336064987,10.676132452795201,10.791798569525413,10.907464686255627,11.023130802985841,11.138796919716054,11.254463036446268,11.370129153176482,11.485795269906694,11.601461386636908,11.71712750336712,11.832793620097334,11.948459736827548,12.064125853557762,12.179791970287974,12.295458087018188,12.4111242037484,12.526790320478614,12.642456437208828,12.758122553939042,12.873788670669255,12.989454787399469
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,4.32,4.32,4.32,3.9312000000000005,9.115199999999998,9.109335334417398,9.220018103714791,9.330700873012184,9.441383642309576,9.552066411606969,9.66274918090436,9.773431950201752,9.884114719499145,9.994797488796538,10.10548025809393,10.216163027391323,10.326845796688715,10.437528565986108,10.5482113352835,10.658894104580893,10.769576873878286,10.880259643175677,10.99094241247307,11.101625181770462,11.212307951067855,11.322990720365247,11.43367348966264,11.544356258960033,11.655039028257425,11.765721797554818,11.876404566852209,11.987087336149601,12.097770105446994,12.208452874744387,12.31913564404178,12.429818413339172
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,4.32,4.32,8.64,8.64,10.799999999999999,10.799999999999999,10.799999999999999,10.799999999999999,9.528,9.528,9.521869741347311,9.637565000460173,9.753260259573034,9.868955518685896,9.984650777798757,10.100346036911619,10.21604129602448,10.331736555137343,10.447431814250205,10.563127073363066,10.678822332475928,10.79451759158879,10.910212850701651,11.025908109814512,11.141603368927374,11.257298628040235,11.372993887153097,11.488689146265958,11.60438440537882,11.720079664491681,11.835774923604543,11.951470182717404,12.067165441830266,12.182860700943127,12.29855596005599,12.414251219168852,12.529946478281714,12.645641737394575,12.761336996507437,12.877032255620298,12.99272751473316
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,4.32,4.32,4.32,3.924,9.113999999999999,9.108136106490278,9.218804304596347,9.329472502702416,9.440140700808483,9.550808898914552,9.66147709702062,9.77214529512669,9.882813493232758,9.993481691338825,10.104149889444894,10.214818087550963,10.325486285657032,10.4361544837631,10.546822681869168,10.657490879975237,10.768159078081306,10.878827276187375,10.989495474293442,11.10016367239951,11.21083187050558,11.321500068611648,11.432168266717717,11.542836464823786,11.653504662929853,11.764172861035922,11.87484105914199,11.98550925724806,12.096177455354127,12.206845653460196,12.317513851566265,12.428182049672333
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Venezuela (Bolivarian Republic of),Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
