Model,Scenario,Region,Variable,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,algeria,Commercial|Electricity and Heat|Electricity|ELECTR|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7052.4008,7963.2015,8661.6016,9745.1999,9485.9993,10677.6002,11545.2015,11955.6,12775.321,11211.48,12074.4004,12428.736598381298,12821.552423471398,13214.368248561495,13607.184073651595,13999.999898741691,14392.815723831793,14785.63154892189,15178.44737401199,15571.26319910209,15964.079024192188,16356.894849282286,16749.710674372385,17142.526499462485,17535.342324552585,17928.15814964268,18320.97397473278,18713.78979982288,19106.60562491298,19499.42145000308,19892.23727509317,20285.053100183275,20677.86892527337,21070.68475036347,21463.50057545357,21856.31640054367,22249.13222563377,22641.94805072387,23034.76387581397,23427.57970090407,23820.395525994165,24213.211351084265
PD22,baseline,algeria,Commercial|Natural gas|Natural gas|NATGAS|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.9014,199.7983,225.8988,263.7014,8902.799,9585.9005,10309.501,10603.7995,11440.0123,12615.6658,13079.1445,13255.825484351948,13429.28630407141,13602.747123790872,13776.207943510331,13949.668763229794,14123.129582949256,14296.59040266872,14470.05122238818,14643.512042107644,14816.972861827104,14990.433681546569,15163.894501266028,15337.355320985487,15510.816140704952,15684.276960424411,15857.737780143874,16031.198599863335,16204.659419582798,16378.12023930226,16551.581059021722,16725.041878741184,16898.502698460645,17071.963518180106,17245.42433789957,17418.88515761903,17592.345977338493,17765.806797057954,17939.267616777415,18112.72843649688,18286.18925621634,18459.6500759358
PD22,baseline,algeria,Electric Power|Electricity and Heat|Electricity|ELECTR|Energy industry own use and Losses|Losses|DISTLOSS,TJ,-8326.7999,-9446.4005,-8020.7993,-10904.3992,-11570.4018,-12023.9997,-13734.0019,-15742.7992,-16491.6,-17028.0003,-14778.0014,-15613.201,-15645.5985,-15152.4018,-17913.6006,-16109.9983,-22662.0012,-23929.199,-26233.1993,-28292.4015,-32727.6001,-35636.4004,-39844.8001,-39682.8002,-39610.7998,-40305.5993,-38455.2012,-39128.4009,-35654.3994,-35629.1991,-36789.01649166407,-38057.27934772835,-39325.54220379263,-40593.80505985691,-41862.06791592119,-43130.33077198546,-44398.59362804975,-45666.856484114025,-46935.11934017831,-48203.382196242586,-49471.64505230686,-50739.90790837114,-52008.17076443543,-53276.4336204997,-54544.69647656399,-55812.95933262826,-57081.22218869254,-58349.48504475682,-59617.74790082109,-60886.01075688538,-62154.273612949655,-63422.53646901394,-64690.79932507822,-65959.0621811425,-67227.32503720677,-68495.58789327106,-69763.85074933534,-71032.11360539962,-72300.3764614639,-73568.63931752817,-74836.90217359245
PD22,baseline,algeria,"Electric Power|Electricity and Heat|Electricity|ELECTR|Energy industry own use and Losses|Own use in electricity, CHP and heat plants|EPOWERPLT",TJ,-4096.8005,-4284.0007,-4204.7991,-4460.399,-4658.4012,-4424.4009,-4510.7997,-5176.7982,-7192.801,-7264.8014,-7826.402,-7840.8004,-7498.8016,-7973.9992,-8017.1987,-8650.7997,-9151.2018,-9889.2007,-8496.0011,-7678.8005,-9017.9988,-16351.1999,-17110.7985,-17542.8009,-23576.3983,-23709.6014,-25073.9999,-26902.7984,-27727.2002,-29491.1996,-30451.21012679056,-31500.983738835,-32550.757350879445,-33600.53096292389,-34650.30457496834,-35700.07818701278,-36749.85179905723,-37799.62541110168,-38849.39902314612,-39899.17263519057,-40948.94624723501,-41998.71985927946,-43048.49347132391,-44098.26708336835,-45148.0406954128,-46197.81430745724,-47247.58791950169,-48297.361531546136,-49347.13514359058,-50396.90875563503,-51446.682367679474,-52496.45597972392,-53546.229591768366,-54596.00320381281,-55645.77681585727,-56695.55042790171,-57745.32403994616,-58795.0976519906,-59844.87126403505,-60894.644876079496,-61944.41848812394
PD22,baseline,algeria,Electric Power|Electricity and Heat|Electricity|ELECTR|Transformation processes|Autoproducer electricity plants|AUTOELEC,TJ,2354.4009,1645.1989,1695.5996,1375.2005,1645.1989,1277.9998,1562.4007,1789.1997,1771.2006,1213.2007,1457.9987,1314.0021,881.9997,1364.3986,1443.6003,1566.0014,1627.1998,1717.1993,1857.5994,1058.3979,2019.5993,8467.2001,11919.6019,13471.2007,13471.2007,14885.9999,17150.4014,18432.0018,19573.2021,19828.802,20474.277901687143,21180.10721281676,21885.936523946384,22591.765835076003,23297.595146205625,24003.42445733524,24709.253768464863,25415.08307959448,26120.9123907241,26826.741701853723,27532.571012983342,28238.40032411296,28944.229635242584,29650.0589463722,30355.88825750182,31061.71756863144,31767.54687976106,32473.37619089068,33179.2055020203,33885.03481314992,34590.86412427954,35296.693435409165,36002.52274653878,36708.3520576684,37414.18136879802,38120.01067992764,38825.83999105726,39531.669302186885,40237.4986133165,40943.32792444612,41649.15723557574
PD22,baseline,algeria,Electric Power|Electricity and Heat|Electricity|ELECTR|Transformation processes|Main activity producer electricity plants|MAINELEC,TJ,55620.001,60796.7991,64134.0011,68515.1984,69933.5983,69696.0016,72792.0021,75600.0009,81972.0007,87911.9981,90025.2016,94536.0013,98650.8009,105091.2005,111056.3982,120527.999,125186.4002,132188.4003,142991.9981,137545.2016,162622.798,175939.2001,194709.6,202132.8006,217799.9988,232786.8001,238438.8001,255232.8001,256413.7457,273664.802,282573.2592447183,292314.6767381243,302056.09423153027,311797.5117249363,321538.9292183423,331280.3467117483,341021.76420515426,350763.18169856025,360504.59919196623,370246.0166853722,379987.4341787782,389728.85167218425,399470.26916559023,409211.6866589962,418953.1041524022,428694.5216458082,438435.9391392142,448177.3566326202,457918.7741260262,467660.1916194322,477401.60911283817,487143.02660624415,496884.4440996501,506625.8615930561,516367.27908646216,526108.6965798682,535850.1140732742,545591.5315666802,555332.9490600862,565074.3665534921,574815.7840468981
PD22,baseline,algeria,Electric Power|Electricity and Heat|Hydro|HYDRO|Electricity output|Electricity output -main activity producer electricity plants|ELMAINE,TJ,486.0,1054.8,716.4,1270.8,597.6,694.8000000000001,486.0,270.0,774.0,730.8000000000001,194.4,248.4,205.2,954.0,903.6,1998.0,784.8000000000001,813.6,1018.8,1101.6,626.4,1807.2,2239.2000000000003,1188.0,914.4,522.0,784.8000000000001,201.6,421.3440000000001,547.2,565.0126955629092,584.4909171443304,603.9691387257517,623.4473603071729,642.925581888594,662.4038034700152,681.8820250514365,701.3602466328576,720.8384682142789,740.3166897957001,759.7949113771213,779.2731329585424,798.7513545399637,818.2295761213849,837.7077977028061,857.1860192842273,876.6642408656485,896.1424624470696,915.6206840284908,935.098905609912,954.5771271913331,974.0553487727544,993.5335703541756,1013.0117919355968,1032.490013517018,1051.9682350984394,1071.4464566798606,1090.9246782612818,1110.402899842703,1129.881121424124,1149.3593430055453
PD22,baseline,algeria,Electric Power|Electricity and Heat|Hydro|HYDRO|Transformation processes|Main activity producer electricity plants|MAINELEC,TJ,-485.9996,-1054.8015,-716.3992,-1270.7985,-597.5987,-694.7995,-485.9996,-269.9984,-774.0012,-730.8018,-194.4015,-248.3987,-205.1993,-954.0001,-903.5994,-1997.9996,-784.7989,-813.5999,-1018.7992,-1101.6015,-626.3997,-1807.1987,-2239.2011,-1188.0003,-914.4013,-522.0019,-784.7989,-201.5986,-421.3428,-547.198,-565.0106304580278,-584.4887808471186,-603.9669312362096,-623.4450816253004,-642.9232320143914,-662.4013824034822,-681.8795327925732,-701.357683181664,-720.8358335707549,-740.3139839598458,-759.7921343489368,-779.2702847380276,-798.7484351271185,-818.2265855162094,-837.7047359053003,-857.1828862943912,-876.661036683482,-896.1391870725729,-915.617337461664,-935.0954878507548,-954.5736382398456,-974.0517886289364,-993.5299390180272,-1013.0080894071184,-1032.4862397962092,-1051.9643901853,-1071.442540574391,-1090.9206909634818,-1110.3988413525726,-1129.8769917416637,-1149.3551421307543
PD22,baseline,algeria,Electric Power|Electricity and Heat|Offshore wind energy|OFFSHORE|Electricity output|Electricity output -autoproducer electricity plants|ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power|Electricity and Heat|Offshore wind energy|OFFSHORE|Electricity output|Electricity output -main activity producer electricity plants|ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power|Electricity and Heat|Offshore wind energy|OFFSHORE|Transformation processes|Autoproducer electricity plants|AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power|Electricity and Heat|Offshore wind energy|OFFSHORE|Transformation processes|Main activity producer electricity plants|MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,algeria,Electric Power|Electricity and Heat|Onshore wind energy|ONSHORE|Electricity output|Electricity output -autoproducer electricity plants|ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,69.246,69.84,69.84,37.875600000000006,42.084,43.45393691533163,44.95196593037646,46.44999494542129,47.94802396046612,49.44605297551095,50.94408199055578,52.44211100560061,53.94014002064544,55.438169035690265,56.9361980507351,58.43422706577992,59.93225608082476,61.43028509586959,62.928314110914414,64.42634312595925,65.92437214100407,67.4224011560489,68.92043017109373,70.41845918613856,71.9164882011834,73.41451721622822,74.91254623127305,76.41057524631788,77.90860426136271,79.40663327640755,80.90466229145237,82.40269130649719,83.90072032154202,85.39874933658686,86.8967783516317,88.39480736667652
PD22,baseline,algeria,Electric Power|Electricity and Heat|Onshore wind energy|ONSHORE|Electricity output|Electricity output -main activity producer electricity plants|ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
