model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,belarus,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,belarus,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,belarus,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,belarus,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,13586.4005,12283.2003,12261.6006,12031.201,11473.2011,10497.6013,10353.6005,10339.1979,10205.9991,9759.5983,9759.5983,9588.710759648737,9657.780755492482,9726.85075133623,9795.920747179976,9864.990743023724,9934.06073886747,10003.130734711218,10072.200730554963,10141.270726398712,10210.34072224246,10279.410718086208,10348.480713929954,10417.5507097737,10486.620705617448,10555.690701461195,10624.76069730494,10693.830693148688,10762.900688992437,10831.970684836182,10901.04068067993,10970.110676523676,11039.180672367424,11108.25066821117,11177.320664054918,11246.390659898663,11315.460655742412,11384.53065158616,11453.600647429908,11522.670643273654,11591.7406391174
PD22,baseline,belarus,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,8150.4017,7991.9983,7930.7998,7880.3991,7981.2005,7560.0001,7495.201,7581.5998,7991.9983,7981.2005,7981.2005,7841.452153749388,7897.936188073128,7954.420222396868,8010.904256720608,8067.388291044348,8123.872325368087,8180.3563596918275,8236.840394015568,8293.324428339307,8349.808462663046,8406.292496986787,8462.776531310526,8519.260565634266,8575.744599958007,8632.228634281746,8688.712668605485,8745.196702929226,8801.680737252966,8858.164771576705,8914.648805900446,8971.132840224185,9027.616874547924,9084.100908871666,9140.584943195405,9197.068977519144,9253.553011842883,9310.037046166624,9366.521080490364,9423.005114814105,9479.489149137844
PD22,baseline,belarus,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,belarus,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,belarus,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,7.2,14.4,21.6,25.2,25.2,21.6,50.4,32.4,28.8,25.2,25.2,24.758755813049,24.93709961796384,25.115443422878684,25.293787227793526,25.47213103270837,25.65047483762321,25.828818642538053,26.00716244745289,26.185506252367738,26.36385005728258,26.542193862197426,26.720537667112264,26.898881472027107,27.07722527694195,27.25556908185679,27.43391288677163,27.61225669168648,27.790600496601314,27.96894430151616,28.147288106431,28.32563191134584,28.503975716260683,28.68231952117553,28.860663326090368,29.03900713100521,29.21735093592005,29.39569474083489,29.574038545749737,29.75238235066458,29.93072615557942
PD22,baseline,belarus,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,154.8,136.8,230.4,471.6,410.4,363.6,460.8,1425.6,1137.6,1234.8,1234.8,1213.179034839401,1221.9178812802284,1230.6567277210556,1239.395574161883,1248.1344206027102,1256.8732670435377,1265.6121134843647,1274.350959925192,1283.0898063660193,1291.8286528068463,1300.5674992476738,1309.306345688501,1318.0451921293284,1326.7840385701556,1335.522885010983,1344.2617314518102,1353.0005778926377,1361.7394243334647,1370.478270774292,1379.2171172151193,1387.9559636559466,1396.6948100967738,1405.433656537601,1414.1725029784284,1422.9113494192557,1431.650195860083,1440.3890423009102,1449.1278887417377,1457.8667351825648,1466.605581623392
PD22,baseline,belarus,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,7.2013,14.3984,21.5997,25.2003,25.2003,21.5997,50.4007,32.4016,28.801,25.2003,25.2003,24.75905056014201,24.93739648819739,25.115742416252765,25.294088344308143,25.47243427236352,25.650780200418897,25.82912612847427,26.00747205652965,26.185817984585025,26.364163912640404,26.54250984069578,26.72085576875116,26.89920169680653,27.07754762486191,27.25589355291729,27.434239480972664,27.61258540902804,27.790931337083418,27.969277265138796,28.14762319319417,28.325969121249543,28.504315049304925,28.6826609773603,28.86100690541568,29.039352833471057,29.21769876152643,29.396044689581807,29.574390617637185,29.752736545692564,29.93108247374794
