model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,brazil,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,brazil,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,308689.201,315086.4012,339721.2016,341981.9982,335426.3989,335073.5982,353941.1989,351428.0387,352701.2488,380328.9078,380615.7371,386349.504875091,391245.51780257554,396141.5307300601,401037.5436575447,405933.5565850292,410829.56951251376,415725.5824399983,420621.5953674828,425517.6082949673,430413.6212224519,435309.6341499365,440205.64707742096,445101.6600049056,449997.67293239007,454893.6858598746,459789.6987873592,464685.7117148437,469581.7246423282,474477.7375698128,479373.7504972973,484269.76342478185,489165.7763522664,494061.78927975096,498957.8022072355,503853.81513472006,508749.8280622046,513645.8409896891,518541.8539171737,523437.8668446582,528333.8797721427
PD22,baseline,brazil,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,19411.198,18266.4013,22064.3983,27586.8001,31276.7986,30362.4015,27086.3979,27957.4868,28154.7939,27445.8598,23305.3617,23656.4442193946,23956.230436938527,24256.016654482453,24555.802872026383,24855.58908957031,25155.37530711424,25455.161524658164,25754.947742202094,26054.73395974602,26354.52017728995,26654.306394833875,26954.092612377804,27253.87882992173,27553.66504746566,27853.451265009586,28153.237482553515,28453.02370009744,28752.80991764137,29052.596135185297,29352.382352729222,29652.168570273152,29951.95478781708,30251.741005361007,30551.527222904937,30851.313440448863,31151.099657992792,31450.88587553672,31750.672093080648,32050.458310624577,32350.244528168503
PD22,baseline,brazil,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,brazil,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,brazil,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,74484.0,81763.2,73666.8,79390.8,79516.8,75852.0,77083.2,66934.8864,69588.61559999999,69938.79119999999,63880.603200000005,64842.92952647374,65664.65135402008,66486.37318156642,67308.09500911276,68129.81683665911,68951.53866420545,69773.26049175179,70594.98231929813,71416.70414684448,72238.42597439082,73060.14780193716,73881.8696294835,74703.59145702985,75525.31328457619,76347.03511212252,77168.75693966886,77990.47876721522,78812.20059476155,79633.92242230789,80455.64424985423,81277.36607740058,82099.08790494692,82920.80973249326,83742.53156003961,84564.25338758595,85385.97521513229,86207.69704267863,87029.41887022497,87851.14069777132,88672.86252531766
PD22,baseline,brazil,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1377356.4,1460235.6,1421564.4,1328180.4,1264863.6,1219222.8,1294196.4,1268328.3588,1330707.258,1362418.614,1362897.3744,1383428.677455495,1400960.1731701456,1418491.668884796,1436023.1645994463,1453554.6603140968,1471086.156028747,1488617.6517433971,1506149.1474580478,1523680.643172698,1541212.1388873486,1558743.6346019988,1576275.130316649,1593806.6260312996,1611338.1217459498,1628869.6174606003,1646401.1131752506,1663932.608889901,1681464.104604551,1698995.6003192016,1716527.096033852,1734058.5917485023,1751590.0874631526,1769121.583177803,1786653.078892453,1804184.574607104,1821716.070321754,1839247.5660364048,1856779.0617510548,1874310.557465705,1891842.053180356
PD22,baseline,brazil,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,74484.001,81763.2008,73666.8004,79390.8008,79516.7984,75852.0002,77083.1999,66934.8866,69588.6144,69938.79,63880.6034,64842.92972948662,65664.65155960564,66486.37338972466,67308.09521984369,68129.8170499627,68951.53888008173,69773.26071020075,70594.98254031978,71416.70437043879,72238.42620055782,73060.14803067684,73881.86986079586,74703.59169091488,75525.31352103391,76347.03535115292,77168.75718127194,77990.47901139097,78812.20084151,79633.92267162901,80455.64450174803,81277.36633186706,82099.08816198607,82920.8099921051,83742.53182222412,84564.25365234315,85385.97548246216,86207.6973125812,87029.41914270021,87851.14097281924,88672.86280293825
PD22,baseline,brazil,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,1377356.3986,1460235.5993,1421564.4011,1328180.402,1264863.6015,1219222.8006,1294196.4018,1268328.3585,1330707.2572,1362418.6121,1362897.3727,1383428.6757298857,1400960.1714226685,1418491.6671154508,1436023.1628082334,1453554.658501016,1471086.1541937983,1488617.649886581,1506149.1455793637,1523680.6412721465,1541212.1369649288,1558743.6326577114,1576275.128350494,1593806.6240432763,1611338.119736059,1628869.6154288417,1646401.1111216242,1663932.6068144068,1681464.1025071894,1698995.598199972,1716527.0938927543,1734058.589585537,1751590.0852783197,1769121.5809711022,1786653.0766638848,1804184.5723566676,1821716.06804945,1839247.5637422325,1856779.059435015,1874310.5551277976,1891842.05082058
PD22,baseline,brazil,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,52282.8,56372.4,57736.8,55620.0,55360.8,53042.4,57110.4,56661.1056,56425.9932,58063.7664,50589.3528,51351.45371326607,52002.20485453273,52652.95599579939,53303.70713706605,53954.45827833271,54605.20941959936,55255.96056086603,55906.711702132685,56557.46284339934,57208.213984666,57858.96512593266,58509.71626719932,59160.46740846598,59811.21854973264,60461.9696909993,61112.72083226596,61763.47197353262,62414.22311479928,63064.974256065936,63715.72539733259,64366.47653859925,65017.22767986592,65667.97882113258,66318.72996239923,66969.4811036659,67620.23224493256,68270.98338619921,68921.73452746587,69572.48566873252,70223.23680999919
