model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bulgaria,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bulgaria,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bulgaria,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bulgaria,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bulgaria,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,16128.0016,15825.6016,15231.5993,14021.9993,14446.8004,13625.9992,12877.1984,12513.3822,11166.7818,9959.4635,9959.4635,9785.076381963268,9855.560850832337,9926.045319701405,9996.52978857047,10067.014257439536,10137.498726308604,10207.98319517767,10278.467664046737,10348.952132915803,10419.436601784872,10489.921070653938,10560.405539523006,10630.890008392073,10701.37447726114,10771.858946130207,10842.343414999274,10912.82788386834,10983.312352737408,11053.796821606476,11124.28129047554,11194.76575934461,11265.250228213676,11335.734697082742,11406.21916595181,11476.703634820877,11547.188103689943,11617.672572559011,11688.157041428078,11758.641510297146,11829.125979166212
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Nuclear industry,ENUC,TJ,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.6006,3.5375546103358824,3.5630365430333577,3.588518475730833,3.614000408428309,3.639482341125784,3.66496427382326,3.690446206520735,3.71592813921821,3.741410071915686,3.766892004613161,3.7923739373106367,3.817855870008112,3.843337802705588,3.868819735403063,3.8943016681005385,3.9197836007980142,3.9452655334954896,3.970747466192965,3.99622939889044,4.021711331587916,4.047193264285391,4.072675196982867,4.098157129680343,4.123639062377817,4.149120995075293,4.174602927772769,4.200084860470244,4.22556679316772,4.2510487258651946,4.27653065856267
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,15966.0017,17830.7983,16091.9993,14277.5993,15314.4017,16203.5984,14601.599,15341.3395,14843.7174,14240.2949,14240.2949,13990.9517513852,14091.732242479464,14192.512733573729,14293.293224667988,14394.073715762252,14494.854206856517,14595.634697950778,14696.41518904504,14797.195680139304,14897.976171233566,14998.756662327827,15099.537153422092,15200.317644516355,15301.09813561062,15401.878626704882,15502.659117799143,15603.439608893406,15704.22009998767,15805.000591081933,15905.781082176196,16006.561573270455,16107.342064364722,16208.122555458984,16308.903046553249,16409.68353764751,16510.46402874177,16611.244519836036,16712.025010930298,16812.805502024563,16913.585993118824
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,1151.998,1364.3986,1346.3995,1274.3991,943.1981,849.598,1177.1984,1024.8658,500.6408,707.2845,707.2845,694.9001676926371,699.905715664355,704.9112636360729,709.9168116077908,714.9223595795088,719.9279075512267,724.9334555229447,729.9390034946625,734.9445514663805,739.9500994380984,744.9556474098163,749.9611953815343,754.9667433532521,759.9722913249701,764.977839296688,769.983387268406,774.9889352401239,779.9944832118418,785.0000311835597,790.0055791552777,795.0111271269956,800.0166750987134,805.0222230704314,810.0277710421493,815.0333190138673,820.0388669855852,825.0444149573032,830.049962929021,835.0555109007389,840.0610588724569
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,18115.2,10339.2,11440.8,14529.6,16567.2,20358.0,13968.0,10181.1708,18527.6808,10546.1964,10546.1964,10361.53577079589,10436.172627675063,10510.80948455424,10585.446341433417,10660.08319831259,10734.720055191763,10809.35691207094,10883.993768950117,10958.63062582929,11033.267482708465,11107.90433958764,11182.541196466816,11257.17805334599,11331.814910225165,11406.45176710434,11481.088623983513,11555.72548086269,11630.362337741864,11704.99919462104,11779.636051500212,11854.272908379387,11928.909765258562,12003.546622137736,12078.183479016912,12152.820335896087,12227.457192775262,12302.094049654435,12376.730906533612,12451.367763412787,12526.004620291962
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,18115.1992,10339.1979,11440.7994,14529.5986,16567.2011,20358.001,13967.998,10181.1714,18527.6828,10546.1975,10546.1975,10361.536851535231,10436.173716199257,10510.81058086328,10585.447445527305,10660.084310191329,10734.72117485535,10809.358039519371,10883.994904183395,10958.63176884742,11033.268633511443,11107.905498175469,11182.542362839493,11257.179227503517,11331.81609216754,11406.452956831565,11481.089821495589,11555.72668615961,11630.363550823637,11705.00041548766,11779.637280151685,11854.274144815708,11928.91100947973,12003.547874143756,12078.18473880778,12152.821603471804,12227.458468135825,12302.095332799849,12376.732197463873,12451.369062127897,12526.00592679192
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,54896.4,58730.4,56826.0,51015.6,57121.2,55378.8,56793.6,55963.7964,58051.011600000005,59599.0368,59599.0368,58555.47614381434,58977.26658001163,59399.05701620892,59820.84745240621,60242.6378886035,60664.42832480079,61086.21876099808,61508.009197195366,61929.79963339266,62351.59006958995,62773.38050578724,63195.17094198453,63616.96137818182,64038.75181437911,64460.5422505764,64882.33268677369,65304.123122970974,65725.91355916827,66147.70399536556,66569.49443156285,66991.28486776014,67413.07530395742,67834.86574015471,68256.656176352,68678.44661254929,69100.23704874658,69522.02748494387,69943.81792114116,70365.60835733845,70787.39879353574
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,161459.998,172736.4698,168124.2616,153661.4466,169499.1104,163842.6054,168028.4006,164599.403,174537.0157,180106.4854,180106.4854,176952.87668115378,178227.51461353773,179502.15254592168,180776.79047830563,182051.4284106896,183326.06634307356,184600.70427545748,185875.34220784143,187149.98014022535,188424.61807260933,189699.25600499328,190973.89393737723,192248.5318697612,193523.16980214516,194797.80773452908,196072.44566691303,197347.08359929695,198621.72153168093,199896.35946406488,201170.99739644883,202445.6353288328,203720.27326121676,204994.91119360068,206269.54912598463,207544.18705836855,208818.82499075253,210093.46292313648,211368.10085552043,212642.7387879044,213917.37672028836
PD22,baseline,bulgaria,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
