model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,chile,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,chile,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,29.350447271898947,29.846932639496533,30.34341800709412,30.83990337469171,31.336388742289294,31.832874109886884,32.32935947748447,32.82584484508206,33.322330212679645,33.81881558027723,34.315300947874825,34.81178631547241,35.30827168307,35.80475705066759,36.301242418265176,36.79772778586276,37.29421315346035,37.790698521057934,38.28718388865552,38.78366925625311,39.2801546238507,39.776639991448285,40.27312535904588,40.76961072664346,41.26609609424105,41.76258146183864,42.25906682943622,42.75555219703381,43.2520375646314,43.74852293222899
PD22,baseline,chile,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,17881.199,16873.2017,12596.3981,17603.9993,15710.4018,13345.1989,10342.7986,15030.7669,12641.1676,12853.162,11812.3905,12038.157796018402,12241.79248489336,12445.427173768316,12649.061862643272,12852.69655151823,13056.331240393189,13259.965929268144,13463.6006181431,13667.235307018056,13870.869995893014,14074.50468476797,14278.139373642927,14481.774062517885,14685.40875139284,14889.043440267798,15092.678129142754,15296.312818017712,15499.947506892668,15703.582195767623,15907.21688464258,16110.85157351754,16314.486262392496,16518.120951267454,16721.755640142408,16925.390329017366,17129.025017892323,17332.659706767277,17536.29439564224,17739.929084517193,17943.56377339215
PD22,baseline,chile,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,7560.0001,9086.3985,14079.6013,11955.6,4683.6015,12092.4246,10277.9911,8601.9899,8752.3672,8849.1786,8615.17,8779.829611925195,8928.347175965671,9076.864740006147,9225.382304046623,9373.8998680871,9522.417432127577,9670.934996168053,9819.452560208529,9967.970124249005,10116.48768828948,10265.005252329956,10413.522816370432,10562.040380410908,10710.557944451384,10859.07550849186,11007.593072532338,11156.110636572814,11304.62820061329,11453.145764653766,11601.66332869424,11750.180892734716,11898.698456775192,12047.216020815673,12195.733584856143,12344.251148896625,12492.7687129371,12641.286276977577,12789.80384101805,12938.321405058528,13086.838969099002
PD22,baseline,chile,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,229.68,229.68,229.68,229.68,229.68,229.68,229.68,229.68,770.76,727.2,777.6,792.4620763412715,805.8671812664064,819.2722861915413,832.6773911166762,846.082496041811,859.4876009669458,872.8927058920807,886.2978108172156,899.7029157423505,913.1080206674852,926.5131255926202,939.9182305177552,953.32333544289,966.7284403680248,980.1335452931596,993.5386502182944,1006.9437551434294,1020.3488600685642,1033.7539649936991,1047.159069918834,1060.5641748439689,1073.9692797691037,1087.3743846942386,1100.7794896193734,1114.1845945445084,1127.5896994696432,1140.994804394778,1154.399909319913,1167.805014245048,1181.210119170183
PD22,baseline,chile,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,2296.7989,2296.7989,2296.7989,2296.7989,2296.7989,2296.7989,2296.7989,2296.7989,7707.6015,7271.9985,7776.0013,7924.622088259293,8058.67315992144,8192.724231583587,8326.775303245733,8460.82637490788,8594.877446570026,8728.928518232173,8862.97958989432,8997.030661556466,9131.081733218612,9265.13280488076,9399.183876542906,9533.234948205052,9667.2860198672,9801.337091529344,9935.388163191492,10069.439234853638,10203.490306515783,10337.541378177932,10471.592449840078,10605.643521502225,10739.694593164371,10873.74566482652,11007.796736488666,11141.847808150813,11275.89887981296,11409.949951475106,11544.001023137253,11678.0520947994,11812.103166461546
PD22,baseline,chile,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1209.6,201.6,644.4,630.0,572.4,158.4,579.6,158.238,216.1404,107.8884,207.072,211.02971588495345,214.59944567798007,218.16917547100672,221.7389052640334,225.3086350570601,228.8783648500867,232.44809464311336,236.01782443614,239.58755422916667,243.15728402219327,246.72701381522,250.29674360824663,253.8664734012733,257.4362031943,261.0059329873266,264.5756627803533,268.1453925733799,271.7151223664066,275.2848521594333,278.8545819524599,282.4243117454866,285.9940415385132,289.5637713315399,293.1335011245666,296.7032309175932,300.2729607106199,303.8426905036465,307.4124202966732,310.98215008969987,314.5518798827265
PD22,baseline,chile,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,76971.6,75430.8,71924.40000000001,70423.2,82584.0,85813.2,83206.8,76577.058,83904.228,80809.35840000001,78536.052,80037.09212392755,81390.98103527767,82744.86994662778,84098.7588579779,85452.64776932802,86806.53668067812,88160.42559202824,89514.31450337837,90868.20341472849,92222.0923260786,93575.9812374287,94929.87014877882,96283.75906012894,97637.64797147903,98991.53688282915,100345.42579417927,101699.3147055294,103053.20361687952,104407.09252822964,105760.98143957974,107114.87035092986,108468.75926228,109822.64817363008,111176.5370849802,112530.42599633032,113884.31490768044,115238.20381903056,116592.09273038068,117945.9816417308,119299.87055308092
PD22,baseline,chile,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1209.6,201.5986,644.3988,630.0004,572.3984,158.3992,579.5997,158.2359,216.1394,107.8896,207.0708,211.0284929496504,214.59820205578677,218.1679111619231,221.73762026805943,225.30732937419577,228.8770384803321,232.4467475864685,236.0164566926048,239.58616579874115,243.1558749048775,246.72558401101384,250.29529311715015,253.86500222328647,257.4347113294229,261.0044204355592,264.5741295416956,268.1438386478319,271.71354775396827,275.2832568601046,278.85296596624096,282.4226750723773,285.99238417851365,289.56209328465,293.13180239078633,296.70151149692265,300.271220603059,303.8409297091954,307.4106388153317,310.980347921468,314.5500570276044
PD22,baseline,chile,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,76971.6008,75430.7998,71924.4008,70423.1985,82584.002,85813.2013,83206.801,76577.0577,83904.2298,80809.3598,78536.053,80037.09314304031,81390.9820716295,82744.8710002187,84098.75992880788,85452.64885739707,86806.53778598626,88160.42671457546,89514.31564316463,90868.20457175384,92222.09350034302,93575.9824289322,94929.8713575214,96283.76028611058,97637.64921469978,98991.53814328896,100345.42707187816,101699.31600046734,103053.20492905652,104407.09385764573,105760.9827862349,107114.8717148241,108468.76064341328,109822.64957200248,111176.53850059168,112530.42742918084,113884.31635777005,115238.20528635924,116592.09421494842,117945.98314353764,119299.8720721268
PD22,baseline,chile,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,1195.2,1216.8,1472.4,1994.4,5194.8,7614.0,8816.4,13052.016,12916.44,17622.827999999998,20168.28,20553.751343919936,20901.433840781432,21249.11633764293,21596.79883450442,21944.48133136592,22292.16382822741,22639.84632508891,22987.528821950407,23335.211318811904,23682.8938156734,24030.576312534893,24378.25880939639,24725.94130625789,25073.623803119383,25421.306299980875,25768.98879684237,26116.67129370387,26464.353790565365,26812.03628742686,27159.71878428836,27507.40128114985,27855.08377801135,28202.766274872843,28550.44877173434,28898.13126859584,29245.81376545733,29593.496262318826,29941.17875918032,30288.86125604182,30636.543752903315
PD22,baseline,chile,Electric Power,Electricity and Heat,Other sources,OTHER,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,403.2,405.7714285714285,408.3428571428572,410.9142857142857,413.4857142857143,416.0571428571428,418.6285714285714,421.2,423.7714285714285,426.3428571428572,428.9142857142857,437.11201829935214,444.5061039525019,451.90018960565175,459.2942752588015,466.6883609119513,474.0824465651011,481.4765322182509,488.8706178714007,496.2647035245505,503.6587891777002,511.0528748308501,518.4469604839999,525.8410461371496,533.2351317902994,540.6292174434492,548.0233030965991,555.4173887497489,562.8114744028986,570.2055600560484,577.5996457091982,584.993731362348,592.3878170154978,599.7819026686476,607.1759883217974,614.5700739749471,621.9641596280969,629.3582452812468,636.7523309343966,644.1464165875464,651.5405022406961
PD22,baseline,chile,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1.9146240000000003,1.9146240000000003,1.9146240000000003,1.9146240000000003,1.9146240000000003,1.9146240000000003,1.9146240000000003,1.9146240000000003,2.853792,5.147712,16.26048,16.571262529714147,16.851578168259746,17.131893806805344,17.412209445350943,17.69252508389654,17.97284072244214,18.253156360987735,18.533471999533337,18.81378763807893,19.094103276624534,19.37441891517013,19.65473455371573,19.93505019226133,20.215365830806928,20.49568146935253,20.775997107898124,21.056312746443723,21.33662838498932,21.61694402353492,21.89725966208052,22.17757530062612,22.457890939171715,22.738206577717317,23.018522216262912,23.29883785480851,23.57915349335411,23.859469131899708,24.139784770445303,24.420100408990905,24.700416047536503
PD22,baseline,chile,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,6.912,6.912,6.912,6.912,414.72,1089.504,2280.096,3380.39136,4505.31072,5540.482944,6870.89952,7002.22132195402,7120.669275909342,7239.117229864665,7357.565183819987,7476.01313777531,7594.461091730633,7712.909045685955,7831.356999641277,7949.8049535966,8068.252907551922,8186.700861507245,8305.148815462568,8423.59676941789,8542.044723373212,8660.492677328535,8778.940631283858,8897.38858523918,9015.836539194504,9134.284493149826,9252.732447105149,9371.18040106047,9489.628355015791,9608.076308971114,9726.524262926438,9844.97221688176,9963.420170837082,10081.868124792403,10200.316078747728,10318.76403270305,10437.211986658373
PD22,baseline,chile,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1.914216,1.914216,1.914216,1.914216,1.914216,1.914216,1.914216,1.914216,2.85372,5.147760000000001,16.260192,16.570969025241425,16.851279698933347,17.13159037262527,17.41190104631719,17.692211720009116,17.972522393701038,18.25283306739296,18.53314374108488,18.813454414776803,19.09376508846873,19.37407576216065,19.65438643585257,19.93469710954449,20.215007783236416,20.495318456928334,20.77562913062026,21.055939804312185,21.336250478004107,21.61656115169603,21.89687182538795,22.17718249907988,22.4574931727718,22.73780384646372,23.01811452015564,23.298425193847564,23.57873586753949,23.859046541231407,24.139357214923333,24.41966788861525,24.699978562307177
PD22,baseline,chile,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,6.912240000000001,6.912240000000001,6.912240000000001,6.912240000000001,414.720288,1089.5041680000002,2280.096456,3380.391504,4505.310984,5540.4828720000005,6870.899544,7002.221346412725,7120.669300781786,7239.117255150846,7357.565209519907,7476.013163888967,7594.461118258026,7712.909072627087,7831.357026996147,7949.804981365208,8068.252935734268,8186.700890103329,8305.14884447239,8423.596798841449,8542.04475321051,8660.49270757957,8778.94066194863,8897.38861631769,9015.836570686752,9134.284525055811,9252.73247942487,9371.180433793932,9489.628388162992,9608.076342532053,9726.524296901112,9844.972251270174,9963.420205639231,10081.868160008293,10200.316114377354,10318.764068746415,10437.212023115477
PD22,baseline,chile,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,4.786560000000001,4.786560000000001,4.786560000000001,4.786560000000001,4.786560000000001,4.786560000000001,4.786560000000001,4.786560000000001,7.134479999999999,12.869280000000002,40.6512,41.42815632428536,42.12894542064936,42.82973451701336,43.53052361337735,44.23131270974135,44.932101806105344,45.63289090246934,46.33367999883334,47.03446909519733,47.73525819156133,48.43604728792533,49.136836384289325,49.83762548065332,50.53841457701731,51.23920367338131,51.93999276974531,52.64078186610931,53.3415709624733,54.042360058837296,54.743149155201294,55.44393825156529,56.14472734792929,56.84551644429328,57.546305540657286,58.24709463702128,58.94788373338528,59.64867282974927,60.349461926113264,61.05025102247727,61.75104011884126
