model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,costarica,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,costarica,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,3492.0005,3816.0002,3898.7984,3898.7984,3981.6007,4179.5987,4067.9996,3944.7443,3965.8709,3351.6381,3351.6381,3349.48167593795,3391.684312889356,3433.886949840762,3476.089586792168,3518.292223743574,3560.49486069498,3602.697497646386,3644.900134597792,3687.102771549198,3729.305408500604,3771.50804545201,3813.710682403416,3855.913319354822,3898.115956306228,3940.318593257634,3982.52123020904,4024.723867160446,4066.926504111852,4109.129141063258,4151.331778014664,4193.53441496607,4235.737051917476,4277.939688868882,4320.142325820288,4362.344962771694,4404.5475997231,4446.750236674506,4488.952873625912,4531.155510577318,4573.358147528724
PD22,baseline,costarica,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,363.5985,327.6004,392.3995,392.3995,421.2005,446.4008,446.4008,463.9728,437.2568,437.2568,437.2568,436.97547156993625,442.481253946898,447.9870363238597,453.4928187008215,458.9986010777832,464.5043834547449,470.0101658317067,475.5159482086684,481.02173058563017,486.5275129625919,492.03329533955366,497.5390777165154,503.0448600934772,508.5506424704389,514.0564248474006,519.5622072243624,525.0679896013241,530.5737719782859,536.0795543552476,541.5853367322093,547.091119109171,552.5969014861328,558.1026838630945,563.6084662400563,569.114248617018,574.6200309939798,580.1258133709415,585.6315957479032,591.137378124865,596.6431605018267
PD22,baseline,costarica,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,4233.6,4608.0,5047.2,5461.2,5536.8,4950.0,4824.0,4024.195200000001,3486.8556000000003,5445.27,5445.27,5441.766545598895,5510.331452088167,5578.896358577439,5647.461265066711,5716.026171555984,5784.591078045256,5853.155984534528,5921.7208910238005,5990.285797513073,6058.850704002345,6127.415610491617,6195.98051698089,6264.545423470162,6333.110329959434,6401.6752364487065,6470.240142937979,6538.805049427251,6607.369955916523,6675.934862405796,6744.499768895068,6813.06467538434,6881.629581873613,6950.194488362885,7018.759394852157,7087.324301341429,7155.889207830702,7224.454114319974,7293.019020809246,7361.583927298519,7430.148833787791
PD22,baseline,costarica,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,40999.0004,43046.9987,48653.9989,54611.9996,55368.0017,49500.0005,48239.9998,40241.9516,34868.558,54452.7002,54452.7002,54417.66565586026,55103.31472327132,55788.96379068237,56474.61285809342,57160.26192550447,57845.91099291552,58531.56006032658,59217.20912773763,59902.858195148685,60588.50726255974,61274.15632997079,61959.80539738184,62645.45446479289,63331.103532203946,64016.75259961499,64702.401667026046,65388.0507344371,66073.69980184815,66759.34886925921,67444.99793667026,68130.64700408131,68816.29607149237,69501.94513890342,70187.59420631448,70873.24327372553,71558.89234113657,72244.54140854762,72930.19047595868,73615.83954336973,74301.48861078078
PD22,baseline,costarica,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,26143.2,25686.0,26038.8,24663.6,24181.2,29041.2,28893.6,31237.0596,30034.4292,28175.9796,28175.9796,28157.85134194575,28512.633273147992,28867.41520435024,29222.19713555248,29576.979066754728,29931.76099795697,30286.54292915921,30641.32486036146,30996.106791563703,31350.888722765947,31705.67065396819,32060.45258517044,32415.23451637268,32770.016447574926,33124.79837877717,33479.580309979414,33834.36224118166,34189.1441723839,34543.92610358615,34898.70803478839,35253.48996599064,35608.271897192884,35963.053828395125,36317.83575959737,36672.61769079961,37027.39962200186,37382.1815532041,37736.96348440635,38091.74541560859,38446.52734681084
PD22,baseline,costarica,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,26143.1998,25686.0013,26038.802,24663.6014,24181.1983,29041.1981,28893.6008,31237.0617,30034.4285,28175.9791,28175.9791,28157.85084226745,28512.63276717387,28867.41469208029,29222.196616986712,29576.97854189313,29931.76046679956,30286.54239170598,30641.324316612405,30996.106241518824,31350.888166425248,31705.67009133167,32060.45201623809,32415.233941144517,32770.01586605094,33124.79779095736,33479.57971586379,33834.36164077021,34189.143565676626,34543.92549058305,34898.70741548947,35253.4893403959,35608.27126530232,35963.05319020874,36317.835115115166,36672.61704002159,37027.39896492801,37382.18088983443,37736.96281474085,38091.74473964728,38446.5266645537
PD22,baseline,costarica,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
