model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,finland,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,finland,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,finland,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,finland,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1285.2,1294.6045415826964,1310.4055574588438,1326.206573334991,1342.0075892111383,1357.8086050872855,1373.609620963433,1389.4106368395803,1405.2116527157275,1421.012668591875,1436.813684468022,1452.6147003441697,1468.4157162203169,1484.216732096464,1500.0177479726117,1515.8187638487589,1531.619779724906,1547.4207956010534,1563.2218114772008,1579.022827353348,1594.8238432294954,1610.6248591056426,1626.42587498179,1642.2268908579372,1658.0279067340846,1673.828922610232,1689.6299384863792,1705.4309543625266,1721.231970238674,1737.0329861148211,1752.8340019909683
PD22,baseline,finland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,9939.6014,9694.7992,10472.401,9367.1988,9957.6004,8765.9995,9309.601,9964.8017,10886.4001,10400.40055,10875.5982,10955.181156355897,11088.892251765794,11222.603347175693,11356.314442585588,11490.025537995483,11623.73663340538,11757.447728815278,11891.158824225176,12024.869919635072,12158.581015044969,12292.292110454866,12426.003205864765,12559.714301274658,12693.425396684555,12827.136492094452,12960.84758750435,13094.558682914248,13228.269778324142,13361.98087373404,13495.691969143936,13629.403064553831,13763.11415996373,13896.825255373627,14030.536350783525,14164.247446193422,14297.95854160332,14431.669637013214,14565.380732423111,14699.091827833008,14832.802923242903
PD22,baseline,finland,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,12434.3983,11116.7997,9734.3979,10454.4019,9489.5999,8798.4011,9194.4012,8927.9993,9827.998,9349.1998,8463.5995,8525.5324858676,8629.589029649775,8733.645573431952,8837.702117214127,8941.758660996304,9045.81520477848,9149.871748560656,9253.92829234283,9357.984836125008,9462.041379907185,9566.09792368936,9670.154467471535,9774.211011253712,9878.267555035887,9982.324098818064,10086.38064260024,10190.437186382416,10294.493730164591,10398.550273946768,10502.606817728943,10606.66336151112,10710.719905293296,10814.776449075473,10918.832992857648,11022.889536639825,11126.946080422,11231.002624204177,11335.059167986352,11439.115711768529,11543.172255550704
PD22,baseline,finland,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,3096.0,3416.4,4478.400000000001,3524.4,3337.2000000000003,3884.4,3726.0,3610.8,3398.4,2721.6,3938.4,3967.219519583949,4015.640559831863,4064.061600079776,4112.48264032769,4160.903680575604,4209.324720823518,4257.745761071432,4306.166801319345,4354.587841567259,4403.008881815173,4451.429922063086,4499.850962311,4548.272002558914,4596.693042806828,4645.114083054741,4693.535123302655,4741.956163550569,4790.377203798483,4838.798244046397,4887.21928429431,4935.640324542223,4984.061364790137,5032.482405038051,5080.903445285965,5129.324485533879,5177.745525781793,5226.166566029706,5274.58760627762,5323.008646525534,5371.429686773447
PD22,baseline,finland,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,43423.2,41385.6,56214.0,42692.4,44892.0,56484.0,53150.4,49568.4,44485.2,41979.6,53240.4,53629.99037945797,54284.55963377826,54939.12888809855,55593.69814241884,56248.26739673913,56902.83665105942,57557.40590537971,58211.9751597,58866.54441402029,59521.11366834058,60175.68292266087,60830.25217698116,61484.82143130145,62139.390685621736,62793.959939942026,63448.52919426232,64103.098448582605,64757.667702902894,65412.236957223184,66066.80621154347,66721.37546586376,67375.94472018405,68030.51397450434,68685.08322882463,69339.65248314492,69994.22173746521,70648.7909917855,71303.36024610579,71957.92950042608,72612.49875474637
PD22,baseline,finland,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,3096.0004,3416.3995,4478.3981,3524.398,3337.202,3884.4,3726.0008,3610.801,3398.4004,2721.6,3938.4013,3967.220829096791,4015.64188532768,4064.06294155857,4112.48399778946,4160.905054020349,4209.326110251239,4257.747166482129,4306.168222713018,4354.589278943908,4403.010335174798,4451.431391405688,4499.8524476365765,4548.273503867466,4596.694560098356,4645.115616329245,4693.536672560135,4741.957728791025,4790.378785021914,4838.799841252804,4887.220897483694,4935.641953714583,4984.063009945473,5032.484066176363,5080.905122407253,5129.326178638143,5177.747234869032,5226.168291099922,5274.589347330812,5323.0104035617005,5371.43145979259
