model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,germany,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,germany,Commercial,Electricity and Heat,Geothermal,GEOTHERM,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,germany,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,germany,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,germany,Commercial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,germany,Electric Power,Electricity and Heat,Elec/heat from manufactured gases,MANGAS,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,32824.8,33064.99778753789,33468.5654703354,33872.13315313291,34275.70083593042,34679.268518727935,35082.836201525446,35486.40388432296,35889.97156712047,36293.53924991798,36697.10693271549,37100.674615513,37504.24229831051,37907.809981108025,38311.377663905536,38714.94534670305,39118.51302950056,39522.08071229807,39925.64839509558,40329.21607789309,40732.7837606906,41136.351443488114,41539.919126285626,41943.48680908314,42347.05449188065,42750.62217467816,43154.18985747567,43557.75754027318,43961.32522307069,44364.89290586821,44768.46058866572
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,86306.3979,89276.4008,88423.198,88106.3996,86972.4006,92177.9998,92732.3991,97286.3982,95979.6016,98906.4009,96980.4017,97690.06262475433,98882.3975663485,100074.73250794268,101267.06744953687,102459.40239113108,103651.73733272524,104844.07227431943,106036.40721591364,107228.7421575078,108421.077099102,109613.4120406962,110805.74698229038,111998.08192388456,113190.41686547876,114382.75180707291,115575.08674866712,116767.42169026133,117959.7566318555,119152.0915734497,120344.42651504387,121536.76145663808,122729.09639823224,123921.43133982643,125113.76628142064,126306.10122301482,127498.436164609,128690.7711062032,129883.10604779737,131075.44098939156,132267.77593098575
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Nuclear industry,ENUC,TJ,270.2769692307692,271.66151538461537,273.0460615384616,274.4306076923077,275.81515384615386,277.1997,278.5842461538461,279.9687923076923,281.35333846153844,282.73788461538464,284.1224307692308,286.2015166817316,289.6946874250822,293.1878581684328,296.68102891178336,300.174199655134,303.6673703984846,307.1605411418352,310.65371188518577,314.1468826285364,317.640053371887,321.1332241152376,324.6263948585882,328.1195656019388,331.6127363452894,335.10590708864004,338.5990778319906,342.0922485753412,345.58541931869183,349.07859006204245,352.57176080539307,356.06493154874363,359.55810229209425,363.05127303544486,366.5444437787954,370.0376145221461,373.5307852654967,377.0239560088473,380.5171267521979,384.01029749554846,387.5034682388991
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,139341.5984,132753.6016,132778.8019,135989.998,132955.2002,136861.1999,130021.1996,124811.9998,125341.1988,111790.8006,99979.2014,100710.80625291869,101940.01022786884,103169.21420281896,104398.41817776913,105627.62215271928,106856.82612766944,108086.03010261958,109315.23407756974,110544.4380525199,111773.64202747004,113002.8460024202,114232.04997737036,115461.2539523205,116690.45792727065,117919.6619022208,119148.86587717096,120378.06985212112,121607.27382707126,122836.4778020214,124065.68177697156,125294.88575192173,126524.08972687188,127753.29370182204,128982.49767677218,130211.70165172232,131440.9056266725,132670.10960162262,133899.31357657278,135128.5175515229,136357.7215264731
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,7988.4018,7027.2005,7297.1988,7325.9998,7725.6006,7682.4012,6872.4019,8089.199,8193.6011,8063.9987,8344.799,8405.862654835624,8508.458594364303,8611.054533892982,8713.650473421661,8816.246412950342,8918.842352479021,9021.4382920077,9124.03423153638,9226.63017106506,9329.22611059374,9431.82205012242,9534.417989651098,9637.013929179777,9739.609868708456,9842.205808237137,9944.801747765816,10047.397687294497,10149.993626823174,10252.589566351851,10355.185505880532,10457.781445409211,10560.377384937892,10662.973324466571,10765.56926399525,10868.16520352393,10970.761143052609,11073.35708258129,11175.953022109969,11278.548961638648,11381.144901167328
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,germany,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,germany,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,100.8,68.4,90.0,288.0,352.8,478.8,630.0,586.8000000000001,640.8000000000001,709.2,831.6,837.6852916123329,847.9094783557224,858.1336650991118,868.3578518425013,878.5820385858908,888.8062253292802,899.0304120726697,909.2545988160592,919.4787855594486,929.702972302838,939.9271590462276,950.151345789617,960.3755325330064,970.599719276396,980.8239060197856,991.048092763175,1001.2722795065644,1011.4964662499538,1021.7206529933432,1031.9448397367328,1042.1690264801225,1052.3932132235118,1062.617399966901,1072.8415867102906,1083.06577345368,1093.2899601970696,1103.5141469404589,1113.7383336838484,1123.962520427238,1134.1867071706274
PD22,baseline,germany,Electric Power,Electricity and Heat,Geothermal,GEOTHERM,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,996.9985,678.002,912.9987,2875.0002,3533.0019,4792.9984,6288.0,5851.9992,6412.0005,7102.0019,8311.9996,8372.823242914374,8475.015927043016,8577.208611171658,8679.401295300298,8781.59397942894,8883.786663557583,8985.979347686225,9088.172031814864,9190.364715943508,9292.55740007215,9394.750084200792,9496.942768329433,9599.135452458077,9701.328136586715,9803.52082071536,9905.713504844,10007.906188972642,10110.098873101284,10212.291557229926,10314.484241358568,10416.676925487209,10518.869609615853,10621.062293744491,10723.254977873134,10825.447662001776,10927.640346130418,11029.83303025906,11132.025714387702,11234.218398516345,11336.411082644983
PD22,baseline,germany,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1360.8,1177.2,1260.0,655.2,583.2,565.2,633.6,619.2,313.2,352.8,324.0,326.37089283597385,330.3543422165152,334.33779159705654,338.3212409775979,342.3046903581392,346.28813973868057,350.2715891192219,354.25503849976326,358.2384878803046,362.221937260846,366.2053866413873,370.18883602192864,374.17228540247,378.1557347830113,382.1391841635526,386.122633544094,390.1060829246353,394.0895323051767,398.072981685718,402.0564310662594,406.0398804468007,410.023329827342,414.00677920788337,417.9902285884247,421.97367796896606,425.9571273495074,429.9405767300488,433.9240261105901,437.9074754911314,441.8909248716728
PD22,baseline,germany,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,74070.0,62442.0,77061.6,82137.6,69930.0,67752.0,73332.0,71920.8,63385.2,70678.8,65635.2,66115.49020206083,66922.44852546116,67729.40684886149,68536.36517226182,69343.32349566215,70150.28181906248,70957.24014246282,71764.19846586314,72571.15678926348,73378.11511266381,74185.07343606414,74992.03175946447,75798.9900828648,76605.94840626513,77412.90672966547,78219.86505306579,79026.82337646613,79833.78169986646,80640.74002326679,81447.69834666712,82254.65667006744,83061.61499346778,83868.5733168681,84675.53164026844,85482.48996366878,86289.4482870691,87096.40661046944,87903.36493386977,88710.3232572701,89517.28158067043
PD22,baseline,germany,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1360.7979,1177.1984,1260.0007,655.2007,583.2003,565.2013,633.601,619.1984,313.2019,352.8007,323.9997,326.37059064070274,330.35403633286506,334.3374820250273,338.32092771718965,342.3043734093519,346.28781910151423,350.2712647936765,354.2547104858388,358.2381561780011,362.2216018701634,366.20504756232566,370.188493254488,374.17193894665024,378.15538463881256,382.1388303309748,386.1222760231372,390.1057217152994,394.0891674074617,398.072613099624,402.0560587917863,406.0395044839486,410.0229501761109,414.0063958682732,417.9898415604355,421.97328725259774,425.95673294476006,429.9401786369224,433.9236243290847,437.9070700212469,441.8905157134092
PD22,baseline,germany,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,74070.0018,62441.998,77061.6002,82137.6012,69930.0019,67751.9992,73331.9988,71920.8002,63385.2003,70678.7985,65635.1992,66115.48939620679,66922.44770977144,67729.4060233361,68536.36433690075,69343.3226504654,70150.28096403005,70957.23927759471,71764.19759115938,72571.15590472403,73378.11421828868,74185.07253185334,74992.03084541799,75798.98915898264,76605.9474725473,77412.90578611195,78219.8640996766,79026.82241324126,79833.78072680591,80640.73904037056,81447.69735393522,82254.65566749987,83061.61398106453,83868.57229462918,84675.53060819383,85482.4889217585,86289.44723532315,87096.40554888781,87903.36386245246,88710.32217601711,89517.28048958177
PD22,baseline,germany,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,4898.16,4943.52,4988.88,5034.24,5079.599999999999,5124.96,5170.32,5215.679999999999,5261.04,5306.4,5351.759999999999,5390.921880999541,5456.719612656349,5522.517344313158,5588.315075969967,5654.112807626775,5719.910539283584,5785.708270940392,5851.506002597201,5917.303734254009,5983.101465910818,6048.899197567626,6114.696929224435,6180.494660881243,6246.292392538052,6312.09012419486,6377.887855851668,6443.685587508477,6509.483319165285,6575.281050822094,6641.078782478902,6706.876514135711,6772.674245792519,6838.471977449328,6904.269709106136,6970.067440762945,7035.865172419753,7101.662904076562,7167.4606357333705,7233.258367390179,7299.056099046988
PD22,baseline,germany,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,506001.6,388695.6,358056.0,350244.0,349664.4,330429.60000000003,304682.4,274766.4,273618.0,270255.60000000003,231775.2,233471.2313618408,236320.8140064854,239170.39665113,242019.97929577457,244869.5619404192,247719.14458506377,250568.72722970837,253418.3098743529,256267.89251899757,259117.4751636421,261967.0578082867,264816.6404529313,267666.2230975759,270515.8057422205,273365.3883868651,276214.9710315097,279064.5536761543,281914.1363207989,284763.71896544343,287613.30161008803,290462.88425473263,293312.46689937724,296162.04954402184,299011.63218866644,301861.21483331104,304710.7974779556,307560.3801226002,310409.9627672448,313259.5454118894,316109.128056534
PD22,baseline,germany,Electric Power,Electricity and Heat,Nuclear,NUCLEAR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,14842.91154,14980.366280000002,15117.821020000005,15255.275760000002,15392.7305,15530.185240000004,15667.639980000004,15805.094720000005,15942.549460000002,16080.004200000005,16217.458940000004,16336.131338822675,16535.518458478535,16734.905578134392,16934.29269779025,17133.679817446107,17333.066937101965,17532.454056757822,17731.84117641368,17931.228296069537,18130.615415725395,18330.002535381253,18529.38965503711,18728.776774692968,18928.163894348825,19127.551014004683,19326.938133660537,19526.3252533164,19725.71237297225,19925.099492628116,20124.486612283967,20323.873731939824,20523.26085159568,20722.64797125154,20922.0350909074,21121.42221056325,21320.809330219112,21520.19644987497,21719.583569530827,21918.970689186684,22118.357808842546
