model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,guyana,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,guyana,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,907.2,946.7988,871.2019,827.9983,774.0012,788.3996,806.3986,838.9887,847.312,888.0789,829.6982,829.1643771022596,839.6116422511535,850.0589074000475,860.5061725489413,870.9534376978353,881.4007028467292,891.8479679956232,902.295233144517,912.742498293411,923.189763442305,933.6370285911988,944.0842937400928,954.5315588889868,964.9788240378808,975.4260891867748,985.8733543356686,996.3206194845624,1006.7678846334564,1017.2151497823504,1027.6624149312445,1038.1096800801383,1048.5569452290322,1059.004210377926,1069.45147552682,1079.898740675714,1090.3460058246078,1100.793270973502,1111.2405361223955,1121.6878012712898,1132.1350664201836
PD22,baseline,guyana,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,453.5979,468.0005,460.7992,100.8014,104.402,107.9985,111.5992,115.3003,116.4433,80.6126,87.4999,87.44360308363932,88.54537075747747,89.64713843131562,90.74890610515378,91.85067377899192,92.95244145283009,94.05420912666824,95.1559768005064,96.25774447434456,97.3595121481827,98.46127982202086,99.563047495859,100.66481516969716,101.76658284353532,102.86835051737349,103.97011819121164,105.07188586504978,106.17365353888792,107.27542121272607,108.37718888656424,109.4789565604024,110.58072423424056,111.6824919080787,112.78425958191686,113.886027255755,114.98779492959316,116.08956260343132,117.19133027726949,118.29309795110764,119.39486562494578
PD22,baseline,guyana,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guyana,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guyana,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guyana,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.252,0.252,0.396,0.432,0.468,1.26,1.26,1.26,1.26,1.26,1.26,1.2591893234779188,1.2750547961131569,1.2909202687483952,1.3067857413836332,1.322651214018871,1.3385166866541094,1.3543821592893477,1.3702476319245858,1.3861131045598238,1.401978577195062,1.4178440498303002,1.4337095224655385,1.4495749951007764,1.4654404677360149,1.4813059403712527,1.4971714130064908,1.513036885641729,1.5289023582769672,1.5447678309122053,1.5606333035474431,1.5764987761826816,1.5923642488179195,1.6082297214531578,1.624095194088396,1.6399606667236342,1.6558261393588722,1.6716916119941103,1.6875570846293484,1.7034225572645867,1.7192880298998248
PD22,baseline,guyana,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.864,0.864,1.728,1.728,1.728,4.320000000000001,4.320000000000001,6.30288,9.908352,15.440543999999996,10.469088,10.462352250913334,10.594175289945,10.725998328976669,10.857821368008334,10.98964440704,11.121467446071668,11.253290485103332,11.385113524135,11.516936563166666,11.648759602198334,11.78058264123,11.912405680261667,12.044228719293333,12.176051758325,12.307874797356668,12.439697836388332,12.57152087542,12.703343914451668,12.835166953483334,12.966989992515,13.098813031546667,13.230636070578337,13.36245910961,13.494282148641666,13.626105187673334,13.757928226705,13.889751265736669,14.021574304768334,14.1533973438,14.285220382831668
PD22,baseline,guyana,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.864144,0.864144,1.728312,1.728312,1.728312,4.319783999999999,4.319783999999999,6.303312,9.90864,15.440256,10.469352,10.4626160810573,10.594442444283231,10.726268807509166,10.8580951707351,10.989921533961033,11.121747897186966,11.2535742604129,11.385400623638832,11.517226986864763,11.649053350090698,11.780879713316631,11.912706076542564,12.044532439768496,12.17635880299443,12.308185166220364,12.4400115294463,12.571837892672232,12.703664255898165,12.835490619124098,12.967316982350033,13.099143345575964,13.230969708801895,13.36279607202783,13.494622435253763,13.626448798479696,13.75827516170563,13.890101524931564,14.021927888157496,14.153754251383427,14.285580614609362
PD22,baseline,guyana,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,2.16,2.16,4.32,4.32,4.32,10.8,10.8,15.7572,24.77088,38.60135999999999,26.17272,26.15588062728333,26.4854382248625,26.814995822441663,27.14455342002083,27.4741110176,27.803668615179166,28.13322621275833,28.4627838103375,28.792341407916663,29.121899005495838,29.451456603075,29.78101420065417,30.11057179823333,30.440129395812495,30.769686993391662,31.099244590970837,31.42880218855,31.75835978612917,32.08791738370833,32.4174749812875,32.747032578866666,33.07659017644583,33.406147774025,33.73570537160417,34.06526296918334,34.394820566762505,34.724378164341665,35.05393576192083,35.3834933595,35.71305095707917
