model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,haiti,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,haiti,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,1494.001,2361.598,2480.3985,2267.9979,2206.7995,2188.8004,2221.2021,2247.9892,2281.3496,2315.2041,2315.2041,2313.714511422463,2342.86673943321,2372.018967443957,2401.171195454704,2430.323423465451,2459.475651476198,2488.627879486945,2517.780107497692,2546.932335508439,2576.084563519186,2605.236791529933,2634.38901954068,2663.5412475514267,2692.6934755621737,2721.8457035729207,2750.997931583667,2780.1501595944146,2809.302387605161,2838.454615615909,2867.606843626655,2896.7590716374025,2925.911299648149,2955.063527658896,2984.215755669643,3013.36798368039,3042.520211691137,3071.672439701884,3100.824667712631,3129.9768957233778,3159.1291237341247
PD22,baseline,haiti,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,17.9991,39.5988,68.3998,68.3998,39.5988,61.1985,61.1985,62.8104,63.7398,64.6902,64.6902,64.64857870924703,65.46313473930107,66.2776907693551,67.09224679940914,67.90680282946317,68.72135885951721,69.53591488957125,70.35047091962528,71.1650269496793,71.97958297973334,72.79413900978737,73.60869503984141,74.42325106989544,75.23780709994948,76.05236313000351,76.86691916005755,77.68147519011158,78.49603122016562,79.31058725021965,80.12514328027369,80.93969931032771,81.75425534038175,82.56881137043578,83.38336740048982,84.19792343054385,85.01247946059789,85.82703549065192,86.64159152070596,87.45614755076,88.27070358081403
PD22,baseline,haiti,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,haiti,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,haiti,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,637.2,435.6,795.6,507.6,324.0,298.8,255.6,458.4312,709.8768,720.4464,720.4464,719.9828690619859,729.0544743352841,738.1260796085825,747.1976848818807,756.269290155179,765.3408954284772,774.4125007017756,783.4841059750738,792.5557112483721,801.6273165216703,810.6989217949687,819.7705270682669,828.8421323415652,837.9137376148635,846.9853428881618,856.05694816146,865.1285534347583,874.2001587080566,883.2717639813549,892.3433692546531,901.4149745279516,910.4865798012496,919.558185074548,928.6297903478462,937.7013956211446,946.7730008944428,955.8446061677412,964.9162114410394,973.9878167143376,983.059421987636
PD22,baseline,haiti,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,637.2017,435.5989,795.6009,507.5993,323.9997,298.7994,255.6,458.4295,709.8761,720.4478,720.4478,719.9842681612341,729.0558910628354,738.1275139644366,747.1991368660377,756.270759767639,765.3423826692402,774.4140055708415,783.4856284724426,792.5572513740439,801.6288742756451,810.7004971772463,819.7721200788475,828.8437429804487,837.91536588205,846.9869887836512,856.0586116852523,865.1302345868536,874.2018574884548,883.2734803900561,892.3451032916573,901.4167261932585,910.4883490948596,919.559971996461,928.631594898062,937.7032177996634,946.7748407012646,955.8464636028658,964.918086504467,973.9897094060682,983.0613323076694
PD22,baseline,haiti,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,haiti,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,haiti,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
