model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,10494.0007,12200.398,12099.6008,10227.5988,12448.8008,9604.7997,9557.9997,10240.0671,10130.8209,9049.0523,8890.606199809898,8946.239828498254,9001.87345718661,9057.507085874968,9113.140714563324,9168.77434325168,9224.407971940036,9280.041600628392,9335.675229316748,9391.308858005104,9446.942486693462,9502.576115381818,9558.209744070176,9613.84337275853,9669.477001446889,9725.110630135245,9780.7442588236,9836.377887511955,9892.011516200311,9947.64514488867,10003.278773577023,10058.91240226538,10114.54603095374,10170.179659642095,10225.813288330452,10281.446917018808,10337.080545707164,10392.714174395522,10448.347803083878,10503.981431772234,10559.61506046059
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,856.7993,838.8003,846.0016,716.3992,971.9991,878.399,655.2007,487.264,439.2581,460.2214,452.1630659737917,454.99250994573504,457.82195391767846,460.6513978896219,463.4808418615653,466.3102858335086,469.139729805452,471.9691737773954,474.7986177493388,477.62806172128217,480.4575056932256,483.286949665169,486.1163936371124,488.9458376090557,491.7752815809992,494.60472555294257,497.43416952488593,500.2636134968293,503.0930574687727,505.9225014407161,508.7519454126595,511.58138938460286,514.4108333565463,517.2402773284897,520.069721300433,522.8991652723764,525.7286092443198,528.5580532162633,531.3874971882067,534.21694116015,537.0463851320934
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,39988.8,50900.4,51044.4,47149.2,47872.8,39960.0,41378.4,51132.4632,51546.006,49893.1704,49019.55645525573,49326.29997094063,49633.04348662552,49939.78700231042,50246.530517995314,50553.27403368021,50860.017549365104,51166.76106505,51473.504580734894,51780.24809641979,52086.991612104684,52393.73512778958,52700.47864347448,53007.22215915937,53313.965674844265,53620.70919052916,53927.452706214055,54234.19622189895,54540.939737583845,54847.68325326874,55154.42676895364,55461.17028463853,55767.91380032343,56074.65731600832,56381.400831693216,56688.14434737811,56994.887863063006,57301.6313787479,57608.3748944328,57915.11841011769,58221.86192580259
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,39988.8009,50900.4014,51044.398,47149.2002,47872.8007,39959.9999,41378.3998,51132.4631,51546.0059,49893.1703,49019.556357006695,49326.2998720768,49633.043387146885,49939.786902216976,50246.53041728708,50553.27393235717,50860.017447427264,51166.76096249736,51473.504477567454,51780.24799263755,52086.99150770765,52393.735022777735,52700.47853784784,53007.22205291793,53313.96556798802,53620.70908305812,53927.45259812821,54234.19611319831,54540.9396282684,54847.683143338494,55154.42665840859,55461.17017347869,55767.91368854878,56074.65720361887,56381.40071868897,56688.14423375907,56994.88774882916,57301.63126389925,57608.37477896935,57915.11829403945,58221.86180910954
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kyrgyzstan,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Final consumption not elsewhere specified,ONONSPEC,TJ,197.998,212.4006,154.7986,2595.5983,2610.0009,277.1997,356.4014,357.7411,605.9388,551.7198,561.8130225269973,570.2972319100529,578.7814412931085,587.2656506761641,595.7498600592197,604.2340694422753,612.7182788253309,621.2024882083865,629.6866975914421,638.1709069744977,646.6551163575533,655.1393257406089,663.6235351236645,672.1077445067201,680.5919538897756,689.0761632728313,697.5603726558868,706.0445820389425,714.528791421998,723.0130008050537,731.4972101881092,739.9814195711648,748.4656289542204,756.949838337276,765.4340477203316,773.9182571033872,782.4024664864428,790.8866758694984,799.370885252554,807.8550946356096,816.3393040186652
PD22,baseline,kyrgyzstan,Industrial,Electricity and Heat,Heat – Low Temperature,LHEAT,Energy industry own use and Losses,Losses,DISTLOSS,TJ,0.0,0.0,0.0,0.0,0.0,574.50015,433.4992,428.3494,529.79975,470.6005,479.2097171566368,486.4464941905055,493.6832712243743,500.920048258243,508.15682529211176,515.3936023259805,522.6303793598493,529.867156393718,537.1039334275868,544.3407104614555,551.5774874953242,558.814264529193,566.0510415630617,573.2878185969305,580.5245956307992,587.761372664668,594.9981496985367,602.2349267324055,609.4717037662742,616.708480800143,623.9452578340117,631.1820348678806,638.4188119017493,645.6555889356181,652.8923659694868,660.1291430033556,667.3659200372243,674.6026970710931,681.8394741049618,689.0762511388306,696.3130281726993
PD22,baseline,kyrgyzstan,Industrial,Electricity and Heat,Heat – Low Temperature,LHEAT,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,TJ,0.0,0.0,0.0,0.0,0.0,16.5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
