model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,norway,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,norway,Commercial,Electricity and Heat,Heat – High Temperature,HHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,norway,Commercial,Electricity and Heat,Heat – Low Temperature,LHEAT,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,norway,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,34394.39935,26272.799,32968.80085,29016.00095,27378.0001,26888.4,33012.00055,32950.7992,32419.36895,29725.1999,32072.39,32307.081974331973,32701.399079510928,33095.71618468988,33490.03328986884,33884.35039504779,34278.667500226744,34672.98460540569,35067.301710584645,35461.6188157636,35855.93592094255,36250.25302612151,36644.57013130046,37038.887236479415,37433.20434165837,37827.52144683732,38221.83855201627,38616.15565719522,39010.47276237418,39404.78986755313,39799.10697273209,40193.42407791104,40587.74118309,40982.05828826895,41376.3753934479,41770.69249862686,42165.00960380581,42559.32670898476,42953.64381416371,43347.960919342666,43742.27802452162
PD22,baseline,norway,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1767.6,1800.0,1926.0,2113.2,2260.8,2311.2,2026.8,2581.2,2351.42,2254.34,2171.64,2187.531128760229,2214.230567071213,2240.9300053821967,2267.6294436931807,2294.328882004165,2321.0283203151484,2347.7277586261325,2374.4271969371166,2401.1266352481007,2427.8260735590843,2454.5255118700684,2481.224950181052,2507.924388492036,2534.62382680302,2561.323265114004,2588.022703424988,2614.722141735972,2641.421580046956,2668.12101835794,2694.820456668924,2721.519894979908,2748.219333290892,2774.9187716018755,2801.61820991286,2828.317648223843,2855.0170865348277,2881.716524845812,2908.4159631567954,2935.115401467779,2961.814839778763
PD22,baseline,norway,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Pumped storage plants,EPUMPST,TJ,637.2,1962.0,1674.0,867.6,1015.2,1670.4,943.2,1148.4,1099.64,1360.8,1027.87,1035.3915111707174,1048.0287584385478,1060.6660057063782,1073.3032529742086,1085.9405002420388,1098.5777475098691,1111.2149947776995,1123.85224204553,1136.4894893133603,1149.1267365811907,1161.763983849021,1174.4012311168512,1187.0384783846816,1199.675725652512,1212.3129729203424,1224.9502201881728,1237.5874674560032,1250.2247147238336,1262.861961991664,1275.499209259494,1288.1364565273243,1300.773703795155,1313.4109510629853,1326.0481983308157,1338.685445598646,1351.3226928664762,1363.9599401343066,1376.597187402137,1389.2344346699674,1401.8716819377978
PD22,baseline,norway,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,16570.44,15202.079999999998,13833.72,12465.36,11096.999999999998,9728.64,8360.279999999999,6991.919999999998,5623.559999999998,4255.199999999997,2886.8399999999983,2907.964655168525,2943.4571891491487,2978.9497231297723,3014.4422571103955,3049.934791091019,3085.4273250716424,3120.919859052266,3156.412393032889,3191.904927013513,3227.397460994136,3262.88999497476,3298.382528955383,3333.8750629360065,3369.3675969166297,3404.8601308972534,3440.3526648778766,3475.8451988585,3511.3377328391234,3546.830266819747,3582.3228008003703,3617.815334780994,3653.307868761617,3688.8004027422407,3724.292936722864,3759.785470703488,3795.278004684111,3830.770538664734,3866.2630726453576,3901.755606625981,3937.248140606605
PD22,baseline,norway,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,420260.4,433004.4,510206.4,461296.8,487692.0,494287.2,514105.2,512517.6,499665.7404,451872.36,507336.084,511048.55155242793,517286.0441744528,523523.5367964778,529761.0294185027,535998.5220405277,542236.0146625525,548473.5072845775,554710.9999066024,560948.4925286273,567185.9851506522,573423.4777726772,579660.970394702,585898.463016727,592135.9556387519,598373.4482607768,604610.9408828018,610848.4335048266,617085.9261268516,623323.4187488765,629560.9113709014,635798.4039929264,642035.8966149513,648273.3892369762,654510.8818590011,660748.3744810261,666985.8671030509,673223.3597250759,679460.8523471009,685698.3449691257,691935.8375911507
